season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576188,1,43,Manchester_City,Away,158213,103025,Riyad Mahrez,riyad-mahrez,M,False,2.0,,,21.0,8.0,27.0,,,3.0,,1.0,1.0,1.0,,,,1.0,4.0,,,,,,,,,,1.0,,79.0,,,,,,,9.0,,6.7,,,1.0,,2.0,5.0,,,,26.0,8.0,29.0,2,1.0,46.0,3.0,1.0,2.0,
2021-22,9576188,1,43,Manchester_City,Away,189061,114283,Jack Grealish,jack-grealish,M,False,,,,32.0,12.0,44.0,1.0,,8.0,,,2.0,2.0,,,1.0,5.0,11.0,,,1.0,,,,,,1.0,2.0,,90.0,1.0,,,,,,11.0,,7.5,,,,1.0,4.0,1.0,,1.0,,39.0,12.0,50.0,3,2.0,71.0,2.0,5.0,4.0,2.0
2021-22,9576188,1,43,Manchester_City,Away,254491,121160,Ederson,ederson,G,False,,,,,14.0,14.0,1.0,,8.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,90.0,,,,,,,1.0,,6.2,,1.0,,,,,,1.0,,1.0,14.0,15.0,0,,23.0,,,,
2021-22,9576188,1,43,Manchester_City,Away,287643,206325,Oleksandr Zinchenko,oleksandr-zinchenko,D,True,,,,6.0,6.0,12.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,11.0,,,,,,,5.0,,6.7,,,,,,2.0,,,,8.0,9.0,15.0,0,,19.0,,1.0,,
2021-22,9576188,1,43,Manchester_City,Away,318941,171314,Rúben Dias,ruben-dias,D,False,,,4.0,23.0,29.0,52.0,2.0,2.0,7.0,,,,,,,,2.0,2.0,,,,,,,,,,,,90.0,,2.0,,,,,7.0,,6.9,,,,2.0,,,,8.0,,28.0,31.0,59.0,0,,65.0,,,,
2021-22,9576188,1,43,Manchester_City,Away,331209,165809,Bernardo Silva,bernardo-silva,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576188,1,43,Manchester_City,Away,332995,164484,Zack Steffen,zack-steffen,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576188,1,43,Manchester_City,Away,794839,205651,Gabriel Jesus,gabriel-jesus,F,True,,,,3.0,2.0,5.0,1.0,,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,1.0,,20.0,,,,,,,1.0,,6.9,,,,,1.0,,,,,3.0,2.0,5.0,0,,7.0,1.0,,1.0,
2021-22,9576188,1,43,Manchester_City,Away,827606,220566,Rodri,rodri,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576188,1,43,Manchester_City,Away,855833,224444,Ferran Torres,ferran-torres,F,False,,,,9.0,4.0,13.0,,3.0,1.0,,1.0,,1.0,,,,1.0,5.0,,,,,,,,,,,,90.0,1.0,,,,,,8.0,,6.7,,,1.0,,1.0,1.0,,,1.0,14.0,6.0,19.0,2,1.0,27.0,1.0,,1.0,1.0
2021-22,9576187,2,43,Manchester_City,Home,13630,27789,Fernandinho,fernandinho,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576187,2,43,Manchester_City,Home,44614,58621,Kyle Walker,kyle-walker,D,False,,,6.0,60.0,24.0,84.0,,3.0,3.0,,,1.0,1.0,,,1.0,4.0,6.0,,,1.0,,,,,,,2.0,,90.0,,,,,,,9.0,,7.2,,,,,3.0,3.0,,6.0,,65.0,25.0,87.0,1,,106.0,1.0,1.0,2.0,
2021-22,9576187,2,43,Manchester_City,Home,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,2.0,,,34.0,10.0,42.0,,,2.0,,,,,,,,2.0,1.0,,,2.0,,,,,,,2.0,,69.0,,,,,,,9.0,,7.0,,,,,,7.0,,,,42.0,10.0,45.0,0,1.0,56.0,1.0,,,1.0
2021-22,9576187,2,43,Manchester_City,Home,138534,103955,Raheem Sterling,raheem-sterling,F,True,,,,5.0,3.0,8.0,,,,,,,,,,1.0,1.0,2.0,,,,,1.0,,,,,,,29.0,1.0,,,,,,2.0,,7.2,,,1.0,,,,,,,6.0,3.0,9.0,2,,14.0,,2.0,,
2021-22,9576187,2,43,Manchester_City,Home,138892,121145,João Cancelo,joao-cancelo,D,False,,,3.0,51.0,13.0,64.0,1.0,2.0,6.0,,,,1.0,,,3.0,8.0,5.0,,,2.0,,,,,,4.0,,,90.0,,,,,,,16.0,,7.0,,,1.0,,1.0,3.0,,6.0,,61.0,14.0,72.0,1,3.0,96.0,1.0,,,1.0
2021-22,9576187,2,43,Manchester_City,Home,139225,102826,Benjamin Mendy,benjamin-mendy,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576187,2,43,Manchester_City,Home,149663,126184,Nathan Aké,nathan-ake,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576187,2,43,Manchester_City,Home,149734,146941,Aymeric Laporte,aymeric-laporte,D,False,,,9.0,63.0,48.0,111.0,,,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,,90.0,1.0,,,,,,2.0,,8.1,,,1.0,1.0,,,,11.0,,65.0,48.0,113.0,2,,117.0,,,,
2021-22,9576187,2,43,Manchester_City,Home,158213,103025,Riyad Mahrez,riyad-mahrez,M,True,,,1.0,6.0,1.0,7.0,,,,,,1.0,,,,2.0,2.0,1.0,,,,,1.0,,,,,1.0,,15.0,1.0,,,,,,2.0,,7.3,,,,,,,,1.0,,6.0,1.0,7.0,2,1.0,13.0,,,,
2021-22,9576187,2,43,Manchester_City,Home,189061,114283,Jack Grealish,jack-grealish,M,False,,,,38.0,3.0,41.0,,,2.0,,,,,,,,3.0,4.0,,,1.0,,1.0,,,,,1.0,,75.0,1.0,,,,,,8.0,,7.7,,,,,4.0,4.0,,,2.0,44.0,3.0,43.0,1,1.0,58.0,,1.0,2.0,1.0
2021-22,9576187,2,43,Manchester_City,Home,254491,121160,Ederson,ederson,G,False,,2.0,3.0,,12.0,12.0,,,3.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,7.0,,,,1.0,,,2.0,3.0,,,12.0,12.0,0,,17.0,,,,
2021-22,9576187,2,43,Manchester_City,Home,287643,206325,Oleksandr Zinchenko,oleksandr-zinchenko,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576187,2,43,Manchester_City,Home,318941,171314,Rúben Dias,ruben-dias,D,False,,,9.0,70.0,39.0,109.0,,2.0,1.0,1.0,,,,,,2.0,2.0,5.0,,,,1.0,,,,,,2.0,,90.0,,,,,,,8.0,,8.1,,,,1.0,,,,11.0,,75.0,39.0,114.0,0,3.0,122.0,,,,2.0
2021-22,9576187,2,43,Manchester_City,Home,331209,165809,Bernardo Silva,bernardo-silva,M,False,,,2.0,31.0,14.0,45.0,,1.0,6.0,,,1.0,2.0,,,,5.0,6.0,,,2.0,,,,,,,,,90.0,,,,,,,14.0,,6.8,,,,,3.0,3.0,,2.0,,41.0,14.0,52.0,1,2.0,69.0,2.0,1.0,2.0,
2021-22,9576187,2,43,Manchester_City,Home,332995,164484,Zack Steffen,zack-steffen,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576187,2,43,Manchester_City,Home,794839,205651,Gabriel Jesus,gabriel-jesus,F,False,,,2.0,51.0,13.0,64.0,,,5.0,2.0,,,1.0,,,1.0,5.0,2.0,,,2.0,2.0,,,,,1.0,3.0,,90.0,,,,,,,16.0,,8.1,,,1.0,,2.0,3.0,,2.0,,59.0,13.0,69.0,1,1.0,86.0,5.0,,1.0,1.0
2021-22,9576187,2,43,Manchester_City,Home,827606,220566,Rodri,rodri,M,False,,,7.0,48.0,23.0,71.0,2.0,1.0,6.0,,,,,,,,4.0,3.0,,,2.0,,,,,,,2.0,,90.0,,,,,,,10.0,,7.3,,,2.0,,,1.0,,9.0,,54.0,25.0,78.0,2,1.0,86.0,1.0,1.0,,1.0
2021-22,9576187,2,43,Manchester_City,Home,855833,224444,Ferran Torres,ferran-torres,F,False,,,,11.0,1.0,12.0,,,3.0,,,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,61.0,,,,,,,4.0,,6.7,,,,,2.0,,,,,12.0,3.0,15.0,3,,22.0,,,2.0,
2021-22,9576187,2,43,Manchester_City,Home,932628,220394,Tommy Doyle,tommy-doyle,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576187,2,43,Manchester_City,Home,982780,244851,Cole Palmer,cole-palmer,M,True,,,,9.0,5.0,14.0,,,1.0,,,,1.0,,,1.0,3.0,1.0,,,1.0,,,,,,,,,21.0,,,,,,,5.0,,6.4,,,,,,2.0,,,,11.0,5.0,14.0,0,1.0,20.0,2.0,,,1.0
2021-22,9576260,3,43,Manchester_City,Home,13630,27789,Fernandinho,fernandinho,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576260,3,43,Manchester_City,Home,44614,58621,Kyle Walker,kyle-walker,D,False,,,1.0,12.0,13.0,25.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,45.0,,,,,,,12.0,,6.8,,,,,,,,3.0,,15.0,17.0,32.0,0,,43.0,2.0,,,
2021-22,9576260,3,43,Manchester_City,Home,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,,,4.0,73.0,16.0,89.0,1.0,,5.0,1.0,,2.0,,,,,2.0,3.0,,,1.0,,1.0,,,,,2.0,,90.0,1.0,,,,,,19.0,,8.3,,,,,,9.0,,5.0,,91.0,16.0,98.0,3,2.0,114.0,1.0,1.0,,2.0
2021-22,9576260,3,43,Manchester_City,Home,138534,103955,Raheem Sterling,raheem-sterling,F,True,,,,17.0,1.0,18.0,,,,,2.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,1.0,,32.0,2.0,,,,,,6.0,,6.4,,,1.0,,1.0,,,,,21.0,1.0,22.0,4,1.0,31.0,,,1.0,1.0
2021-22,9576260,3,43,Manchester_City,Home,138892,121145,João Cancelo,joao-cancelo,D,False,1.0,,1.0,60.0,30.0,89.0,1.0,5.0,4.0,,1.0,,,,,,1.0,9.0,,,,,,,,,1.0,,,90.0,1.0,,,,,,15.0,,7.5,,,,1.0,2.0,5.0,,4.0,,71.0,32.0,98.0,1,1.0,121.0,1.0,1.0,2.0,1.0
2021-22,9576260,3,43,Manchester_City,Home,149663,126184,Nathan Aké,nathan-ake,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576260,3,43,Manchester_City,Home,149734,146941,Aymeric Laporte,aymeric-laporte,D,False,,,,37.0,43.0,80.0,2.0,2.0,8.0,,,3.0,,,,,3.0,4.0,,,,,,,,,,,,90.0,,,,,,,4.0,,7.2,,,2.0,1.0,1.0,1.0,,,,39.0,44.0,82.0,5,2.0,98.0,,,,
2021-22,9576260,3,43,Manchester_City,Home,152077,97299,John Stones,john-stones,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576260,3,43,Manchester_City,Home,158213,103025,Riyad Mahrez,riyad-mahrez,M,True,1.0,,2.0,27.0,1.0,27.0,,,1.0,3.0,,1.0,,,,,1.0,2.0,,,1.0,1.0,,,,,,3.0,,29.0,1.0,,,,,,7.0,,8.6,,,,,2.0,3.0,,3.0,1.0,33.0,1.0,31.0,2,,39.0,1.0,,2.0,
2021-22,9576260,3,43,Manchester_City,Home,189061,114283,Jack Grealish,jack-grealish,M,False,,,,58.0,5.0,63.0,,,3.0,1.0,,1.0,,,,1.0,3.0,4.0,,,1.0,1.0,,,,,,6.0,,90.0,,,,,,,9.0,,7.7,,,,,1.0,1.0,,1.0,,64.0,5.0,68.0,1,1.0,78.0,1.0,3.0,,
2021-22,9576260,3,43,Manchester_City,Home,254491,121160,Ederson,ederson,G,False,,,2.0,2.0,26.0,28.0,,,8.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,7.0,,6.9,,,,,,,,7.0,,6.0,29.0,35.0,0,,37.0,,,,
2021-22,9576260,3,43,Manchester_City,Home,287643,206325,Oleksandr Zinchenko,oleksandr-zinchenko,D,True,,,,31.0,4.0,35.0,2.0,3.0,1.0,,,1.0,,,,,2.0,3.0,,,,,,,,,1.0,,,45.0,,,,,,,4.0,,6.7,,,,,,2.0,,,,35.0,4.0,37.0,1,,45.0,,,,
2021-22,9576260,3,43,Manchester_City,Home,318941,171314,Rúben Dias,ruben-dias,D,False,1.0,,4.0,32.0,35.0,66.0,,1.0,4.0,,,,,,,,,2.0,,,,,,,,,,2.0,,90.0,,,,,,,2.0,,7.2,,,,,,1.0,,6.0,,34.0,35.0,68.0,0,1.0,70.0,,,,1.0
2021-22,9576260,3,43,Manchester_City,Home,331209,165809,Bernardo Silva,bernardo-silva,M,False,,,1.0,13.0,10.0,23.0,,,,,,,,,,,,2.0,,,,,,,,,,,,58.0,1.0,,,,,,6.0,,7.1,,,,,,2.0,,1.0,,17.0,11.0,26.0,1,1.0,36.0,1.0,1.0,,1.0
2021-22,9576260,3,43,Manchester_City,Home,332995,164484,Zack Steffen,zack-steffen,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576260,3,43,Manchester_City,Home,794839,205651,Gabriel Jesus,gabriel-jesus,F,False,3.0,,,24.0,7.0,28.0,,,2.0,1.0,,,,,,,2.0,1.0,,,,1.0,1.0,,,,,4.0,,61.0,1.0,,,,,,5.0,,8.5,,,,,2.0,3.0,,,,26.0,7.0,30.0,1,,40.0,1.0,1.0,,
2021-22,9576260,3,43,Manchester_City,Home,827606,220566,Rodri,rodri,M,False,1.0,,2.0,66.0,35.0,100.0,2.0,,9.0,,,1.0,2.0,,,,7.0,5.0,,,2.0,,1.0,,,,1.0,2.0,,90.0,1.0,,,,,,5.0,,7.8,,,,1.0,2.0,1.0,,3.0,,69.0,36.0,104.0,2,4.0,116.0,,,1.0,3.0
2021-22,9576260,3,43,Manchester_City,Home,855833,224444,Ferran Torres,ferran-torres,F,False,,,,17.0,5.0,22.0,,1.0,2.0,,,,,,,,2.0,3.0,,,,1.0,2.0,,,,,1.0,,90.0,2.0,,,,,,8.0,,8.9,,,2.0,,3.0,2.0,,,,22.0,6.0,26.0,4,1.0,38.0,,,1.0,1.0
2021-22,9576260,3,43,Manchester_City,Home,932628,220394,Tommy Doyle,tommy-doyle,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576260,3,43,Manchester_City,Home,982780,244851,Cole Palmer,cole-palmer,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576165,4,43,Manchester_City,Away,716,17601,Scott Carson,scott-carson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576165,4,43,Manchester_City,Away,13630,27789,Fernandinho,fernandinho,M,True,,,,4.0,2.0,6.0,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,10.0,,,,,,,1.0,,7.0,,,1.0,,,,,,,4.0,2.0,6.0,1,2.0,12.0,1.0,,,
2021-22,9576165,4,43,Manchester_City,Away,44614,58621,Kyle Walker,kyle-walker,D,False,,,5.0,27.0,24.0,51.0,,1.0,5.0,,,1.0,1.0,,,1.0,2.0,3.0,,,,,,,,,1.0,,,90.0,1.0,1.0,,,,,7.0,,7.4,,,,1.0,,1.0,,6.0,,31.0,24.0,54.0,2,2.0,77.0,1.0,,,
2021-22,9576165,4,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,2.0,,2.0,23.0,6.0,27.0,,2.0,3.0,1.0,,4.0,1.0,,,,2.0,5.0,,,1.0,,,,,,1.0,4.0,,90.0,1.0,,,,,,13.0,,8.3,,,1.0,,2.0,8.0,,2.0,,33.0,8.0,33.0,6,1.0,54.0,1.0,,2.0,
2021-22,9576165,4,43,Manchester_City,Away,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576165,4,43,Manchester_City,Away,138534,103955,Raheem Sterling,raheem-sterling,F,True,,,,1.0,2.0,3.0,1.0,,2.0,,,,,,,,4.0,2.0,,,1.0,,,,,,,1.0,,26.0,,,,,,,9.0,,6.5,,,1.0,,2.0,1.0,,1.0,,4.0,2.0,5.0,1,1.0,15.0,4.0,1.0,,
2021-22,9576165,4,43,Manchester_City,Away,138892,121145,João Cancelo,joao-cancelo,D,False,1.0,,4.0,33.0,22.0,54.0,2.0,,5.0,,,2.0,1.0,,,,5.0,4.0,,,2.0,,,,,,2.0,1.0,,90.0,,,,,,,14.0,,7.4,,,,1.0,2.0,3.0,,4.0,,42.0,24.0,63.0,2,3.0,86.0,1.0,,1.0,3.0
2021-22,9576165,4,43,Manchester_City,Away,149663,126184,Nathan Aké,nathan-ake,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576165,4,43,Manchester_City,Away,149734,146941,Aymeric Laporte,aymeric-laporte,D,False,1.0,,5.0,48.0,59.0,106.0,,1.0,8.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,90.0,,,,,,,6.0,,7.4,,,1.0,4.0,,1.0,,8.0,,51.0,62.0,112.0,1,,118.0,,,,
2021-22,9576165,4,43,Manchester_City,Away,152077,97299,John Stones,john-stones,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576165,4,43,Manchester_City,Away,158213,103025,Riyad Mahrez,riyad-mahrez,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576165,4,43,Manchester_City,Away,189061,114283,Jack Grealish,jack-grealish,M,False,1.0,,,34.0,4.0,37.0,,,1.0,,1.0,,,,,2.0,4.0,4.0,,,1.0,,,,,,,4.0,,90.0,1.0,,,,,,10.0,,7.1,,,2.0,,2.0,2.0,,,,39.0,4.0,41.0,3,1.0,58.0,,2.0,1.0,1.0
2021-22,9576165,4,43,Manchester_City,Away,254491,121160,Ederson,ederson,G,False,,,3.0,,16.0,16.0,,1.0,8.0,,,,,,,,,1.0,,,,,,,1.0,,,,,90.0,,,,,,,2.0,,7.5,1.0,2.0,,,,,,5.0,,1.0,17.0,18.0,0,,28.0,,,,
2021-22,9576165,4,43,Manchester_City,Away,287643,206325,Oleksandr Zinchenko,oleksandr-zinchenko,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576165,4,43,Manchester_City,Away,318941,171314,Rúben Dias,ruben-dias,D,False,,,1.0,38.0,51.0,89.0,3.0,1.0,5.0,,,,,,,,4.0,1.0,,,1.0,,,,,,,2.0,,90.0,,1.0,,,,,6.0,,7.1,,,,,,,,4.0,,42.0,53.0,95.0,0,,98.0,,,,
2021-22,9576165,4,43,Manchester_City,Away,331209,165809,Bernardo Silva,bernardo-silva,M,False,2.0,,,28.0,12.0,38.0,1.0,,4.0,1.0,,1.0,,,,2.0,7.0,4.0,,,2.0,,1.0,,,,,3.0,,90.0,2.0,,,,,,16.0,,8.0,,,,,3.0,8.0,,,3.0,38.0,13.0,43.0,3,3.0,66.0,1.0,,1.0,3.0
2021-22,9576165,4,43,Manchester_City,Away,794839,205651,Gabriel Jesus,gabriel-jesus,F,False,1.0,,,14.0,5.0,18.0,3.0,,4.0,,1.0,,1.0,,,2.0,8.0,1.0,,,,,,,,,,,,84.0,2.0,,,,,,19.0,,6.4,,,,,2.0,6.0,,2.0,1.0,26.0,6.0,26.0,2,1.0,41.0,2.0,,,
2021-22,9576165,4,43,Manchester_City,Away,827606,220566,Rodri,rodri,M,False,,,1.0,31.0,18.0,49.0,1.0,2.0,11.0,,,,,,,1.0,4.0,2.0,,,1.0,,,,,,1.0,1.0,,90.0,,,,,,,7.0,,6.7,,,,,1.0,,,1.0,,32.0,19.0,51.0,0,,60.0,2.0,,,
2021-22,9576165,4,43,Manchester_City,Away,855833,224444,Ferran Torres,ferran-torres,F,False,,,,6.0,1.0,7.0,1.0,,,,,2.0,2.0,,,1.0,5.0,1.0,,,1.0,,,,,,,,,64.0,1.0,,,,,,8.0,,6.6,,,1.0,,,1.0,,,,10.0,1.0,10.0,4,,21.0,3.0,1.0,,
2021-22,9576165,4,43,Manchester_City,Away,859765,209244,Phil Foden,phil-foden,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576080,5,43,Manchester_City,Home,716,17601,Scott Carson,scott-carson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576080,5,43,Manchester_City,Home,13630,27789,Fernandinho,fernandinho,M,False,,,2.0,15.0,30.0,45.0,,2.0,8.0,,,1.0,2.0,,,2.0,4.0,4.0,,,,,,,,,,1.0,,65.0,,,,,,,13.0,,6.5,,,,1.0,,,,3.0,,23.0,31.0,54.0,1,1.0,63.0,2.0,1.0,,
2021-22,9576080,5,43,Manchester_City,Home,44614,58621,Kyle Walker,kyle-walker,D,False,1.0,,5.0,24.0,32.0,55.0,,1.0,4.0,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,,90.0,,1.0,,,,,8.0,,7.4,,,,3.0,1.0,2.0,,6.0,,26.0,33.0,57.0,0,,79.0,1.0,,,
