playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,substituteOn,iboxTarget,shotsOnTargetInBox,foulWonPenalty,goals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,oboxTarget,rightFootGoals,leftFootGoals,unsuccessfulCornersIntoBox,substituteOff,hitWoodwork,headedGoals,clearancesOffTheLine,catches,savesMade,savesMadeFromOutsideBox,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,setPiecesGoals,penaltiesTaken,freekickTotal,attemptsFromSetPieces,penaltyGoals,secondGoalAssists,ownGoalScored,penaltiesFaced,punches,drops,penaltiesSaved,savesFromPenalty,goalkeeperSmother,redCards2ndYellow
214590,Aaron Wan-Bissaka,Defender,C Palace,31,DR Congo,2018-19,128.0,12.0,1.1934,1.0,5.0,129.0,4.0,1.0,198.0,35.0,3.0,2.0,35.0,314.0,44.0,1165.0,2.0,1.0,73.0,12.0,12.0,3135.0,30.0,249.0,8.0,1.0,87.0,206.0,817.0,30.0,59.0,4.0,41.9678,11.0,23.0,129.0,46.0,4.0,98.0,75.0,16.0,377.0,33.0,655.0,206.0,35.0,39.0,29.0,522.0,38.0,44.0,4.0,304.0,43.0,1.0,1161.0,4.0,17.0,540.0,90.0,61.0,16.0,300.0,23.0,84.0,34.0,135.0,2286.0,283.0,1.0,82.0,341.0,17.0,1.0,0.4617,4.0,116.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143877,Alexander Sørloth,Forward,C Palace,31,Norway,2018-19,17.0,,0.5132,0.0,,2.0,4.0,,21.0,12.0,,2.0,,21.0,1.0,59.0,,,27.0,,,173.0,9.0,24.0,,,2.0,6.0,38.0,17.0,,1.0,3.9185,3.0,,3.0,3.0,,8.0,16.0,2.0,41.0,,16.0,12.0,12.0,1.0,,30.0,3.0,1.0,,14.0,18.0,0.0,59.0,3.0,2.0,33.0,1.0,2.0,,18.0,4.0,,,9.0,95.0,,,,8.0,2.0,,0.4863,0.0,,5.0,1.0,0.1985,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,C Palace,31,England,2018-19,193.0,31.0,4.5763,0.0,18.0,62.0,45.0,1.0,175.0,38.0,4.0,38.0,34.0,218.0,97.0,1027.0,9.0,12.0,17.0,5.0,39.0,3016.0,13.0,180.0,8.0,,104.0,176.0,780.0,92.0,1.0,4.0,41.3873,57.0,8.0,16.0,46.0,6.0,180.0,132.0,56.0,373.0,43.0,261.0,193.0,38.0,27.0,42.0,605.0,38.0,122.0,6.0,356.0,4.0,0.0,985.0,26.0,25.0,558.0,35.0,58.0,5.0,332.0,10.0,38.0,29.0,302.0,1848.0,13.0,12.0,19.0,243.0,5.0,,4.6301,1.0,43.0,56.0,19.0,4.2206,4.0,4.0,4.0,1.0,6.0,38.0,9.0,6.0,7.0,9.0,1.0,5.0,23.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
44343,Bakary Sako,Midfielder,C Palace,31,Mali,2018-19,6.0,,0.001,0.0,,2.0,,,2.0,4.0,,,,2.0,3.0,10.0,1.0,,2.0,,,26.0,2.0,2.0,1.0,,2.0,2.0,7.0,,,,2.1007,,,,2.0,,4.0,1.0,,8.0,,1.0,5.0,4.0,1.0,1.0,3.0,1.0,3.0,,6.0,,0.0,9.0,,2.0,10.0,1.0,,,3.0,1.0,,1.0,5.0,20.0,,,,5.0,,,,0.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55037,Cheikhou Kouyaté,Midfielder,C Palace,31,Senegal,2018-19,161.0,1.0,0.9407,0.0,4.0,58.0,16.0,1.0,129.0,31.0,2.0,6.0,21.0,152.0,7.0,765.0,3.0,2.0,136.0,6.0,1.0,1897.0,72.0,149.0,4.0,,33.0,85.0,593.0,36.0,,2.0,25.2895,12.0,2.0,31.0,30.0,2.0,89.0,171.0,17.0,310.0,19.0,291.0,113.0,31.0,26.0,11.0,337.0,26.0,7.0,2.0,174.0,64.0,0.0,763.0,8.0,9.0,219.0,32.0,12.0,11.0,209.0,34.0,16.0,20.0,94.0,1082.0,8.0,2.0,10.0,277.0,20.0,1.0,1.1432,3.0,23.0,42.0,8.0,1.1539,10.0,4.0,4.0,1.0,,,4.0,,,4.0,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
54861,Christian Benteke,Forward,C Palace,31,Belgium,2018-19,96.0,,0.4048,0.0,5.0,5.0,21.0,,102.0,16.0,1.0,11.0,9.0,105.0,1.0,241.0,10.0,1.0,150.0,1.0,,813.0,60.0,109.0,1.0,,9.0,19.0,129.0,52.0,,2.0,12.6874,8.0,,14.0,13.0,4.0,36.0,61.0,9.0,205.0,5.0,68.0,18.0,16.0,4.0,3.0,91.0,12.0,1.0,4.0,55.0,90.0,0.0,227.0,13.0,2.0,154.0,1.0,5.0,2.0,50.0,18.0,,7.0,62.0,381.0,,1.0,,45.0,6.0,1.0,3.3748,1.0,3.0,13.0,8.0,2.8455,7.0,6.0,6.0,,1.0,,1.0,9.0,,1.0,,,,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
59125,Connor Wickham,Forward,C Palace,31,England,2018-19,12.0,,0.0017,0.0,1.0,,4.0,,6.0,6.0,1.0,,,6.0,1.0,11.0,,,14.0,,,61.0,7.0,7.0,,,1.0,,5.0,9.0,,,1.3657,3.0,,2.0,1.0,1.0,5.0,4.0,,19.0,,3.0,2.0,6.0,,,4.0,1.0,1.0,1.0,5.0,7.0,0.0,10.0,3.0,1.0,13.0,,,,2.0,3.0,,,2.0,29.0,,,,1.0,2.0,,0.3685,0.0,,1.0,1.0,0.0248,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173954,Jairo Riedewald,Midfielder,C Palace,31,Netherlands,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50471,James McArthur,Midfielder,C Palace,31,Scotland,2018-19,210.0,3.0,3.0709,0.0,11.0,84.0,23.0,4.0,209.0,38.0,6.0,30.0,36.0,291.0,12.0,1400.0,2.0,2.0,105.0,10.0,3.0,3072.0,57.0,190.0,9.0,1.0,69.0,142.0,1044.0,90.0,,3.0,41.7103,25.0,5.0,44.0,49.0,9.0,153.0,266.0,39.0,400.0,41.0,467.0,216.0,38.0,33.0,11.0,622.0,40.0,12.0,9.0,295.0,48.0,0.0,1377.0,15.0,14.0,416.0,51.0,20.0,22.0,419.0,61.0,39.0,65.0,248.0,1987.0,22.0,2.0,44.0,490.0,33.0,1.0,4.1638,7.0,82.0,96.0,8.0,2.0533,2.0,4.0,4.0,,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,C Palace,31,England,2018-19,123.0,,0.9532,0.0,3.0,33.0,19.0,,83.0,29.0,1.0,,29.0,188.0,1.0,1111.0,1.0,,182.0,9.0,,2562.0,91.0,138.0,5.0,,17.0,47.0,797.0,51.0,,3.0,32.1283,6.0,15.0,182.0,37.0,3.0,32.0,231.0,12.0,261.0,13.0,394.0,111.0,29.0,13.0,2.0,258.0,32.0,1.0,3.0,79.0,91.0,0.0,1068.0,12.0,3.0,207.0,20.0,2.0,10.0,390.0,16.0,34.0,126.0,96.0,1481.0,2.0,,44.0,665.0,9.0,,1.4387,6.0,105.0,57.0,7.0,1.1747,,5.0,5.0,,1.0,,1.0,1.0,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19197,Jason Puncheon,Midfielder,C Palace,31,England,2018-19,38.0,,0.3266,0.0,3.0,8.0,3.0,1.0,39.0,11.0,,,5.0,44.0,4.0,212.0,1.0,3.0,12.0,1.0,2.0,394.0,6.0,21.0,1.0,,10.0,15.0,156.0,5.0,,,5.1579,5.0,1.0,8.0,9.0,,32.0,46.0,2.0,59.0,2.0,79.0,23.0,11.0,3.0,2.0,123.0,8.0,7.0,,47.0,6.0,0.0,203.0,3.0,2.0,79.0,5.0,5.0,1.0,52.0,12.0,4.0,12.0,35.0,298.0,4.0,3.0,4.0,47.0,9.0,1.0,0.6468,1.0,5.0,13.0,,,6.0,,,,,5.0,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86417,Jeffrey Schlupp,Midfielder,C Palace,31,Ghana,2018-19,140.0,4.0,1.0311,0.0,10.0,41.0,18.0,3.0,128.0,30.0,1.0,11.0,18.0,152.0,13.0,630.0,1.0,3.0,115.0,3.0,4.0,1665.0,61.0,131.0,4.0,,46.0,77.0,463.0,62.0,1.0,3.0,25.148,15.0,3.0,21.0,26.0,7.0,79.0,136.0,14.0,271.0,22.0,228.0,90.0,30.0,21.0,18.0,296.0,22.0,13.0,7.0,156.0,54.0,0.0,625.0,10.0,11.0,242.0,20.0,23.0,8.0,145.0,25.0,19.0,15.0,121.0,967.0,7.0,3.0,5.0,186.0,16.0,3.0,3.2326,1.0,24.0,36.0,8.0,2.8479,12.0,2.0,2.0,1.0,4.0,,2.0,,,2.0,1.0,2.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
209411,Joe Tupper,Goalkeeper,C Palace,31,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55494,Joel Ward,Defender,C Palace,31,England,2018-19,34.0,,0.1027,0.0,,12.0,2.0,,35.0,7.0,,,6.0,52.0,7.0,190.0,1.0,,32.0,,,551.0,14.0,37.0,4.0,,7.0,19.0,129.0,5.0,12.0,,10.5016,2.0,2.0,31.0,14.0,,20.0,27.0,6.0,71.0,2.0,118.0,31.0,7.0,5.0,1.0,73.0,10.0,7.0,,39.0,18.0,0.0,188.0,1.0,1.0,82.0,7.0,1.0,,25.0,8.0,10.0,9.0,20.0,343.0,45.0,,10.0,65.0,2.0,,0.564,1.0,17.0,18.0,1.0,0.7507,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
80146,Jordan Ayew,Forward,C Palace,31,Ghana,2018-19,180.0,,0.5441,0.0,10.0,38.0,17.0,2.0,54.0,20.0,2.0,15.0,14.0,59.0,15.0,265.0,9.0,,122.0,1.0,,1187.0,90.0,106.0,1.0,,29.0,74.0,201.0,60.0,,,12.6913,14.0,,5.0,13.0,10.0,90.0,63.0,25.0,286.0,16.0,60.0,41.0,20.0,15.0,15.0,128.0,12.0,15.0,10.0,164.0,32.0,0.0,248.0,14.0,16.0,178.0,23.0,11.0,,68.0,31.0,7.0,5.0,74.0,562.0,1.0,,2.0,78.0,19.0,1.0,2.8847,3.0,5.0,10.0,3.0,1.2145,6.0,2.0,2.0,,1.0,,,2.0,,,,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11554,Julian Speroni,Goalkeeper,C Palace,31,Argentina,2018-19,,,0.0021,0.0,,,,,,1.0,,,1.0,20.0,,32.0,,,1.0,,,90.0,,1.0,,,,,2.0,,,,3.6283,,4.0,1.0,4.0,,,,,1.0,,31.0,12.0,1.0,,,7.0,4.0,,,,1.0,0.0,9.0,,,22.0,,,,1.0,,,10.0,,45.0,,,8.0,5.0,,,,0.0,20.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,1.0,7.0,2.0,9.0,1.0,4.0,,,,,,,,,,,,,,,
66975,Luka Milivojevic,Midfielder,C Palace,31,Serbia,2018-19,177.0,8.0,3.3173,0.0,16.0,89.0,41.0,2.0,265.0,38.0,2.0,12.0,38.0,397.0,11.0,1986.0,,15.0,93.0,12.0,52.0,3420.0,39.0,193.0,9.0,,65.0,139.0,1460.0,23.0,,4.0,47.0186,57.0,11.0,66.0,53.0,1.0,138.0,528.0,37.0,370.0,33.0,655.0,194.0,38.0,21.0,8.0,827.0,44.0,133.0,1.0,277.0,54.0,0.0,1893.0,16.0,22.0,597.0,68.0,13.0,15.0,537.0,60.0,73.0,129.0,266.0,2718.0,8.0,15.0,39.0,814.0,38.0,,10.8522,10.0,132.0,108.0,25.0,14.3381,,2.0,2.0,,12.0,143.0,11.0,3.0,44.0,11.0,12.0,,94.0,,4.0,,,,,,,,,,,1.1437,1.0,11.0,16.0,16.0,10.0,1.0,,,,,,,,
221275,Luke Dreher,Midfielder,C Palace,31,England,2018-19,1.0,,0.0013,0.0,,,,,,1.0,,,,,,3.0,,,1.0,,,1.0,1.0,,,,,,3.0,,,,0.5449,,,,,,,3.0,,1.0,,,,1.0,,,3.0,,,,,,0.0,3.0,,,,,,,,,,,,3.0,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40784,Mamadou Sakho,Defender,C Palace,31,France,2018-19,56.0,,0.2549,0.0,,25.0,4.0,,99.0,27.0,,1.0,27.0,150.0,,1321.0,,,88.0,9.0,,2417.0,37.0,96.0,5.0,2.0,14.0,45.0,1112.0,11.0,,4.0,32.6203,6.0,6.0,132.0,35.0,,19.0,434.0,13.0,152.0,10.0,636.0,192.0,27.0,9.0,2.0,378.0,30.0,,,64.0,51.0,0.0,1286.0,3.0,,171.0,16.0,9.0,16.0,197.0,5.0,41.0,59.0,54.0,1632.0,6.0,,15.0,793.0,1.0,,0.4448,2.0,51.0,57.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,C Palace,31,England,2018-19,39.0,1.0,0.0848,0.0,,21.0,3.0,,39.0,13.0,,,12.0,88.0,1.0,357.0,,,61.0,3.0,1.0,1110.0,26.0,57.0,4.0,,10.0,22.0,233.0,6.0,,1.0,17.8306,1.0,10.0,85.0,21.0,,13.0,60.0,1.0,96.0,6.0,182.0,42.0,13.0,8.0,1.0,89.0,17.0,1.0,,35.0,35.0,0.0,347.0,2.0,1.0,96.0,13.0,,12.0,92.0,6.0,11.0,36.0,23.0,525.0,,,21.0,181.0,3.0,,0.4309,2.0,49.0,23.0,1.0,0.2059,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
141020,Max Meyer,Midfielder,C Palace,31,Germany,2018-19,63.0,3.0,0.9608,0.0,12.0,33.0,26.0,,95.0,29.0,2.0,16.0,15.0,107.0,4.0,663.0,1.0,5.0,20.0,1.0,4.0,1410.0,16.0,68.0,6.0,,23.0,64.0,540.0,61.0,,1.0,17.3373,20.0,3.0,18.0,24.0,7.0,47.0,149.0,18.0,131.0,6.0,192.0,89.0,29.0,15.0,8.0,352.0,18.0,20.0,7.0,111.0,4.0,0.0,659.0,18.0,9.0,192.0,18.0,13.0,,167.0,10.0,15.0,16.0,155.0,935.0,2.0,5.0,8.0,208.0,7.0,,2.0195,3.0,12.0,34.0,8.0,1.3721,14.0,4.0,4.0,1.0,1.0,19.0,3.0,,1.0,3.0,,1.0,15.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
94245,Michy Batshuayi,Forward,C Palace,31,Belgium,2018-19,58.0,,0.2562,0.0,9.0,2.0,18.0,1.0,52.0,11.0,,8.0,9.0,57.0,1.0,163.0,12.0,2.0,44.0,,,756.0,32.0,25.0,3.0,,14.0,13.0,98.0,46.0,,,8.2133,2.0,2.0,,11.0,7.0,26.0,43.0,2.0,83.0,5.0,34.0,30.0,11.0,1.0,7.0,60.0,8.0,1.0,7.0,39.0,12.0,0.0,155.0,8.0,4.0,95.0,1.0,9.0,3.0,43.0,7.0,3.0,8.0,43.0,273.0,,2.0,1.0,46.0,3.0,,3.9468,0.0,5.0,21.0,10.0,3.8601,2.0,3.0,3.0,,5.0,,2.0,5.0,,2.0,5.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
235599,Nikola Tavares,Defender,C Palace,31,Croatia,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
