playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,oboxBlocked,substituteOn,successfulCrossesAndCorners,keyPassesAttemptAssists,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,totalFoulsConceded,interceptions,backwardPasses,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,successfulLayoffs,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,oboxTarget,blocks,goals,offsides,awayGoals,shotsBlockedInBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,overruns,goalAssists,foulWonPenalty,unsuccessfulLayoffs,homeGoals,penaltiesTaken,iboxBlocked,penaltyGoals,penaltiesConceded,throwInsToOppositionPlayer,ownGoalScored,lastPlayerTackle,secondGoalAssists,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,cornersTakenInclShortCorners,headedGoals,redCards2ndYellow,setPiecesGoals,otherGoals
450553,Alex Kirk,Defender,Arsenal,3,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198869,Ben White,Defender,Arsenal,3,England,2021-22,97.0,0.9167,58.0,0.0,,44.0,,160.0,32.0,25.0,32.0,279.0,1810.0,,,102.0,13.0,,2880.0,40.0,141.0,5.0,30.0,79.0,1441.0,,4.0,36.1613,5.0,101.0,35.0,57.0,390.0,,27.0,0.0,238.0,,672.0,158.0,32.0,,,21.0,486.0,30.0,136.0,62.0,0.0,,1770.0,6.0,327.0,23.0,10.0,,,640.0,90.0,2201.0,23.0,44.0,1045.0,,3.0,119.0,95.0,,4.0,8.0,5.0,,2.0,,,13.0,18.0,10.0,,21.0,4.0,19.0,42.0,108.0,,2.0,13.0,1.106,4.0,0.508,1.0,1.0,3.0,3.0,19.0,1.0,24.0,,,,2.0,,,,,3.0,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
58822,Cédric Soares,Defender,Arsenal,3,Portugal,2021-22,66.0,1.2741,29.0,0.0,,38.0,,97.0,21.0,17.0,16.0,144.0,874.0,,,39.0,3.0,,1485.0,27.0,64.0,3.0,32.0,52.0,698.0,,2.0,25.4877,4.0,30.0,27.0,39.0,70.0,,6.0,0.0,130.0,,312.0,79.0,21.0,,,12.0,407.0,24.0,91.0,12.0,0.0,,848.0,15.0,269.0,26.0,8.0,,,342.0,32.0,1295.0,122.0,28.0,344.0,,3.0,47.0,48.0,18.0,6.0,6.0,1.0,51.0,4.0,5.0,21.0,17.0,11.0,4.0,79.0,15.0,5.0,15.0,16.0,150.0,4.0,4.0,6.0,0.5957,1.0,0.0951,1.0,,,,13.0,,7.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0992,,1.0,,,1.0,,2.0,,1.0,11.0,,,,3.0,,22.0,,,31.0,,,,
226597,Gabriel Magalhães,Defender,Arsenal,3,Brazil,2021-22,78.0,0.5728,44.0,1.0,,50.0,,102.0,35.0,23.0,35.0,214.0,2038.0,32.0,,94.0,12.0,,3068.0,39.0,147.0,5.0,19.0,92.0,1736.0,,5.0,36.3993,6.0,109.0,37.0,39.0,870.0,,38.0,3.0,225.0,,644.0,178.0,35.0,,,20.0,573.0,32.0,131.0,55.0,0.0,32.0,1967.0,1.0,244.0,30.0,4.0,,,417.0,88.0,2397.0,4.0,49.0,1251.0,,6.0,112.0,81.0,,4.0,25.0,3.0,1.0,,,,9.0,8.0,,1.0,5.0,13.0,23.0,13.0,107.0,3.0,,13.0,3.1832,12.0,1.7629,,,7.0,7.0,47.0,,26.0,5.0,1.0,3.0,4.0,1.0,,,,,,,,2.0,,4.0,,,,,3.0,,,1.0,,,,,3.0,1.0,,
98745,Héctor Bellerín,Defender,Arsenal,3,Spain,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192895,Kieran Tierney,Defender,Arsenal,3,Scotland,2021-22,50.0,1.6954,41.0,0.0,,18.0,,88.0,22.0,23.0,22.0,158.0,904.0,,,35.0,9.0,,1918.0,23.0,55.0,1.0,40.0,43.0,702.0,,2.0,22.568,6.0,49.0,21.0,27.0,327.0,,16.0,0.0,105.0,,322.0,85.0,22.0,,,4.0,452.0,20.0,70.0,12.0,0.0,,896.0,17.0,309.0,14.0,9.0,,,49.0,44.0,1388.0,138.0,35.0,310.0,,0.0,70.0,40.0,16.0,5.0,10.0,,63.0,1.0,,16.0,17.0,18.0,14.0,63.0,22.0,5.0,5.0,15.0,206.0,4.0,1.0,3.0,0.5908,5.0,0.547,,3.0,1.0,1.0,35.0,3.0,5.0,1.0,1.0,1.0,4.0,,,,,4.0,3.0,,,0.0,,4.0,,,37.0,,,,,1.0,,2.0,1.0,1.0,,,,
449444,Mazeed Ogungbo,Defender,Arsenal,3,Ireland,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437626,Nuno Tavares,Defender,Arsenal,3,Portugal,2021-22,84.0,1.0218,28.0,0.0,,21.0,,81.0,22.0,10.0,13.0,105.0,586.0,,,46.0,3.0,,1170.0,22.0,75.0,4.0,36.0,51.0,468.0,,1.0,18.2823,2.0,30.0,19.0,62.0,240.0,,13.0,0.0,159.0,,180.0,68.0,22.0,,,7.0,280.0,15.0,113.0,24.0,0.0,,573.0,12.0,214.0,14.0,18.0,,,30.0,13.0,954.0,91.0,18.0,210.0,,2.0,24.0,48.0,9.0,4.0,19.0,,31.0,,9.0,9.0,9.0,10.0,18.0,31.0,31.0,17.0,23.0,9.0,136.0,3.0,,11.0,1.8944,2.0,1.0326,2.0,1.0,,,45.0,1.0,5.0,1.0,1.0,0.0,4.0,1.0,,,,5.0,1.0,,,1.0,,4.0,,1.0,9.0,,,,,,,,2.0,,,,,
92371,Pablo Marí,Defender,Arsenal,3,Spain,2021-22,7.0,0.3385,6.0,0.0,,5.0,,6.0,2.0,3.0,2.0,13.0,92.0,,,8.0,,,180.0,3.0,11.0,,1.0,6.0,75.0,,,3.5049,1.0,10.0,4.0,4.0,30.0,,1.0,0.0,18.0,,30.0,10.0,2.0,,,2.0,36.0,4.0,10.0,5.0,0.0,,91.0,,15.0,3.0,,,,24.0,4.0,122.0,,4.0,43.0,,1.0,7.0,6.0,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,3.0,8.0,,,1.0,0.0724,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156074,Rob Holding,Defender,Arsenal,3,England,2021-22,35.0,0.0496,18.0,1.0,,13.0,,33.0,15.0,5.0,9.0,63.0,476.0,1.0,,51.0,2.0,,840.0,22.0,44.0,2.0,8.0,15.0,397.0,,1.0,14.366,2.0,42.0,14.0,13.0,125.0,,3.0,0.0,79.0,,157.0,49.0,15.0,,,4.0,117.0,12.0,28.0,29.0,0.0,1.0,468.0,,71.0,9.0,,,,168.0,16.0,596.0,7.0,9.0,296.0,,2.0,30.0,21.0,,1.0,3.0,,,,6.0,,,5.0,1.0,,4.0,2.0,9.0,10.0,26.0,,,3.0,0.3722,1.0,0.5651,,,,,7.0,,18.0,1.0,,1.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,
