playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,awayGoals,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulLayoffs,offsides,substituteOn,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,iboxBlocked,goals,headedGoals,penaltiesConceded,rightFootGoals,clearancesOffTheLine,goalKicks,ownGoalScored,redCards2ndYellow,gkUnsuccessfulDistribution,savesMadeFromOutsideBox,punches,savesMade,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,leftFootGoals,otherGoals,handballsConceded,foulWonPenalty,penaltiesSaved,catches,savesMadeCaught,penaltiesFaced,savesFromPenalty,goalkeeperSmother,drops
55459,Aaron Cresswell,Defender,West Ham,21,England,2020-21,71.0,20.0,4.962,67.0,0.0,0.6855,3.0,4.0,5.0,0.9272,32.0,16.0,2.0,182.0,36.0,8.0,38.0,36.0,349.0,76.0,1652.0,0.0,3.0,87.0,64.0,11.0,4.0,59.0,3172.0,29.0,89.0,7.0,59.0,54.0,1184.0,30.0,14.0,35.0,3.0,39.0439,50.0,18.0,73.0,41.0,42.0,443.0,18.0,0.0,160.0,15.0,0.0,890.0,195.0,36.0,4.0,19.0,6.0,717.0,34.0,148.0,15.0,11.0,96.0,35.0,0.0,1575.0,12.0,16.0,588.0,13.0,4.0,14.0,11.0,97.0,13.0,32.0,54.0,119.0,222.0,2423.0,224.0,2.0,2.0,3.0,54.0,645.0,7.0,0.995,3.0,167.0,112.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40669,Angelo Ogbonna,Defender,West Ham,21,Italy,2020-21,87.0,1.0,0.6342,76.0,0.0,,2.0,4.0,,1.246,26.0,11.0,,102.0,28.0,,39.0,28.0,190.0,2.0,1018.0,2.0,,,110.0,8.0,,1.0,2493.0,47.0,101.0,7.0,20.0,38.0,778.0,,34.0,,2.0,31.2461,4.0,14.0,116.0,34.0,40.0,290.0,9.0,2.0,188.0,14.0,1.0,340.0,125.0,28.0,,13.0,1.0,213.0,27.0,2.0,6.0,,78.0,63.0,0.0,1006.0,7.0,2.0,202.0,13.0,3.0,11.0,,319.0,28.0,30.0,,50.0,69.0,1296.0,1.0,1.0,2.0,,44.0,616.0,17.0,1.6998,5.0,88.0,75.0,,,1.0,,1.0,1.0,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105717,Arthur Masuaku,Defender,West Ham,21,DR Congo,2020-21,77.0,12.0,1.7195,26.0,0.0,,1.0,2.0,4.0,0.3097,20.0,5.0,,63.0,12.0,2.0,14.0,12.0,80.0,29.0,476.0,0.0,,,23.0,4.0,1.0,12.0,1008.0,14.0,65.0,4.0,33.0,56.0,385.0,,11.0,11.0,1.0,14.4196,9.0,2.0,17.0,15.0,63.0,180.0,8.0,0.0,142.0,12.0,0.0,144.0,62.0,12.0,1.0,8.0,15.0,219.0,11.0,29.0,30.0,,119.0,9.0,0.0,476.0,3.0,10.0,172.0,12.0,29.0,,,40.0,10.0,8.0,,11.0,112.0,753.0,35.0,5.0,,,7.0,189.0,7.0,0.4712,2.0,17.0,26.0,,6.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
222018,Ben Johnson,Defender,West Ham,21,England,2020-21,23.0,3.0,0.3861,19.0,0.0,,1.0,1.0,2.0,0.8874,11.0,2.0,,35.0,14.0,,10.0,5.0,51.0,16.0,184.0,0.0,1.0,,14.0,,,3.0,517.0,8.0,24.0,,13.0,18.0,125.0,,2.0,3.0,,6.8793,4.0,,6.0,10.0,15.0,48.0,3.0,0.0,47.0,4.0,1.0,84.0,29.0,14.0,,6.0,2.0,82.0,10.0,16.0,8.0,,33.0,6.0,0.0,184.0,1.0,3.0,84.0,5.0,4.0,1.0,,11.0,6.0,11.0,,8.0,41.0,291.0,21.0,4.0,,1.0,9.0,54.0,4.0,0.419,1.0,16.0,19.0,,,,9.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
60232,Craig Dawson,Defender,West Ham,21,England,2020-21,46.0,,0.1484,41.0,1.0,,1.0,5.0,,1.0228,11.0,15.0,,61.0,22.0,,27.0,22.0,155.0,,764.0,1.0,,,83.0,7.0,,,1926.0,26.0,79.0,5.0,10.0,22.0,550.0,,21.0,,1.0,17.7175,2.0,4.0,87.0,23.0,20.0,213.0,12.0,1.0,125.0,4.0,2.0,304.0,92.0,22.0,,3.0,,174.0,18.0,,,,42.0,57.0,0.0,741.0,10.0,1.0,161.0,8.0,,22.0,,211.0,14.0,32.0,,59.0,36.0,980.0,2.0,,1.0,,38.0,435.0,11.0,1.8554,3.0,94.0,44.0,,,2.0,,2.0,2.0,,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
166640,Fabián Balbuena,Defender,West Ham,21,Paraguay,2020-21,39.0,,0.0553,38.0,1.0,,1.0,2.0,1.0,0.5804,24.0,7.0,1.0,54.0,14.0,,18.0,13.0,120.0,3.0,482.0,1.0,,,38.0,4.0,,,1198.0,17.0,49.0,4.0,21.0,28.0,319.0,,10.0,,2.0,20.9994,,11.0,62.0,19.0,22.0,72.0,3.0,0.0,88.0,17.0,0.0,247.0,73.0,14.0,,12.0,1.0,126.0,15.0,3.0,1.0,,50.0,21.0,1.0,460.0,5.0,1.0,131.0,12.0,1.0,6.0,,133.0,12.0,25.0,,43.0,30.0,651.0,,,1.0,,25.0,236.0,9.0,0.6508,1.0,66.0,33.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
486870,Frederik Alves,Defender,West Ham,21,Denmark,2020-21,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219924,Issa Diop,Defender,West Ham,21,Morocco,2020-21,41.0,,0.0588,31.0,0.0,,,2.0,,1.2096,20.0,3.0,,66.0,18.0,,15.0,15.0,104.0,,583.0,1.0,,,42.0,2.0,,,1379.0,18.0,55.0,1.0,15.0,31.0,461.0,,8.0,,1.0,18.5796,1.0,1.0,58.0,22.0,23.0,132.0,8.0,0.0,96.0,10.0,1.0,231.0,58.0,18.0,,6.0,2.0,148.0,21.0,,4.0,,54.0,24.0,0.0,572.0,1.0,,115.0,14.0,3.0,22.0,,180.0,8.0,22.0,,18.0,40.0,755.0,1.0,,,,17.0,331.0,4.0,0.4659,3.0,38.0,52.0,1.0,,1.0,3.0,,,,,,2.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
81012,Ryan Fredericks,Defender,West Ham,21,England,2020-21,35.0,6.0,0.5826,24.0,0.0,,2.0,2.0,1.0,0.3341,9.0,2.0,1.0,39.0,14.0,1.0,12.0,6.0,52.0,17.0,226.0,0.0,1.0,,22.0,1.0,,6.0,567.0,14.0,28.0,,14.0,20.0,172.0,,13.0,8.0,,6.8264,11.0,1.0,19.0,9.0,21.0,31.0,10.0,0.0,63.0,4.0,1.0,82.0,30.0,14.0,,4.0,4.0,113.0,9.0,17.0,7.0,,41.0,8.0,0.0,223.0,,4.0,88.0,5.0,3.0,2.0,,67.0,11.0,11.0,,2.0,46.0,373.0,25.0,3.0,,1.0,8.0,67.0,8.0,0.2629,2.0,13.0,19.0,,2.0,1.0,8.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
164555,Vladimír Coufal,Defender,West Ham,21,Czech Republic,2020-21,131.0,29.0,3.9499,64.0,0.0,,3.0,5.0,1.0,1.0956,73.0,12.0,,263.0,34.0,7.0,34.0,34.0,368.0,94.0,1279.0,0.0,1.0,,95.0,9.0,1.0,34.0,3055.0,42.0,172.0,8.0,107.0,119.0,876.0,,43.0,78.0,3.0,39.696,38.0,11.0,90.0,43.0,89.0,51.0,34.0,0.0,303.0,34.0,0.0,682.0,169.0,34.0,1.0,37.0,9.0,551.0,35.0,98.0,25.0,,208.0,53.0,0.0,1261.0,7.0,23.0,613.0,36.0,15.0,7.0,,335.0,29.0,41.0,,35.0,211.0,2190.0,251.0,1.0,2.0,1.0,52.0,394.0,18.0,1.2665,3.0,105.0,131.0,2.0,4.0,,,4.0,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
