playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,throwInsToOppositionPlayer,shotsBlockedInBox,homeGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,tacklesWon,blocks,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,secondGoalAssists,overruns,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,substituteOff,handballsConceded,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,rightFootGoals,foulWonPenalty,penaltiesTaken,otherGoals,penaltyGoals,setPiecesGoals
444102,Evanilson,Forward,Bournemouth,91,Brazil,2024-25,133.0,1.7825,1.0,,16.0,,57.0,91.0,31.0,28.0,97.0,341.0,,,105.0,2.0,,2335.0,63.0,118.0,2.0,,20.0,76.0,236.0,134.0,,,30.9127,25.0,,21.0,29.0,70.0,63.0,,53.0,2.0,251.0,9.0,,58.0,67.0,31.0,,6.0,,184.0,27.0,146.0,42.0,1.0,,337.0,25.0,20.0,172.0,7.0,,,95.0,37.0,8.0,630.0,2.0,60.0,13.0,,12.4895,1.0,6.0,17.0,,16.0,32.0,11.4253,4.0,1.0,23.0,,10.0,20.0,7.0,3.0,3.0,,19.0,19.0,,13.0,3.0,8.0,1.0,,32.0,13.0,10.0,2.0,1.0,,125.0,,2.0,3.0,,2.0,,,4.0,,3.0,8.0,3.0,20.0,2.0,,,,6.0,5.0,1.0,1.0,,
533463,Dango Ouattara,Forward,Brentford,94,Burkina Faso,2024-25,168.0,3.2854,0.0,,35.0,,48.0,141.0,32.0,21.0,169.0,495.0,,,110.0,2.0,,2006.0,64.0,138.0,1.0,,48.0,92.0,317.0,140.0,,4.0,32.3893,31.0,2.0,48.0,23.0,104.0,159.0,,19.0,2.0,306.0,26.0,,142.0,92.0,32.0,,9.0,,248.0,22.0,196.0,46.0,0.0,,492.0,28.0,24.0,386.0,39.0,,,78.0,16.0,9.0,1051.0,14.0,95.0,5.0,,8.3646,3.0,28.0,40.0,17.0,14.0,20.0,6.9579,5.0,4.0,16.0,70.0,7.0,14.0,3.0,8.0,11.0,17.0,11.0,11.0,2.0,6.0,4.0,34.0,2.0,71.0,66.0,6.0,26.0,10.0,11.0,,116.0,24.0,3.0,8.0,,3.0,1.0,,12.0,3.0,2.0,3.0,2.0,14.0,1.0,1.0,1.0,0.0369,2.0,,,,,
224995,Luis Sinisterra,Forward,Bournemouth,91,Colombia,2024-25,28.0,1.3098,0.0,,7.0,,9.0,14.0,12.0,1.0,14.0,85.0,,,10.0,,,230.0,7.0,20.0,,,7.0,17.0,68.0,26.0,,,6.8087,8.0,,7.0,4.0,21.0,35.0,,2.0,1.0,48.0,3.0,,17.0,17.0,12.0,,5.0,,61.0,4.0,38.0,3.0,0.0,,85.0,3.0,7.0,41.0,8.0,,,12.0,4.0,3.0,167.0,,12.0,2.0,,1.2088,0.0,,2.0,2.0,4.0,6.0,0.7438,,1.0,5.0,5.0,1.0,1.0,1.0,2.0,11.0,2.0,5.0,5.0,,2.0,0.0,10.0,1.0,5.0,13.0,2.0,2.0,,1.0,,21.0,,1.0,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,
222683,Justin Kluivert,Forward,Bournemouth,91,Netherlands,2024-25,158.0,3.7304,0.0,,23.0,,52.0,114.0,34.0,29.0,129.0,680.0,,,36.0,1.0,,2356.0,28.0,100.0,3.0,,42.0,92.0,528.0,154.0,,3.0,33.2879,39.0,1.0,23.0,29.0,130.0,183.0,,33.0,3.0,258.0,24.0,,185.0,78.0,34.0,,12.0,,452.0,26.0,222.0,8.0,0.0,,630.0,23.0,24.0,328.0,36.0,,,133.0,47.0,23.0,1177.0,3.0,120.0,21.0,,10.107,8.0,15.0,21.0,12.0,11.0,29.0,12.3499,5.0,6.0,26.0,41.0,12.0,5.0,10.0,4.0,5.0,21.0,13.0,13.0,,7.0,2.0,40.0,,64.0,67.0,7.0,11.0,,14.0,,179.0,10.0,2.0,4.0,9.0,1.0,21.0,1.0,6.0,35.0,4.0,2.0,4.0,24.0,2.0,,,,11.0,1.0,6.0,,6.0,
523700,Daniel Jebbison,Forward,Bournemouth,91,Canada,2024-25,22.0,0.1376,0.0,,5.0,,5.0,5.0,16.0,,6.0,39.0,,,13.0,,,105.0,10.0,15.0,1.0,,2.0,12.0,32.0,14.0,,,3.2216,3.0,,1.0,2.0,12.0,9.0,,4.0,0.0,37.0,1.0,,4.0,10.0,16.0,,2.0,,28.0,1.0,24.0,3.0,0.0,,39.0,3.0,1.0,32.0,4.0,,,9.0,2.0,1.0,92.0,1.0,5.0,1.0,,0.993,1.0,1.0,2.0,,,2.0,0.5748,,,3.0,3.0,1.0,,1.0,,16.0,,1.0,1.0,,,0.0,3.0,,3.0,8.0,,3.0,1.0,1.0,,17.0,,,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,
437730,Antoine Semenyo,Forward,Manchester City,43,Ghana,2024-25,309.0,4.3468,0.0,,55.0,,81.0,182.0,37.0,36.0,217.0,997.0,,,144.0,6.0,,3209.0,77.0,227.0,3.0,,98.0,160.0,760.0,211.0,,3.0,50.0951,41.0,3.0,34.0,41.0,232.0,210.0,,37.0,2.0,536.0,58.0,,247.0,158.0,37.0,,20.0,,606.0,38.0,392.0,67.0,0.0,,991.0,40.0,42.0,525.0,69.0,,,221.0,73.0,20.0,1849.0,27.0,182.0,37.0,,9.9787,9.0,35.0,41.0,8.0,44.0,41.0,11.7452,9.0,5.0,43.0,50.0,11.0,15.0,4.0,15.0,1.0,8.0,22.0,22.0,20.0,29.0,7.0,57.0,,51.0,134.0,29.0,35.0,9.0,11.0,,319.0,33.0,5.0,15.0,,5.0,1.0,,9.0,3.0,8.0,2.0,8.0,8.0,,,,,6.0,1.0,,,,
168636,Enes Ünal,Forward,Bournemouth,91,Turkey,2024-25,54.0,0.263,0.0,,1.0,,16.0,30.0,17.0,2.0,31.0,94.0,,,47.0,,,331.0,23.0,35.0,,,7.0,11.0,63.0,28.0,,1.0,6.7893,3.0,,6.0,3.0,31.0,16.0,,9.0,0.0,89.0,1.0,,36.0,16.0,17.0,,1.0,,48.0,3.0,42.0,24.0,0.0,,92.0,9.0,2.0,76.0,1.0,,,14.0,6.0,,193.0,,15.0,2.0,,2.7352,2.0,1.0,6.0,,4.0,7.0,1.8202,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,15.0,,4.0,4.0,,1.0,1.0,10.0,1.0,4.0,23.0,1.0,,,,,28.0,,,3.0,,,,,,,1.0,2.0,1.0,2.0,,3.0,3.0,0.1606,1.0,,,,,1.0
444180,Jaidon Anthony,Forward,Burnley,90,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530121,Zain Silcott-Duberry,Forward,Bournemouth,91,England,2024-25,1.0,,0.0,,1.0,,,1.0,1.0,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,0.0,2.0,,,1.0,,1.0,,,,,,1.0,,0.0,,2.0,,,1.0,,,,1.0,,,3.0,,1.0,,,,0.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
590760,Daniel Adu-Adjei,Forward,Bournemouth,91,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
