season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,errorLeadToAGoal,fouls,goalAssist,goals,goodHighClaim,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,possessionLostCtrl,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,wasFouled,wonContest,wonTackle
2009-10,1062559,10,14,Liverpool,Home,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,80.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062559,10,14,Liverpool,Home,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062559,10,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,True,,,,,,,,,,,,,,,,,0.0,1.0,,,,10.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062559,10,14,Liverpool,Home,1422690,,Andrey Voronin,andrey-voronin,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,1062569,11,14,Liverpool,Away,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,27.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062569,11,14,Liverpool,Away,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,63.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062569,11,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,78.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062569,11,14,Liverpool,Away,40676,59948,Nathan Eccleston,nathan-eccleston,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,12.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062569,11,14,Liverpool,Away,1422690,,Andrey Voronin,andrey-voronin,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062578,12,14,Liverpool,Home,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,13.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062578,12,14,Liverpool,Home,9737,13594,Yossi Benayoun,yossi-benayoun,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,77.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062578,12,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062589,13,14,Liverpool,Home,1876,19520,Ryan Babel,ryan-babel,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,18.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062589,13,14,Liverpool,Home,9737,13594,Yossi Benayoun,yossi-benayoun,F,True,,,,,,,,,,,,,,,,,0.0,1.0,,,,67.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
