matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard
284006,1.0,2009-08-15 15:00:00,54,Fulham,Away,112.0,14.0,,2.0,2.0,6.0,,142.0,9.0,2.0,6.0,5.0,9.0,19.0,252.0,,,20.0,10.0,13.0,7.0,3.0,,,,,,,,,,1.0,,,,,,,4.0,10.0,7.0,,,,52.0,9.0,3.0,4.0,,4.0,1.0,5.0,,20.0,1.0,58.0,44.0,9.0,18.0,10.0,,,66.0,18.0,10.0,1.0,,,,,1.0,,,,1.0,17.0,,,,3.0,,,,,19.0,,15.0,15.0,2.0,6.0,83.0,42.0,6.0,,6.0,5.0,2.0,,,,4.0,,45.0,46.0,22.0,,,,,150.0,139.0,2.0,21.0,21.0,44.9,,,1.0,0.0,,,,2.0,,,,,8.0,,2.0,66.0,,11.0,127.0,30.0,29.0,9.0,4.0,12.0,8.0,,112.0,15.0,223.0,3.0,2.0,22.0,12.0,43.0,4.0,338.0,,0.0,13.0,18.0,6.0,25.0,2.0,584.0,,3.0,4.0,15.0,0.0
284013,2.0,2009-11-25 20:00:00,54,Fulham,Home,137.0,10.0,1.0,7.0,6.0,6.0,,121.0,6.0,,6.0,10.0,22.0,31.0,251.0,,2.0,18.0,27.0,13.0,6.0,3.0,,1.0,,,,,,,,,,,,,,,2.0,12.0,1.0,,,,37.0,3.0,4.0,4.0,,3.0,7.0,6.0,,8.0,1.0,51.0,42.0,3.0,24.0,13.0,,,75.0,9.0,12.0,1.0,,,,,2.0,,2.0,2.0,,11.0,,,,4.0,,,,2.0,26.0,,18.0,18.0,,6.0,98.0,43.0,3.0,2.0,5.0,6.0,4.0,,,,2.0,,45.0,44.0,22.0,,,,,183.0,160.0,1.0,11.0,12.0,46.3,,,,0.0,,,,2.0,1.0,,4.0,1.0,5.0,,3.0,54.0,,11.0,172.0,23.0,47.0,6.0,2.0,20.0,18.0,,106.0,12.0,219.0,4.0,,34.0,27.0,61.0,1.0,371.0,,0.0,13.0,16.0,5.0,26.0,0.0,604.0,,1.0,3.0,9.0,0.0
284023,3.0,2009-08-23 16:00:00,54,Fulham,Home,146.0,16.0,,2.0,2.0,5.0,,122.0,7.0,2.0,8.0,15.0,13.0,25.0,266.0,,1.0,16.0,14.0,15.0,4.0,,,,,,,,,,,,,,,,,,1.0,7.0,9.0,,,,53.0,,1.0,12.0,,4.0,11.0,6.0,,11.0,1.0,52.0,44.0,,13.0,4.0,,,73.0,11.0,9.0,,,,,,,,,,,10.0,,,,1.0,,,,,17.0,,33.0,33.0,3.0,8.0,87.0,46.0,7.0,,3.0,1.0,1.0,,,,4.0,,50.0,60.0,17.0,,,,,160.0,140.0,2.0,22.0,14.0,39.7,,,1.0,0.0,,,,2.0,,,1.0,,4.0,,3.0,50.0,,4.0,160.0,33.0,33.0,9.0,4.0,21.0,17.0,,110.0,21.0,223.0,1.0,2.0,35.0,19.0,52.0,2.0,362.0,,0.0,6.0,15.0,2.0,21.0,0.0,601.0,,5.0,4.0,12.0,0.0
284030,4.0,2009-08-30 16:00:00,54,Fulham,Away,199.0,14.0,2.0,5.0,3.0,4.0,2.0,237.0,3.0,1.0,6.0,5.0,30.0,23.0,431.0,,,20.0,8.0,13.0,1.0,4.0,,,,1.0,,,2.0,1.0,,,,1.0,,,,,3.0,6.0,5.0,,,,54.0,3.0,3.0,4.0,,4.0,4.0,3.0,,17.0,,45.0,43.0,3.0,17.0,13.0,,,89.0,9.0,12.0,,,5.0,3.0,2.0,,,,,,7.0,,,,3.0,,,,,19.0,,20.0,20.0,,7.0,82.0,45.0,9.0,,4.0,1.0,,,,,3.0,1.0,55.0,39.0,21.0,,,,,148.0,138.0,2.0,24.0,18.0,55.9,,,1.0,0.0,,,,1.0,,,2.0,,5.0,,1.0,94.0,,5.0,218.0,34.0,27.0,8.0,4.0,14.0,10.0,,152.0,10.0,326.0,4.0,1.0,22.0,31.0,45.0,1.0,530.0,,0.0,8.0,17.0,2.0,20.0,2.0,710.0,,1.0,4.0,14.0,0.0
284042,5.0,2009-09-13 16:15:00,54,Fulham,Home,115.0,14.0,1.0,7.0,6.0,5.0,,156.0,4.0,,2.0,13.0,15.0,22.0,264.0,1.0,3.0,17.0,14.0,10.0,10.0,1.0,,,,,,,2.0,,1.0,,,,,,,,1.0,8.0,5.0,,,,56.0,4.0,4.0,4.0,1.0,5.0,13.0,9.0,1.0,19.0,2.0,50.0,41.0,4.0,22.0,14.0,,,84.0,7.0,13.0,,1.0,,,2.0,1.0,,,1.0,,9.0,,,,1.0,,,,,27.0,,23.0,23.0,1.0,3.0,98.0,40.0,4.0,1.0,6.0,6.0,8.0,,,,9.0,,69.0,47.0,20.0,,,,,190.0,170.0,4.0,25.0,19.0,51.9,,,1.0,0.0,,,,2.0,1.0,,1.0,,7.0,1.0,2.0,84.0,,12.0,137.0,27.0,42.0,9.0,4.0,27.0,23.0,,150.0,17.0,267.0,1.0,,45.0,17.0,64.0,,377.0,1.0,0.0,19.0,15.0,5.0,22.0,1.0,657.0,,3.0,6.0,12.0,0.0
284059,6.0,2009-09-20 14:00:00,54,Fulham,Away,173.0,20.0,,3.0,3.0,5.0,,146.0,2.0,,8.0,12.0,23.0,28.0,316.0,1.0,,27.0,16.0,21.0,3.0,,,,,,,,,,,,,,1.0,,,,1.0,8.0,5.0,,,,56.0,1.0,3.0,3.0,,3.0,13.0,5.0,,5.0,,37.0,55.0,1.0,25.0,16.0,,1.0,75.0,11.0,15.0,,,,,,,,,,,10.0,,,,4.0,,,,1.0,37.0,,20.0,20.0,,8.0,113.0,48.0,3.0,1.0,1.0,2.0,4.0,,,,2.0,,21.0,69.0,22.0,,,,1.0,205.0,171.0,2.0,31.0,11.0,55.5,,,,0.0,,,,,1.0,,,,1.0,2.0,3.0,54.0,,3.0,201.0,41.0,59.0,6.0,2.0,24.0,22.0,,117.0,15.0,269.0,4.0,,45.0,26.0,70.0,4.0,446.0,1.0,0.0,8.0,16.0,3.0,27.0,1.0,706.0,,3.0,3.0,13.0,0.0
284062,7.0,2009-09-26 17:30:00,54,Fulham,Home,142.0,13.0,1.0,6.0,5.0,8.0,,142.0,9.0,2.0,5.0,13.0,10.0,21.0,278.0,,,31.0,24.0,18.0,12.0,2.0,,,,,,,,,1.0,,,,,,,,3.0,11.0,5.0,,,,60.0,2.0,4.0,11.0,,3.0,15.0,5.0,,14.0,2.0,69.0,67.0,2.0,19.0,8.0,,,83.0,15.0,10.0,,1.0,,,,,,,,,14.0,,,,3.0,,,,1.0,21.0,1.0,24.0,23.0,3.0,5.0,99.0,42.0,6.0,,5.0,9.0,8.0,,,,2.0,,41.0,74.0,24.0,,,,,209.0,192.0,5.0,23.0,24.0,49.1,,,3.0,0.0,,,,2.0,1.0,,3.0,,8.0,,2.0,71.0,,14.0,163.0,40.0,36.0,17.0,3.0,25.0,22.0,,153.0,24.0,279.0,3.0,2.0,32.0,13.0,45.0,4.0,417.0,,0.0,20.0,28.0,2.0,35.0,4.0,714.0,,11.0,4.0,19.0,0.0
284078,8.0,2009-10-04 15:00:00,54,Fulham,Away,123.0,9.0,1.0,2.0,1.0,3.0,,118.0,7.0,,5.0,9.0,21.0,14.0,239.0,,1.0,16.0,15.0,20.0,4.0,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,15.0,14.0,,,,52.0,6.0,1.0,15.0,,4.0,1.0,2.0,,11.0,2.0,63.0,57.0,6.0,25.0,13.0,,,59.0,15.0,14.0,,,,,1.0,1.0,1.0,1.0,,1.0,14.0,,,,4.0,,,,1.0,22.0,,15.0,14.0,2.0,5.0,89.0,44.0,8.0,2.0,2.0,4.0,6.0,,,,9.0,,44.0,21.0,10.0,,,,1.0,139.0,112.0,1.0,18.0,22.0,35.2,,,1.0,0.0,,,,3.0,2.0,5.0,,1.0,4.0,,3.0,43.0,,6.0,136.0,23.0,52.0,19.0,3.0,6.0,3.0,,90.0,11.0,187.0,4.0,,30.0,21.0,49.0,1.0,317.0,,1.0,11.0,13.0,4.0,18.0,2.0,569.0,,10.0,4.0,10.0,0.0
284084,9.0,2009-10-19 20:00:00,54,Fulham,Home,204.0,16.0,2.0,6.0,4.0,3.0,,219.0,9.0,,3.0,6.0,25.0,24.0,417.0,,1.0,20.0,23.0,14.0,12.0,1.0,,2.0,,,,,,,,,,,,,,,1.0,2.0,6.0,,,,50.0,2.0,5.0,4.0,,7.0,12.0,9.0,,8.0,,53.0,47.0,2.0,19.0,14.0,,,89.0,15.0,15.0,2.0,,,,,1.0,,,1.0,,11.0,,,,2.0,,,,2.0,29.0,,13.0,13.0,1.0,3.0,98.0,53.0,4.0,,7.0,7.0,8.0,,,,4.0,,50.0,65.0,30.0,,,,,167.0,146.0,3.0,24.0,18.0,59.5,,,,0.0,,,,,,,1.0,2.0,7.0,,3.0,102.0,,14.0,220.0,32.0,40.0,7.0,5.0,28.0,23.0,,165.0,9.0,328.0,2.0,,30.0,25.0,53.0,5.0,520.0,3.0,0.0,20.0,16.0,1.0,21.0,1.0,765.0,,2.0,7.0,10.0,0.0
284096,10.0,2009-10-25 15:00:00,54,Fulham,Away,144.0,14.0,2.0,5.0,3.0,4.0,,139.0,4.0,,2.0,6.0,18.0,14.0,278.0,1.0,2.0,12.0,15.0,12.0,7.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,1.0,14.0,10.0,,,,49.0,11.0,1.0,6.0,,2.0,5.0,1.0,,12.0,3.0,47.0,49.0,11.0,17.0,9.0,,,51.0,13.0,12.0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,17.0,,,,3.0,,,,1.0,24.0,,24.0,24.0,2.0,2.0,100.0,46.0,14.0,2.0,5.0,5.0,5.0,,,,5.0,,31.0,42.0,10.0,,,,,149.0,128.0,,16.0,20.0,42.7,,,1.0,0.0,,,,3.0,1.0,,1.0,2.0,7.0,,1.0,50.0,,10.0,168.0,29.0,38.0,7.0,2.0,10.0,8.0,,84.0,6.0,210.0,3.0,,27.0,19.0,39.0,3.0,368.0,1.0,0.0,13.0,20.0,4.0,15.0,2.0,621.0,,5.0,2.0,19.0,0.0
