matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694910,1,2013-08-17 15:00:00,97,Cardiff,Away,142.0,8.0,1.0,3.0,2.0,,,149.0,6.0,1.0,6.0,4.0,3.0,20.0,288.0,,,20.0,29.0,23.0,9.0,,1.0,2.0,,2.0,,,9.0,,,,1.0,1.0,10.0,8.0,,,55.0,34.0,1.0,1.0,,,11.0,4.0,12.0,,,3.0,7.0,3.0,,7.0,1.0,57.0,48.0,,29.0,16.0,,,58.0,7.0,10.0,,,5.0,3.0,2.0,154.0,,,,,,15.0,,2.0,,16.0,,5.0,5.0,1.0,6.0,86.0,80.0,32.0,4.0,,5.0,4.0,1.0,370.0,5.0,1.0,44.0,47.0,18.0,,,,,149.0,149.0,1.0,13.0,11.0,56.4,,,11.0,0.0,90.0,1.0,1.0,2.0,,1.0,7.0,,3.0,47.0,280.0,3.0,9.0,173.0,28.0,29.0,8.0,3.0,16.0,13.0,1.0,85.0,6.0,228.0,2.0,1.0,25.0,3.0,62.0,,385.0,,0.0,12.0,11.0,,28.0,1.0,561.0,,10.0,4.0,3.0,7.0,0.0
694912,2,2013-08-25 16:00:00,97,Cardiff,Home,97.0,4.0,2.0,4.0,2.0,,,98.0,4.0,,2.0,5.0,2.0,16.0,191.0,,1.0,10.0,21.0,11.0,3.0,,,1.0,,1.0,,2.0,6.0,,,,,1.0,12.0,4.0,,,42.0,34.0,2.0,2.0,2.0,3.0,13.0,1.0,3.0,,1.0,3.0,5.0,1.0,,11.0,,38.0,42.0,3.0,35.0,22.0,,,44.0,2.0,9.0,2.0,,2.0,1.0,1.0,113.0,2.0,2.0,2.0,,2.0,14.0,1.0,2.0,,22.0,,15.0,15.0,4.0,3.0,48.0,70.0,21.0,8.0,1.0,1.0,4.0,6.0,248.0,4.0,,26.0,60.0,5.0,,,,,121.0,120.0,,17.0,10.0,30.0,,,13.0,0.0,61.0,2.0,1.0,3.0,,,2.0,,3.0,41.0,182.0,6.0,5.0,110.0,16.0,36.0,8.0,3.0,10.0,7.0,,66.0,4.0,164.0,2.0,,27.0,2.0,48.0,4.0,264.0,,0.0,9.0,16.0,1.0,18.0,0.0,450.0,,6.0,7.0,3.0,9.0,0.0
694921,3,2013-08-31 15:00:00,97,Cardiff,Home,113.0,10.0,,2.0,2.0,2.0,,117.0,8.0,1.0,1.0,5.0,5.0,13.0,228.0,,1.0,9.0,17.0,11.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,5.0,6.0,7.0,,,46.0,45.0,,,,6.0,9.0,,12.0,,,4.0,6.0,2.0,,11.0,1.0,55.0,52.0,6.0,38.0,19.0,,,46.0,11.0,7.0,,,1.0,1.0,1.0,119.0,,,,,,13.0,,1.0,,19.0,,19.0,19.0,,2.0,66.0,66.0,22.0,5.0,,2.0,,1.0,291.0,5.0,3.0,27.0,57.0,7.0,,,,,127.0,127.0,2.0,18.0,20.0,37.0,,,9.0,0.0,71.0,1.0,2.0,3.0,1.0,,3.0,,3.0,51.0,224.0,4.0,2.0,131.0,30.0,38.0,16.0,4.0,13.0,9.0,1.0,79.0,6.0,184.0,1.0,1.0,24.0,5.0,45.0,4.0,302.0,,0.0,4.0,23.0,2.0,16.0,1.0,501.0,,7.0,12.0,4.0,19.0,0.0
694934,4,2013-09-14 15:00:00,97,Cardiff,Away,215.0,13.0,,5.0,5.0,3.0,,193.0,8.0,1.0,12.0,10.0,4.0,36.0,403.0,,1.0,23.0,19.0,24.0,6.0,,,,1.0,1.0,,,8.0,,,,1.0,2.0,9.0,9.0,,,77.0,43.0,2.0,1.0,1.0,,8.0,5.0,5.0,,1.0,2.0,5.0,5.0,,12.0,3.0,45.0,46.0,,39.0,22.0,,,68.0,9.0,7.0,,,1.0,2.0,1.0,184.0,1.0,,1.0,1.0,,11.0,1.0,,1.0,22.0,,17.0,17.0,1.0,13.0,129.0,92.0,47.0,6.0,1.0,3.0,4.0,2.0,497.0,8.0,2.0,55.0,52.0,22.0,,,,,147.0,147.0,,12.0,16.0,54.0,,4.0,8.0,0.0,115.0,2.0,2.0,4.0,,,3.0,,3.0,103.0,396.0,2.0,7.0,238.0,32.0,39.0,7.0,2.0,14.0,12.0,,155.0,14.0,281.0,,1.0,35.0,5.0,69.0,1.0,505.0,,0.0,10.0,10.0,3.0,24.0,2.0,705.0,,15.0,6.0,2.0,5.0,0.0
694941,5,2013-09-22 16:00:00,97,Cardiff,Home,90.0,9.0,1.0,1.0,,3.0,,96.0,5.0,,8.0,5.0,4.0,9.0,185.0,1.0,,17.0,21.0,23.0,5.0,,,,,,,1.0,5.0,,,,1.0,3.0,14.0,15.0,,,51.0,47.0,,1.0,,4.0,9.0,2.0,10.0,,1.0,2.0,8.0,,,11.0,8.0,50.0,58.0,4.0,51.0,30.0,,,46.0,7.0,7.0,,,1.0,1.0,,135.0,,,,,,10.0,,2.0,3.0,30.0,,15.0,15.0,3.0,8.0,49.0,73.0,22.0,12.0,,4.0,1.0,,279.0,8.0,2.0,35.0,51.0,14.0,,,,,149.0,149.0,6.0,18.0,16.0,36.3,,1.0,9.0,0.0,53.0,5.0,6.0,11.0,,,4.0,,2.0,48.0,181.0,4.0,5.0,108.0,31.0,51.0,9.0,2.0,11.0,9.0,,89.0,9.0,191.0,2.0,,35.0,5.0,49.0,6.0,288.0,1.0,0.0,6.0,23.0,,19.0,1.0,510.0,,6.0,5.0,2.0,18.0,0.0
694953,6,2013-09-28 15:00:00,97,Cardiff,Away,171.0,15.0,4.0,13.0,9.0,2.0,1.0,194.0,4.0,,4.0,7.0,11.0,29.0,352.0,,,19.0,27.0,23.0,13.0,2.0,,1.0,,2.0,,,13.0,,,1.0,1.0,,4.0,5.0,,,64.0,47.0,1.0,1.0,,6.0,16.0,5.0,5.0,,,10.0,14.0,7.0,1.0,8.0,2.0,51.0,58.0,6.0,35.0,19.0,,,62.0,14.0,14.0,,,2.0,1.0,2.0,166.0,1.0,1.0,1.0,,1.0,8.0,1.0,2.0,1.0,19.0,1.0,8.0,8.0,,4.0,98.0,70.0,38.0,11.0,1.0,11.0,5.0,5.0,413.0,1.0,3.0,55.0,64.0,25.0,,,,,124.0,124.0,1.0,16.0,23.0,51.4,1.0,,16.0,0.0,102.0,2.0,2.0,4.0,1.0,,12.0,,3.0,97.0,342.0,8.0,16.0,189.0,24.0,35.0,9.0,8.0,30.0,22.0,,136.0,7.0,271.0,2.0,,26.0,13.0,53.0,,430.0,,0.0,22.0,16.0,,20.0,1.0,645.0,,11.0,7.0,10.0,10.0,0.0
694961,7,2013-10-05 15:00:00,97,Cardiff,Home,188.0,13.0,1.0,5.0,4.0,,,190.0,5.0,1.0,15.0,4.0,8.0,27.0,373.0,,4.0,28.0,27.0,14.0,5.0,1.0,,,,,,1.0,7.0,,,,,3.0,10.0,10.0,,,59.0,56.0,2.0,2.0,1.0,1.0,18.0,,8.0,,1.0,3.0,12.0,7.0,,14.0,6.0,64.0,53.0,1.0,22.0,12.0,,2.0,72.0,11.0,8.0,1.0,,1.0,1.0,,170.0,1.0,,1.0,1.0,,7.0,1.0,1.0,1.0,12.0,,11.0,11.0,1.0,15.0,122.0,81.0,36.0,3.0,,5.0,2.0,2.0,465.0,5.0,,35.0,77.0,16.0,,,,,169.0,169.0,2.0,20.0,16.0,57.3,,,18.0,0.0,126.0,5.0,3.0,8.0,1.0,,6.0,,3.0,77.0,367.0,8.0,7.0,207.0,35.0,22.0,16.0,3.0,23.0,20.0,,132.0,6.0,293.0,1.0,1.0,18.0,8.0,55.0,1.0,477.0,,0.0,8.0,20.0,6.0,35.0,1.0,707.0,,18.0,11.0,3.0,15.0,0.0
694972,8,2013-10-19 15:00:00,97,Cardiff,Away,93.0,12.0,1.0,4.0,3.0,2.0,1.0,118.0,3.0,1.0,1.0,4.0,8.0,11.0,207.0,,,13.0,14.0,10.0,7.0,2.0,,,,,,1.0,8.0,,,,3.0,,8.0,12.0,,,52.0,46.0,,,1.0,5.0,7.0,6.0,9.0,,,9.0,9.0,5.0,,11.0,2.0,41.0,42.0,5.0,31.0,15.0,3.0,,60.0,5.0,12.0,,,1.0,1.0,,118.0,,,,,,15.0,1.0,,,15.0,,8.0,8.0,1.0,1.0,58.0,66.0,23.0,6.0,1.0,3.0,6.0,3.0,260.0,4.0,2.0,45.0,45.0,18.0,,,,,140.0,140.0,2.0,16.0,18.0,35.1,,,7.0,0.0,52.0,1.0,2.0,3.0,,,4.0,1.0,3.0,63.0,198.0,5.0,9.0,107.0,25.0,31.0,12.0,8.0,23.0,15.0,,103.0,5.0,196.0,,1.0,23.0,8.0,36.0,1.0,280.0,,0.0,13.0,14.0,,23.0,2.0,476.0,,8.0,8.0,9.0,10.0,0.0
694986,9,2013-10-26 15:00:00,97,Cardiff,Away,148.0,11.0,1.0,3.0,2.0,6.0,,115.0,5.0,1.0,5.0,4.0,7.0,17.0,260.0,1.0,,12.0,26.0,23.0,2.0,1.0,,,,1.0,,,4.0,,,,,,18.0,13.0,,,64.0,51.0,1.0,1.0,,8.0,13.0,1.0,13.0,1.0,,2.0,7.0,3.0,,6.0,8.0,55.0,53.0,8.0,56.0,26.0,,,48.0,10.0,8.0,,,2.0,1.0,1.0,137.0,,,,,,16.0,,2.0,1.0,26.0,,14.0,14.0,1.0,5.0,61.0,60.0,22.0,13.0,,1.0,2.0,4.0,327.0,8.0,1.0,22.0,72.0,16.0,,,,,126.0,126.0,1.0,25.0,17.0,39.5,,,13.0,0.0,76.0,5.0,5.0,10.0,2.0,,1.0,,3.0,69.0,253.0,9.0,3.0,168.0,24.0,56.0,9.0,2.0,13.0,11.0,,104.0,14.0,183.0,2.0,1.0,24.0,8.0,44.0,3.0,338.0,1.0,0.0,6.0,17.0,,17.0,1.0,565.0,,9.0,6.0,2.0,15.0,0.0
694991,10,2013-11-03 16:00:00,97,Cardiff,Home,188.0,18.0,1.0,3.0,2.0,3.0,,154.0,4.0,1.0,2.0,10.0,10.0,32.0,339.0,1.0,,23.0,25.0,18.0,4.0,,,,1.0,2.0,,,5.0,,,,1.0,1.0,5.0,5.0,,,89.0,45.0,,,,2.0,15.0,3.0,5.0,,1.0,6.0,11.0,3.0,1.0,11.0,3.0,53.0,48.0,2.0,26.0,18.0,,,63.0,11.0,6.0,,,2.0,,2.0,144.0,1.0,1.0,1.0,,1.0,8.0,,2.0,,18.0,,14.0,14.0,2.0,2.0,101.0,69.0,33.0,3.0,,3.0,2.0,3.0,415.0,3.0,2.0,49.0,63.0,13.0,,,,,143.0,143.0,6.0,18.0,17.0,45.3,,,15.0,0.0,95.0,1.0,2.0,3.0,,,3.0,1.0,3.0,72.0,328.0,6.0,5.0,210.0,35.0,26.0,10.0,4.0,18.0,14.0,1.0,114.0,9.0,237.0,2.0,1.0,33.0,10.0,61.0,3.0,429.0,1.0,0.0,9.0,18.0,1.0,27.0,1.0,615.0,,10.0,6.0,6.0,14.0,0.0
