playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLaunches,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,leftFootGoals,clearancesOffTheLine,expectedGoalsFreekick,unsuccessfulLayoffs,freekickTotal,attemptsFromSetPieces,ownGoalScored,penaltiesConceded,setPiecesGoals,secondGoalAssists,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken
170137,Allan Saint-Maximin,Forward,Newcastle,4,France,2019-20,163.0,7.0,3.052,0.0,14.0,21.0,14.0,5.5494,13.0,32.0,2.0,76.0,26.0,4.0,8.0,23.0,90.0,38.0,431.0,3.0,3.0,2.0,10.0,3.0,32.0,2.0,13.0,7.0,5.0,1870.0,5.0,23.0,190.0,1.0,18.0,181.0,320.0,88.0,1.0,2.0,31.5785,29.0,4.0,22.0,4.0,140.0,135.0,48.0,3.0,353.0,3.0,1.0,95.0,115.0,26.0,13.0,2.0,5.0,59.0,254.0,21.0,1.0,38.0,110.0,4.0,321.0,9.0,0.0,428.0,11.0,22.0,329.0,8.0,121.0,2.0,82.0,18.0,9.0,21.0,119.0,971.0,5.0,14.0,2.0,10.0,5.0,94.0,6.0,2.0,3.4009,0.0,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40142,Andy Carroll,Forward,Newcastle,4,England,2019-20,83.0,2.0,0.4337,0.0,6.0,3.0,,0.3485,5.0,10.0,,71.0,19.0,4.0,18.0,4.0,81.0,3.0,208.0,,6.0,0.0,,15.0,139.0,1.0,1.0,2.0,2.0,618.0,2.0,49.0,114.0,,5.0,24.0,120.0,32.0,,,12.3413,8.0,24.0,10.0,6.0,34.0,56.0,14.0,0.0,197.0,1.0,0.0,59.0,15.0,19.0,1.0,,2.0,5.0,88.0,10.0,,3.0,16.0,6.0,58.0,90.0,0.0,204.0,7.0,4.0,125.0,3.0,6.0,1.0,42.0,17.0,2.0,7.0,51.0,348.0,,1.0,,,5.0,41.0,3.0,2.0,1.2153,1.0,10.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104953,Christian Atsu,Midfielder,Newcastle,4,Ghana,2019-20,70.0,6.0,0.9297,0.0,1.0,1.0,2.0,0.1267,10.0,4.0,1.0,35.0,19.0,3.0,9.0,6.0,39.0,8.0,198.0,,4.0,0.0,1.0,13.0,21.0,1.0,,7.0,1.0,741.0,1.0,14.0,42.0,2.0,26.0,35.0,154.0,13.0,,,14.7907,10.0,6.0,15.0,,56.0,39.0,10.0,0.0,112.0,19.0,0.0,41.0,42.0,19.0,,,2.0,20.0,107.0,13.0,,10.0,36.0,,91.0,7.0,0.0,192.0,3.0,2.0,109.0,8.0,16.0,,52.0,11.0,5.0,5.0,66.0,371.0,1.0,3.0,,1.0,1.0,59.0,9.0,,0.2144,2.0,4.0,9.0,,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
58845,Ciaran Clark,Defender,Newcastle,4,Ireland,2019-20,54.0,,0.0419,0.0,1.0,4.0,1.0,1.6003,20.0,5.0,,44.0,14.0,,,14.0,73.0,,322.0,2.0,,1.0,,,67.0,4.0,,,2.0,1188.0,2.0,38.0,62.0,1.0,4.0,33.0,221.0,9.0,4.0,,21.6442,1.0,79.0,14.0,1.0,16.0,73.0,7.0,1.0,116.0,4.0,1.0,150.0,46.0,14.0,,,8.0,1.0,76.0,13.0,1.0,,2.0,1.0,49.0,29.0,0.0,311.0,1.0,1.0,83.0,12.0,6.0,14.0,67.0,9.0,11.0,28.0,32.0,513.0,11.0,3.0,,,16.0,173.0,5.0,,1.2721,3.0,29.0,24.0,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Newcastle,4,England,2019-20,82.0,8.0,0.4697,0.0,1.0,,,,39.0,1.0,1.0,120.0,23.0,,1.0,20.0,173.0,33.0,835.0,,,,1.0,3.0,38.0,4.0,,10.0,,1759.0,,18.0,113.0,4.0,38.0,93.0,643.0,17.0,30.0,2.0,17.0452,14.0,41.0,28.0,,64.0,297.0,40.0,,195.0,15.0,,381.0,95.0,23.0,,,16.0,14.0,362.0,24.0,,35.0,,,157.0,20.0,0.0,810.0,1.0,6.0,281.0,23.0,15.0,10.0,61.0,25.0,18.0,19.0,96.0,1248.0,85.0,6.0,,1.0,16.0,310.0,17.0,,0.0842,7.0,53.0,54.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
151119,DeAndre Yedlin,Defender,Newcastle,4,United States,2019-20,39.0,6.0,0.461,0.0,,1.0,1.0,0.9297,18.0,1.0,,43.0,16.0,,6.0,10.0,63.0,22.0,246.0,1.0,2.0,0.0,,6.0,21.0,1.0,,6.0,,936.0,,13.0,36.0,2.0,11.0,28.0,170.0,6.0,8.0,,22.1049,7.0,16.0,18.0,,26.0,27.0,9.0,0.0,75.0,6.0,1.0,88.0,38.0,16.0,,,5.0,5.0,103.0,16.0,1.0,22.0,10.0,,54.0,8.0,0.0,245.0,,3.0,118.0,13.0,1.0,7.0,77.0,8.0,10.0,13.0,54.0,429.0,33.0,2.0,,,8.0,86.0,5.0,,0.7537,3.0,20.0,22.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
104547,Dwight Gayle,Forward,Newcastle,4,England,2019-20,71.0,2.0,0.332,0.0,5.0,10.0,1.0,3.8919,12.0,18.0,,42.0,20.0,2.0,5.0,10.0,45.0,1.0,145.0,4.0,2.0,2.0,,10.0,71.0,2.0,2.0,2.0,4.0,849.0,4.0,50.0,48.0,3.0,6.0,27.0,97.0,31.0,1.0,1.0,13.5463,4.0,9.0,15.0,5.0,21.0,40.0,13.0,0.0,119.0,5.0,2.0,31.0,17.0,20.0,2.0,3.0,2.0,1.0,65.0,12.0,,1.0,12.0,5.0,48.0,21.0,0.0,135.0,8.0,3.0,81.0,10.0,2.0,,23.0,6.0,2.0,3.0,51.0,265.0,1.0,8.0,1.0,,2.0,37.0,4.0,,4.3518,2.0,3.0,7.0,,,,,1.0,,0.072,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
111773,Emil Krafth,Defender,Newcastle,4,Sweden,2019-20,28.0,1.0,0.6294,0.0,1.0,,,,18.0,3.0,,55.0,17.0,1.0,,11.0,75.0,19.0,329.0,,,0.0,,6.0,17.0,2.0,,1.0,,1019.0,,9.0,36.0,3.0,15.0,28.0,244.0,9.0,16.0,1.0,21.0618,,40.0,23.0,1.0,19.0,25.0,7.0,0.0,64.0,3.0,0.0,153.0,43.0,17.0,,,6.0,2.0,113.0,20.0,,19.0,5.0,1.0,47.0,8.0,0.0,326.0,3.0,5.0,126.0,12.0,4.0,8.0,109.0,4.0,8.0,10.0,42.0,547.0,50.0,4.0,,,8.0,142.0,2.0,1.0,0.3216,0.0,20.0,28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
119471,Fabian Schär,Defender,Newcastle,4,Switzerland,2019-20,95.0,1.0,0.2046,0.0,5.0,6.0,1.0,1.9956,39.0,15.0,1.0,79.0,22.0,,1.0,18.0,192.0,11.0,761.0,2.0,2.0,0.0,4.0,4.0,68.0,4.0,2.0,1.0,2.0,1633.0,2.0,34.0,113.0,5.0,24.0,79.0,475.0,21.0,3.0,2.0,35.4802,4.0,72.0,37.0,1.0,61.0,95.0,25.0,0.0,208.0,17.0,2.0,370.0,112.0,22.0,2.0,1.0,18.0,8.0,207.0,32.0,,11.0,13.0,1.0,140.0,34.0,0.0,715.0,9.0,6.0,242.0,21.0,16.0,18.0,261.0,29.0,47.0,94.0,35.0,1119.0,20.0,3.0,,4.0,33.0,363.0,21.0,1.0,1.4459,5.0,113.0,49.0,9.0,,,,1.0,1.0,0.057,,1.0,1.0,,,,,,,,,,,,,,,,,
57145,Federico Fernández,Defender,Newcastle,4,Argentina,2019-20,100.0,5.0,0.5363,0.0,2.0,7.0,,1.434,42.0,13.0,,133.0,32.0,2.0,,29.0,255.0,24.0,1110.0,2.0,2.0,1.0,,3.0,112.0,8.0,1.0,5.0,4.0,2618.0,4.0,51.0,132.0,7.0,34.0,71.0,755.0,24.0,33.0,2.0,50.3731,2.0,185.0,42.0,2.0,49.0,275.0,20.0,1.0,232.0,13.0,1.0,497.0,128.0,32.0,1.0,1.0,17.0,6.0,236.0,35.0,1.0,24.0,9.0,2.0,120.0,61.0,0.0,1071.0,6.0,4.0,347.0,25.0,10.0,28.0,282.0,17.0,24.0,100.0,56.0,1649.0,69.0,1.0,1.0,,66.0,624.0,5.0,,1.4341,8.0,122.0,94.0,18.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
