element,player_code,first_name,second_name,fixture_code,total_points,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
521,210462,Ibrahim,Sangaré,2561898,2,False,90,0,0,0,1,0,0,0,0,0,0,0,11,1.4,4.2,1.0,0.7,5,4,1,10,1,0.02,0.01,0.03,1.50,50,0,4944,0,0
521,210462,Ibrahim,Sangaré,2561909,2,False,87,0,0,0,1,0,0,0,0,0,0,0,14,9.4,3.3,1.0,1.4,4,3,1,8,1,0.01,0.01,0.02,1.10,50,-307,6321,529,836
521,210462,Ibrahim,Sangaré,2561921,4,False,88,0,0,0,2,0,0,0,0,0,0,0,10,7.6,5.3,0.0,1.3,7,5,2,14,1,0.00,0.04,0.04,1.46,50,-231,6849,673,904
521,210462,Ibrahim,Sangaré,2561926,2,False,72,0,0,0,2,0,0,0,0,0,0,0,16,7.8,4.5,0.0,1.2,2,2,3,7,1,0.00,0.01,0.01,1.75,50,17,7508,991,974
521,210462,Ibrahim,Sangaré,2561938,1,False,14,0,0,0,0,0,0,0,0,0,0,0,2,7.0,1.7,0.0,0.9,1,1,0,2,0,0.00,0.01,0.01,0.17,50,339,8229,1059,720
521,210462,Ibrahim,Sangaré,2561953,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-281,8154,538,819
521,210462,Ibrahim,Sangaré,2561963,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-536,7787,170,706
521,210462,Ibrahim,Sangaré,2561971,1,False,90,0,0,0,3,0,0,0,1,0,0,0,13,26.4,16.0,34.0,7.6,3,2,4,9,1,0.25,0.03,0.28,1.67,49,-537,7537,203,740
521,210462,Ibrahim,Sangaré,2561975,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-213,7440,187,400
521,210462,Ibrahim,Sangaré,2561991,1,False,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.10,49,-323,7194,87,410
521,210462,Ibrahim,Sangaré,2562001,5,False,58,1,0,0,1,0,0,0,1,0,0,0,21,38.8,12.2,19.0,7.0,1,3,2,6,1,0.35,0.01,0.36,0.08,49,-183,7116,131,314
521,210462,Ibrahim,Sangaré,2562011,3,False,90,0,0,1,0,0,0,0,0,0,0,0,5,15.0,2.7,2.0,2.0,1,3,5,9,1,0.00,0.02,0.02,1.93,49,-31,7222,200,231
521,210462,Ibrahim,Sangaré,2562021,4,False,73,0,0,0,1,0,0,0,0,0,0,0,18,22.6,3.3,5.0,3.1,5,6,4,15,1,0.02,0.03,0.05,1.44,49,62,7388,259,197
521,210462,Ibrahim,Sangaré,2562034,3,False,66,0,0,1,0,0,0,0,0,0,0,0,11,10.0,1.6,2.0,1.4,3,2,1,6,1,0.00,0.02,0.02,0.79,49,509,8040,713,204
521,210462,Ibrahim,Sangaré,2562038,1,False,45,0,0,0,2,0,0,0,0,0,0,0,10,6.4,2.0,0.0,0.8,3,3,2,8,1,0.00,0.01,0.01,0.48,49,-46,7969,379,425
521,210462,Ibrahim,Sangaré,2562052,18,False,90,1,2,1,0,0,0,0,0,0,0,2,54,80.6,21.8,13.0,11.5,4,6,2,12,1,0.13,0.87,1.00,0.33,49,-440,7620,271,711
521,210462,Ibrahim,Sangaré,2562059,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-312,7314,518,830
521,210462,Ibrahim,Sangaré,2562072,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-400,6912,89,489
521,210462,Ibrahim,Sangaré,2562082,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-225,6707,31,256
521,210462,Ibrahim,Sangaré,2562086,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-111,6624,40,151
521,210462,Ibrahim,Sangaré,2562104,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-115,6515,27,142
521,210462,Ibrahim,Sangaré,2562111,3,False,90,0,0,1,0,0,0,0,0,0,0,0,13,13.2,1.5,0.0,1.5,4,2,1,7,1,0.00,0.04,0.04,2.10,49,-33,6532,176,209
521,210462,Ibrahim,Sangaré,2562117,5,False,90,0,0,1,0,0,0,0,0,0,0,0,12,21.6,2.6,4.0,2.8,10,5,2,17,1,0.12,0.01,0.13,1.81,49,287,6879,356,69
521,210462,Ibrahim,Sangaré,2562131,2,False,90,0,0,0,1,0,0,0,0,0,0,0,10,8.2,1.8,0.0,1.0,3,3,1,7,1,0.00,0.01,0.01,1.90,49,631,7571,843,212
