season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,substitute.1,totalShots
2009-10,1062531,7,56,Sunderland,Home,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062531,7,56,Sunderland,Home,13459,32272,Paulo da Silva,paulo-da-silva,D,False,0.0,0.0,74.0,0.0,,,0.0
2009-10,1062531,7,56,Sunderland,Home,16501,15864,Michael Turner,michael-turner,D,False,0.0,1.0,90.0,0.0,,,0.0
2009-10,1062541,8,56,Sunderland,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062541,8,56,Sunderland,Away,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062541,8,56,Sunderland,Away,9699,5609,George McCartney,george-mccartney,D,True,0.0,0.0,4.0,0.0,,,0.0
2009-10,1062541,8,56,Sunderland,Away,9727,13898,Anton Ferdinand,anton-ferdinand,D,False,0.0,0.0,90.0,1.0,,,0.0
2009-10,1062541,8,56,Sunderland,Away,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062541,8,56,Sunderland,Away,13459,32272,Paulo da Silva,paulo-da-silva,D,True,,,,,,,
2009-10,1062541,8,56,Sunderland,Away,16501,15864,Michael Turner,michael-turner,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062552,9,56,Sunderland,Home,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062552,9,56,Sunderland,Home,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062552,9,56,Sunderland,Home,9699,5609,George McCartney,george-mccartney,D,False,0.0,0.0,46.0,0.0,,,0.0
2009-10,1062552,9,56,Sunderland,Home,9727,13898,Anton Ferdinand,anton-ferdinand,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062552,9,56,Sunderland,Home,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062552,9,56,Sunderland,Home,13459,32272,Paulo da Silva,paulo-da-silva,D,True,,,,,,,
2009-10,1062552,9,56,Sunderland,Home,16501,15864,Michael Turner,michael-turner,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062554,10,56,Sunderland,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062554,10,56,Sunderland,Away,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062554,10,56,Sunderland,Away,9699,5609,George McCartney,george-mccartney,D,True,0.0,0.0,22.0,0.0,,,0.0
2009-10,1062554,10,56,Sunderland,Away,9727,13898,Anton Ferdinand,anton-ferdinand,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062554,10,56,Sunderland,Away,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,68.0,0.0,,,0.0
2009-10,1062554,10,56,Sunderland,Away,13459,32272,Paulo da Silva,paulo-da-silva,D,True,,,,,,,
2009-10,1062554,10,56,Sunderland,Away,16501,15864,Michael Turner,michael-turner,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062573,11,56,Sunderland,Home,768,17997,Phil Bardsley,phil-bardsley,D,True,,,,,,,
2009-10,1062573,11,56,Sunderland,Home,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062573,11,56,Sunderland,Home,9699,5609,George McCartney,george-mccartney,D,True,0.0,0.0,9.0,0.0,,,0.0
2009-10,1062573,11,56,Sunderland,Home,9727,13898,Anton Ferdinand,anton-ferdinand,D,True,,,,,,,
2009-10,1062573,11,56,Sunderland,Home,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062573,11,56,Sunderland,Home,13459,32272,Paulo da Silva,paulo-da-silva,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062573,11,56,Sunderland,Home,16501,15864,Michael Turner,michael-turner,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062580,12,56,Sunderland,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,77.0,0.0,,,0.0
2009-10,1062580,12,56,Sunderland,Away,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062580,12,56,Sunderland,Away,9699,5609,George McCartney,george-mccartney,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062580,12,56,Sunderland,Away,9727,13898,Anton Ferdinand,anton-ferdinand,D,True,0.0,0.0,13.0,0.0,,,0.0
2009-10,1062580,12,56,Sunderland,Away,13459,32272,Paulo da Silva,paulo-da-silva,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062580,12,56,Sunderland,Away,16501,15864,Michael Turner,michael-turner,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062592,13,56,Sunderland,Home,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062592,13,56,Sunderland,Home,1967,7195,John Mensah,john-mensah,D,False,0.0,0.0,82.0,0.0,,,0.0
2009-10,1062592,13,56,Sunderland,Home,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062592,13,56,Sunderland,Home,9699,5609,George McCartney,george-mccartney,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062592,13,56,Sunderland,Home,9727,13898,Anton Ferdinand,anton-ferdinand,D,True,0.0,0.0,8.0,0.0,,,0.0
2009-10,1062592,13,56,Sunderland,Home,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062592,13,56,Sunderland,Home,13459,32272,Paulo da Silva,paulo-da-silva,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062602,14,56,Sunderland,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062602,14,56,Sunderland,Away,1967,7195,John Mensah,john-mensah,D,True,,,,,,,
2009-10,1062602,14,56,Sunderland,Away,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062602,14,56,Sunderland,Away,9699,5609,George McCartney,george-mccartney,D,False,0.0,0.0,84.0,0.0,,,0.0
2009-10,1062602,14,56,Sunderland,Away,9727,13898,Anton Ferdinand,anton-ferdinand,D,True,,,,,,,
2009-10,1062602,14,56,Sunderland,Away,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
