playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,totalTouchesInOppositionBox,homeGoals,penaltiesTaken,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,otherGoals,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,penaltyGoals,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,handballsConceded,penaltiesConceded,lastPlayerTackle,blocks,clearancesOffTheLine,throwInsToOppositionPlayer,setPiecesGoals,successfulCornersIntoBox,attemptsFromSetPieces,secondGoalAssists,expectedAssists,expectedGoalsOnTargetConceded,expectedGoals
20145,Adrian Mariappa,Defender,Reading,108,Jamaica,2012-13,109.0,0.0,,,146.0,29.0,29.0,182.0,684.0,1.0,,156.0,4.0,,2610.0,165.0,7.0,80.0,454.0,,3.0,2.0,10.0,244.0,55.0,38.0,137.0,,19.0,0.0,274.0,,343.0,78.0,29.0,139.0,48.0,7.0,118.0,85.0,0.0,,664.0,207.0,1.0,,149.0,48.0,1168.0,44.0,363.0,,5.0,36.0,60.0,,2.0,4.0,1.0,54.0,10.0,2.0,,,,,1.0,3.0,1.0,,,,,71.0,16.0,0.0,,,16.0,,,1.0,,,6.0,2.0,38.0,7.0,19.0,56.0,,,55.0,2.0,,1.0,1.0,1.0,2.0,35.0,4.0,,,,,,,,
40546,Alex Pearce,Defender,Reading,108,Ireland,2012-13,62.0,0.0,,,114.0,19.0,18.0,159.0,510.0,,,113.0,2.0,,1645.0,90.0,7.0,23.0,316.0,,3.0,2.0,12.0,170.0,34.0,16.0,70.0,,7.0,0.0,152.0,,255.0,48.0,19.0,96.0,27.0,,39.0,67.0,0.0,,492.0,163.0,,,146.0,35.0,777.0,45.0,255.0,,1.0,45.0,40.0,,,2.0,,15.0,10.0,2.0,1.0,,,,,1.0,,1.0,,,,46.0,27.0,,,,4.0,,,,,,8.0,1.0,11.0,1.0,14.0,22.0,,,39.0,,,,,,1.0,20.0,1.0,,,,,,,,
39262,Chris Gunter,Defender,Reading,108,Wales,2012-13,35.0,0.0,,,123.0,20.0,20.0,185.0,612.0,,,22.0,5.0,,1790.0,53.0,3.0,41.0,392.0,,1.0,9.0,18.0,84.0,32.0,25.0,19.0,,17.0,0.0,88.0,,315.0,58.0,20.0,240.0,29.0,9.0,66.0,12.0,0.0,,606.0,310.0,,,201.0,35.0,1139.0,45.0,203.0,,1.0,62.0,35.0,16.0,1.0,,1.0,21.0,1.0,,,2.0,,49.0,,1.0,,,,16.0,,10.0,7.0,,,,4.0,,5.0,,49.0,,1.0,8.0,17.0,3.0,11.0,20.0,,,77.0,199.0,1.0,,,1.0,1.0,9.0,1.0,56.0,,,,,,,
46479,Daniel Carriço,Defender,Reading,108,Portugal,2012-13,10.0,0.0,,,12.0,3.0,1.0,13.0,44.0,,,4.0,,,85.0,5.0,,5.0,29.0,,,,,3.0,1.0,6.0,9.0,,1.0,0.0,15.0,,24.0,5.0,3.0,17.0,1.0,2.0,11.0,,0.0,,44.0,19.0,,,9.0,2.0,66.0,,14.0,,0.0,1.0,1.0,,,,,4.0,1.0,,,1.0,,1.0,,,,2.0,,,,4.0,1.0,,,,,,,,1.0,,1.0,,4.0,,4.0,3.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,
160,Ian Harte,Defender,Reading,108,Ireland,2012-13,57.0,0.0,,,100.0,16.0,15.0,153.0,496.0,,,43.0,2.0,,1361.0,38.0,5.0,24.0,296.0,,2.0,9.0,11.0,69.0,27.0,28.0,142.0,,1.0,0.0,95.0,,300.0,32.0,16.0,234.0,22.0,4.0,52.0,14.0,0.0,,468.0,309.0,,,14.0,47.0,958.0,31.0,131.0,,1.0,53.0,37.0,4.0,4.0,1.0,1.0,22.0,6.0,,3.0,1.0,,33.0,,1.0,,1.0,42.0,22.0,,29.0,1.0,,,,5.0,,,,96.0,,5.0,13.0,17.0,1.0,12.0,17.0,33.0,,40.0,131.0,1.0,1.0,,,,10.0,2.0,44.0,,9.0,7.0,,,,
87170,Jordan Obita,Defender,Reading,108,Uganda,2012-13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39529,Kaspars Gorkss,Defender,Reading,108,Latvia,2012-13,63.0,0.0,,,85.0,14.0,14.0,104.0,318.0,,,86.0,1.0,,1260.0,75.0,2.0,28.0,195.0,,1.0,1.0,15.0,123.0,31.0,24.0,72.0,,9.0,0.0,138.0,,172.0,32.0,14.0,78.0,29.0,,52.0,47.0,0.0,,312.0,116.0,,,57.0,19.0,552.0,30.0,136.0,,2.0,19.0,27.0,,,1.0,,18.0,8.0,,,,,4.0,1.0,,1.0,,,,,39.0,13.0,0.0,,,7.0,1.0,,,4.0,,7.0,1.0,11.0,1.0,11.0,31.0,,,17.0,,,,,,1.0,16.0,,,,,,,,,
5750,Nicky Shorey,Defender,Reading,108,England,2012-13,33.0,0.0,,,123.0,17.0,16.0,172.0,635.0,,,33.0,1.0,,1443.0,37.0,3.0,23.0,418.0,,2.0,42.0,11.0,54.0,34.0,14.0,227.0,,3.0,0.0,70.0,,331.0,62.0,17.0,324.0,31.0,7.0,37.0,14.0,0.0,,588.0,324.0,,,20.0,45.0,1119.0,44.0,188.0,,0.0,49.0,36.0,9.0,3.0,4.0,2.0,17.0,7.0,2.0,4.0,3.0,,32.0,,,,1.0,65.0,49.0,,19.0,8.0,,,,2.0,,4.0,,93.0,,3.0,10.0,15.0,3.0,6.0,23.0,37.0,,57.0,143.0,,,1.0,,,6.0,1.0,32.0,,23.0,7.0,,,,
49982,Sean Morrison,Defender,Reading,108,England,2012-13,48.0,0.0,,,117.0,16.0,15.0,144.0,422.0,,,100.0,3.0,,1327.0,95.0,,28.0,241.0,,1.0,6.0,13.0,114.0,26.0,15.0,77.0,,8.0,0.0,143.0,,210.0,33.0,16.0,77.0,26.0,2.0,43.0,67.0,0.0,,408.0,158.0,,,90.0,37.0,646.0,25.0,201.0,,0.0,27.0,40.0,,1.0,4.0,,18.0,15.0,,,1.0,,2.0,2.0,,1.0,1.0,,,,33.0,38.0,1.0,,,4.0,,,2.0,2.0,,11.0,4.0,14.0,2.0,10.0,17.0,,,45.0,3.0,1.0,1.0,,,3.0,19.0,2.0,4.0,,,,,,,
54757,Shaun Cummings,Defender,Reading,108,Jamaica,2012-13,20.0,0.0,,,72.0,9.0,9.0,102.0,316.0,,,16.0,,,810.0,36.0,1.0,28.0,204.0,,1.0,4.0,11.0,31.0,22.0,12.0,18.0,,4.0,0.0,56.0,,166.0,34.0,9.0,138.0,21.0,8.0,40.0,8.0,0.0,,310.0,152.0,,,98.0,10.0,569.0,32.0,80.0,,1.0,30.0,13.0,4.0,,,1.0,21.0,,,,,,18.0,,,,,,4.0,,8.0,2.0,,,,6.0,,,,18.0,,,3.0,15.0,3.0,2.0,17.0,,,34.0,96.0,,,,,1.0,6.0,,19.0,,,,,,,
9493,Stephen Kelly,Defender,Reading,108,Ireland,2012-13,58.0,0.0,,,108.0,18.0,16.0,141.0,499.0,,,53.0,1.0,,1530.0,58.0,7.0,32.0,341.0,,2.0,6.0,7.0,73.0,36.0,31.0,64.0,,7.0,0.0,116.0,,252.0,53.0,18.0,199.0,29.0,10.0,63.0,26.0,0.0,,492.0,248.0,,,84.0,17.0,951.0,19.0,164.0,,2.0,33.0,39.0,5.0,2.0,,,23.0,3.0,,,2.0,,31.0,,1.0,,2.0,,5.0,,27.0,9.0,,,,5.0,,4.0,,31.0,,3.0,5.0,18.0,2.0,11.0,36.0,,,99.0,154.0,2.0,,,,,10.0,,51.0,,,,,0.0091,2.9572,0.2184
