playerId,playerName,position,team_name,team_id,nationality,season,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,unsuccessfulShortPasses,crossesNotClaimed,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,straightRedCards,gkSuccessfulDistribution,openPlayPasses,savesMadeCaught,substituteOn,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,penaltiesFaced,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,aerialDuels,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,groundDuelsLost,totalFoulsWon,duels,drops,groundDuels,aerialDuelsWon,substituteOff,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,totalTouchesInOppositionBox,tacklesLost,lastPlayerTackle,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,throughBalls,goalAssists,goals,offsides,awayGoals,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,homeGoals,leftFootGoals,unsuccessfulDribbles,timesTackled,cornersWon,successfulDribbles,unsuccessfulCornersIntoBox,clearancesOffTheLine,hitWoodwork,penaltiesConceded,headedGoals,handballsConceded,unsuccessfulLayoffs,redCards2ndYellow,rightFootGoals,attemptsFromSetPieces,penaltiesTaken,penaltyGoals,foulWonPenalty,secondGoalAssists
52477,Nathan Baker,Defender,Bristol City,113,England,2011-12,,2.0,3.0,58.0,12.0,0.0,,17.0,,0.0,64.0,7.0,8.0,,29.0,,8.0,24.0,6.0,12.0,44.0,108.0,,0.0,,106.0,,2.0,47.0,,1.0,,,18.0,4.0,550.0,209.0,18.0,40.0,60.0,,0.0,15.0,14.0,15.0,28.0,10.0,29.0,,11.0,5.0,,44.0,,16.0,18.0,,11.0,2.0,1.0,2.0,7.0,4.0,1.0,2.0,2.0,7.0,9.0,1.0,6.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310,Stephen Warnock,Defender,Burton Albion,587,England,2011-12,,5.0,26.0,145.0,45.0,0.0,,421.0,,0.0,579.0,144.0,35.0,,222.0,,35.0,559.0,34.0,42.0,313.0,1229.0,,0.0,,1177.0,,1.0,521.0,,8.0,,,84.0,108.0,3056.0,2134.0,56.0,374.0,808.0,,6.0,91.0,64.0,115.0,56.0,20.0,170.0,3.0,134.0,95.0,32.0,285.0,,229.0,36.0,3.0,81.0,8.0,11.0,63.0,22.0,26.0,1.0,75.0,4.0,55.0,13.0,35.0,103.0,145.0,232.0,15.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,10.0,17.0,2.0,73.0,1.0,27.0,1.0,2.0,19.0,27.0,12.0,21.0,7.0,3.0,2.0,,,,,,,,,,,
1764,Richard Dunne,Defender,Queens Park Rangers,52,Ireland,2011-12,,4.0,27.0,252.0,37.0,0.0,,252.0,,0.0,460.0,124.0,28.0,,144.0,,28.0,202.0,28.0,35.0,241.0,932.0,,0.0,,902.0,,,269.0,,6.0,,,164.0,91.0,2519.0,1436.0,84.0,490.0,600.0,,7.0,97.0,54.0,85.0,85.0,24.0,146.0,2.0,85.0,61.0,11.0,231.0,,146.0,61.0,1.0,65.0,11.0,2.0,2.0,32.0,13.0,,2.0,7.0,52.0,23.0,33.0,57.0,56.0,3.0,1.0,5.0,4.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,9.0,0.0,,4.0,11.0,4.0,9.0,,,,2.0,1.0,1.0,,,,,,,,
58845,Ciaran Clark,Defender,Stoke City,110,Ireland,2011-12,,4.0,3.0,33.0,21.0,0.0,,135.0,,0.0,179.0,67.0,15.0,,84.0,,15.0,233.0,13.0,20.0,104.0,536.0,,0.0,,534.0,,2.0,139.0,,1.0,,,144.0,17.0,1148.0,738.0,12.0,200.0,415.0,,3.0,20.0,19.0,47.0,20.0,12.0,65.0,1.0,57.0,35.0,11.0,112.0,,92.0,8.0,5.0,40.0,6.0,3.0,4.0,19.0,10.0,,4.0,3.0,30.0,6.0,11.0,29.0,78.0,7.0,1.0,2.0,3.0,1.0,,2.0,1.0,,0.0,,1.0,,4.0,,4.0,1.0,1.0,4.0,13.0,2.0,6.0,,,,2.0,,,,,,,,,,
8380,James Collins,Defender,Ipswich Town,40,Wales,2011-12,,4.0,31.0,302.0,41.0,0.0,,140.0,,0.0,525.0,106.0,32.0,,189.0,,32.0,221.0,31.0,39.0,313.0,966.0,5.0,0.0,,918.0,,1.0,326.0,5.0,7.0,,,232.0,89.0,2780.0,1510.0,100.0,432.0,564.0,,7.0,124.0,73.0,94.0,132.0,48.0,146.0,2.0,62.0,46.0,15.0,240.0,,108.0,84.0,1.0,41.0,21.0,1.0,1.0,55.0,7.0,,1.0,17.0,34.0,32.0,24.0,73.0,69.0,5.0,,2.0,4.0,,,,1.0,1.0,0.0,,,,,,5.0,1.0,,,3.0,4.0,6.0,,,,,1.0,,,,,,,,,
15405,Alan Hutton,Defender,Aston Villa,7,Scotland,2011-12,,4.0,18.0,113.0,39.0,1.0,,28.0,,0.0,399.0,92.0,31.0,,179.0,,31.0,398.0,29.0,37.0,238.0,890.0,,0.0,,873.0,,2.0,431.0,,5.0,,,311.0,45.0,2593.0,1682.0,47.0,273.0,607.0,,6.0,59.0,56.0,90.0,53.0,19.0,148.0,2.0,114.0,71.0,37.0,238.0,,185.0,34.0,3.0,70.0,5.0,7.0,57.0,17.0,18.0,,57.0,5.0,52.0,17.0,19.0,56.0,152.0,216.0,19.0,2.0,,7.0,1.0,2.0,,3.0,,,19.0,,76.0,,21.0,,,16.0,33.0,10.0,7.0,,,,,,,2.0,1.0,,,,,,
17468,Carlos Cuellar,Defender,Norwich City,45,Spain,2011-12,,4.0,9.0,98.0,23.0,0.0,,101.0,,0.0,257.0,71.0,18.0,,113.0,,18.0,183.0,17.0,22.0,156.0,562.0,,0.0,,548.0,,1.0,222.0,,5.0,,,138.0,41.0,1494.0,967.0,45.0,227.0,365.0,,2.0,43.0,40.0,58.0,43.0,24.0,101.0,1.0,82.0,34.0,5.0,159.0,,116.0,19.0,3.0,68.0,5.0,,18.0,21.0,23.0,1.0,18.0,3.0,45.0,16.0,13.0,52.0,66.0,54.0,4.0,,2.0,,3.0,1.0,,,,,4.0,,25.0,,6.0,,,5.0,12.0,4.0,9.0,,1.0,,1.0,,2.0,1.0,,,,,,,
45139,Eric Lichaj,Defender,Hull City,88,United States,2011-12,,3.0,3.0,42.0,16.0,0.0,,77.0,,0.0,128.0,44.0,10.0,,48.0,,10.0,128.0,9.0,15.0,68.0,272.0,,0.0,,267.0,,1.0,134.0,,2.0,,,44.0,9.0,822.0,518.0,22.0,77.0,195.0,,3.0,20.0,21.0,51.0,10.0,7.0,36.0,1.0,33.0,44.0,5.0,87.0,,77.0,3.0,,24.0,2.0,2.0,2.0,3.0,4.0,,2.0,,20.0,4.0,13.0,18.0,23.0,61.0,1.0,,2.0,2.0,,1.0,1.0,,0.0,,1.0,,35.0,,4.0,1.0,,10.0,19.0,3.0,4.0,,,,,,,,,1.0,,,,,
63426,Enda Stevens,Defender,Stoke City,110,Ireland,2011-12,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110403,Derrick Williams,Defender,Reading,108,Ireland,2011-12,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
