playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,unsuccessfulLayoffs,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,lastPlayerTackle,clearancesOffTheLine,hitWoodwork,foulWonPenalty,goals,awayGoals,homeGoals,headedGoals,handballsConceded,successfulCornersIntoBox,secondGoalAssists,penaltiesTaken,rightFootGoals,leftFootGoals,attemptsFromSetPieces,penaltyGoals,redCards2ndYellow,setPiecesGoals
15114,Leon Britton,Midfielder,Swansea City U23,8950,England,2011-12,85.0,,0.0,,62.0,,137.0,36.0,35.0,148.0,2258.0,,,14.0,11.0,,3019.0,1.0,128.0,4.0,126.0,2002.0,,,1.0,3.0,41.0,39.0,73.0,714.0,,43.0,0.0,213.0,536.0,257.0,36.0,,,23.0,873.0,35.0,199.0,2.0,0.0,,2223.0,228.0,39.0,,,705.0,13.0,59.0,108.0,2606.0,5.0,1237.0,,3.0,11.0,53.0,,1.0,,1.0,3.0,3.0,,106.0,3.0,,1.0,2.0,,12.0,,,,,10.0,13.0,3.0,44.0,3.0,,21.0,11.0,,303.0,1.0,8.0,,,,,,,,,,1.0,,,,,,,,
20589,Andrea Orlandi,Midfielder,APOEL Nicosia,479,Spain,2011-12,4.0,,0.0,,3.0,,9.0,3.0,2.0,9.0,60.0,,,,,,118.0,1.0,9.0,,9.0,51.0,,,,,2.0,4.0,4.0,12.0,,2.0,0.0,13.0,16.0,6.0,3.0,,,2.0,27.0,4.0,13.0,,0.0,,60.0,18.0,1.0,,,13.0,,2.0,,88.0,1.0,24.0,,1.0,,3.0,,,2.0,1.0,4.0,2.0,,8.0,1.0,,1.0,,,,,3.0,,,2.0,,1.0,4.0,2.0,,4.0,1.0,,19.0,,2.0,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,
19688,Scott Sinclair,Midfielder,Bristol Rovers,96,England,2011-12,186.0,,0.0,,34.0,,121.0,38.0,35.0,130.0,945.0,,,15.0,11.0,,3122.0,4.0,165.0,7.0,163.0,804.0,,,1.0,,12.0,48.0,173.0,309.0,,63.0,8.0,351.0,150.0,147.0,38.0,,,10.0,486.0,41.0,336.0,2.0,0.0,,936.0,427.0,24.0,,,91.0,15.0,29.0,11.0,1616.0,3.0,342.0,,1.0,9.0,31.0,11.0,36.0,25.0,18.0,63.0,11.0,4.0,125.0,43.0,17.0,3.0,5.0,13.0,13.0,,137.0,,,27.0,73.0,43.0,149.0,38.0,39.0,66.0,1.0,,395.0,9.0,5.0,,,3.0,,8.0,1.0,7.0,,,1.0,2.0,5.0,7.0,1.0,6.0,4.0,,
21083,Nathan Dyer,Midfielder,Swansea City,80,England,2011-12,220.0,,1.0,,62.0,,158.0,34.0,29.0,161.0,1030.0,,,18.0,4.0,,2374.0,10.0,197.0,4.0,193.0,853.0,,,,,13.0,38.0,206.0,120.0,,64.0,2.0,417.0,169.0,162.0,34.0,,,17.0,560.0,34.0,399.0,4.0,1.0,,1027.0,467.0,45.0,,,412.0,31.0,42.0,16.0,1687.0,3.0,320.0,,1.0,3.0,42.0,11.0,12.0,18.0,9.0,32.0,7.0,2.0,111.0,71.0,4.0,5.0,,11.0,14.0,,78.0,1.0,,41.0,54.0,71.0,145.0,14.0,21.0,67.0,,,329.0,14.0,19.0,,,1.0,1.0,5.0,1.0,4.0,1.0,1.0,,,,4.0,,,,,
11829,Wayne Routledge,Midfielder,Swansea City,80,England,2011-12,121.0,,0.0,,21.0,,132.0,28.0,17.0,140.0,672.0,,,16.0,3.0,,1461.0,3.0,76.0,4.0,70.0,520.0,,,1.0,,11.0,19.0,111.0,124.0,,27.0,0.0,197.0,165.0,101.0,28.0,,,3.0,343.0,15.0,181.0,6.0,0.0,,671.0,355.0,18.0,,,149.0,16.0,19.0,12.0,1035.0,6.0,198.0,,2.0,8.0,28.0,9.0,3.0,4.0,13.0,12.0,16.0,4.0,91.0,63.0,8.0,11.0,2.0,9.0,10.0,,43.0,2.0,,16.0,35.0,64.0,88.0,8.0,18.0,22.0,,1.0,234.0,1.0,12.0,,,,2.0,1.0,1.0,0.0,,,,,,,1.0,,,,
88821,Josh McEachran,Midfielder,Bristol Rovers,96,England,2011-12,6.0,,0.0,,4.0,,7.0,6.0,1.0,7.0,129.0,,,,,,138.0,,11.0,1.0,11.0,117.0,,,,,2.0,7.0,6.0,34.0,,4.0,0.0,17.0,33.0,13.0,6.0,,,2.0,71.0,6.0,17.0,,0.0,,127.0,12.0,2.0,,,32.0,1.0,5.0,5.0,156.0,,51.0,,0.0,,1.0,,,,,,3.0,,7.0,,,5.0,,,,,,,,2.0,2.0,,4.0,,,3.0,,,30.0,,1.0,,,,,,,,,,,,,,,,,,
40555,Joe Allen,Midfielder,Swansea City,80,Wales,2011-12,165.0,,1.0,,110.0,,153.0,36.0,31.0,192.0,2177.0,,,17.0,10.0,,2891.0,2.0,198.0,7.0,195.0,1789.0,,,,3.0,30.0,45.0,151.0,740.0,,49.0,0.0,363.0,341.0,256.0,36.0,,,28.0,973.0,38.0,346.0,3.0,0.0,,2150.0,347.0,82.0,,,595.0,27.0,74.0,196.0,2726.0,7.0,1025.0,,1.0,39.0,56.0,5.0,14.0,13.0,4.0,27.0,8.0,2.0,232.0,10.0,,5.0,26.0,13.0,14.0,,26.0,,,44.0,14.0,29.0,79.0,14.0,8.0,36.0,5.0,16.0,501.0,3.0,2.0,,,,1.0,4.0,2.0,2.0,,,6.0,,,3.0,1.0,,,1.0,
39217,Kemy Agustien,Midfielder,Kettering Town,294,Curacao,2011-12,36.0,,0.0,,11.0,,68.0,13.0,7.0,93.0,522.0,,,10.0,2.0,,712.0,,28.0,2.0,24.0,382.0,,,,,17.0,9.0,30.0,116.0,,9.0,0.0,64.0,170.0,52.0,13.0,,,1.0,199.0,7.0,54.0,4.0,0.0,,505.0,134.0,10.0,,,147.0,9.0,5.0,47.0,637.0,5.0,235.0,,3.0,25.0,21.0,3.0,3.0,,1.0,5.0,4.0,,37.0,7.0,,6.0,14.0,5.0,6.0,,3.0,1.0,,13.0,4.0,18.0,13.0,5.0,3.0,4.0,2.0,9.0,89.0,6.0,3.0,,,1.0,,,,,,,2.0,,,,,2.0,,,
1936,Mark Gower,Midfielder,Swansea City,80,England,2011-12,56.0,,0.0,,26.0,,96.0,20.0,14.0,133.0,847.0,,,10.0,4.0,,1127.0,4.0,43.0,,40.0,644.0,,,,1.0,16.0,13.0,49.0,263.0,,9.0,0.0,99.0,204.0,68.0,20.0,,,10.0,378.0,13.0,89.0,3.0,0.0,,816.0,229.0,16.0,,,240.0,15.0,16.0,70.0,1084.0,10.0,371.0,,2.0,37.0,38.0,10.0,4.0,1.0,,7.0,1.0,5.0,72.0,21.0,,6.0,61.0,35.0,7.0,,10.0,1.0,,31.0,3.0,60.0,19.0,6.0,11.0,5.0,5.0,32.0,140.0,3.0,8.0,,,,,,,,,,22.0,,,,,3.0,,,
55422,Gylfi Sigurdsson,Midfielder,Vikingur Reykjavík,2452,Iceland,2011-12,82.0,,0.0,,28.0,,98.0,18.0,17.0,104.0,671.0,,,14.0,2.0,,1499.0,4.0,74.0,4.0,70.0,538.0,,,,1.0,7.0,25.0,72.0,243.0,,25.0,6.0,156.0,135.0,94.0,18.0,,,8.0,381.0,21.0,142.0,4.0,0.0,,660.0,290.0,20.0,,,163.0,14.0,26.0,29.0,1094.0,,223.0,,0.0,6.0,23.0,5.0,27.0,23.0,4.0,44.0,20.0,3.0,48.0,35.0,,1.0,83.0,37.0,10.0,,42.0,,,47.0,13.0,100.0,49.0,21.0,28.0,17.0,5.0,49.0,130.0,1.0,5.0,,1.0,4.0,,7.0,6.0,1.0,1.0,1.0,27.0,,,5.0,1.0,14.0,,,1.0
15398,Danny Graham,Forward,Sunderland,56,England,2011-12,120.0,,0.0,,13.0,,126.0,36.0,32.0,133.0,589.0,,,82.0,5.0,,2845.0,12.0,66.0,7.0,47.0,442.0,,,,,39.0,41.0,57.0,147.0,,25.0,6.0,186.0,120.0,36.0,36.0,,,2.0,301.0,34.0,104.0,19.0,0.0,,589.0,232.0,11.0,,,111.0,17.0,19.0,14.0,907.0,,158.0,,0.0,7.0,21.0,3.0,6.0,37.0,,65.0,6.0,2.0,84.0,12.0,30.0,4.0,,3.0,63.0,,127.0,1.0,1.0,20.0,6.0,12.0,36.0,28.0,13.0,9.0,5.0,,211.0,9.0,12.0,,,3.0,,12.0,3.0,9.0,,,,,1.0,10.0,2.0,,1.0,,
17955,Stephen Dobbie,Forward,Bolton Wanderers,30,Scotland,2011-12,27.0,,0.0,,7.0,,24.0,8.0,2.0,28.0,109.0,,,1.0,,,256.0,2.0,11.0,,11.0,77.0,,,,,,5.0,26.0,21.0,,1.0,0.0,38.0,27.0,10.0,8.0,,,2.0,52.0,5.0,37.0,,0.0,,107.0,64.0,5.0,,,26.0,1.0,3.0,4.0,178.0,1.0,31.0,,0.0,4.0,2.0,1.0,1.0,6.0,,12.0,3.0,,9.0,1.0,,6.0,6.0,2.0,1.0,,7.0,,,2.0,4.0,8.0,19.0,6.0,3.0,3.0,,4.0,35.0,,1.0,,,,,,,,,,1.0,,,,,,,,
14166,Leroy Lita,Forward,Yeovil Town,283,England,2011-12,37.0,,0.0,,3.0,,26.0,16.0,4.0,26.0,104.0,,,19.0,,,456.0,4.0,19.0,1.0,12.0,76.0,,,1.0,,2.0,8.0,25.0,19.0,,7.0,0.0,56.0,8.0,6.0,16.0,,,1.0,48.0,7.0,37.0,7.0,0.0,,104.0,54.0,2.0,,,30.0,8.0,6.0,2.0,167.0,,30.0,,1.0,,5.0,,1.0,4.0,,11.0,,1.0,27.0,1.0,2.0,12.0,,,12.0,,21.0,,,2.0,1.0,1.0,16.0,7.0,3.0,2.0,,,47.0,,3.0,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,
15428,Luke Moore,Forward,Swansea City,80,England,2011-12,50.0,,0.0,,12.0,,30.0,20.0,3.0,31.0,197.0,,,15.0,,,520.0,,36.0,1.0,31.0,162.0,,,1.0,,8.0,8.0,40.0,47.0,,14.0,2.0,86.0,33.0,16.0,20.0,,,5.0,113.0,7.0,71.0,5.0,0.0,,194.0,74.0,7.0,,,52.0,17.0,2.0,4.0,307.0,,53.0,,1.0,1.0,4.0,,2.0,4.0,1.0,8.0,2.0,,22.0,4.0,2.0,17.0,,,10.0,,17.0,,,8.0,7.0,4.0,23.0,4.0,3.0,5.0,2.0,,65.0,1.0,3.0,,,,,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,
