matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918894,1.0,2017-08-12 17:30:00,36,Brighton,Home,72.0,7.0,,2.0,2.0,,2.0,60.0,6.0,,3.0,7.0,3.0,18.0,130.0,,,11.0,13.0,13.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,5.0,7.0,8.0,4.0,2.0,,27.0,51.0,,,,4.0,12.0,2.0,6.0,,,3.0,2.0,1.0,,8.0,2.0,35.0,38.0,4.0,39.0,17.0,,1.0,30.0,6.0,8.0,,2.0,2.0,,110.0,,,,,,11.0,,,,,,,,,17.0,,12.0,12.0,5.0,3.0,41.0,53.0,22.0,10.0,,,2.0,2.0,188.0,,,5.0,,1.0,25.0,40.0,11.0,,,,,,114.0,114.0,1.0,30.0,11.0,21.8,,,,,12.0,0.0,,,,35.0,1.0,2.0,3.0,,,2.0,,3.0,23.0,116.0,5.0,2.0,102.0,27.0,39.0,9.0,3.0,8.0,5.0,,47.0,7.0,119.0,,,18.0,3.0,49.0,6.0,213.0,,0.0,6.0,10.0,,18.0,0.0,375.0,9.0,2.0,7.0,3.0,8.0,0.0
918906,2.0,2017-08-19 15:00:00,36,Brighton,Away,271.0,19.0,,2.0,2.0,4.0,,166.0,4.0,1.0,6.0,5.0,11.0,53.0,435.0,,,20.0,17.0,16.0,2.0,,,,,,,,,5.0,,,,,,,,5.0,7.0,7.0,1.0,4.0,,95.0,57.0,1.0,1.0,,2.0,10.0,3.0,8.0,,,2.0,11.0,4.0,,7.0,2.0,46.0,39.0,2.0,20.0,12.0,1.0,1.0,67.0,10.0,7.0,,1.0,,,187.0,,,,,,9.0,,,,2.0,,,,,12.0,,9.0,9.0,2.0,6.0,118.0,83.0,46.0,6.0,,,2.0,2.0,503.0,,,6.0,1.0,,73.0,62.0,23.0,,,,,,142.0,142.0,,26.0,21.0,54.8,,,,,10.0,0.0,,,,126.0,1.0,1.0,2.0,,,,,2.0,71.0,422.0,3.0,3.0,298.0,39.0,20.0,9.0,2.0,17.0,15.0,,109.0,9.0,245.0,2.0,1.0,22.0,13.0,94.0,2.0,526.0,,0.0,5.0,11.0,,22.0,0.0,688.0,9.0,20.0,5.0,2.0,6.0,0.0
918921,3.0,2017-08-26 15:00:00,36,Brighton,Away,178.0,17.0,5.0,8.0,4.0,2.0,1.0,189.0,4.0,,10.0,5.0,5.0,45.0,359.0,,,14.0,20.0,20.0,11.0,2.0,,,1.0,,,,,10.0,,,,,1.0,,1.0,6.0,4.0,4.0,10.0,6.0,,47.0,57.0,,,,1.0,17.0,6.0,8.0,,,11.0,16.0,4.0,,4.0,,55.0,43.0,1.0,22.0,15.0,,,59.0,18.0,6.0,,4.0,2.0,1.0,152.0,,,,,,6.0,,,,4.0,,,,,15.0,2.0,7.0,7.0,,10.0,123.0,56.0,32.0,3.0,,7.0,6.0,2.0,419.0,,,3.0,1.0,,68.0,68.0,41.0,,,,,,125.0,125.0,4.0,23.0,19.0,57.8,1.0,,,,17.0,0.0,,,,111.0,,,,,,8.0,,3.0,99.0,349.0,7.0,13.0,193.0,28.0,22.0,11.0,10.0,31.0,22.0,,134.0,6.0,271.0,4.0,,20.0,8.0,78.0,5.0,433.0,,0.0,16.0,12.0,,15.0,1.0,611.0,25.0,11.0,5.0,11.0,9.0,0.0
918924,4.0,2017-09-09 15:00:00,36,Brighton,Home,208.0,20.0,1.0,3.0,2.0,1.0,,158.0,6.0,,9.0,5.0,17.0,30.0,363.0,,,11.0,24.0,15.0,5.0,1.0,,,,,,,,10.0,,,,,,,1.0,3.0,5.0,7.0,3.0,9.0,,70.0,61.0,,,,10.0,15.0,3.0,10.0,,,2.0,9.0,2.0,,6.0,1.0,49.0,38.0,10.0,35.0,24.0,,,73.0,9.0,4.0,3.0,,,,158.0,3.0,,2.0,3.0,,13.0,,,3.0,3.0,,,,,24.0,,17.0,17.0,1.0,9.0,114.0,70.0,32.0,6.0,,2.0,7.0,6.0,427.0,,,2.0,1.0,,46.0,83.0,24.0,,,,,,121.0,121.0,,38.0,12.0,48.6,,,,,15.0,0.0,,,,106.0,1.0,1.0,2.0,1.0,,3.0,,2.0,68.0,351.0,6.0,9.0,224.0,32.0,35.0,5.0,2.0,13.0,11.0,,115.0,6.0,237.0,3.0,,25.0,20.0,71.0,1.0,448.0,,0.0,12.0,17.0,,16.0,2.0,628.0,4.0,11.0,3.0,2.0,11.0,0.0
918933,5.0,2017-09-15 20:00:00,36,Brighton,Away,154.0,23.0,3.0,5.0,2.0,3.0,,141.0,5.0,,,8.0,16.0,41.0,290.0,,,13.0,23.0,17.0,2.0,3.0,,,,,,,,4.0,,,,1.0,,,,6.0,5.0,10.0,5.0,4.0,,79.0,55.0,1.0,,1.0,2.0,12.0,2.0,18.0,,,4.0,9.0,,,5.0,,63.0,53.0,2.0,25.0,11.0,,2.0,58.0,12.0,4.0,,,,,157.0,1.0,,1.0,1.0,,13.0,,,1.0,1.0,,,,,11.0,1.0,13.0,13.0,5.0,,75.0,90.0,43.0,6.0,1.0,3.0,3.0,2.0,365.0,,,7.0,2.0,,51.0,68.0,16.0,,,,,,147.0,147.0,2.0,32.0,18.0,37.5,1.0,3.0,,1.0,12.0,0.0,,,,79.0,,1.0,1.0,,,5.0,2.0,2.0,50.0,279.0,2.0,6.0,180.0,33.0,25.0,20.0,4.0,13.0,9.0,,87.0,13.0,223.0,1.0,,30.0,18.0,86.0,1.0,390.0,1.0,0.0,9.0,19.0,,23.0,0.0,560.0,12.0,14.0,13.0,4.0,16.0,0.0
918944,6.0,2017-09-24 16:00:00,36,Brighton,Home,179.0,22.0,1.0,3.0,2.0,7.0,,163.0,6.0,,2.0,4.0,12.0,38.0,339.0,,,21.0,21.0,33.0,4.0,,,,,,,1.0,,5.0,,,,,,,1.0,3.0,9.0,8.0,5.0,2.0,,58.0,52.0,,,,4.0,15.0,2.0,11.0,,,2.0,13.0,5.0,,8.0,2.0,51.0,62.0,4.0,40.0,25.0,,1.0,58.0,6.0,8.0,1.0,2.0,1.0,,166.0,1.0,,1.0,,1.0,11.0,,,,1.0,,,,,25.0,,11.0,11.0,3.0,2.0,105.0,74.0,32.0,8.0,,2.0,3.0,3.0,412.0,,,5.0,2.0,,86.0,81.0,28.0,,,,,,145.0,145.0,3.0,21.0,19.0,48.8,,,,,15.0,0.0,,,,109.0,3.0,2.0,5.0,,,2.0,2.0,1.0,82.0,325.0,9.0,5.0,195.0,39.0,40.0,12.0,2.0,21.0,19.0,,128.0,14.0,264.0,1.0,,19.0,13.0,75.0,1.0,438.0,,0.0,7.0,16.0,1.0,25.0,2.0,629.0,20.0,7.0,6.0,2.0,8.0,0.0
918954,7.0,2017-10-01 12:00:00,36,Brighton,Away,146.0,12.0,1.0,4.0,3.0,4.0,1.0,127.0,5.0,1.0,6.0,,8.0,19.0,269.0,,,20.0,30.0,13.0,6.0,1.0,,,,,,,,7.0,,,,,,1.0,2.0,6.0,14.0,11.0,4.0,5.0,,64.0,56.0,,,,2.0,15.0,3.0,10.0,3.0,,5.0,7.0,5.0,,7.0,3.0,63.0,40.0,2.0,22.0,11.0,,1.0,37.0,8.0,7.0,,2.0,1.0,,132.0,,,,,,14.0,,,,1.0,,,,,11.0,1.0,19.0,19.0,5.0,6.0,88.0,54.0,24.0,6.0,,5.0,2.0,1.0,329.0,,,9.0,1.0,,59.0,38.0,29.0,,,,,,135.0,135.0,3.0,30.0,13.0,34.8,1.0,,,,15.0,0.0,,,,73.0,7.0,2.0,6.0,,,5.0,1.0,3.0,69.0,255.0,7.0,7.0,178.0,32.0,22.0,18.0,5.0,18.0,13.0,,95.0,10.0,197.0,1.0,1.0,18.0,10.0,61.0,3.0,357.0,,0.0,9.0,10.0,,26.0,2.0,548.0,15.0,8.0,10.0,5.0,6.0,0.0
918963,8.0,2017-10-15 13:30:00,36,Brighton,Home,154.0,17.0,1.0,5.0,4.0,3.0,,136.0,7.0,,3.0,10.0,8.0,34.0,285.0,1.0,,14.0,24.0,25.0,4.0,1.0,,,,,,,,6.0,,,,,,,1.0,5.0,7.0,6.0,8.0,4.0,,61.0,72.0,1.0,,1.0,5.0,18.0,6.0,12.0,,,7.0,16.0,3.0,,13.0,3.0,68.0,61.0,5.0,26.0,11.0,,,64.0,12.0,9.0,,1.0,2.0,,156.0,1.0,,1.0,1.0,,9.0,,,1.0,,,,,,11.0,,16.0,16.0,,4.0,87.0,83.0,38.0,1.0,1.0,2.0,4.0,3.0,363.0,,,2.0,,,57.0,67.0,34.0,1.0,1.0,1.0,,,160.0,160.0,5.0,39.0,21.0,46.9,,2.0,,1.0,18.0,0.0,,,,81.0,4.0,1.0,5.0,,,3.0,4.0,3.0,71.0,272.0,9.0,6.0,176.0,35.0,26.0,16.0,6.0,27.0,21.0,,121.0,13.0,236.0,,,33.0,8.0,79.0,5.0,385.0,1.0,0.0,12.0,18.0,1.0,18.0,4.0,595.0,23.0,8.0,9.0,7.0,9.0,0.0
918982,9.0,2017-10-20 20:00:00,36,Brighton,Away,151.0,10.0,2.0,3.0,2.0,4.0,,103.0,3.0,,1.0,10.0,7.0,35.0,251.0,,2.0,8.0,15.0,22.0,2.0,1.0,,,,,,,1.0,4.0,1.0,,,,,,1.0,5.0,8.0,8.0,5.0,2.0,,50.0,68.0,3.0,2.0,2.0,2.0,16.0,1.0,8.0,,,3.0,5.0,2.0,,6.0,1.0,50.0,41.0,2.0,45.0,23.0,,,36.0,13.0,5.0,2.0,2.0,1.0,,144.0,2.0,1.0,1.0,1.0,1.0,9.0,,,1.0,1.0,,,,,23.0,,14.0,14.0,1.0,1.0,72.0,67.0,31.0,10.0,1.0,1.0,4.0,5.0,317.0,,,9.0,,,44.0,40.0,17.0,,,,,1.0,137.0,137.0,1.0,38.0,23.0,35.0,,,,,16.0,0.0,,,,71.0,,2.0,2.0,,,1.0,,3.0,34.0,240.0,10.0,5.0,183.0,22.0,45.0,14.0,3.0,10.0,8.0,,64.0,14.0,164.0,1.0,,33.0,7.0,71.0,1.0,337.0,,0.0,7.0,10.0,2.0,17.0,0.0,527.0,9.0,19.0,5.0,3.0,7.0,0.0
918985,10.0,2017-10-29 13:30:00,36,Brighton,Home,198.0,22.0,,5.0,5.0,5.0,1.0,202.0,2.0,1.0,3.0,4.0,8.0,33.0,395.0,,,18.0,9.0,16.0,5.0,1.0,,,,,,,,4.0,,,,,,,3.0,6.0,3.0,3.0,6.0,1.0,,60.0,66.0,3.0,3.0,,2.0,20.0,1.0,8.0,,,2.0,11.0,5.0,,13.0,,41.0,52.0,2.0,20.0,17.0,,,66.0,9.0,9.0,1.0,,3.0,,162.0,1.0,,1.0,1.0,,4.0,,,1.0,,,,,1.0,17.0,,7.0,7.0,2.0,3.0,130.0,76.0,40.0,7.0,,4.0,3.0,2.0,473.0,,,3.0,2.0,,83.0,62.0,24.0,,,,,,143.0,143.0,3.0,34.0,23.0,51.9,,,1.0,,20.0,0.0,,,,138.0,,,,1.0,,4.0,,2.0,93.0,383.0,7.0,7.0,225.0,40.0,20.0,12.0,2.0,21.0,19.0,,138.0,11.0,286.0,,1.0,26.0,9.0,69.0,,490.0,,0.0,7.0,18.0,,23.0,3.0,657.0,13.0,9.0,9.0,2.0,11.0,0.0
