playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,goalsConceded,rightsidePasses,winningGoal,duels,forwardPasses,recoveries,appearances,totalTackles,unsuccessfulShortPasses,gamesPlayed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,groundDuels,openPlayPasses,substituteOn,totalLossesOfPossession,tacklesWon,aerialDuels,leftsidePasses,interceptions,backwardPasses,timePlayed,touches,aerialDuelsLost,duelsWon,groundDuelsWon,successfulPassesOwnHalf,successfulShortPasses,totalTouchesInOppositionBox,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,throughBalls,successfulLayoffs,starts,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,throwInsToOppositionPlayer,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,homeGoals,rightFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,totalFoulsConceded,successfulLongPasses,substituteOff,unsuccessfulLaunches,unsuccessfulLongPasses,overruns,goalAssists,cleanSheets,goalsConcededOutsideBox,successfulCornersIntoBox,penaltyGoalsConceded,successfulLaunches,totalClearances,leftFootGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,handballsConceded,foulWonPenalty,lastPlayerTackle,clearancesOffTheLine,hitWoodwork,penaltiesTaken,penaltyGoals,penaltiesConceded,ownGoalScored,punches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,goalkeeperSmother,drops,crossesNotClaimed,redCards2ndYellow
56996,Amine Linganzi,Midfielder,Blackburn,5,Congo,2010-11,0.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,6.0,1.0,1.0,2.0,7.0,1.0,1.0,11.0,2.0,7.0,19.0,2.0,19.0,1.0,8.0,1.0,1.0,7.0,2.0,3.0,38.0,24.0,1.0,2.0,2.0,1.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740,Brett Emerton,Midfielder,Blackburn,5,Australia,2010-11,0.0,0.0,4.0,127.0,43.0,99.0,2.0,199.0,221.0,92.0,30.0,37.0,127.0,30.0,8.0,362.0,39.0,158.0,714.0,158.0,707.0,6.0,322.0,29.0,41.0,252.0,25.0,142.0,2193.0,1109.0,29.0,72.0,60.0,224.0,519.0,38.0,36.0,23.0,9.0,11.0,26.0,2.0,34.0,24.0,48.0,4.0,6.0,2.0,14.0,30.0,4.0,10.0,28.0,98.0,15.0,2.0,1.0,17.0,,63.0,49.0,12.0,15.0,11.0,8.0,4.0,36.0,37.0,4.0,17.0,31.0,3.0,5.0,4.0,4.0,6.0,4.0,3.0,34.0,3.0,1.0,8.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1274,David Dunn,Midfielder,Blackburn,5,England,2010-11,0.0,0.0,3.0,123.0,24.0,112.0,2.0,205.0,280.0,75.0,27.0,36.0,134.0,27.0,8.0,273.0,23.0,175.0,588.0,177.0,582.0,10.0,298.0,28.0,28.0,110.0,19.0,86.0,1389.0,894.0,18.0,82.0,72.0,153.0,389.0,21.0,19.0,8.0,4.0,6.0,21.0,8.0,20.0,17.0,26.0,2.0,1.0,1.0,10.0,13.0,2.0,,14.0,105.0,16.0,1.0,1.0,27.0,1.0,37.0,56.0,10.0,15.0,8.0,20.0,2.0,29.0,24.0,11.0,10.0,41.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,22.0,,1.0,5.0,7.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
6557,El Hadji Diouf,Midfielder,Blackburn,5,Senegal,2010-11,0.0,0.0,4.0,111.0,27.0,125.0,0.0,229.0,253.0,102.0,20.0,34.0,148.0,20.0,8.0,266.0,25.0,165.0,562.0,179.0,553.0,2.0,343.0,26.0,50.0,73.0,32.0,111.0,1563.0,969.0,32.0,118.0,100.0,151.0,376.0,49.0,39.0,20.0,6.0,5.0,14.0,6.0,20.0,18.0,82.0,,10.0,,10.0,20.0,4.0,,20.0,79.0,52.0,,,28.0,,86.0,52.0,18.0,9.0,14.0,14.0,,21.0,21.0,7.0,21.0,17.0,4.0,3.0,3.0,2.0,,,4.0,11.0,,,4.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
38159,Herold Goulon,Midfielder,Blackburn,5,France,2010-11,0.0,0.0,0.0,10.0,4.0,6.0,0.0,16.0,10.0,6.0,4.0,1.0,9.0,4.0,,8.0,4.0,11.0,26.0,10.0,26.0,3.0,14.0,1.0,6.0,7.0,2.0,3.0,57.0,44.0,3.0,6.0,3.0,8.0,15.0,1.0,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,7.0,,,,,,,3.0,3.0,1.0,,2.0,,2.0,,1.0,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92488,Jason Lowe,Midfielder,Blackburn,5,England,2010-11,0.0,0.0,0.0,1.0,2.0,4.0,0.0,5.0,12.0,2.0,1.0,3.0,5.0,1.0,,14.0,2.0,7.0,30.0,4.0,30.0,1.0,8.0,3.0,1.0,8.0,3.0,6.0,66.0,40.0,,4.0,3.0,9.0,21.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,2.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17152,Jermaine Jones,Midfielder,Blackburn,5,United States,2010-11,0.0,0.0,8.0,90.0,22.0,87.0,0.0,181.0,198.0,79.0,15.0,57.0,113.0,15.0,19.0,205.0,19.0,138.0,440.0,157.0,439.0,,191.0,38.0,24.0,122.0,46.0,33.0,1296.0,701.0,13.0,91.0,80.0,98.0,271.0,12.0,26.0,1.0,2.0,2.0,11.0,2.0,16.0,15.0,10.0,,,,,1.0,,1.0,10.0,77.0,19.0,,,7.0,,10.0,20.0,11.0,9.0,7.0,4.0,11.0,40.0,31.0,4.0,16.0,25.0,1.0,,3.0,3.0,,6.0,1.0,26.0,,2.0,,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
87860,Josh Morris,Midfielder,Blackburn,5,England,2010-11,0.0,0.0,0.0,9.0,4.0,10.0,0.0,13.0,5.0,5.0,4.0,1.0,2.0,4.0,,16.0,4.0,4.0,29.0,11.0,29.0,4.0,14.0,1.0,2.0,2.0,2.0,12.0,83.0,50.0,2.0,4.0,4.0,11.0,25.0,1.0,2.0,1.0,,,,,1.0,,4.0,,,,1.0,2.0,,,1.0,7.0,3.0,,,5.0,,4.0,6.0,,,1.0,,,1.0,,,1.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7670,Keith Andrews,Midfielder,Blackburn,5,Ireland,2010-11,0.0,0.0,0.0,13.0,6.0,34.0,0.0,27.0,43.0,21.0,5.0,9.0,26.0,5.0,2.0,52.0,5.0,29.0,136.0,24.0,135.0,3.0,33.0,7.0,3.0,41.0,4.0,18.0,225.0,167.0,2.0,14.0,13.0,55.0,96.0,2.0,6.0,,,1.0,1.0,1.0,7.0,2.0,1.0,,,,,,,,1.0,11.0,3.0,,,,,1.0,2.0,1.0,,,1.0,,3.0,11.0,1.0,1.0,3.0,,,,1.0,,1.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
58900,Mauro Formica,Midfielder,Blackburn,5,Argentina,2010-11,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
