playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,timesTackled,successfulDribbles,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,aerialDuelsLost,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,secondGoalAssists,goals,offsides,awayGoals,substituteOn,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesConceded,homeGoals,headedGoals,foulWonPenalty,handballsConceded,hitWoodwork,penaltiesTaken,penaltyGoals
11554,Julian Speroni,Goalkeeper,Crystal Palace,31,Argentina,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20066,Wayne Hennessey,Goalkeeper,Nottingham Forest,17,Wales,2016-17,0.0,0.0,1.0,1.0,0.2003,46.0,32.0,29.0,29.0,427.0,809.0,267.0,5.0,6.0,7.0,2.0,2610.0,7.0,5.0,1.0,76.0,6.0,2.0,39.1492,3.0,159.0,15.0,46.0,1.0,16.0,83.0,3.0,0.0,8.0,4.0,753.0,242.0,29.0,4.0,1.0,294.0,41.0,2.0,6.0,223.0,287.0,431.0,137.0,24.0,40.0,306.0,1062.0,235.0,88.0,51.0,427.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44413,Steve Mandanda,Goalkeeper,Rennes,150,France,2016-17,0.0,0.0,0.0,1.0,0.0254,6.0,6.0,9.0,9.0,107.0,262.0,70.0,4.0,2.0,,,810.0,3.0,6.0,1.0,68.0,5.0,,11.0304,,46.0,5.0,17.0,1.0,23.0,24.0,1.0,0.0,4.0,2.0,208.0,76.0,9.0,,,65.0,11.0,2.0,2.0,84.0,144.0,112.0,28.0,5.0,31.0,87.0,349.0,69.0,90.0,18.0,107.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55494,Joel Ward,Defender,Crystal Palace,31,England,2016-17,0.0,0.0,7.0,146.0,1.2682,,,38.0,38.0,343.0,1298.0,,,105.0,7.0,,3418.0,222.0,11.0,160.0,862.0,,2.0,50.1796,10.0,34.0,134.0,63.0,103.0,161.0,,53.0,0.0,368.0,,667.0,194.0,38.0,,,558.0,52.0,263.0,62.0,,1281.0,547.0,,,258.0,93.0,2340.0,94.0,412.0,,150.0,90.0,46.0,20.0,15.0,6.0,2.0,0.1749,89.0,8.0,1.0,193.0,1.0,11.0,63.0,3.0,2.0,15.0,43.0,75.0,18.0,52.0,3.0,30.0,2.0,21.0,12.0,63.0,3.0,6.0,13.0,68.0,11.0,37.0,59.0,1.0,212.0,346.0,1.0,3.0,10.0,1.1046,1.0,,,,,,,,,,,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,Galatasaray,208,Netherlands,2016-17,0.0,0.0,3.0,84.0,1.9923,,,32.0,28.0,208.0,1002.0,,,27.0,3.0,,2498.0,105.0,7.0,95.0,735.0,,4.0,35.3618,35.0,11.0,65.0,53.0,67.0,387.0,,16.0,1.0,189.0,,391.0,170.0,32.0,,,484.0,46.0,162.0,10.0,,959.0,381.0,,,44.0,59.0,1703.0,28.0,332.0,,67.0,60.0,32.0,36.0,18.0,7.0,13.0,5.6639,43.0,27.0,2.0,141.0,1.0,5.0,37.0,4.0,4.0,22.0,17.0,39.0,43.0,46.0,2.0,18.0,4.0,11.0,19.0,56.0,2.0,14.0,15.0,32.0,9.0,15.0,57.0,2.0,180.0,197.0,4.0,4.0,12.0,2.58,,5.0,6.0,0.0,4.0,3.0,3.0,2.0,1.0,4.0,6.0,6.0,12.0,0.4844,15.0,1.0,1.0,5.0,,,,,,
49413,James Tomkins,Defender,Crystal Palace,31,England,2016-17,0.0,0.0,4.0,69.0,0.5094,,,24.0,23.0,168.0,728.0,,,98.0,3.0,,1976.0,96.0,7.0,38.0,484.0,,,27.8825,2.0,30.0,124.0,36.0,29.0,173.0,,9.0,0.0,165.0,,333.0,93.0,24.0,,,190.0,29.0,67.0,58.0,,699.0,187.0,,,173.0,76.0,1017.0,70.0,372.0,,104.0,34.0,3.0,2.0,2.0,1.0,4.0,2.4743,28.0,13.0,,64.0,,,1.0,,,2.0,40.0,12.0,22.0,6.0,1.0,6.0,,10.0,,1.0,1.0,9.0,4.0,18.0,13.0,10.0,37.0,,49.0,18.0,5.0,,8.0,3.5526,,3.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,2.0,,,,,,
19188,Scott Dann,Defender,Reading,108,England,2016-17,0.0,0.0,2.0,76.0,0.6501,,,23.0,19.0,157.0,608.0,,,120.0,2.0,,1744.0,99.0,5.0,31.0,388.0,,2.0,30.7022,5.0,20.0,102.0,36.0,24.0,97.0,,13.0,2.0,175.0,,274.0,93.0,23.0,,,141.0,31.0,55.0,68.0,,590.0,168.0,,,186.0,63.0,849.0,44.0,311.0,,74.0,35.0,5.0,2.0,1.0,3.0,10.0,2.3654,17.0,18.0,,83.0,1.0,1.0,2.0,,,1.0,52.0,10.0,43.0,,3.0,7.0,,7.0,2.0,2.0,3.0,8.0,5.0,10.0,19.0,14.0,32.0,1.0,51.0,1.0,1.0,,5.0,1.3164,,3.0,,1.0,4.0,7.0,7.0,,1.0,,1.0,1.0,,0.0088,,,1.0,2.0,2.0,,,,,
40784,Mamadou Sakho,Defender,Crystal Palace,31,France,2016-17,0.0,0.0,0.0,26.0,0.1811,,,8.0,8.0,39.0,225.0,,,36.0,4.0,,687.0,28.0,,9.0,174.0,,,8.4778,4.0,3.0,47.0,6.0,9.0,77.0,,3.0,0.0,54.0,,100.0,59.0,8.0,,,54.0,6.0,18.0,19.0,,220.0,49.0,,,34.0,12.0,327.0,10.0,133.0,,16.0,13.0,4.0,3.0,1.0,,,,3.0,2.0,,23.0,,,,,,1.0,17.0,4.0,9.0,,,3.0,,1.0,1.0,,,2.0,,2.0,3.0,1.0,15.0,1.0,14.0,2.0,1.0,,1.0,0.1674,,,,,,,,,,,,,,,,,,,,,,,,
86417,Jeffrey Schlupp,Midfielder,Crystal Palace,31,Ghana,2016-17,0.0,0.0,0.0,62.0,0.258,,,19.0,12.0,97.0,349.0,,,41.0,3.0,,1136.0,83.0,3.0,60.0,225.0,,,10.6729,6.0,15.0,49.0,17.0,44.0,89.0,,11.0,0.0,145.0,,175.0,73.0,19.0,,,168.0,14.0,104.0,23.0,,344.0,187.0,,,28.0,27.0,681.0,35.0,86.0,,45.0,36.0,27.0,15.0,2.0,2.0,,,35.0,1.0,,52.0,,6.0,13.0,1.0,,2.0,18.0,25.0,20.0,24.0,1.0,13.0,,8.0,15.0,13.0,1.0,1.0,5.0,27.0,4.0,4.0,26.0,,57.0,65.0,4.0,1.0,2.0,0.0973,,,,,7.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,
106603,Ezekiel Fryers,Defender,Swindon Town,46,England,2016-17,0.0,0.0,0.0,14.0,0.5505,,,8.0,,20.0,70.0,,,3.0,,,182.0,5.0,1.0,5.0,45.0,,,6.1879,1.0,4.0,5.0,7.0,11.0,28.0,,2.0,0.0,19.0,,27.0,17.0,8.0,,,30.0,6.0,16.0,,,70.0,35.0,,,5.0,5.0,133.0,5.0,23.0,,7.0,7.0,5.0,1.0,3.0,,,,2.0,,,13.0,1.0,,6.0,,,3.0,3.0,10.0,4.0,1.0,,7.0,,1.0,2.0,6.0,,,2.0,1.0,1.0,4.0,1.0,,10.0,23.0,,,4.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,
