season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385502,1,14,Liverpool,Away,791,15157,James Milner,james-milner,M,True,1.0,,1.0,6.0,5.0,10.0,3.0,,2.0,,,,,,3.0,6.0,,,,0.0745687,0.0,0.0,,,,,,,,,31.0,,,,,,,,,10.0,,6.1,,,,,,,1.0,,3.0,,10.0,7.0,16.0,0,,25.0,,,,
2022-23,10385502,1,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,5.0,21.0,24.0,45.0,,,8.0,1.0,,1.0,,,,1.0,,,,0.137536,0.0603,0.0,1.0,,,,,1.0,1.0,2.0,90.0,,,,,,,,,21.0,,7.3,,,1.0,,1.0,,1.0,,8.0,,35.0,29.0,63.0,2,,73.0,2.0,,,
2022-23,10385502,1,14,Liverpool,Away,53825,61558,Thiago Alcântara,thiago-alcantara,M,False,,,9.0,23.0,24.0,47.0,3.0,2.0,8.0,,,,1.0,,1.0,6.0,3.0,,,0.0249445,0.0,0.0,,,,,,,1.0,1.0,51.0,,,,,,,,,10.0,,6.8,,,,,,1.0,,,10.0,,26.0,28.0,54.0,0,,64.0,1.0,1.0,,
2022-23,10385502,1,14,Liverpool,Away,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,1.0,13.0,5.0,18.0,,1.0,3.0,,,,,,2.0,2.0,2.0,,,0.018293,0.0,0.0,,,,,,,,,51.0,,1.0,,,,,,,11.0,,6.6,,,,,,,,,1.0,,16.0,8.0,24.0,0,1.0,34.0,2.0,,,1.0
2022-23,10385502,1,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,1.0,18.0,5.0,22.0,,,2.0,1.0,,,2.0,,1.0,6.0,2.0,,,0.198509,0.3788,0.7329,,,1.0,,,,1.0,1.0,90.0,1.0,,,,,,,,18.0,,7.7,,,1.0,,,5.0,1.0,,2.0,2.0,28.0,5.0,32.0,2,,49.0,3.0,,2.0,
2022-23,10385502,1,14,Liverpool,Away,243585,116643,Fabinho,fabinho,M,False,,,4.0,12.0,17.0,29.0,1.0,,6.0,,,,,,,1.0,2.0,,,0.00535549,0.0,0.0,,,,,,,1.0,,59.0,,1.0,,,,,,,9.0,,6.9,,,,,,,1.0,,6.0,,18.0,19.0,36.0,0,1.0,43.0,1.0,1.0,,1.0
2022-23,10385502,1,14,Liverpool,Away,883537,244731,Luis Díaz,luis-diaz,M,False,,,1.0,12.0,7.0,19.0,2.0,,2.0,,,1.0,,,4.0,7.0,3.0,,,0.017478,0.1826,0.0,1.0,,,,,1.0,,,78.0,,,,,,,,,10.0,,6.6,,,1.0,,,1.0,,,1.0,,15.0,8.0,23.0,2,,37.0,1.0,2.0,1.0,
2022-23,10385502,1,14,Liverpool,Away,955245,444884,Harvey Elliott,harvey-elliott,M,True,,,,13.0,4.0,17.0,2.0,,4.0,,,,,,1.0,4.0,1.0,,,0.0183484,0.0,0.0,,,,,,,1.0,1.0,39.0,,,,,,,,,7.0,,6.3,,,,,,1.0,1.0,,,,17.0,4.0,20.0,0,,27.0,1.0,1.0,,
2022-23,10385502,1,14,Liverpool,Away,1134530,462491,Luke Chambers,luke-chambers,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385502,1,14,Liverpool,Away,1142636,535928,Stefan Bajčetić,stefan-bajcetic,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
