season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385491,1,13,Leicester_City,Home,47737,51938,Marc Albrighton,marc-albrighton,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385491,1,13,Leicester_City,Home,123166,86881,Nampalys Mendy,nampalys-mendy,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385491,1,13,Leicester_City,Home,135647,106837,Dennis Praet,dennis-praet,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385491,1,13,Leicester_City,Home,308526,155569,Daniel Amartey,daniel-amartey,M,False,,,3.0,36.0,33.0,69.0,,,8.0,,,,,,,,,2.0,,,0.0174146,0.0128,0.0,,,,,,,,1.0,,90.0,,,,,,,,,3.0,,6.7,,,1.0,,,1.0,,,3.0,,37.0,33.0,70.0,1,1.0,77.0,1.0,,1.0,
2022-23,10385491,1,13,Leicester_City,Home,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,2.0,44.0,22.0,66.0,2.0,5.0,8.0,,,,,,,,3.0,9.0,,,0.148377,0.1205,0.2572,1.0,,,,,1.0,,1.0,,90.0,2.0,,,,,,,,13.0,,7.6,,,2.0,,,1.0,,,3.0,,50.0,23.0,73.0,4,2.0,90.0,4.0,1.0,1.0,1.0
2022-23,10385491,1,13,Leicester_City,Home,356398,172780,James Maddison,james-maddison,M,False,1.0,,4.0,44.0,11.0,54.0,1.0,,,,,3.0,,,,,5.0,2.0,,,0.182376,0.2864,0.0197,2.0,1.0,,,,,,5.0,,90.0,1.0,,,,,,,,19.0,,7.7,,,2.0,,1.0,3.0,5.0,,5.0,,56.0,13.0,64.0,6,,88.0,3.0,1.0,1.0,
2022-23,10385491,1,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,,44.0,24.0,68.0,,,10.0,,,,,,,1.0,2.0,3.0,,,0.0241406,0.0,0.0,1.0,,,,,,1.0,,,90.0,,,,,,,,,12.0,,6.8,,,,,,1.0,,,2.0,,50.0,27.0,77.0,0,2.0,87.0,2.0,,1.0,1.0
2022-23,10385491,1,13,Leicester_City,Home,861970,215413,Kiernan Dewsbury-Hall,kiernan-dewsbury-hall,M,False,,,5.0,30.0,10.0,40.0,,,2.0,,,,3.0,,,1.0,4.0,3.0,,,0.0307666,0.0179,0.4142,,,1.0,,,,2.0,1.0,,73.0,1.0,,,,,,,,9.0,,7.4,,,,,,1.0,1.0,,5.0,,34.0,11.0,44.0,1,1.0,58.0,3.0,1.0,1.0,1.0
2022-23,10385500,2,13,Leicester_City,Away,47737,51938,Marc Albrighton,marc-albrighton,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385500,2,13,Leicester_City,Away,123166,86881,Nampalys Mendy,nampalys-mendy,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385500,2,13,Leicester_City,Away,135647,106837,Dennis Praet,dennis-praet,M,True,,,1.0,7.0,6.0,13.0,,,4.0,,,,1.0,,,,2.0,,,,0.00661073,0.0,0.0,1.0,,,,,,,,,27.0,,,,,,,,,2.0,,6.4,,,,,,,,,1.0,,9.0,6.0,15.0,0,,15.0,,,,
2022-23,10385500,2,13,Leicester_City,Away,308526,155569,Daniel Amartey,daniel-amartey,M,False,,,3.0,14.0,36.0,50.0,1.0,3.0,5.0,,,,,,,1.0,2.0,4.0,,,0.00570811,0.0,0.0,,,,,,,,,,63.0,,1.0,,,,,,,8.0,,6.4,,,,,1.0,,,,6.0,,17.0,40.0,57.0,0,1.0,62.0,,,,1.0
2022-23,10385500,2,13,Leicester_City,Away,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,2.0,12.0,11.0,23.0,1.0,,3.0,,,,,,,,1.0,1.0,,,0.0098841,0.0,0.0,,,,,,,,,,63.0,,,,,,,,,8.0,,6.4,,,,,,,1.0,,5.0,,16.0,14.0,29.0,0,,36.0,1.0,1.0,,
2022-23,10385500,2,13,Leicester_City,Away,356398,172780,James Maddison,james-maddison,M,False,1.0,,4.0,20.0,12.0,31.0,,,2.0,,,,1.0,,,1.0,4.0,6.0,,,0.0496497,0.2195,0.1733,2.0,,1.0,,,,,1.0,,90.0,1.0,,,,,,,,17.0,,7.7,,,1.0,,,,6.0,,4.0,,30.0,14.0,38.0,2,1.0,58.0,4.0,5.0,,
2022-23,10385500,2,13,Leicester_City,Away,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,1.0,17.0,15.0,32.0,1.0,2.0,6.0,,,,1.0,,,,3.0,5.0,,,0.00567781,0.0,0.0,1.0,,,,,,,,1.0,90.0,,,,,,,,,5.0,,6.6,,,,,2.0,,,,3.0,,21.0,16.0,37.0,0,3.0,44.0,,,,3.0
2022-23,10385500,2,13,Leicester_City,Away,861970,215413,Kiernan Dewsbury-Hall,kiernan-dewsbury-hall,M,False,,,1.0,13.0,19.0,32.0,2.0,1.0,4.0,,,,2.0,,,,6.0,4.0,,,0.013113,0.0278,0.0,1.0,,,,,,2.0,,,90.0,,,,,,,,,17.0,,6.1,,,1.0,,,2.0,1.0,,5.0,,21.0,26.0,46.0,1,,56.0,,2.0,1.0,
