season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard,attFreekickPost,attOneOnOne,attPostRight,attemptedTackleFoul,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,contentiousDecision,fwdPass,overrun,putThrough,rightsidePass,successfulPutThrough,unsuccessfulTouch,attLgRight,attObxdRight,ptsDroppedWinningPos,ptsGainedLosingPos
2009-10,284003,1.0,2009-08-15 12:45:00,88,Hull,Away,74.0,7.0,,2.0,2.0,4.0,,81.0,6.0,2.0,2.0,11.0,10.0,20.0,153.0,,1.0,6.0,19.0,16.0,3.0,,,,,,,,,,,,,,,,,2.0,15.0,18.0,,,,58.0,2.0,2.0,3.0,,4.0,3.0,8.0,,11.0,5.0,51.0,56.0,2.0,26.0,11.0,,2.0,,,,,,67.0,16.0,14.0,,,,,,,,,,,,22.0,,,,2.0,,,,1.0,25.0,,18.0,17.0,,,4.0,,75.0,32.0,12.0,1.0,2.0,1.0,2.0,,,,6.0,,44.0,35.0,23.0,,,,,,143.0,126.0,1.0,30.0,16.0,32.4,,2.0,0.0,,,,4.0,4.0,,,,,4.0,,,3.0,39.0,,3.0,86.0,21.0,43.0,8.0,3.0,16.0,13.0,,84.0,12.0,155.0,2.0,2.0,26.0,12.0,49.0,2.0,225.0,1.0,0.0,8.0,21.0,1.0,12.0,2.0,488.0,,,5.0,4.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284014,2.0,2009-08-19 19:45:00,88,Hull,Home,101.0,9.0,1.0,5.0,4.0,7.0,,108.0,7.0,,3.0,9.0,12.0,21.0,204.0,,2.0,17.0,16.0,14.0,7.0,,,,1.0,,1.0,2.0,,,,,,,,,,,8.0,10.0,,,,49.0,4.0,2.0,12.0,,6.0,4.0,8.0,,12.0,1.0,69.0,43.0,4.0,15.0,5.0,,,,,,,,76.0,24.0,13.0,,1.0,,,2.0,,,,,,,11.0,,,,1.0,,,,,8.0,,22.0,22.0,3.0,,3.0,,96.0,47.0,5.0,1.0,1.0,6.0,6.0,,,,4.0,,47.0,25.0,24.0,,,,,,151.0,144.0,2.0,24.0,14.0,41.8,,,0.0,,,,1.0,2.0,,,1.0,,2.0,,,3.0,50.0,,7.0,118.0,20.0,22.0,9.0,6.0,21.0,15.0,,107.0,15.0,208.0,1.0,,30.0,14.0,51.0,2.0,305.0,,0.0,10.0,12.0,3.0,20.0,3.0,525.0,,,4.0,6.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284024,3.0,2009-08-22 15:00:00,88,Hull,Home,57.0,19.0,2.0,6.0,4.0,2.0,,113.0,4.0,,4.0,9.0,4.0,17.0,164.0,,2.0,14.0,22.0,20.0,8.0,2.0,,,,,,,,,,,,,,1.0,,1.0,15.0,8.0,,,,45.0,5.0,1.0,6.0,,4.0,4.0,4.0,,16.0,4.0,71.0,61.0,5.0,40.0,16.0,,,,,,,,87.0,19.0,18.0,1.0,,,,,1.0,,1.0,1.0,,,13.0,,,,3.0,,,,,33.0,1.0,12.0,12.0,,,4.0,,96.0,30.0,12.0,,6.0,5.0,4.0,,,,7.0,,42.0,40.0,23.0,,,,,,183.0,155.0,4.0,10.0,15.0,46.6,1.0,8.0,0.0,,,,3.0,2.0,,,1.0,,7.0,,,3.0,47.0,,11.0,71.0,35.0,68.0,13.0,4.0,14.0,10.0,,114.0,9.0,214.0,3.0,,39.0,5.0,58.0,3.0,271.0,,0.0,12.0,18.0,3.0,18.0,3.0,533.0,,,5.0,4.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284039,4.0,2009-08-29 15:00:00,88,Hull,Away,67.0,4.0,1.0,2.0,1.0,1.0,,107.0,3.0,,2.0,11.0,11.0,19.0,172.0,,1.0,27.0,22.0,14.0,2.0,1.0,,,,,,,,,,,,,,,,,15.0,9.0,,,,55.0,5.0,1.0,2.0,1.0,2.0,15.0,2.0,,8.0,1.0,51.0,47.0,5.0,26.0,16.0,,1.0,,,,,,98.0,15.0,11.0,,,,,,1.0,,1.0,1.0,,,11.0,,,,,,,,,43.0,,22.0,22.0,1.0,,2.0,,99.0,32.0,8.0,1.0,,4.0,3.0,,,,8.0,,54.0,42.0,15.0,,,,,,198.0,161.0,5.0,22.0,18.0,45.5,,,0.0,,,,4.0,1.0,,,1.0,,1.0,,,3.0,53.0,,4.0,85.0,12.0,63.0,8.0,2.0,21.0,19.0,,123.0,11.0,214.0,,,46.0,13.0,64.0,5.0,278.0,,0.0,5.0,18.0,3.0,38.0,2.0,570.0,,,4.0,2.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284047,5.0,2009-09-12 15:00:00,88,Hull,Away,76.0,6.0,2.0,7.0,5.0,8.0,2.0,112.0,2.0,,3.0,13.0,11.0,20.0,181.0,,,14.0,18.0,15.0,4.0,3.0,,,,,,,1.0,,,5.0,,,,,,1.0,7.0,4.0,,,,51.0,7.0,2.0,8.0,,8.0,6.0,8.0,1.0,19.0,,62.0,59.0,7.0,23.0,15.0,,,,,,,,100.0,17.0,19.0,,,5.0,6.0,,1.0,1.0,1.0,,1.0,,8.0,,,,1.0,,,,2.0,26.0,,9.0,9.0,1.0,,3.0,,89.0,43.0,7.0,,2.0,6.0,5.0,,,,2.0,1.0,33.0,35.0,22.0,1.0,1.0,1.0,,,169.0,145.0,8.0,13.0,23.0,48.6,,1.0,0.0,,,,,1.0,,,,,2.0,1.0,,3.0,65.0,,8.0,86.0,18.0,47.0,6.0,6.0,26.0,20.0,,130.0,17.0,215.0,1.0,,37.0,13.0,58.0,1.0,275.0,,0.0,9.0,21.0,1.0,18.0,2.0,479.0,,,4.0,8.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284056,6.0,2009-09-19 15:00:00,88,Hull,Home,78.0,9.0,4.0,4.0,1.0,5.0,,147.0,5.0,,,16.0,4.0,46.0,221.0,,1.0,20.0,24.0,13.0,10.0,3.0,3.0,,0.0,1.0,,2.0,,2.0,,9.0,0.0,,,,,2.0,10.0,5.0,6.0,11.0,,63.0,2.0,8.0,5.0,,10.0,6.0,13.0,0.0,14.0,1.0,61.0,50.0,2.0,31.0,15.0,,,0.6742,1.5692,0.8732,0.251,2.3055,108.0,15.0,13.0,,,3.0,2.0,2.0,,,,,,,9.0,,,0.0,,,,,,32.0,1.0,25.0,25.0,2.0,0.0,,,90.0,44.0,8.0,0.0,5.0,8.0,3.0,299.0,,,2.0,0.0,59.0,44.0,43.0,,,,,,150.0,150.0,3.0,22.0,32.0,44.6,,1.0,0.0,,,,6.0,1.0,7.0,,1.0,,6.0,2.0,0.0,3.0,74.0,206.0,13.0,89.0,10.0,65.0,10.0,9.0,29.0,21.0,,147.0,13.0,261.0,,,48.0,6.0,81.0,,321.0,,0.0,17.0,17.0,2.0,28.0,0.0,565.0,17.0,0.0,7.0,10.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284063,7.0,2009-09-26 15:00:00,88,Hull,Away,95.0,5.0,,1.0,1.0,5.0,,108.0,4.0,2.0,3.0,16.0,7.0,38.0,202.0,,,17.0,9.0,13.0,,1.0,,,,1.0,,1.0,,,,6.0,,,,,,,20.0,5.0,3.0,7.0,,41.0,5.0,3.0,12.0,,2.0,2.0,4.0,,13.0,1.0,45.0,53.0,5.0,26.0,13.0,,,,,,,,76.0,5.0,11.0,,,2.0,3.0,1.0,,,,,,,14.0,,,1.0,,,,,1.0,23.0,,21.0,21.0,1.0,,3.0,1.0,92.0,49.0,13.0,1.0,1.0,,2.0,267.0,,,6.0,,29.0,45.0,23.0,,,,,,154.0,132.0,1.0,14.0,16.0,36.6,,,0.0,,,,1.0,1.0,2.0,,,,5.0,,,3.0,51.0,190.0,1.0,107.0,9.0,48.0,13.0,2.0,11.0,9.0,,107.0,19.0,199.0,,2.0,32.0,7.0,70.0,2.0,295.0,,0.0,10.0,24.0,,23.0,4.0,506.0,7.0,,5.0,2.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284076,8.0,2009-10-03 15:00:00,88,Hull,Home,58.0,7.0,2.0,9.0,7.0,10.0,,69.0,5.0,,,5.0,6.0,13.0,118.0,,,18.0,15.0,15.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,6.0,7.0,,,,37.0,,3.0,9.0,,4.0,5.0,2.0,,16.0,4.0,60.0,61.0,,23.0,7.0,,1.0,,,,,,65.0,15.0,8.0,1.0,,,,,2.0,1.0,2.0,1.0,1.0,1.0,14.0,,,,2.0,,,,2.0,12.0,,23.0,23.0,3.0,,,,67.0,26.0,2.0,1.0,3.0,5.0,5.0,,,,,,16.0,24.0,18.0,,,,,,134.0,118.0,1.0,14.0,12.0,25.6,,3.0,0.0,,,,3.0,1.0,,,2.0,1.0,5.0,1.0,,3.0,38.0,,8.0,73.0,13.0,39.0,13.0,4.0,14.0,10.0,,77.0,20.0,129.0,2.0,,25.0,9.0,39.0,4.0,188.0,,0.0,13.0,32.0,,25.0,0.0,453.0,,,6.0,4.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284084,9.0,2009-10-19 20:00:00,88,Hull,Away,133.0,8.0,,1.0,1.0,2.0,,118.0,6.0,,3.0,14.0,12.0,44.0,250.0,,,15.0,14.0,23.0,5.0,,,,,,,1.0,,1.0,,,,,,,,,10.0,10.0,,,,51.0,4.0,4.0,2.0,,4.0,2.0,7.0,,10.0,2.0,47.0,53.0,4.0,19.0,13.0,,,,,,,,87.0,15.0,13.0,,,,,1.0,,,,,,,9.0,,,,,,,,,25.0,,14.0,14.0,1.0,,3.0,,97.0,39.0,7.0,,4.0,1.0,,,,,4.0,,63.0,38.0,17.0,,,,,,167.0,145.0,2.0,14.0,17.0,40.5,,1.0,0.0,,,,2.0,4.0,,,1.0,,4.0,,,3.0,52.0,,5.0,150.0,22.0,41.0,10.0,4.0,14.0,10.0,,113.0,16.0,220.0,,,42.0,14.0,83.0,3.0,356.0,,0.0,8.0,13.0,,19.0,1.0,582.0,,,4.0,4.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,
2009-10,284094,10.0,2009-10-24 15:00:00,88,Hull,Home,67.0,8.0,2.0,4.0,2.0,2.0,,99.0,4.0,,2.0,2.0,3.0,15.0,162.0,,,24.0,14.0,17.0,5.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,7.0,4.0,,,,37.0,2.0,3.0,3.0,,6.0,6.0,7.0,,13.0,1.0,49.0,59.0,2.0,25.0,10.0,,,,,,,,98.0,16.0,23.0,,,,,1.0,,,,,,,16.0,,,,4.0,,,,,18.0,,17.0,17.0,1.0,,2.0,,103.0,35.0,6.0,,2.0,4.0,1.0,,,,1.0,,49.0,48.0,23.0,,,,,,176.0,162.0,1.0,13.0,14.0,43.8,,3.0,0.0,,,,2.0,,,,,,4.0,,,3.0,45.0,,6.0,78.0,18.0,39.0,7.0,6.0,25.0,19.0,,113.0,7.0,214.0,5.0,,37.0,6.0,57.0,2.0,267.0,,0.0,8.0,15.0,,30.0,2.0,504.0,,,4.0,6.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,
