season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,fwdPass,leftsidePass,overrun,penaltySave,rightsidePass,unsuccessfulTouch,attLgRight,ptsDroppedWinningPos,attFreekickPost,attOneOnOne,contentiousDecision
2009-10,284000,1.0,2009-08-15 15:00:00,111,Wigan,Away,105.0,12.0,,1.0,1.0,3.0,,135.0,8.0,,2.0,8.0,9.0,27.0,239.0,,3.0,19.0,10.0,15.0,10.0,1.0,,2.0,,1.0,,2.0,,,,,,,,,,,1.0,2.0,4.0,8.0,,,,58.0,1.0,8.0,8.0,1.0,6.0,4.0,2.0,,20.0,2.0,67.0,56.0,1.0,28.0,16.0,,,74.0,17.0,12.0,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,15.0,,,,2.0,,,,1.0,28.0,1.0,20.0,20.0,1.0,2.0,100.0,52.0,4.0,1.0,3.0,9.0,7.0,,,,3.0,,37.0,42.0,14.0,,,,,164.0,141.0,3.0,29.0,22.0,53.0,1.0,,,0.0,,,,1.0,2.0,,,2.0,2.0,6.0,,3.0,67.0,,12.0,117.0,19.0,51.0,24.0,4.0,11.0,7.0,,109.0,14.0,214.0,2.0,,31.0,11.0,53.0,,320.0,,0.0,21.0,18.0,6.0,29.0,2.0,625.0,,11.0,6.0,15.0,0.0,,,,,,,,,,,,,,,
2009-10,284017,2.0,2009-08-18 19:45:00,111,Wigan,Home,217.0,16.0,3.0,7.0,4.0,1.0,,161.0,6.0,2.0,7.0,3.0,13.0,56.0,371.0,,1.0,22.0,15.0,15.0,11.0,4.0,,3.0,,,2.0,2.0,,,,,,,,,,,,4.0,5.0,4.0,,,,47.0,2.0,5.0,2.0,,4.0,11.0,3.0,,15.0,,45.0,51.0,2.0,12.0,7.0,,,76.0,8.0,22.0,,,,,2.0,,,,,,,8.0,,,,1.0,,,,,17.0,,15.0,14.0,1.0,7.0,97.0,40.0,4.0,,10.0,5.0,4.0,,,,1.0,,66.0,59.0,14.0,,,,,177.0,160.0,2.0,22.0,15.0,64.2,,,,0.0,,,,1.0,,,,,3.0,11.0,1.0,2.0,74.0,,15.0,241.0,42.0,29.0,7.0,4.0,21.0,17.0,,127.0,7.0,265.0,1.0,2.0,24.0,17.0,88.0,5.0,485.0,,0.0,20.0,12.0,2.0,27.0,0.0,715.0,,2.0,4.0,11.0,0.0,,,,,,,,,,,,,,,
2009-10,284029,3.0,2009-08-22 15:00:00,111,Wigan,Home,143.0,8.0,,4.0,4.0,,,153.0,,3.0,6.0,4.0,13.0,21.0,292.0,1.0,3.0,11.0,10.0,9.0,11.0,2.0,,2.0,,,,1.0,,,,,,,,,,,,1.0,13.0,7.0,,,,66.0,7.0,7.0,7.0,1.0,2.0,7.0,5.0,,19.0,4.0,60.0,52.0,7.0,12.0,8.0,,,58.0,11.0,8.0,,,,,1.0,,,,,,,4.0,,,,2.0,,,,,12.0,,13.0,13.0,1.0,6.0,78.0,38.0,5.0,,4.0,9.0,5.0,,,,7.0,,43.0,42.0,20.0,,,,,142.0,131.0,3.0,27.0,26.0,48.2,,,1.0,0.0,,,,4.0,2.0,,,,2.0,6.0,,3.0,69.0,,13.0,160.0,25.0,23.0,18.0,1.0,17.0,16.0,,112.0,1.0,229.0,2.0,4.0,18.0,13.0,50.0,,372.0,1.0,0.0,18.0,30.0,8.0,13.0,2.0,624.0,,5.0,3.0,24.0,0.0,,,,,,,,,,,,,,,
2009-10,284034,4.0,2009-08-30 15:00:00,111,Wigan,Away,85.0,5.0,1.0,4.0,3.0,3.0,,119.0,5.0,,1.0,4.0,5.0,14.0,200.0,,,19.0,15.0,9.0,6.0,2.0,,2.0,,,1.0,2.0,,1.0,,,,,,,,,1.0,,21.0,12.0,,,,52.0,5.0,5.0,4.0,,5.0,5.0,4.0,1.0,8.0,3.0,65.0,46.0,4.0,25.0,10.0,,,65.0,24.0,10.0,,,,,2.0,1.0,,1.0,1.0,,,11.0,,,,1.0,,,,1.0,21.0,1.0,18.0,18.0,3.0,2.0,84.0,26.0,12.0,,4.0,5.0,3.0,,,,14.0,,51.0,43.0,12.0,1.0,1.0,1.0,,159.0,136.0,2.0,18.0,19.0,43.9,1.0,,3.0,0.0,,,,4.0,2.0,,,1.0,2.0,6.0,,3.0,63.0,,9.0,103.0,20.0,47.0,15.0,3.0,12.0,9.0,,110.0,10.0,202.0,1.0,,33.0,7.0,57.0,1.0,293.0,,0.0,14.0,27.0,4.0,23.0,6.0,559.0,,,5.0,17.0,0.0,,,,,,,,,,,,,,,
2009-10,284049,5.0,2009-09-12 15:00:00,111,Wigan,Home,138.0,19.0,1.0,3.0,2.0,1.0,,197.0,3.0,,2.0,14.0,7.0,44.0,332.0,,,22.0,12.0,12.0,8.0,1.0,,,,,,,,,,,,,,,,,,,9.0,4.0,,,,49.0,3.0,2.0,13.0,,5.0,10.0,4.0,,15.0,1.0,59.0,65.0,3.0,9.0,5.0,,,81.0,14.0,12.0,1.0,,,,,,,,,,,7.0,,,,1.0,,,,1.0,10.0,,18.0,18.0,1.0,2.0,96.0,46.0,7.0,,3.0,6.0,6.0,,,,2.0,,83.0,72.0,20.0,,,,,161.0,151.0,2.0,15.0,28.0,53.0,,,,0.0,,,,5.0,,,,,,4.0,,3.0,96.0,,9.0,159.0,35.0,19.0,13.0,2.0,18.0,16.0,,141.0,4.0,292.0,1.0,,42.0,8.0,76.0,1.0,433.0,1.0,0.0,12.0,34.0,2.0,31.0,2.0,689.0,,7.0,5.0,26.0,0.0,,,,,,,,,,,,,,,
2009-10,284050,6.0,2009-09-19 15:00:00,111,Wigan,Away,105.0,10.0,2.0,3.0,1.0,4.0,,95.0,4.0,,2.0,11.0,6.0,23.0,197.0,,,11.0,18.0,17.0,6.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,17.0,9.0,,,,45.0,3.0,4.0,17.0,1.0,4.0,2.0,3.0,,12.0,4.0,80.0,62.0,3.0,15.0,5.0,,,55.0,20.0,7.0,,1.0,,,1.0,,,,,,,10.0,,,,2.0,,,,,11.0,1.0,24.0,24.0,4.0,2.0,73.0,35.0,6.0,,2.0,6.0,5.0,,,,7.0,,24.0,36.0,13.0,,,,,140.0,125.0,1.0,21.0,17.0,38.1,,,2.0,0.0,,,,5.0,,,,1.0,1.0,4.0,,3.0,41.0,,8.0,122.0,24.0,30.0,20.0,3.0,9.0,6.0,,87.0,11.0,166.0,2.0,,23.0,8.0,46.0,1.0,279.0,1.0,0.0,13.0,31.0,,15.0,2.0,532.0,,7.0,4.0,23.0,0.0,,,,,,,,,,,,,,,
2009-10,284069,7.0,2009-09-26 15:00:00,111,Wigan,Home,110.0,15.0,,2.0,2.0,5.0,,163.0,6.0,2.0,4.0,9.0,8.0,29.0,271.0,,2.0,16.0,10.0,15.0,10.0,,,,,1.0,2.0,3.0,,,,1.0,,,1.0,,,,,,10.0,6.0,,,,63.0,4.0,,10.0,,4.0,4.0,2.0,2.0,12.0,,54.0,54.0,4.0,14.0,6.0,1.0,,86.0,12.0,12.0,1.0,,,,3.0,2.0,,2.0,2.0,,,12.0,,,,,,,,1.0,9.0,,39.0,38.0,4.0,5.0,102.0,56.0,7.0,,5.0,7.0,10.0,,,,6.0,,73.0,35.0,12.0,,,,1.0,157.0,145.0,5.0,21.0,25.0,46.8,,,,0.0,,,,,1.0,,,1.0,,6.0,,1.0,63.0,,12.0,126.0,28.0,26.0,18.0,2.0,8.0,6.0,,122.0,16.0,253.0,,2.0,34.0,10.0,60.0,5.0,371.0,,0.0,16.0,20.0,8.0,20.0,1.0,634.0,,7.0,4.0,12.0,0.0,,,,,,,,,,,,,,,
2009-10,284076,8.0,2009-10-03 15:00:00,111,Wigan,Away,235.0,14.0,,4.0,4.0,2.0,,266.0,7.0,,8.0,5.0,21.0,42.0,497.0,,1.0,22.0,15.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,7.0,6.0,,,,55.0,1.0,,6.0,,2.0,7.0,4.0,,19.0,1.0,61.0,60.0,1.0,18.0,9.0,,,82.0,11.0,13.0,1.0,,,,,,,,,,,8.0,,,,,,,,2.0,15.0,,10.0,10.0,,9.0,92.0,56.0,4.0,,7.0,3.0,5.0,,,,3.0,,51.0,69.0,23.0,,,,,153.0,144.0,3.0,20.0,22.0,74.4,,,,0.0,,,,1.0,2.0,,,1.0,,8.0,,3.0,101.0,,10.0,257.0,37.0,27.0,22.0,2.0,15.0,13.0,,154.0,4.0,353.0,,,19.0,23.0,72.0,,595.0,,0.0,13.0,23.0,5.0,23.0,2.0,848.0,,9.0,2.0,17.0,0.0,,,,,,,,,,,,,,,
2009-10,284089,9.0,2009-10-18 16:00:00,111,Wigan,Home,124.0,20.0,,5.0,5.0,4.0,,234.0,5.0,,3.0,8.0,16.0,39.0,353.0,,,17.0,10.0,12.0,13.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,5.0,1.0,,,,58.0,2.0,3.0,6.0,,6.0,7.0,7.0,,11.0,2.0,51.0,49.0,2.0,13.0,6.0,,,83.0,15.0,11.0,,,,,1.0,,,,,,,5.0,,,,2.0,,,,,15.0,,17.0,17.0,2.0,3.0,80.0,49.0,6.0,1.0,6.0,8.0,7.0,,,,,,79.0,69.0,21.0,,,,,149.0,132.0,1.0,24.0,25.0,56.2,,,,0.0,,,,3.0,,,,,,6.0,,1.0,101.0,,14.0,137.0,38.0,30.0,14.0,6.0,21.0,15.0,,157.0,13.0,326.0,2.0,,24.0,17.0,63.0,1.0,442.0,,0.0,16.0,21.0,4.0,23.0,2.0,677.0,,5.0,6.0,14.0,0.0,,,,,,,,,,,,,,,
2009-10,284092,10.0,2009-10-24 15:00:00,111,Wigan,Away,121.0,9.0,2.0,3.0,1.0,3.0,,197.0,,2.0,4.0,7.0,14.0,23.0,315.0,,2.0,18.0,17.0,10.0,8.0,2.0,3.0,1.0,,,,,,,,,,11.0,,,,,,,8.0,4.0,5.0,9.0,,78.0,2.0,2.0,6.0,,4.0,3.0,4.0,1.0,12.0,2.0,59.0,60.0,2.0,19.0,8.0,,,86.0,11.0,12.0,2.0,,1.0,,,2.0,,2.0,2.0,,,5.0,,,2.0,,,,,,13.0,,25.0,25.0,2.0,4.0,110.0,45.0,7.0,,5.0,7.0,6.0,411.0,,,4.0,,89.0,50.0,23.0,,,,,173.0,163.0,2.0,27.0,33.0,51.6,,3.0,,0.0,,,,2.0,2.0,4.0,,,1.0,6.0,1.0,2.0,83.0,303.0,12.0,143.0,27.0,29.0,18.0,2.0,9.0,7.0,1.0,147.0,7.0,305.0,,2.0,45.0,15.0,72.0,1.0,439.0,,0.0,14.0,33.0,6.0,25.0,0.0,657.0,12.0,5.0,4.0,29.0,0.0,,,,,,,,,,,,,,,
