season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard,attFreekickGoal,attPenTarget,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,fwdPass,leftsidePass,overrun,rightsidePass,unsuccessfulTouch,attLgLeft,attOboxOwnGoal,attPenPost,penaltySave
2009-10,284001,1.0,2009-08-15 15:00:00,5,Blackburn,Home,72.0,11.0,1.0,6.0,5.0,2.0,,110.0,1.0,1.0,5.0,9.0,4.0,18.0,176.0,1.0,1.0,17.0,16.0,17.0,7.0,2.0,,,2.0,,1.0,3.0,,1.0,,,,,,,,,5.0,4.0,,,,46.0,,4.0,16.0,,5.0,7.0,11.0,,13.0,2.0,63.0,56.0,,11.0,2.0,,,93.0,12.0,9.0,,1.0,,,3.0,,,,,,,7.0,,,,3.0,,,,,5.0,,22.0,21.0,1.0,5.0,97.0,34.0,4.0,,3.0,6.0,6.0,,,,,,41.0,31.0,43.0,,,,,181.0,171.0,3.0,15.0,13.0,43.5,,,,0.0,,,,1.0,2.0,,,,,8.0,,3.0,58.0,,9.0,88.0,30.0,21.0,12.0,4.0,24.0,20.0,,132.0,15.0,223.0,3.0,1.0,41.0,4.0,60.0,3.0,287.0,1.0,0.0,18.0,24.0,2.0,30.0,2.0,523.0,,6.0,5.0,20.0,0.0,,,,,,,,,,,,,,,
2009-10,284013,2.0,2009-11-25 20:00:00,5,Blackburn,Away,164.0,17.0,1.0,5.0,4.0,3.0,,159.0,2.0,,3.0,17.0,19.0,47.0,318.0,1.0,1.0,29.0,13.0,27.0,9.0,2.0,,,,,,,,,,,,,,,,2.0,10.0,3.0,,,,47.0,,2.0,1.0,,3.0,7.0,6.0,,7.0,1.0,42.0,51.0,,17.0,9.0,,,114.0,13.0,7.0,,,,,,,,,,,,12.0,,,,1.0,,,,1.0,15.0,,9.0,9.0,,3.0,104.0,42.0,3.0,,8.0,3.0,3.0,,,,4.0,,74.0,45.0,34.0,,,,,191.0,175.0,3.0,19.0,18.0,53.7,,,,0.0,,,,,1.0,,,1.0,,8.0,,2.0,84.0,,11.0,181.0,53.0,33.0,13.0,3.0,17.0,14.0,,172.0,13.0,278.0,1.0,,47.0,25.0,94.0,4.0,442.0,1.0,0.0,13.0,13.0,1.0,38.0,0.0,672.0,,4.0,3.0,7.0,0.0,,,,,,,,,,,,,,,
2009-10,284027,3.0,2009-08-22 15:00:00,5,Blackburn,Away,59.0,8.0,1.0,3.0,2.0,8.0,,83.0,3.0,,3.0,16.0,9.0,19.0,139.0,,,15.0,19.0,15.0,10.0,2.0,,,1.0,,1.0,2.0,,,1.0,,,,1.0,,,6.0,3.0,6.0,,,,26.0,2.0,7.0,7.0,,10.0,5.0,3.0,1.0,12.0,,63.0,45.0,2.0,20.0,10.0,,,83.0,19.0,12.0,,,,,2.0,,,,,,,10.0,,,,1.0,,,,2.0,19.0,1.0,11.0,11.0,1.0,3.0,92.0,31.0,,,6.0,6.0,4.0,,,,2.0,,29.0,39.0,38.0,,,,,185.0,171.0,1.0,9.0,5.0,46.4,1.0,,,0.0,,,,,1.0,,,2.0,,14.0,1.0,3.0,52.0,,12.0,78.0,26.0,34.0,10.0,9.0,19.0,10.0,,120.0,13.0,190.0,1.0,1.0,46.0,12.0,56.0,3.0,249.0,1.0,0.0,25.0,16.0,,30.0,1.0,462.0,,2.0,10.0,15.0,0.0,,,,,,,,,,,,,,,
2009-10,284031,4.0,2009-08-29 15:00:00,5,Blackburn,Home,111.0,18.0,3.0,7.0,4.0,,,149.0,3.0,1.0,11.0,12.0,12.0,27.0,253.0,,3.0,14.0,13.0,14.0,11.0,3.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,3.0,8.0,6.0,,,,67.0,4.0,3.0,12.0,,5.0,11.0,4.0,,11.0,,54.0,63.0,4.0,10.0,5.0,,1.0,100.0,14.0,18.0,,,,,2.0,,,,,,,7.0,,,,,,,,1.0,12.0,,20.0,20.0,2.0,11.0,95.0,44.0,2.0,,8.0,6.0,6.0,,,,6.0,,60.0,23.0,42.0,,,,,158.0,146.0,4.0,23.0,21.0,46.7,,,,0.0,,,,1.0,,,,1.0,1.0,10.0,,2.0,100.0,,14.0,124.0,43.0,22.0,14.0,5.0,22.0,17.0,,174.0,7.0,254.0,,1.0,43.0,12.0,68.0,2.0,356.0,,0.0,19.0,22.0,5.0,20.0,1.0,611.0,,9.0,5.0,14.0,0.0,,,,,,,,,,,,,,,
2009-10,284041,5.0,2009-09-12 15:00:00,5,Blackburn,Home,88.0,15.0,1.0,4.0,3.0,5.0,,129.0,3.0,1.0,2.0,5.0,5.0,20.0,213.0,,2.0,21.0,16.0,18.0,4.0,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,,1.0,1.0,7.0,3.0,,,,38.0,,4.0,1.0,,10.0,10.0,7.0,,13.0,1.0,51.0,51.0,,28.0,17.0,,1.0,66.0,12.0,17.0,1.0,,,,3.0,2.0,,,1.0,1.0,,6.0,,,,1.0,,,,,29.0,1.0,15.0,14.0,,2.0,75.0,31.0,6.0,2.0,1.0,6.0,6.0,,,,3.0,,66.0,43.0,27.0,,,,,195.0,174.0,5.0,13.0,12.0,53.4,1.0,,2.0,0.0,,,,1.0,1.0,,,1.0,1.0,4.0,2.0,3.0,79.0,,7.0,114.0,35.0,49.0,13.0,9.0,28.0,19.0,,133.0,11.0,231.0,2.0,1.0,27.0,5.0,50.0,10.0,317.0,1.0,0.0,14.0,12.0,3.0,32.0,1.0,572.0,,4.0,10.0,10.0,0.0,,,,,,,,,,,,,,,
2009-10,284055,6.0,2009-09-20 15:00:00,5,Blackburn,Away,65.0,13.0,,2.0,2.0,7.0,,122.0,4.0,3.0,1.0,10.0,6.0,16.0,185.0,,1.0,15.0,17.0,19.0,4.0,2.0,,,,,,,,,,,,,1.0,,,3.0,13.0,8.0,,,,48.0,2.0,1.0,6.0,1.0,2.0,15.0,4.0,,14.0,4.0,59.0,55.0,2.0,12.0,5.0,1.0,1.0,99.0,18.0,15.0,,,,,,,,,,,,9.0,,,,,,,,,11.0,1.0,13.0,13.0,2.0,1.0,96.0,36.0,6.0,,2.0,4.0,4.0,,,,6.0,,47.0,34.0,31.0,,,,,187.0,173.0,6.0,20.0,14.0,43.0,1.0,,,0.0,,,,3.0,3.0,,,,,3.0,,3.0,72.0,,6.0,84.0,31.0,26.0,11.0,2.0,23.0,21.0,,151.0,15.0,243.0,,4.0,47.0,7.0,62.0,2.0,304.0,,0.0,8.0,14.0,4.0,23.0,2.0,532.0,,7.0,2.0,11.0,0.0,,,,,,,,,,,,,,,
2009-10,284061,7.0,2009-09-26 15:00:00,5,Blackburn,Home,79.0,13.0,2.0,7.0,5.0,4.0,,120.0,2.0,2.0,4.0,8.0,8.0,16.0,192.0,1.0,1.0,20.0,25.0,29.0,11.0,2.0,,1.0,,,,,,,,,,1.0,,,,3.0,5.0,3.0,,,,36.0,1.0,7.0,5.0,,6.0,5.0,5.0,1.0,12.0,2.0,64.0,60.0,1.0,18.0,11.0,,,88.0,15.0,11.0,,1.0,,,,,,,,,,8.0,,,,3.0,,,,1.0,17.0,,19.0,18.0,1.0,4.0,77.0,21.0,5.0,1.0,9.0,4.0,4.0,,,,,,41.0,46.0,28.0,,,,1.0,164.0,152.0,1.0,14.0,11.0,47.5,,,,0.0,,,,1.0,2.0,,1.0,1.0,1.0,11.0,2.0,3.0,77.0,,13.0,90.0,25.0,30.0,14.0,6.0,16.0,10.0,,147.0,14.0,218.0,4.0,2.0,41.0,8.0,49.0,4.0,292.0,1.0,1.0,22.0,14.0,2.0,32.0,1.0,526.0,,6.0,6.0,8.0,0.0,,,,,,,,,,,,,,,
2009-10,284070,8.0,2009-10-04 13:30:00,5,Blackburn,Away,67.0,14.0,,1.0,1.0,7.0,,94.0,6.0,2.0,,6.0,8.0,22.0,160.0,,2.0,10.0,22.0,27.0,1.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,2.0,13.0,11.0,,,,74.0,2.0,2.0,10.0,,1.0,8.0,2.0,,11.0,7.0,59.0,59.0,2.0,19.0,7.0,,,80.0,10.0,10.0,,1.0,,,2.0,2.0,1.0,,1.0,1.0,1.0,9.0,,,,1.0,,,,,14.0,1.0,30.0,30.0,1.0,,91.0,43.0,8.0,2.0,,4.0,5.0,,,,3.0,,38.0,54.0,25.0,,,,,170.0,157.0,5.0,35.0,22.0,34.9,,,,0.0,,,,5.0,5.0,,,1.0,1.0,,1.0,3.0,56.0,,4.0,94.0,40.0,32.0,10.0,1.0,13.0,12.0,,122.0,22.0,194.0,1.0,2.0,27.0,11.0,58.0,4.0,275.0,,0.0,7.0,18.0,4.0,15.0,1.0,534.0,,4.0,1.0,11.0,0.0,,,,,,,,,,,,,,,
2009-10,284082,9.0,2009-10-18 13:00:00,5,Blackburn,Home,83.0,11.0,1.0,5.0,4.0,3.0,2.0,122.0,1.0,1.0,,14.0,14.0,28.0,200.0,,,13.0,18.0,19.0,5.0,2.0,1.0,,,,,,,,,,8.0,,,,,4.0,4.0,7.0,9.0,4.0,,52.0,1.0,3.0,8.0,,3.0,6.0,2.0,1.0,13.0,2.0,69.0,71.0,1.0,26.0,15.0,,,93.0,20.0,14.0,1.0,1.0,3.0,5.0,,2.0,,1.0,2.0,,,6.0,,,2.0,2.0,,,,,28.0,,26.0,26.0,1.0,,88.0,31.0,2.0,1.0,3.0,6.0,6.0,294.0,,,2.0,,56.0,32.0,33.0,,,,,187.0,167.0,4.0,21.0,16.0,46.0,,3.0,1.0,0.0,,,,,2.0,2.0,,,,4.0,,3.0,76.0,193.0,9.0,102.0,24.0,46.0,20.0,3.0,16.0,13.0,,151.0,15.0,232.0,2.0,1.0,49.0,16.0,80.0,3.0,318.0,,0.0,13.0,28.0,2.0,24.0,3.0,553.0,23.0,10.0,3.0,20.0,0.0,,,,,,,,,,,,,,,
2009-10,284093,10.0,2009-10-24 17:30:00,5,Blackburn,Away,74.0,11.0,,,,3.0,,113.0,10.0,1.0,1.0,6.0,10.0,19.0,187.0,,1.0,6.0,7.0,13.0,6.0,,,1.0,,,1.0,1.0,1.0,,,,6.0,,,,,1.0,12.0,17.0,,,,40.0,2.0,1.0,8.0,,,8.0,5.0,,4.0,3.0,35.0,42.0,2.0,26.0,13.0,,,73.0,12.0,8.0,,,5.0,4.0,1.0,,,,,,,16.0,,,,,,,,2.0,19.0,,16.0,15.0,,1.0,71.0,36.0,8.0,,4.0,2.0,2.0,,,,4.0,1.0,68.0,31.0,23.0,1.0,1.0,1.0,,127.0,113.0,2.0,21.0,7.0,31.9,,,1.0,0.0,,,,3.0,6.0,,,1.0,1.0,6.0,,3.0,64.0,,6.0,83.0,17.0,40.0,8.0,,17.0,17.0,1.0,108.0,14.0,189.0,,1.0,27.0,13.0,46.0,5.0,255.0,,0.0,9.0,19.0,1.0,13.0,1.0,450.0,,2.0,,15.0,0.0,,,,,,,,,,,,,,,
