season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attCorner,attFreekickPost,attOneOnOne,contentiousDecision,goalFastbreak,attemptedTackleFoul,blockedPass,penaltySave,putThrough,successfulPutThrough
2011-12,360474,1,2011-08-13 15:00:00,52,QPR,Home,70.0,15.0,,1.0,1.0,7.0,,144.0,7.0,1.0,5.0,14.0,6.0,34.0,213.0,,,18.0,18.0,14.0,11.0,1.0,,,,,2.0,1.0,,1.0,,14.0,,,,,,,10.0,9.0,,,46.0,57.0,,1.0,,2.0,8.0,9.0,,3.0,9.0,2.0,,18.0,1.0,59.0,51.0,2.0,25.0,18.0,,,88.0,9.0,16.0,,,2.0,,2.0,160.0,,,,,,11.0,,1.0,,33.0,,13.0,8.0,,5.0,61.0,106.0,45.0,2.0,,7.0,5.0,2.0,,7.0,,1.0,47.0,37.0,22.0,,,,,200.0,180.0,2.0,27.0,15.0,45.2,,,,0.0,65.0,1.0,1.0,,,1.0,,7.0,1.0,3.0,95.0,,12.0,89.0,34.0,45.0,10.0,3.0,14.0,11.0,,162.0,22.0,257.0,1.0,1.0,53.0,6.0,73.0,2.0,332.0,,1.0,17.0,16.0,,27.0,1.0,546.0,,10.0,5.0,3.0,12.0,0.0,,,,,,,,,,
2011-12,360483,2,2011-08-20 15:00:00,52,QPR,Away,130.0,7.0,,1.0,1.0,5.0,,183.0,5.0,,1.0,9.0,9.0,39.0,312.0,,,9.0,29.0,12.0,3.0,,,,,,,,,,,4.0,,,,,,,6.0,8.0,2.0,2.0,82.0,54.0,,,,4.0,2.0,2.0,,1.0,2.0,,,14.0,1.0,59.0,53.0,4.0,18.0,9.0,,,93.0,7.0,12.0,,,2.0,3.0,,187.0,1.0,,1.0,1.0,,14.0,1.0,,,21.0,,12.0,10.0,,1.0,80.0,102.0,41.0,2.0,1.0,1.0,3.0,1.0,404.0,2.0,1.0,,78.0,52.0,19.0,,,,,190.0,170.0,3.0,31.0,11.0,48.2,,,,0.0,87.0,3.0,1.0,4.0,,,,1.0,,2.0,74.0,299.0,4.0,155.0,15.0,38.0,11.0,,5.0,5.0,,137.0,18.0,286.0,,,52.0,9.0,90.0,1.0,436.0,2.0,0.0,4.0,25.0,2.0,19.0,1.0,607.0,6.0,9.0,4.0,1.0,19.0,0.0,,,,,,,,,,
2011-12,360498,3,2011-08-27 12:30:00,52,QPR,Away,102.0,6.0,2.0,6.0,4.0,4.0,,174.0,,,,5.0,7.0,16.0,270.0,,1.0,22.0,10.0,10.0,11.0,2.0,,,,2.0,3.0,,,,,,,,1.0,,1.0,3.0,5.0,7.0,,,50.0,54.0,,,,3.0,5.0,11.0,,7.0,10.0,2.0,,15.0,1.0,50.0,46.0,3.0,15.0,8.0,,1.0,64.0,8.0,14.0,,,,,3.0,139.0,,,,,,4.0,,,,13.0,2.0,12.0,8.0,,,81.0,77.0,39.0,8.0,,9.0,4.0,4.0,,5.0,,,35.0,40.0,7.0,,,,,147.0,137.0,2.0,30.0,18.0,44.8,2.0,,1.0,0.0,79.0,3.0,,,,1.0,,10.0,,3.0,68.0,,13.0,117.0,14.0,25.0,11.0,7.0,19.0,12.0,,107.0,6.0,251.0,1.0,,27.0,7.0,39.0,,349.0,,0.0,19.0,17.0,1.0,31.0,0.0,536.0,,11.0,5.0,7.0,13.0,0.0,,,,,,,,,,
2011-12,360505,4,2011-09-12 20:00:00,52,QPR,Home,126.0,13.0,3.0,11.0,8.0,8.0,,224.0,4.0,,5.0,16.0,21.0,42.0,339.0,,2.0,12.0,17.0,14.0,12.0,2.0,1.0,,,,,,,,,13.0,,,,,,,6.0,2.0,,,63.0,65.0,4.0,5.0,,3.0,3.0,4.0,,6.0,14.0,7.0,,10.0,1.0,51.0,67.0,3.0,24.0,15.0,,,89.0,10.0,14.0,,,3.0,2.0,,180.0,,,,,,5.0,,1.0,1.0,21.0,,13.0,8.0,,5.0,93.0,96.0,53.0,4.0,,9.0,5.0,4.0,,2.0,,,49.0,68.0,20.0,,,,,172.0,162.0,5.0,27.0,22.0,58.1,,,1.0,0.0,110.0,1.0,,,,1.0,1.0,9.0,1.0,3.0,107.0,,14.0,148.0,25.0,34.0,17.0,4.0,27.0,23.0,1.0,173.0,18.0,325.0,1.0,,40.0,21.0,75.0,3.0,446.0,,0.0,16.0,33.0,3.0,13.0,1.0,662.0,,13.0,6.0,6.0,20.0,0.0,,,,,,,,,,
2011-12,360518,5,2011-09-17 15:00:00,52,QPR,Away,96.0,12.0,3.0,6.0,3.0,1.0,,146.0,5.0,2.0,1.0,9.0,8.0,21.0,236.0,,,12.0,21.0,15.0,9.0,3.0,,,1.0,2.0,3.0,,,,,11.0,,,,1.0,,1.0,8.0,7.0,,,42.0,47.0,2.0,1.0,1.0,2.0,3.0,3.0,,8.0,7.0,3.0,,6.0,1.0,47.0,48.0,2.0,23.0,13.0,,,68.0,13.0,15.0,1.0,,4.0,1.0,3.0,132.0,2.0,,2.0,2.0,,12.0,3.0,,,28.0,1.0,15.0,11.0,1.0,1.0,63.0,86.0,37.0,4.0,2.0,5.0,9.0,10.0,,5.0,1.0,,41.0,54.0,13.0,,,,,162.0,139.0,2.0,16.0,18.0,49.6,1.0,,,0.0,85.0,1.0,1.0,,,2.0,,7.0,1.0,3.0,70.0,,14.0,115.0,20.0,46.0,8.0,6.0,17.0,11.0,,109.0,7.0,224.0,,2.0,37.0,9.0,52.0,5.0,322.0,,0.0,20.0,14.0,2.0,19.0,3.0,523.0,,12.0,4.0,8.0,10.0,0.0,,,,,,,,,,
2011-12,360525,6,2011-09-25 16:00:00,52,QPR,Home,111.0,17.0,3.0,6.0,4.0,7.0,,197.0,3.0,1.0,2.0,20.0,7.0,40.0,302.0,,,22.0,10.0,24.0,6.0,5.0,,,2.0,,5.0,,,,,,,,,,1.0,2.0,7.0,4.0,,,57.0,53.0,,,,5.0,9.0,6.0,,11.0,16.0,4.0,,14.0,1.0,48.0,75.0,5.0,19.0,12.0,,,84.0,16.0,19.0,,,,,5.0,169.0,,,,,,5.0,,,2.0,20.0,1.0,11.0,6.0,2.0,2.0,88.0,91.0,58.0,8.0,,5.0,6.0,2.0,,5.0,,,77.0,48.0,18.0,1.0,1.0,1.0,,176.0,165.0,5.0,21.0,17.0,59.2,1.0,,,0.0,91.0,,1.0,,1.0,,,8.0,1.0,3.0,97.0,,11.0,138.0,35.0,30.0,9.0,9.0,30.0,22.0,,147.0,11.0,297.0,,1.0,42.0,10.0,67.0,3.0,405.0,,1.0,19.0,27.0,,24.0,0.0,617.0,,13.0,5.0,11.0,21.0,0.0,,,,,,,,,,
2011-12,360533,7,2011-10-02 15:00:00,52,QPR,Away,137.0,14.0,,7.0,7.0,5.0,,235.0,3.0,,2.0,11.0,11.0,38.0,365.0,,1.0,19.0,12.0,12.0,12.0,1.0,,,,1.0,2.0,,,,,15.0,,,,,,,13.0,9.0,,,55.0,56.0,,,,2.0,5.0,4.0,1.0,4.0,12.0,8.0,,11.0,2.0,37.0,35.0,2.0,13.0,5.0,,,78.0,7.0,10.0,,,3.0,1.0,2.0,148.0,,,,,,7.0,,,,10.0,,22.0,13.0,,2.0,108.0,89.0,61.0,4.0,,6.0,7.0,5.0,,7.0,3.0,,46.0,64.0,18.0,1.0,1.0,1.0,,158.0,146.0,3.0,23.0,23.0,51.1,,,1.0,0.0,135.0,3.0,1.0,,,,,7.0,,3.0,109.0,,13.0,157.0,28.0,25.0,5.0,3.0,24.0,21.0,,146.0,10.0,313.0,,,27.0,11.0,53.0,3.0,446.0,,0.0,17.0,11.0,1.0,23.0,3.0,645.0,,20.0,2.0,4.0,7.0,0.0,,,,,,,,,,
2011-12,360545,8,2011-10-15 15:00:00,52,QPR,Home,75.0,11.0,2.0,7.0,5.0,3.0,,157.0,2.0,,,17.0,3.0,33.0,225.0,,,26.0,20.0,16.0,7.0,3.0,,,,,,,,,,,,,,,,2.0,8.0,4.0,,,42.0,52.0,,,,,3.0,7.0,1.0,5.0,12.0,4.0,,18.0,2.0,60.0,70.0,,25.0,14.0,,,93.0,11.0,15.0,1.0,,,,,153.0,,,,,,2.0,,,2.0,23.0,,13.0,9.0,,,70.0,82.0,43.0,7.0,,7.0,3.0,3.0,,4.0,,,64.0,48.0,29.0,,,,,184.0,169.0,2.0,23.0,18.0,49.5,,,1.0,0.0,51.0,5.0,,,,,,7.0,2.0,2.0,84.0,,10.0,92.0,24.0,40.0,13.0,5.0,26.0,21.0,,144.0,10.0,250.0,,,45.0,3.0,73.0,3.0,316.0,,0.0,13.0,32.0,,35.0,3.0,567.0,,23.0,7.0,5.0,22.0,0.0,,,,,,,,,,
2011-12,360557,9,2011-10-23 16:00:00,52,QPR,Home,92.0,11.0,,3.0,3.0,4.0,1.0,158.0,5.0,,2.0,10.0,10.0,28.0,247.0,1.0,1.0,9.0,17.0,9.0,6.0,1.0,1.0,,,1.0,2.0,,,,,6.0,1.0,,,,,1.0,8.0,6.0,,,56.0,68.0,1.0,1.0,1.0,3.0,3.0,7.0,,,7.0,2.0,,8.0,,52.0,61.0,3.0,32.0,23.0,,,68.0,18.0,18.0,1.0,,7.0,5.0,2.0,137.0,,,,,,10.0,,1.0,2.0,27.0,,12.0,8.0,,3.0,68.0,83.0,48.0,6.0,,5.0,2.0,2.0,,5.0,1.0,,66.0,48.0,23.0,,,,1.0,137.0,133.0,7.0,21.0,25.0,41.7,,,2.0,0.0,67.0,2.0,,,,,1.0,5.0,,2.0,76.0,,7.0,99.0,23.0,36.0,11.0,,14.0,14.0,1.0,123.0,16.0,243.0,1.0,,30.0,12.0,53.0,6.0,328.0,1.0,0.0,10.0,27.0,2.0,12.0,2.0,519.0,,13.0,7.0,,22.0,0.0,,,,,,,,,,
2011-12,360566,10,2011-10-30 16:00:00,52,QPR,Away,103.0,18.0,5.0,6.0,1.0,3.0,,173.0,6.0,,2.0,12.0,8.0,31.0,270.0,,,19.0,11.0,18.0,9.0,1.0,,,1.0,,1.0,,,,1.0,11.0,,,,,,,18.0,7.0,,,50.0,60.0,1.0,,1.0,,5.0,5.0,,8.0,7.0,4.0,,15.0,5.0,53.0,53.0,,18.0,6.0,,1.0,73.0,14.0,12.0,1.0,,3.0,3.0,1.0,134.0,1.0,,1.0,,1.0,10.0,,,,10.0,,25.0,15.0,3.0,3.0,79.0,81.0,48.0,4.0,,5.0,6.0,3.0,,5.0,1.0,,64.0,62.0,14.0,,,,,162.0,155.0,4.0,17.0,30.0,44.2,,,,0.0,101.0,3.0,4.0,,,1.0,,6.0,1.0,3.0,74.0,,11.0,115.0,33.0,25.0,12.0,8.0,22.0,14.0,,124.0,12.0,271.0,,,25.0,10.0,51.0,3.0,364.0,,0.0,14.0,19.0,2.0,22.0,0.0,577.0,,10.0,4.0,8.0,13.0,0.0,,,,,,,,,,
