season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickTarget,attFreekickTotal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickMiss,attIboxOwnGoal,attLgCentre,attPenTarget,attPostRight,fiftyFifty,ownGoals,successfulFiftyFifty,subsGoals
2019-20,1059703,1.0,2019-08-10 15:00:00,49,Sheff Utd,Away,162.0,12.0,1.0,4.0,3.0,2.0,1.0,174.0,2.0,,2.0,8.0,2.0,27.0,332.0,,2.0,24.0,14.0,21.0,5.0,,2.0,,,,,,4.0,,,,2.0,7.0,7.0,6.0,3.0,5.0,,87.0,60.0,2.0,3.0,1.0,,19.0,1.0,8.0,,1.0,4.0,4.0,10.0,,9.0,1.0,56.0,49.0,,16.0,9.0,,,66.0,19.0,9.0,,,1.0,1.0,,173.0,,,,,,,8.0,,,,,,,,2.0,9.0,,14.0,14.0,1.0,2.0,79.0,86.0,32.0,3.0,,2.0,3.0,3.0,405.0,,,2.0,2.0,60.0,86.0,25.0,,,,,,145.0,145.0,5.0,25.0,23.0,47.1,,,1.0,,19.0,0.0,,,,89.0,1.0,1.0,2.0,,1.0,,4.0,,3.0,99.0,321.0,12.0,5.0,181.0,33.0,16.0,15.0,3.0,18.0,15.0,,142.0,7.0,265.0,,,32.0,4.0,79.0,1.0,428.0,,0.0,8.0,14.0,3.0,27.0,1.0,615.0,11.0,11.0,6.0,4.0,11.0,0.0,,,,,,,,,
2019-20,1059719,2.0,2019-08-18 14:00:00,49,Sheff Utd,Home,125.0,17.0,3.0,5.0,3.0,3.0,1.0,154.0,1.0,,5.0,9.0,4.0,35.0,274.0,,,24.0,27.0,23.0,6.0,4.0,4.0,1.0,,,,,10.0,,,,1.0,8.0,2.0,4.0,10.0,5.0,,62.0,58.0,1.0,1.0,1.0,1.0,20.0,6.0,10.0,,,8.0,11.0,3.0,,10.0,1.0,74.0,62.0,1.0,38.0,25.0,,,57.0,16.0,10.0,,,2.0,2.0,,131.0,,,,,,,2.0,,,1.0,1.0,,,,,25.0,,14.0,14.0,3.0,5.0,76.0,61.0,30.0,4.0,1.0,6.0,4.0,3.0,337.0,,,2.0,,68.0,71.0,23.0,,,,,,145.0,145.0,6.0,28.0,14.0,42.5,,,,1.0,20.0,0.0,,,,85.0,1.0,3.0,4.0,,,1.0,6.0,1.0,3.0,99.0,262.0,10.0,10.0,142.0,36.0,38.0,20.0,6.0,21.0,16.0,1.0,151.0,8.0,233.0,1.0,,32.0,4.0,73.0,,354.0,,0.0,15.0,20.0,,31.0,3.0,604.0,22.0,21.0,9.0,8.0,11.0,0.0,,,,,,,,,
2019-20,1059728,3.0,2019-08-24 15:00:00,49,Sheff Utd,Home,102.0,26.0,3.0,8.0,5.0,4.0,,222.0,2.0,,1.0,3.0,6.0,34.0,316.0,,,27.0,21.0,25.0,2.0,1.0,2.0,,,1.0,,,4.0,,,,,7.0,5.0,5.0,4.0,3.0,,58.0,53.0,,,,1.0,17.0,2.0,9.0,,,7.0,18.0,7.0,,10.0,,54.0,58.0,1.0,15.0,6.0,1.0,,61.0,11.0,6.0,,,1.0,,1.0,166.0,1.0,,1.0,1.0,,,9.0,,,1.0,,,,,,6.0,,15.0,15.0,2.0,1.0,98.0,71.0,32.0,4.0,,2.0,2.0,2.0,398.0,,,4.0,1.0,83.0,125.0,43.0,,,,,,169.0,169.0,6.0,16.0,28.0,49.1,,,,,17.0,0.0,,,,99.0,,,,,1.0,,3.0,,3.0,146.0,305.0,3.0,4.0,115.0,39.0,15.0,14.0,7.0,32.0,25.0,,204.0,10.0,338.0,,,27.0,6.0,75.0,1.0,421.0,1.0,0.0,7.0,16.0,1.0,31.0,1.0,616.0,21.0,21.0,11.0,7.0,13.0,0.0,,,,,,,,,
2019-20,1059734,4.0,2019-08-31 15:00:00,49,Sheff Utd,Away,183.0,18.0,1.0,2.0,1.0,1.0,,157.0,1.0,,4.0,7.0,2.0,39.0,338.0,1.0,,16.0,20.0,23.0,6.0,,,2.0,,,,,8.0,,,,,8.0,8.0,5.0,3.0,5.0,,76.0,61.0,2.0,1.0,1.0,1.0,11.0,1.0,16.0,,,4.0,9.0,1.0,,8.0,2.0,62.0,51.0,1.0,24.0,15.0,2.0,,66.0,11.0,6.0,1.0,,,,,162.0,1.0,,1.0,1.0,,,5.0,,,1.0,,,,,,15.0,,17.0,17.0,1.0,4.0,98.0,75.0,43.0,3.0,,4.0,3.0,2.0,412.0,,,3.0,,83.0,71.0,20.0,,,,,,129.0,129.0,2.0,29.0,24.0,37.7,,,1.0,1.0,11.0,0.0,,,,93.0,2.0,1.0,3.0,,,2.0,5.0,,3.0,69.0,328.0,3.0,7.0,199.0,34.0,24.0,15.0,4.0,14.0,10.0,2.0,116.0,9.0,244.0,,,29.0,2.0,79.0,,429.0,1.0,0.0,8.0,15.0,1.0,18.0,1.0,595.0,10.0,8.0,7.0,4.0,10.0,0.0,,,,,,,,,
2019-20,1059748,5.0,2019-09-14 15:00:00,49,Sheff Utd,Home,141.0,21.0,3.0,5.0,2.0,1.0,1.0,172.0,,,9.0,2.0,4.0,27.0,308.0,1.0,,23.0,20.0,16.0,13.0,3.0,2.0,2.0,,,1.0,1.0,14.0,,,,1.0,5.0,8.0,3.0,13.0,4.0,,61.0,70.0,3.0,3.0,,3.0,20.0,5.0,20.0,,1.0,12.0,13.0,7.0,,12.0,3.0,67.0,59.0,3.0,24.0,18.0,,,63.0,10.0,6.0,,,4.0,2.0,,180.0,,,,,,,6.0,,,,,,,,,18.0,,10.0,10.0,,9.0,85.0,76.0,36.0,6.0,,8.0,8.0,4.0,398.0,,,1.0,1.0,84.0,73.0,37.0,,,,,,171.0,171.0,1.0,31.0,25.0,48.2,,,,,20.0,0.0,,,,88.0,4.0,2.0,6.0,,,2.0,8.0,,3.0,90.0,301.0,7.0,16.0,169.0,40.0,24.0,22.0,11.0,33.0,22.0,2.0,144.0,4.0,278.0,,,21.0,4.0,69.0,3.0,414.0,1.0,1.0,17.0,21.0,,27.0,1.0,647.0,29.0,11.0,16.0,12.0,11.0,0.0,,,,,,,,,
2019-20,1059756,6.0,2019-09-21 15:00:00,49,Sheff Utd,Away,78.0,11.0,,1.0,1.0,,,67.0,4.0,,4.0,9.0,3.0,24.0,144.0,,1.0,14.0,19.0,24.0,1.0,,,1.0,,,,1.0,2.0,,,,,3.0,9.0,7.0,2.0,,,29.0,52.0,1.0,,1.0,2.0,15.0,,15.0,,,3.0,7.0,3.0,,3.0,3.0,52.0,52.0,2.0,63.0,31.0,,,50.0,9.0,8.0,,,1.0,,,124.0,1.0,,1.0,1.0,,1.0,14.0,,,1.0,1.0,,,,1.0,31.0,,14.0,14.0,2.0,4.0,38.0,62.0,18.0,12.0,,1.0,1.0,1.0,201.0,,,7.0,3.0,46.0,47.0,12.0,,,,,,131.0,131.0,1.0,31.0,11.0,30.2,,,,1.0,15.0,0.0,,,,36.0,2.0,1.0,3.0,,1.0,1.0,1.0,,3.0,47.0,132.0,5.0,2.0,97.0,27.0,63.0,12.0,3.0,13.0,10.0,2.0,89.0,3.0,143.0,1.0,,27.0,4.0,69.0,1.0,227.0,,0.0,2.0,15.0,1.0,22.0,3.0,442.0,6.0,14.0,5.0,3.0,10.0,0.0,,,,,,,,,
2019-20,1059769,7.0,2019-09-28 12:30:00,49,Sheff Utd,Home,82.0,13.0,3.0,7.0,4.0,2.0,,117.0,3.0,,2.0,3.0,4.0,24.0,192.0,,1.0,19.0,26.0,20.0,7.0,2.0,2.0,1.0,,,,,10.0,,,,,4.0,8.0,8.0,11.0,1.0,,42.0,56.0,1.0,1.0,,3.0,17.0,4.0,7.0,,,6.0,6.0,6.0,,8.0,1.0,52.0,43.0,3.0,29.0,19.0,1.0,3.0,52.0,8.0,4.0,,,,,,135.0,,,,,,,12.0,,,,1.0,,,,,19.0,,12.0,12.0,4.0,2.0,64.0,70.0,33.0,5.0,,5.0,4.0,2.0,267.0,,,3.0,1.0,67.0,37.0,27.0,,,,,,140.0,140.0,1.0,25.0,20.0,29.6,,,,,17.0,0.0,,,,50.0,2.0,1.0,3.0,,,1.0,6.0,,2.0,66.0,183.0,7.0,9.0,102.0,31.0,29.0,11.0,5.0,17.0,12.0,1.0,116.0,4.0,206.0,1.0,,21.0,6.0,65.0,,291.0,,0.0,12.0,11.0,2.0,24.0,1.0,479.0,24.0,14.0,8.0,6.0,7.0,0.0,,,,,,,,,
2019-20,1059780,8.0,2019-10-05 15:00:00,49,Sheff Utd,Away,225.0,23.0,2.0,6.0,4.0,1.0,,236.0,1.0,,3.0,3.0,5.0,54.0,455.0,,,23.0,26.0,25.0,5.0,1.0,2.0,,,,,,6.0,,,,1.0,1.0,5.0,3.0,5.0,4.0,,96.0,65.0,,,,,6.0,2.0,10.0,,,7.0,10.0,11.0,,13.0,1.0,59.0,53.0,,27.0,15.0,,,74.0,6.0,7.0,,,2.0,2.0,,190.0,,,,,,,6.0,,,,1.0,,,,,15.0,,9.0,9.0,,3.0,134.0,91.0,41.0,7.0,,2.0,4.0,3.0,538.0,,,2.0,1.0,90.0,125.0,38.0,,,,,,164.0,164.0,3.0,26.0,30.0,60.5,,,,,6.0,0.0,,,,134.0,2.0,,2.0,,,,4.0,,2.0,114.0,447.0,1.0,6.0,240.0,51.0,27.0,11.0,7.0,30.0,23.0,,165.0,4.0,344.0,1.0,,19.0,7.0,104.0,3.0,554.0,1.0,0.0,9.0,15.0,,23.0,2.0,760.0,22.0,20.0,7.0,7.0,9.0,0.0,,,,,,,,,
2019-20,1059789,9.0,2019-10-21 20:00:00,49,Sheff Utd,Home,78.0,9.0,2.0,5.0,3.0,1.0,1.0,132.0,2.0,,,4.0,5.0,24.0,205.0,,,23.0,15.0,28.0,3.0,3.0,2.0,,,,,,5.0,,,,1.0,4.0,5.0,4.0,5.0,3.0,,38.0,54.0,1.0,,1.0,2.0,11.0,1.0,20.0,,,7.0,11.0,2.0,,14.0,2.0,59.0,62.0,2.0,25.0,14.0,,,54.0,10.0,11.0,1.0,,2.0,1.0,,133.0,1.0,,1.0,,1.0,,5.0,,,,,,,,1.0,14.0,,13.0,13.0,2.0,,66.0,57.0,25.0,12.0,,4.0,3.0,2.0,261.0,,,2.0,3.0,75.0,45.0,29.0,,,,,,136.0,136.0,3.0,26.0,17.0,31.4,,,,,11.0,0.0,,,,50.0,1.0,2.0,3.0,,,,5.0,,3.0,83.0,189.0,5.0,7.0,96.0,20.0,25.0,6.0,5.0,19.0,14.0,,122.0,4.0,210.0,,,31.0,6.0,62.0,1.0,287.0,,0.0,8.0,21.0,,27.0,4.0,492.0,23.0,15.0,3.0,7.0,14.0,0.0,,,,,,,,,
2019-20,1059801,10.0,2019-10-26 15:00:00,49,Sheff Utd,Away,138.0,12.0,1.0,4.0,3.0,1.0,1.0,127.0,4.0,,2.0,3.0,3.0,24.0,261.0,,,18.0,22.0,25.0,6.0,2.0,3.0,,,,,,6.0,,,,1.0,3.0,9.0,3.0,9.0,1.0,,48.0,65.0,1.0,1.0,,3.0,16.0,3.0,10.0,,,4.0,9.0,3.0,,7.0,1.0,51.0,55.0,3.0,27.0,18.0,,,53.0,10.0,7.0,,,2.0,1.0,,140.0,1.0,,1.0,1.0,,,7.0,,,1.0,2.0,,,,,18.0,,14.0,14.0,1.0,2.0,79.0,77.0,26.0,10.0,,3.0,6.0,4.0,334.0,,,1.0,2.0,63.0,61.0,22.0,,,,,,139.0,139.0,1.0,30.0,28.0,39.2,,,1.0,2.0,16.0,0.0,,,,90.0,2.0,1.0,3.0,,1.0,,3.0,1.0,3.0,67.0,248.0,9.0,9.0,154.0,29.0,27.0,18.0,2.0,15.0,13.0,,110.0,4.0,218.0,2.0,,30.0,4.0,71.0,4.0,357.0,,0.0,10.0,11.0,,20.0,2.0,551.0,19.0,12.0,13.0,4.0,6.0,0.0,,,,,,,,,
