season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard,attFreekickGoal,attPenMiss,attPostLeft,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,fwdPass,leftsidePass,overrun,rightsidePass,unsuccessfulTouch,attObxdRight,attOneOnOne,contentiousDecision,penaltySave,ptsDroppedWinningPos,attemptedTackleFoul,blockedPass,putThrough,successfulPutThrough,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,subsGoals,attPenPost,fiftyFifty,keeperGoals,successfulFiftyFifty,winningGoal,attLgLeft,expectedGoalsFreekick,totalDistance
2009-10,284000,1,2009-08-15 15:00:00,7,Aston Villa,Home,65.0,8.0,3.0,6.0,3.0,4.0,,105.0,5.0,,2.0,13.0,4.0,21.0,164.0,,,19.0,15.0,10.0,6.0,1.0,,,2.0,,1.0,3.0,,,,,,,,,,9.0,12.0,,,49.0,1.0,2.0,11.0,1.0,4.0,7.0,11.0,,11.0,2.0,56.0,67.0,1.0,18.0,10.0,1.0,,82.0,14.0,16.0,,,,,3.0,,,,,,,9.0,,,2.0,18.0,,12.0,12.0,1.0,2.0,94.0,38.0,6.0,,3.0,4.0,3.0,,9.0,,40.0,46.0,22.0,,,,,175.0,159.0,4.0,19.0,18.0,47.0,,,,0.0,2.0,3.0,,,2.0,,7.0,,3.0,56.0,,7.0,87.0,15.0,34.0,15.0,4.0,23.0,19.0,,113.0,20.0,210.0,,,37.0,4.0,50.0,1.0,274.0,,0.0,12.0,33.0,1.0,28.0,2.0,533.0,,8.0,4.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284016,2,2009-11-04 19:45:00,7,Aston Villa,Away,107.0,9.0,3.0,7.0,4.0,3.0,,120.0,10.0,,8.0,6.0,6.0,22.0,220.0,,1.0,18.0,11.0,19.0,7.0,4.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,2.0,12.0,8.0,,,50.0,1.0,7.0,5.0,,14.0,13.0,4.0,,10.0,3.0,52.0,55.0,1.0,15.0,10.0,,,71.0,16.0,11.0,,,,,1.0,1.0,,,1.0,,,17.0,,2.0,,25.0,,15.0,14.0,2.0,8.0,83.0,41.0,6.0,1.0,3.0,9.0,8.0,,5.0,,76.0,37.0,19.0,1.0,1.0,1.0,1.0,168.0,141.0,3.0,24.0,13.0,45.8,,,,0.0,2.0,3.0,,1.0,2.0,1.0,4.0,1.0,2.0,69.0,,12.0,118.0,20.0,42.0,16.0,14.0,34.0,20.0,,111.0,17.0,213.0,2.0,,26.0,6.0,45.0,3.0,297.0,,1.0,19.0,19.0,2.0,25.0,3.0,590.0,,6.0,14.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284025,3,2009-08-24 20:00:00,7,Aston Villa,Away,82.0,5.0,1.0,6.0,5.0,4.0,,110.0,3.0,,2.0,2.0,8.0,16.0,186.0,,,24.0,16.0,8.0,4.0,,,,,,,2.0,,1.0,,4.0,1.0,,,,,14.0,10.0,,,36.0,4.0,3.0,7.0,1.0,4.0,11.0,2.0,1.0,17.0,5.0,55.0,50.0,4.0,23.0,10.0,,,80.0,11.0,14.0,,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,14.0,,1.0,,21.0,,24.0,22.0,,2.0,84.0,31.0,10.0,1.0,1.0,4.0,4.0,,6.0,,36.0,62.0,12.0,,,,1.0,159.0,134.0,,14.0,15.0,32.6,,,3.0,0.0,6.0,4.0,,,1.0,,1.0,,1.0,55.0,,5.0,93.0,22.0,48.0,9.0,4.0,18.0,14.0,,102.0,11.0,187.0,1.0,1.0,18.0,11.0,45.0,3.0,262.0,,0.0,8.0,23.0,1.0,35.0,2.0,509.0,,5.0,4.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284030,4,2009-08-30 16:00:00,7,Aston Villa,Home,165.0,13.0,4.0,7.0,3.0,2.0,,155.0,3.0,,4.0,3.0,11.0,35.0,313.0,,1.0,22.0,13.0,8.0,5.0,2.0,,,,,,,,,,7.0,,,,,1.0,4.0,4.0,,,42.0,1.0,3.0,1.0,,9.0,7.0,11.0,,8.0,,43.0,45.0,1.0,16.0,7.0,,,79.0,12.0,9.0,1.0,,3.0,2.0,,1.0,,,1.0,,,7.0,1.0,1.0,,13.0,,19.0,19.0,1.0,4.0,77.0,35.0,4.0,,4.0,4.0,2.0,,3.0,,70.0,54.0,18.0,,,,,153.0,143.0,3.0,12.0,17.0,44.1,,,,0.0,,,,,2.0,,5.0,,1.0,67.0,,8.0,179.0,28.0,26.0,13.0,9.0,29.0,20.0,,112.0,8.0,250.0,1.0,,20.0,15.0,59.0,5.0,400.0,,0.0,10.0,24.0,2.0,30.0,1.0,600.0,,4.0,9.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284040,5,2009-09-13 12:00:00,7,Aston Villa,Away,177.0,15.0,1.0,7.0,6.0,1.0,,119.0,2.0,,5.0,5.0,12.0,28.0,289.0,,1.0,20.0,9.0,13.0,8.0,3.0,,2.0,,,,,,,,,,,,,3.0,4.0,9.0,,,28.0,3.0,4.0,7.0,,1.0,6.0,8.0,,15.0,3.0,55.0,51.0,3.0,27.0,14.0,,,89.0,20.0,10.0,1.0,,,,,1.0,,1.0,1.0,,,8.0,,,,35.0,,4.0,4.0,2.0,5.0,108.0,49.0,7.0,,6.0,6.0,2.0,,5.0,,54.0,53.0,22.0,,,,,188.0,162.0,,9.0,12.0,49.7,,,,0.0,,3.0,,,,2.0,7.0,,1.0,62.0,,12.0,199.0,38.0,53.0,10.0,1.0,16.0,15.0,,123.0,11.0,220.0,,,29.0,14.0,63.0,3.0,403.0,,0.0,13.0,22.0,3.0,31.0,2.0,636.0,,6.0,1.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284051,6,2009-09-19 15:00:00,7,Aston Villa,Home,106.0,12.0,2.0,4.0,2.0,6.0,,119.0,5.0,,9.0,7.0,9.0,30.0,221.0,,,17.0,16.0,14.0,,,,,,,,1.0,,,,,1.0,,,,1.0,3.0,14.0,,,45.0,,2.0,11.0,,7.0,11.0,4.0,,11.0,3.0,63.0,44.0,,12.0,9.0,,1.0,67.0,17.0,13.0,1.0,1.0,,,1.0,1.0,,,1.0,,,15.0,,5.0,,12.0,,10.0,8.0,,10.0,72.0,37.0,5.0,1.0,,1.0,3.0,,5.0,,48.0,40.0,27.0,,,,1.0,150.0,144.0,2.0,12.0,17.0,49.0,,,,0.0,1.0,5.0,,,1.0,,1.0,,2.0,66.0,,1.0,124.0,27.0,18.0,13.0,4.0,22.0,18.0,,114.0,10.0,200.0,5.0,,22.0,11.0,54.0,2.0,302.0,1.0,0.0,6.0,12.0,3.0,29.0,2.0,509.0,,5.0,7.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284061,7,2009-09-26 15:00:00,7,Aston Villa,Away,106.0,9.0,,3.0,3.0,5.0,,118.0,6.0,1.0,4.0,6.0,6.0,30.0,221.0,,,17.0,29.0,25.0,5.0,,,,,,,,,,,,,,,,1.0,16.0,6.0,,,28.0,3.0,,6.0,,5.0,7.0,11.0,,9.0,2.0,60.0,64.0,3.0,19.0,9.0,1.0,,76.0,13.0,14.0,1.0,1.0,,,,1.0,,1.0,1.0,,,11.0,,,2.0,29.0,,6.0,6.0,,4.0,81.0,36.0,6.0,,3.0,3.0,4.0,,6.0,,46.0,45.0,20.0,1.0,1.0,1.0,,174.0,147.0,1.0,12.0,6.0,52.5,,,3.0,0.0,2.0,,,,1.0,,4.0,,1.0,50.0,,6.0,131.0,18.0,46.0,10.0,3.0,27.0,24.0,,97.0,18.0,208.0,,1.0,22.0,6.0,53.0,2.0,312.0,2.0,0.0,8.0,20.0,1.0,27.0,2.0,532.0,,5.0,5.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284071,8,2009-10-05 20:00:00,7,Aston Villa,Home,110.0,15.0,3.0,10.0,7.0,5.0,,149.0,7.0,,3.0,11.0,14.0,23.0,249.0,,,22.0,16.0,17.0,7.0,3.0,,1.0,,,,,,,,,,,,,,6.0,6.0,,,61.0,3.0,5.0,7.0,,6.0,10.0,9.0,1.0,12.0,,59.0,62.0,3.0,17.0,9.0,,,108.0,12.0,8.0,,,,,,1.0,1.0,1.0,,1.0,,9.0,,4.0,,16.0,,33.0,33.0,3.0,3.0,95.0,48.0,6.0,,6.0,5.0,1.0,,6.0,,77.0,42.0,27.0,,,,,176.0,161.0,4.0,16.0,29.0,43.8,,,1.0,0.0,2.0,1.0,,,,1.0,6.0,1.0,2.0,77.0,,11.0,130.0,34.0,32.0,16.0,5.0,26.0,21.0,,151.0,22.0,260.0,4.0,,34.0,14.0,55.0,2.0,364.0,,0.0,12.0,33.0,1.0,24.0,1.0,665.0,,4.0,6.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284081,9,2009-10-17 12:45:00,7,Aston Villa,Home,74.0,14.0,2.0,8.0,6.0,5.0,,102.0,5.0,,7.0,7.0,5.0,25.0,168.0,,,23.0,13.0,17.0,4.0,1.0,,,,,,,,,,,,,,,,8.0,13.0,,,50.0,2.0,3.0,12.0,,6.0,14.0,9.0,2.0,12.0,3.0,63.0,64.0,2.0,19.0,5.0,1.0,,66.0,19.0,13.0,,1.0,,,,1.0,1.0,1.0,,1.0,,10.0,,,,12.0,,23.0,23.0,2.0,7.0,77.0,39.0,9.0,,2.0,4.0,3.0,,7.0,,69.0,37.0,20.0,,,,,161.0,146.0,3.0,19.0,16.0,34.5,,,1.0,0.0,4.0,2.0,,,2.0,,3.0,,1.0,57.0,,6.0,89.0,25.0,34.0,8.0,6.0,31.0,25.0,,103.0,18.0,197.0,,,22.0,5.0,44.0,4.0,255.0,1.0,0.0,9.0,33.0,3.0,30.0,2.0,536.0,,1.0,6.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284099,10,2009-10-24 12:45:00,7,Aston Villa,Away,94.0,11.0,,3.0,3.0,11.0,,129.0,1.0,,4.0,12.0,6.0,28.0,220.0,,,32.0,16.0,15.0,7.0,,,4.0,,,,,,,,,,,,,1.0,9.0,3.0,,,42.0,6.0,4.0,2.0,1.0,3.0,23.0,6.0,,13.0,1.0,52.0,53.0,6.0,29.0,15.0,,,73.0,17.0,10.0,1.0,,,,,1.0,,1.0,1.0,,,8.0,,2.0,1.0,25.0,,16.0,16.0,1.0,4.0,86.0,38.0,8.0,,3.0,5.0,3.0,,5.0,,54.0,57.0,23.0,1.0,1.0,1.0,,181.0,161.0,3.0,13.0,15.0,51.6,,,2.0,0.0,1.0,,,,1.0,4.0,3.0,,1.0,82.0,,8.0,121.0,28.0,49.0,10.0,3.0,35.0,32.0,,123.0,18.0,227.0,2.0,,37.0,7.0,60.0,3.0,313.0,,0.0,10.0,23.0,1.0,40.0,2.0,608.0,,5.0,3.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
