season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickGoal,attLgLeft,attPenTarget,subsGoals,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,totalDistance,keeperGoals,penaltySave,winningGoal,attPenPost
2021-22,2210271,1,2021-08-13 20:00:00,94,Brentford,Home,106.0,14.0,1.0,2.0,1.0,4.0,,97.0,6.0,1.0,5.0,7.0,3.0,22.0,201.0,,1.0,9.0,20.0,17.0,4.0,1.0,1.0,,,,,,,,,,,,6.0,,,,1.0,,6.0,13.0,9.0,7.0,1.0,49.0,56.0,1.0,1.0,1.0,3.0,15.0,,9.0,,,2.0,4.0,3.0,,5.0,2.0,50.0,51.0,3.0,19.0,5.0,,,27.0,44.0,12.0,7.0,,,,,,145.0,1.0,,,1.0,,,16.0,1.0,2.0,,5.0,1.0,9.0,9.0,1.0,5.0,58.0,66.0,23.0,5.0,2.0,4.0,2.0,3.0,280.0,4.0,,,46.0,28.0,20.0,,,,,151.0,151.0,4.0,22.0,18.0,35.3,1.0,,,,15.0,0.0,57.0,2.0,2.0,4.0,,2.0,,5.0,,3.0,19.0,49.0,188.0,4.0,6.0,138.0,28.0,19.0,11.0,2.0,9.0,7.0,,84.0,12.0,180.0,2.0,1.0,30.0,4.0,65.0,1.0,309.0,2.0,0.0,8.0,20.0,1.0,19.0,0.0,479.0,20.0,16.0,7.0,2.0,12.0,0.0,,,,,,,,,,,,,,
2021-22,2210284,2,2021-08-21 15:00:00,94,Brentford,Away,156.0,19.0,2.0,3.0,1.0,2.0,,117.0,2.0,,6.0,2.0,4.0,22.0,270.0,,,15.0,26.0,21.0,8.0,3.0,4.0,,,1.0,,1.0,,,,,1.0,,7.0,,1.0,,,2.0,5.0,5.0,2.0,8.0,6.0,59.0,80.0,,,,1.0,20.0,4.0,8.0,,,5.0,4.0,3.0,,11.0,1.0,57.0,63.0,1.0,11.0,4.0,,,38.0,68.0,9.0,10.0,,,5.0,4.0,1.0,164.0,,,,,,,6.0,,2.0,1.0,4.0,1.0,11.0,11.0,2.0,6.0,79.0,70.0,20.0,3.0,,5.0,6.0,3.0,363.0,,,,48.0,60.0,28.0,,,,,166.0,166.0,6.0,26.0,37.0,47.3,1.0,,,,20.0,0.0,80.0,1.0,1.0,2.0,,,,7.0,,3.0,17.0,62.0,260.0,10.0,11.0,172.0,45.0,11.0,13.0,4.0,15.0,11.0,,120.0,7.0,225.0,2.0,,23.0,4.0,68.0,2.0,382.0,,0.0,14.0,24.0,,19.0,1.0,578.0,14.0,21.0,9.0,5.0,8.0,0.0,,,,,,,,,,,,,,
2021-22,2210291,3,2021-08-28 15:00:00,94,Brentford,Away,240.0,17.0,1.0,1.0,,2.0,,95.0,4.0,3.0,7.0,7.0,2.0,29.0,334.0,,2.0,16.0,21.0,20.0,7.0,1.0,2.0,,,,,,,,,,,,7.0,,,,,,11.0,5.0,2.0,7.0,2.0,62.0,61.0,2.0,1.0,1.0,3.0,19.0,5.0,10.0,,,2.0,4.0,1.0,,6.0,3.0,57.0,55.0,3.0,21.0,14.0,,,30.0,57.0,14.0,14.0,1.0,,1.0,,,164.0,1.0,,1.0,,1.0,,4.0,,,,14.0,,6.0,6.0,1.0,7.0,114.0,71.0,31.0,3.0,,2.0,7.0,2.0,410.0,,1.0,,36.0,33.0,26.0,,,,,141.0,141.0,7.0,25.0,16.0,53.5,,2.0,,,19.0,0.0,95.0,4.0,,4.0,,1.0,,2.0,,3.0,18.0,44.0,311.0,9.0,9.0,265.0,45.0,21.0,12.0,2.0,7.0,5.0,,97.0,6.0,177.0,,3.0,25.0,2.0,72.0,2.0,435.0,,0.0,9.0,16.0,3.0,21.0,3.0,600.0,20.0,13.0,5.0,2.0,12.0,0.0,,,,,,,,,,,,,,
2021-22,2210302,4,2021-09-11 15:00:00,94,Brentford,Home,145.0,5.0,,2.0,2.0,2.0,,107.0,4.0,2.0,3.0,6.0,2.0,16.0,250.0,,,17.0,11.0,15.0,7.0,,,,,,,,,1.0,,,,,6.0,,,,,1.0,3.0,3.0,1.0,5.0,2.0,46.0,58.0,1.0,1.0,,3.0,22.0,,9.0,,,1.0,12.0,7.0,,15.0,1.0,45.0,56.0,3.0,17.0,8.0,,,23.0,34.0,9.0,12.0,,,4.0,1.0,,145.0,,,,,,,6.0,,,,8.0,,13.0,13.0,2.0,3.0,68.0,52.0,26.0,6.0,,6.0,1.0,1.0,312.0,1.0,2.0,,56.0,25.0,24.0,,,,,147.0,147.0,5.0,25.0,18.0,41.3,,,,,22.0,0.0,77.0,1.0,,1.0,,1.0,,6.0,,3.0,5.0,64.0,232.0,10.0,7.0,187.0,13.0,17.0,9.0,,20.0,20.0,,83.0,4.0,169.0,,2.0,26.0,2.0,44.0,,336.0,,0.0,7.0,21.0,,22.0,3.0,527.0,16.0,20.0,8.0,1.0,17.0,0.0,,,,,,,,,,,,,,
2021-22,2210320,5,2021-09-18 12:30:00,94,Brentford,Away,142.0,9.0,1.0,1.0,,3.0,,101.0,8.0,2.0,4.0,4.0,1.0,21.0,242.0,,1.0,9.0,12.0,14.0,5.0,,,,,,,,,,,,,,8.0,1.0,1.0,,,,2.0,4.0,7.0,6.0,3.0,39.0,55.0,1.0,1.0,2.0,2.0,18.0,1.0,20.0,,1.0,2.0,2.0,2.0,,3.0,,47.0,47.0,2.0,28.0,8.0,,,23.0,51.0,7.0,10.0,2.0,,3.0,1.0,,134.0,1.0,,1.0,1.0,,,11.0,1.0,,1.0,8.0,1.0,10.0,10.0,1.0,4.0,69.0,64.0,28.0,4.0,,4.0,2.0,3.0,298.0,3.0,2.0,,41.0,29.0,17.0,,,,1.0,122.0,122.0,3.0,28.0,15.0,38.1,1.0,,,,18.0,0.0,82.0,,,,1.0,,,5.0,,3.0,15.0,46.0,224.0,10.0,6.0,157.0,28.0,28.0,14.0,2.0,7.0,5.0,,84.0,5.0,174.0,,2.0,16.0,1.0,53.0,2.0,324.0,,1.0,9.0,15.0,5.0,16.0,2.0,486.0,13.0,14.0,8.0,2.0,9.0,0.0,,,,,,,,,,,,,,
2021-22,2210322,6,2021-09-25 17:30:00,94,Brentford,Home,73.0,16.0,,5.0,5.0,3.0,,113.0,4.0,3.0,4.0,4.0,2.0,20.0,181.0,,1.0,11.0,23.0,25.0,5.0,,1.0,1.0,,,,,,,,,,1.0,10.0,,1.0,,,1.0,4.0,9.0,7.0,10.0,2.0,37.0,50.0,3.0,2.0,3.0,,13.0,2.0,5.0,1.0,1.0,2.0,6.0,4.0,1.0,8.0,2.0,46.0,53.0,,31.0,16.0,,,26.0,57.0,8.0,7.0,,,1.0,1.0,,137.0,1.0,,1.0,,1.0,,10.0,2.0,1.0,,16.0,1.0,15.0,15.0,4.0,4.0,43.0,73.0,30.0,11.0,1.0,4.0,2.0,4.0,242.0,5.0,1.0,,57.0,25.0,24.0,,,,,127.0,127.0,2.0,16.0,20.0,32.7,1.0,2.0,1.0,,13.0,0.0,54.0,3.0,,3.0,,1.0,1.0,6.0,1.0,3.0,15.0,59.0,166.0,6.0,6.0,87.0,33.0,31.0,11.0,2.0,13.0,11.0,1.0,103.0,7.0,197.0,1.0,3.0,24.0,2.0,58.0,4.0,271.0,,0.0,12.0,14.0,5.0,15.0,1.0,449.0,21.0,9.0,8.0,2.0,6.0,0.0,,,,,,,,,,,,,,
2021-22,2210339,7,2021-10-03 14:00:00,94,Brentford,Away,105.0,16.0,1.0,4.0,3.0,1.0,1.0,83.0,6.0,,5.0,4.0,2.0,16.0,184.0,,2.0,12.0,25.0,25.0,5.0,1.0,3.0,,,,,1.0,,,,,,,5.0,,1.0,,,4.0,7.0,11.0,7.0,11.0,2.0,38.0,48.0,,,1.0,3.0,17.0,4.0,9.0,,,6.0,5.0,3.0,,8.0,,62.0,51.0,3.0,28.0,12.0,,,27.0,46.0,13.0,16.0,1.0,,3.0,3.0,1.0,147.0,,,,,,,15.0,1.0,1.0,,12.0,1.0,10.0,10.0,3.0,5.0,52.0,64.0,18.0,11.0,,1.0,5.0,6.0,254.0,7.0,1.0,,43.0,38.0,19.0,,,,,154.0,154.0,1.0,18.0,22.0,40.1,1.0,,,1.0,17.0,0.0,49.0,2.0,2.0,4.0,,,,3.0,,3.0,15.0,39.0,168.0,7.0,6.0,136.0,29.0,28.0,12.0,6.0,17.0,11.0,,75.0,4.0,167.0,1.0,,22.0,4.0,53.0,1.0,286.0,,0.0,13.0,5.0,2.0,20.0,3.0,481.0,16.0,14.0,5.0,6.0,4.0,0.0,,,,,,,,,,,,,,
2021-22,2210343,8,2021-10-16 17:30:00,94,Brentford,Home,161.0,28.0,,8.0,8.0,5.0,,152.0,5.0,1.0,8.0,5.0,3.0,25.0,305.0,,,19.0,17.0,35.0,7.0,,3.0,,,,,,,,,,,,10.0,,,1.0,1.0,,7.0,1.0,4.0,13.0,4.0,59.0,62.0,1.0,2.0,,1.0,17.0,7.0,11.0,,,5.0,11.0,9.0,,13.0,,61.0,70.0,1.0,13.0,7.0,,,30.0,57.0,13.0,8.0,,,1.0,2.0,,155.0,,,,,,,5.0,,3.0,,7.0,3.0,4.0,4.0,1.0,8.0,87.0,62.0,29.0,5.0,,1.0,6.0,7.0,383.0,1.0,,,33.0,64.0,43.0,,,,,167.0,167.0,3.0,23.0,23.0,43.9,2.0,,,1.0,17.0,0.0,104.0,,,,,,,3.0,,2.0,20.0,76.0,286.0,5.0,7.0,178.0,51.0,13.0,18.0,4.0,26.0,22.0,,131.0,16.0,253.0,3.0,1.0,19.0,3.0,55.0,1.0,405.0,,0.0,17.0,16.0,,29.0,1.0,608.0,40.0,18.0,11.0,5.0,7.0,0.0,,,,,,,,,,,,,,
2021-22,2210352,9,2021-10-24 14:00:00,94,Brentford,Home,176.0,26.0,4.0,7.0,3.0,2.0,2.0,171.0,6.0,,2.0,,6.0,23.0,340.0,,1.0,18.0,21.0,21.0,11.0,1.0,5.0,,,,,,,,,,,,8.0,,,,,1.0,6.0,4.0,6.0,10.0,5.0,70.0,75.0,1.0,1.0,,,17.0,4.0,4.0,,,9.0,6.0,11.0,1.0,9.0,2.0,56.0,52.0,,10.0,5.0,,,29.0,70.0,13.0,7.0,,,4.0,2.0,,159.0,1.0,1.0,1.0,,1.0,,6.0,,,,5.0,,13.0,13.0,,2.0,112.0,65.0,32.0,2.0,,6.0,7.0,5.0,428.0,1.0,,,65.0,53.0,49.0,,,,,165.0,165.0,9.0,23.0,40.0,54.4,,,,,17.0,0.0,104.0,1.0,3.0,4.0,,,,6.0,1.0,3.0,16.0,64.0,327.0,8.0,13.0,193.0,50.0,10.0,13.0,7.0,26.0,19.0,,131.0,7.0,278.0,,,14.0,6.0,61.0,3.0,445.0,,0.0,15.0,20.0,2.0,21.0,1.0,636.0,27.0,17.0,4.0,9.0,12.0,0.0,,,,,,,,,,,,,,
2021-22,2210362,10,2021-10-30 15:00:00,94,Brentford,Away,255.0,20.0,,3.0,3.0,,,146.0,7.0,,8.0,2.0,8.0,31.0,398.0,,,14.0,20.0,17.0,3.0,1.0,1.0,,,,,1.0,,,,,,,8.0,,,,,1.0,7.0,9.0,6.0,6.0,6.0,66.0,74.0,,,,1.0,16.0,4.0,7.0,1.0,,2.0,9.0,12.0,,3.0,2.0,45.0,38.0,1.0,16.0,7.0,,1.0,34.0,62.0,10.0,7.0,,,1.0,,1.0,197.0,1.0,,1.0,1.0,,,8.0,1.0,2.0,,7.0,,15.0,15.0,1.0,8.0,131.0,88.0,38.0,4.0,,2.0,3.0,5.0,498.0,1.0,,,32.0,60.0,34.0,,,,,176.0,176.0,1.0,29.0,33.0,59.4,,,,,16.0,0.0,127.0,3.0,,2.0,,,,3.0,1.0,3.0,18.0,61.0,380.0,7.0,5.0,294.0,58.0,16.0,7.0,1.0,22.0,21.0,,105.0,6.0,249.0,2.0,,20.0,8.0,77.0,4.0,521.0,,0.0,12.0,12.0,,20.0,1.0,695.0,13.0,16.0,2.0,2.0,10.0,0.0,,,,,,,,,,,,,,
