season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard,attOneOnOne,attPenPost,attPenTarget,attemptedTackleFoul,backwardPass,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedPass,contentiousDecision,leftsidePass,overrun,putThrough,rightsidePass,successfulPutThrough,unsuccessfulTouch,attOboxOwnGoal,fiftyFifty,successfulFiftyFifty,attLgLeft,attPenMiss,attLgRight,totalDistance
2009-10,284007,1.0,2009-08-15 15:00:00,90,Burnley,Away,89.0,20.0,1.0,5.0,4.0,4.0,1.0,173.0,3.0,1.0,5.0,2.0,20.0,24.0,257.0,,3.0,28.0,11.0,11.0,9.0,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,,,8.0,,,,,2.0,8.0,6.0,8.0,6.0,,46.0,1.0,6.0,1.0,1.0,6.0,18.0,8.0,,8.0,1.0,37.0,44.0,1.0,28.0,17.0,,,,,,,,98.0,10.0,16.0,,1.0,6.0,3.0,2.0,,,,,,,,14.0,,,,2.0,,,,,36.0,,12.0,11.0,2.0,,5.0,84.0,35.0,3.0,,4.0,7.0,3.0,331.0,,,2.0,1.0,57.0,81.0,46.0,,,,,,181.0,152.0,3.0,16.0,16.0,62.3,,,,1.0,0.0,,,,3.0,,2.0,,,1.0,5.0,2.0,,3.0,90.0,245.0,11.0,101.0,42.0,57.0,13.0,4.0,33.0,29.0,1.0,161.0,8.0,294.0,2.0,1.0,16.0,22.0,66.0,,362.0,1.0,0.0,14.0,11.0,7.0,31.0,2.0,590.0,20.0,,6.0,6.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284012,2.0,2009-08-19 19:45:00,90,Burnley,Home,93.0,9.0,,3.0,3.0,3.0,,108.0,4.0,3.0,2.0,3.0,8.0,19.0,198.0,,1.0,20.0,8.0,11.0,5.0,,,,,1.0,,,1.0,,,,,7.0,,,,,1.0,11.0,8.0,5.0,4.0,,44.0,8.0,,9.0,,1.0,11.0,4.0,,6.0,2.0,40.0,36.0,8.0,43.0,15.0,,,,,,,,69.0,8.0,12.0,1.0,,2.0,1.0,1.0,,,,,,,,15.0,,,1.0,2.0,,,,,27.0,,20.0,20.0,1.0,,2.0,86.0,31.0,13.0,,3.0,2.0,3.0,261.0,,,6.0,,57.0,42.0,22.0,,1.0,1.0,1.0,,156.0,126.0,,17.0,19.0,33.3,,,,2.0,0.0,,,,2.0,1.0,3.0,,,,6.0,,,3.0,55.0,187.0,5.0,105.0,26.0,73.0,11.0,,16.0,16.0,,112.0,8.0,203.0,2.0,3.0,30.0,11.0,68.0,,292.0,1.0,0.0,9.0,9.0,5.0,24.0,2.0,520.0,15.0,,2.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284022,3.0,2009-08-23 15:00:00,90,Burnley,Home,67.0,12.0,,6.0,6.0,,,124.0,3.0,,1.0,12.0,9.0,21.0,185.0,,1.0,20.0,7.0,13.0,8.0,,2.0,2.0,,,,,,,,,,10.0,,1.0,,,,9.0,14.0,10.0,2.0,,47.0,5.0,2.0,9.0,,3.0,12.0,4.0,,14.0,1.0,47.0,50.0,5.0,25.0,11.0,,1.0,,,,,,75.0,13.0,13.0,,,1.0,1.0,,,1.0,,,1.0,,,12.0,,,1.0,,,,,,29.0,1.0,20.0,19.0,2.0,,1.0,80.0,30.0,7.0,1.0,5.0,4.0,3.0,250.0,,,13.0,,52.0,75.0,24.0,,1.0,1.0,,,161.0,134.0,,16.0,21.0,40.6,1.0,,,3.0,0.0,,,,1.0,,1.0,,,2.0,7.0,,,3.0,61.0,172.0,9.0,80.0,31.0,52.0,10.0,2.0,19.0,17.0,2.0,120.0,4.0,223.0,1.0,,35.0,11.0,61.0,2.0,284.0,,0.0,12.0,18.0,1.0,22.0,1.0,509.0,22.0,,6.0,3.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284033,4.0,2009-08-29 12:45:00,90,Burnley,Away,139.0,13.0,,,,1.0,,134.0,7.0,2.0,8.0,5.0,19.0,38.0,273.0,,,14.0,8.0,11.0,4.0,,,,,,,,,,,,,4.0,,,,,,18.0,15.0,1.0,3.0,,77.0,1.0,1.0,18.0,1.0,1.0,7.0,7.0,,16.0,5.0,56.0,61.0,1.0,11.0,4.0,,1.0,,,,,,64.0,5.0,7.0,,,1.0,1.0,,,,,,,,,17.0,,,,1.0,,,,,12.0,,30.0,30.0,3.0,,9.0,74.0,31.0,10.0,,3.0,1.0,,354.0,,,9.0,,55.0,62.0,16.0,,,,,,167.0,154.0,2.0,41.0,20.0,40.0,,,,,0.0,,,,8.0,4.0,11.0,,1.0,,3.0,,,3.0,66.0,257.0,4.0,175.0,29.0,24.0,19.0,1.0,16.0,15.0,,115.0,7.0,225.0,1.0,3.0,23.0,23.0,79.0,1.0,384.0,,0.0,4.0,32.0,,14.0,1.0,590.0,4.0,,10.0,1.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284043,5.0,2009-09-12 15:00:00,90,Burnley,Away,91.0,10.0,2.0,5.0,3.0,1.0,1.0,143.0,3.0,1.0,6.0,7.0,10.0,26.0,229.0,,1.0,16.0,10.0,10.0,5.0,2.0,2.0,,,,,,,,,,,5.0,,,,,,13.0,15.0,3.0,4.0,,47.0,2.0,1.0,15.0,,5.0,7.0,4.0,,22.0,8.0,60.0,46.0,2.0,16.0,2.0,,1.0,,,,,,84.0,11.0,8.0,,,1.0,2.0,,,,,,,,,12.0,,,,3.0,,,,1.0,5.0,,19.0,19.0,1.0,,6.0,88.0,39.0,7.0,,3.0,4.0,3.0,313.0,,,3.0,,27.0,83.0,24.0,,,,,,162.0,153.0,1.0,17.0,13.0,39.6,,,,,0.0,,,,4.0,7.0,11.0,,1.0,,3.0,,,3.0,75.0,220.0,7.0,109.0,17.0,25.0,10.0,4.0,17.0,13.0,,139.0,8.0,248.0,3.0,1.0,24.0,11.0,64.0,3.0,340.0,,0.0,7.0,21.0,3.0,18.0,2.0,539.0,13.0,,7.0,5.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284053,6.0,2009-09-19 12:45:00,90,Burnley,Home,89.0,18.0,1.0,3.0,2.0,2.0,,150.0,2.0,1.0,4.0,15.0,17.0,28.0,236.0,,1.0,23.0,20.0,17.0,4.0,1.0,,,,,,,,,,,,7.0,1.0,,,,1.0,5.0,4.0,4.0,5.0,,62.0,5.0,1.0,4.0,,4.0,8.0,6.0,1.0,12.0,2.0,48.0,60.0,5.0,23.0,12.0,1.0,1.0,,,,,,102.0,4.0,15.0,,,2.0,1.0,,,2.0,,2.0,2.0,,,10.0,,,2.0,1.0,,,,,24.0,,17.0,17.0,1.0,,4.0,104.0,47.0,4.0,,4.0,3.0,3.0,332.0,,,1.0,,45.0,91.0,29.0,,,,,1.0,186.0,167.0,2.0,19.0,28.0,50.3,,,,,0.0,,,,3.0,,3.0,,,,5.0,,,3.0,72.0,222.0,7.0,111.0,36.0,42.0,15.0,3.0,18.0,15.0,,145.0,15.0,268.0,1.0,1.0,46.0,21.0,73.0,,361.0,,0.0,9.0,21.0,3.0,30.0,0.0,590.0,15.0,,7.0,4.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284068,7.0,2009-09-26 15:00:00,90,Burnley,Away,118.0,15.0,3.0,6.0,3.0,1.0,1.0,180.0,2.0,2.0,3.0,3.0,13.0,22.0,292.0,,,23.0,10.0,11.0,3.0,4.0,3.0,1.0,,,,1.0,1.0,,,,,5.0,,,1.0,,2.0,12.0,7.0,8.0,4.0,,31.0,,2.0,7.0,,7.0,7.0,9.0,,17.0,3.0,53.0,40.0,,23.0,9.0,1.0,,,,,,,92.0,13.0,10.0,,,2.0,2.0,1.0,,,,,,,,8.0,,,,1.0,,,,,15.0,1.0,15.0,15.0,2.0,,3.0,89.0,46.0,2.0,,4.0,3.0,5.0,375.0,,,3.0,,50.0,68.0,37.0,1.0,1.0,1.0,,,158.0,150.0,2.0,15.0,9.0,48.7,1.0,,,,0.0,,,,3.0,2.0,5.0,,1.0,1.0,5.0,,,3.0,72.0,285.0,7.0,134.0,30.0,31.0,13.0,7.0,25.0,18.0,1.0,130.0,4.0,282.0,1.0,2.0,20.0,13.0,56.0,7.0,391.0,,0.0,12.0,12.0,3.0,25.0,2.0,587.0,16.0,,7.0,7.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284073,8.0,2009-10-03 15:00:00,90,Burnley,Home,132.0,11.0,2.0,4.0,2.0,1.0,1.0,163.0,5.0,2.0,4.0,5.0,15.0,24.0,291.0,,3.0,24.0,9.0,20.0,8.0,3.0,2.0,1.0,,,,1.0,2.0,,,,,11.0,,,,1.0,1.0,5.0,7.0,8.0,9.0,,52.0,1.0,9.0,3.0,,8.0,14.0,4.0,1.0,14.0,,47.0,56.0,1.0,37.0,24.0,,,,,,,,101.0,17.0,12.0,1.0,1.0,3.0,1.0,2.0,,2.0,,1.0,2.0,,1.0,8.0,,,2.0,,,,,,35.0,1.0,17.0,16.0,,,4.0,100.0,42.0,4.0,,3.0,10.0,5.0,387.0,,,4.0,,58.0,66.0,33.0,,,,,,187.0,172.0,2.0,24.0,16.0,58.7,1.0,,,,0.0,,,,1.0,1.0,2.0,,1.0,1.0,3.0,,,3.0,78.0,277.0,13.0,146.0,39.0,52.0,11.0,6.0,25.0,19.0,1.0,155.0,10.0,292.0,,2.0,25.0,15.0,71.0,3.0,413.0,,0.0,17.0,17.0,4.0,31.0,0.0,642.0,23.0,,7.0,8.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284082,9.0,2009-10-18 13:00:00,90,Burnley,Away,114.0,13.0,1.0,5.0,4.0,7.0,1.0,144.0,2.0,2.0,6.0,5.0,14.0,33.0,253.0,1.0,,26.0,19.0,18.0,5.0,2.0,2.0,1.0,,,,,,,,,,8.0,,,,,1.0,9.0,4.0,4.0,7.0,,43.0,2.0,2.0,10.0,,2.0,7.0,6.0,,18.0,,71.0,69.0,2.0,21.0,13.0,1.0,,,,,,,90.0,14.0,20.0,1.0,1.0,,1.0,,,2.0,,1.0,2.0,,1.0,7.0,,,2.0,3.0,,,,,23.0,,8.0,7.0,2.0,,7.0,92.0,41.0,3.0,,4.0,5.0,4.0,336.0,,,3.0,,58.0,48.0,25.0,,,,,,187.0,173.0,,15.0,12.0,54.0,,3.0,,1.0,0.0,,,,,3.0,3.0,,1.0,1.0,5.0,,,3.0,52.0,240.0,9.0,138.0,28.0,35.0,18.0,2.0,16.0,14.0,1.0,115.0,10.0,247.0,3.0,2.0,29.0,14.0,75.0,1.0,369.0,1.0,0.0,11.0,23.0,,41.0,3.0,609.0,16.0,,8.0,2.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10,284092,10.0,2009-10-24 15:00:00,90,Burnley,Home,125.0,8.0,3.0,9.0,6.0,1.0,,165.0,2.0,2.0,2.0,8.0,15.0,27.0,281.0,1.0,,28.0,10.0,17.0,7.0,3.0,3.0,,,,,,1.0,,,,,7.0,,1.0,,,,5.0,9.0,8.0,4.0,,60.0,1.0,4.0,5.0,,6.0,14.0,3.0,,26.0,1.0,60.0,59.0,1.0,22.0,9.0,1.0,,,,,,,88.0,12.0,11.0,1.0,,2.0,,1.0,,1.0,,1.0,1.0,,,10.0,,,,,,,,,16.0,1.0,22.0,22.0,2.0,,2.0,108.0,48.0,4.0,,3.0,8.0,5.0,372.0,,,2.0,,44.0,74.0,30.0,,,,,,182.0,173.0,,30.0,18.0,48.4,1.0,3.0,,,0.0,,,,1.0,2.0,3.0,,,,3.0,,,3.0,83.0,269.0,11.0,148.0,21.0,31.0,13.0,4.0,21.0,17.0,,144.0,7.0,274.0,,2.0,29.0,17.0,70.0,2.0,401.0,1.0,0.0,12.0,25.0,2.0,34.0,2.0,628.0,25.0,,6.0,7.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
