season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,totalShots
2012-13,2754570,2,3,Arsenal,Away,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,10501,20467,Theo Walcott,theo-walcott,M,True,0.0,0.0,,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,0.0,0.0,,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,23571,41792,Aaron Ramsey,aaron-ramsey,M,True,0.0,0.0,,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,24814,42427,Kieran Gibbs,kieran-gibbs,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,26991,43274,Gervinho,gervinho,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,
2012-13,2754570,2,3,Arsenal,Away,56766,57214,André Santos,andre-santos,D,True,,,,,
2012-13,2754570,2,3,Arsenal,Away,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2754580,3,3,Arsenal,Away,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,1006,28566,Abou Diaby,abou-diaby,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,10501,20467,Theo Walcott,theo-walcott,M,True,,,,,
2012-13,2754580,3,3,Arsenal,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,23571,41792,Aaron Ramsey,aaron-ramsey,M,True,0.0,0.0,,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,24814,42427,Kieran Gibbs,kieran-gibbs,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,26991,43274,Gervinho,gervinho,F,True,,,,,
2012-13,2754580,3,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,
2012-13,2754580,3,3,Arsenal,Away,51340,51507,Laurent Koscielny,laurent-koscielny,D,True,0.0,0.0,,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,56766,57214,André Santos,andre-santos,D,True,0.0,0.0,,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754580,3,3,Arsenal,Away,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2754598,4,3,Arsenal,Home,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,True,0.0,1.0,,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,,,,,
2012-13,2754598,4,3,Arsenal,Home,17053,20487,Vito Mannone,vito-mannone,G,True,,,,,
2012-13,2754598,4,3,Arsenal,Home,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,True,0.0,0.0,,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,24814,42427,Kieran Gibbs,kieran-gibbs,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,26991,43274,Gervinho,gervinho,F,False,0.0,2.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,True,0.0,0.0,,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,40672,56864,Francis Coquelin,francis-coquelin,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,50490,59936,Wojciech Szczęsny,wojciech-szczesny,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754598,4,3,Arsenal,Home,51340,51507,Laurent Koscielny,laurent-koscielny,D,True,,,,,
2012-13,2754598,4,3,Arsenal,Home,56766,57214,André Santos,andre-santos,D,True,,,,,
2012-13,2754598,4,3,Arsenal,Home,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,536,19160,Johan Djourou,johan-djourou,D,True,,,,,
2012-13,2754626,5,3,Arsenal,Away,1006,28566,Abou Diaby,abou-diaby,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,10501,20467,Theo Walcott,theo-walcott,M,True,0.0,0.0,,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,,,
2012-13,2754626,5,3,Arsenal,Away,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,23571,41792,Aaron Ramsey,aaron-ramsey,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,24814,42427,Kieran Gibbs,kieran-gibbs,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,26991,43274,Gervinho,gervinho,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,True,0.0,0.0,,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,40672,56864,Francis Coquelin,francis-coquelin,M,True,0.0,0.0,,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,51340,51507,Laurent Koscielny,laurent-koscielny,D,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,56766,57214,André Santos,andre-santos,D,True,,,,,
2012-13,2754626,5,3,Arsenal,Away,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754626,5,3,Arsenal,Away,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2754648,6,3,Arsenal,Home,369,17127,Per Mertesacker,per-mertesacker,D,True,,,,,
2012-13,2754648,6,3,Arsenal,Home,536,19160,Johan Djourou,johan-djourou,D,True,,,,,
2012-13,2754648,6,3,Arsenal,Home,1006,28566,Abou Diaby,abou-diaby,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,True,0.0,0.0,,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,0.0,0.0,,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,24814,42427,Kieran Gibbs,kieran-gibbs,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,26991,43274,Gervinho,gervinho,F,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,True,0.0,0.0,,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,51340,51507,Laurent Koscielny,laurent-koscielny,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,56766,57214,André Santos,andre-santos,D,True,,,,,
2012-13,2754648,6,3,Arsenal,Home,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754648,6,3,Arsenal,Home,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2813659,7,3,Arsenal,Away,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,10501,20467,Theo Walcott,theo-walcott,M,True,0.0,1.0,,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,,,
2012-13,2813659,7,3,Arsenal,Away,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,,,,,
2012-13,2813659,7,3,Arsenal,Away,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,1.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,23571,41792,Aaron Ramsey,aaron-ramsey,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,24814,42427,Kieran Gibbs,kieran-gibbs,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,26991,43274,Gervinho,gervinho,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,1.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,
2012-13,2813659,7,3,Arsenal,Away,51340,51507,Laurent Koscielny,laurent-koscielny,D,True,0.0,0.0,,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,56766,57214,André Santos,andre-santos,D,True,0.0,0.0,,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2813659,7,3,Arsenal,Away,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2754704,8,3,Arsenal,Away,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,536,19160,Johan Djourou,johan-djourou,D,True,,,,,
2012-13,2754704,8,3,Arsenal,Away,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,0.0,0.0,1.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,0.0,0.0,,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,23571,41792,Aaron Ramsey,aaron-ramsey,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,26991,43274,Gervinho,gervinho,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,38094,54102,Jack Wilshere,jack-wilshere,M,True,,,,,
2012-13,2754704,8,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,
2012-13,2754704,8,3,Arsenal,Away,56766,57214,André Santos,andre-santos,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754704,8,3,Arsenal,Away,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2754704,8,3,Arsenal,Away,187433,133798,Serge Gnabry,serge-gnabry,M,True,0.0,0.0,,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,1053,37748,Bacary Sagna,bacary-sagna,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,True,0.0,0.0,,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,0.0,0.0,,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,26991,43274,Gervinho,gervinho,F,True,0.0,0.0,1.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,38094,54102,Jack Wilshere,jack-wilshere,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,
2012-13,2754722,9,3,Arsenal,Home,51340,51507,Laurent Koscielny,laurent-koscielny,D,True,,,,,
2012-13,2754722,9,3,Arsenal,Home,56766,57214,André Santos,andre-santos,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754722,9,3,Arsenal,Home,137844,80254,Carl Jenkinson,carl-jenkinson,D,True,,,,,
2012-13,2754722,9,3,Arsenal,Home,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2754750,10,3,Arsenal,Away,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,1053,37748,Bacary Sagna,bacary-sagna,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,
2012-13,2754750,10,3,Arsenal,Away,10501,20467,Theo Walcott,theo-walcott,M,True,0.0,0.0,,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,0.0,0.0,,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,23571,41792,Aaron Ramsey,aaron-ramsey,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,38094,54102,Jack Wilshere,jack-wilshere,M,False,0.0,0.0,69.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,
2012-13,2754750,10,3,Arsenal,Away,51340,51507,Laurent Koscielny,laurent-koscielny,D,True,,,,,
2012-13,2754750,10,3,Arsenal,Away,56766,57214,André Santos,andre-santos,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754750,10,3,Arsenal,Away,137844,80254,Carl Jenkinson,carl-jenkinson,D,True,,,,,
2012-13,2754750,10,3,Arsenal,Away,158263,98980,Emiliano Martínez,emiliano-martinez,G,True,,,,,
2012-13,2754766,11,3,Arsenal,Home,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,1053,37748,Bacary Sagna,bacary-sagna,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,3233,15675,Marouane Chamakh,marouane-chamakh,F,True,,,,,
2012-13,2754766,11,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,0.0,0.0,,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,0.0,0.0,,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,17053,20487,Vito Mannone,vito-mannone,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,True,0.0,0.0,,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,2.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,40672,56864,Francis Coquelin,francis-coquelin,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,50490,59936,Wojciech Szczęsny,wojciech-szczesny,G,True,,,,,
2012-13,2754766,11,3,Arsenal,Home,51340,51507,Laurent Koscielny,laurent-koscielny,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754766,11,3,Arsenal,Home,56766,57214,André Santos,andre-santos,D,True,,,,,
2012-13,2754766,11,3,Arsenal,Home,137844,80254,Carl Jenkinson,carl-jenkinson,D,True,,,,,
2012-13,2754786,12,3,Arsenal,Home,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,1053,37748,Bacary Sagna,bacary-sagna,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,0.0,0.0,,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,,,,,
2012-13,2754786,12,3,Arsenal,Home,17053,20487,Vito Mannone,vito-mannone,G,True,,,,,
2012-13,2754786,12,3,Arsenal,Home,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,1.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,True,0.0,0.0,,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,38094,54102,Jack Wilshere,jack-wilshere,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754786,12,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,False,0.0,1.0,90.0,0.0,0.0
