playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,overruns,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goals,offsides,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,oboxTarget,rightFootGoals,leftFootGoals,headedGoals,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,foulWonPenalty,cornersTakenInclShortCorners,successfulCornersIntoBox,lastPlayerTackle,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,freekickTotal,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,secondGoalAssists,ownGoalScored,penaltiesConceded,clearancesOffTheLine,setPiecesGoals,penaltiesTaken,penaltyGoals,goalkeeperSmother,drops,crossesNotClaimed,redCards2ndYellow
49413,James Tomkins,Defender,C Palace,31,England,2021-22,13.0,,0.1245,10.0,0.0,1.0,,8.0,3.0,18.0,8.0,,,7.0,6.0,43.0,,319.0,0.0,2.0,15.0,,,546.0,5.0,21.0,4.0,2.0,11.0,250.0,8.0,,1.0,8.2072,2.0,2.0,18.0,11.0,,8.0,103.0,2.0,1.0,34.0,,1.0,79.0,33.0,8.0,5.0,,40.0,7.0,,,,19.0,10.0,0.0,301.0,1.0,,45.0,3.0,1.0,8.0,113.0,7.0,4.0,26.0,24.0,378.0,1.0,13.0,236.0,4.0,1.0,0.4956,2.0,25.0,18.0,2.0,0.9716,,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
174874,Joachim Andersen,Defender,C Palace,31,Denmark,2021-22,88.0,2.0,1.9171,51.0,0.0,1.0,,30.0,7.0,160.0,34.0,3.0,,27.0,32.0,430.0,6.0,2334.0,0.0,2.0,104.0,11.0,2.0,2915.0,48.0,101.0,4.0,21.0,45.0,1651.0,33.0,,2.0,32.5789,17.0,28.0,123.0,37.0,1.0,40.0,476.0,8.0,0.0,189.0,10.0,0.0,803.0,152.0,34.0,7.0,2.0,489.0,33.0,6.0,10.0,1.0,85.0,56.0,0.0,2244.0,4.0,2.0,458.0,23.0,7.0,19.0,948.0,19.0,37.0,253.0,107.0,2652.0,1.0,88.0,1417.0,7.0,,0.6581,4.0,270.0,123.0,3.0,1.0185,3.0,,1.0,,1.0,2.0,2.0,,1.0,,,,5.0,,,,,,,1.0,,0.1319,1.0,,,,4.0,,,,,,1.0,3.0,,,1.0,1.0,,,,,,,,,
55494,Joel Ward,Defender,C Palace,31,England,2021-22,112.0,4.0,1.2659,44.0,0.0,2.0,2.0,44.0,8.0,173.0,28.0,,,19.0,27.0,301.0,39.0,1445.0,0.0,1.0,97.0,9.0,4.0,2486.0,39.0,143.0,8.0,48.0,85.0,1078.0,12.0,25.0,3.0,30.2407,7.0,6.0,95.0,37.0,1.0,73.0,202.0,21.0,0.0,255.0,13.0,0.0,623.0,140.0,28.0,18.0,6.0,478.0,29.0,39.0,24.0,1.0,158.0,58.0,0.0,1417.0,7.0,6.0,424.0,26.0,20.0,11.0,449.0,22.0,32.0,66.0,171.0,2105.0,,58.0,670.0,12.0,,0.3277,8.0,128.0,120.0,1.0,0.0116,,,1.0,1.0,1.0,,,,1.0,,,,224.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209036,Marc Guéhi,Defender,C Palace,31,England,2021-22,75.0,,0.9588,53.0,0.0,7.0,,35.0,12.0,151.0,36.0,1.0,,28.0,36.0,295.0,3.0,2346.0,1.0,,122.0,10.0,,3223.0,54.0,149.0,9.0,13.0,81.0,1894.0,34.0,,3.0,36.4007,5.0,16.0,126.0,43.0,7.0,21.0,946.0,34.0,0.0,224.0,8.0,1.0,858.0,192.0,36.0,18.0,1.0,539.0,34.0,3.0,8.0,7.0,102.0,68.0,0.0,2287.0,7.0,5.0,325.0,17.0,12.0,26.0,383.0,14.0,30.0,157.0,159.0,2720.0,1.0,50.0,1512.0,5.0,2.0,2.4769,4.0,144.0,121.0,5.0,0.9171,1.0,2.0,,,,3.0,3.0,,,1.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,
58786,Martin Kelly,Defender,C Palace,31,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232423,Nathan Ferguson,Defender,C Palace,31,England,2021-22,,,,,0.0,,,,,,1.0,,,,,2.0,,3.0,0.0,1.0,,,,8.0,,,,,,1.0,,,,,,,,,,,,,0.0,,,0.0,3.0,,1.0,,,,,,,,,,0.0,3.0,,,2.0,,,,,,,,,5.0,,2.0,1.0,,,,0.0,2.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57328,Nathaniel Clyne,Defender,C Palace,31,England,2021-22,26.0,3.0,0.4521,23.0,0.0,,1.0,21.0,3.0,67.0,16.0,1.0,1.0,15.0,15.0,116.0,14.0,558.0,0.0,1.0,17.0,6.0,3.0,1351.0,7.0,40.0,1.0,22.0,30.0,427.0,1.0,34.0,,10.8588,5.0,6.0,30.0,12.0,,19.0,47.0,5.0,0.0,66.0,5.0,0.0,246.0,73.0,16.0,11.0,2.0,170.0,11.0,14.0,6.0,,49.0,10.0,0.0,544.0,1.0,2.0,183.0,10.0,4.0,2.0,141.0,3.0,15.0,15.0,124.0,849.0,,31.0,275.0,2.0,,0.0993,1.0,49.0,47.0,2.0,0.0491,1.0,,,,2.0,,,,2.0,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223824,Reece Hannam,Defender,C Palace,31,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501468,Tayo Adaramola,Defender,C Palace,31,Ireland,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244723,Tyrick Mitchell,Defender,C Palace,31,England,2021-22,106.0,20.0,1.7222,106.0,0.0,3.0,2.0,104.0,1.0,266.0,36.0,2.0,,64.0,35.0,419.0,38.0,1493.0,0.0,1.0,61.0,10.0,23.0,3102.0,32.0,163.0,9.0,96.0,134.0,1009.0,31.0,71.0,3.0,37.1061,19.0,28.0,83.0,43.0,3.0,74.0,372.0,14.0,0.0,269.0,42.0,0.0,802.0,237.0,36.0,47.0,13.0,549.0,34.0,39.0,39.0,3.0,208.0,29.0,0.0,1464.0,1.0,12.0,623.0,57.0,16.0,5.0,58.0,15.0,41.0,65.0,261.0,2411.0,3.0,74.0,548.0,9.0,1.0,0.2199,1.0,153.0,177.0,,,1.0,,2.0,,,,,,,,,,296.0,,,1.0,4.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
