playerId,playerName,position,team_name,team_id,nationality,season,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,shotsBlockedInBox,groundDuelsLost,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,offsides,iboxTarget,shotsOnTargetInBox,throwInsToOppositionPlayer,rightFootGoals,leftFootGoals,handballsConceded,successfulCornersIntoBox,hitWoodwork,foulWonPenalty,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,penaltiesSaved,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,crossesNotClaimed,savesMadeParried,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesConceded,ownGoalScored,lastPlayerTackle,secondGoalAssists,redCards2ndYellow,setPiecesGoals,otherGoals
198869,Ben White,Defender,Arsenal,3,England,2023-24,22.2089,9.0,3.663,67.0,26.0,0.0,,136.0,,12.0,0.0,197.0,724.0,120.0,37.0,,,37.0,945.0,35.0,22.0,254.0,1911.0,,139.0,0.0,,1865.0,398.0,,13.0,752.0,51.0,2995.0,2508.0,105.0,4.0,47.0,69.0,33.0,725.0,1606.0,,8.0,73.0,64.0,92.0,13.0,1.0,8.0,1.0,1.8561,48.0,12.0,5.0,181.0,4.0,1.0,44.0,4.0,2.0,1.0,2.0,,58.0,1.0,13.0,22.0,65.0,2.0,35.0,,70.0,26.0,2.0,1.0,20.0,12.0,1.0,44.0,21.0,,36.0,4.0,11.0,28.0,9.0,22.0,19.0,32.0,,,299.0,158.0,8.0,1.0,13.0,1.1529,11.0,3.0,3.0,47.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
58822,Cédric Soares,Defender,Arsenal,3,Portugal,2023-24,0.197,,0.016,,,0.0,,5.0,,1.0,0.0,2.0,6.0,3.0,3.0,,,3.0,19.0,,,5.0,59.0,,1.0,0.0,,57.0,9.0,,,29.0,4.0,59.0,70.0,1.0,,1.0,1.0,1.0,35.0,50.0,,0.0,1.0,1.0,1.0,,,,,,,,,4.0,,1.0,4.0,,,,3.0,,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,19.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226597,Gabriel Magalhães,Defender,Arsenal,3,Brazil,2023-24,22.7165,13.0,0.7358,97.0,26.0,0.0,,991.0,,34.0,1.0,267.0,676.0,136.0,36.0,,,36.0,732.0,34.0,23.0,234.0,2144.0,65.0,124.0,0.0,64.0,2026.0,261.0,1.0,15.0,338.0,69.0,3044.0,2506.0,161.0,3.0,33.0,82.0,57.0,1179.0,1841.0,,4.0,102.0,92.0,106.0,1.0,6.0,11.0,1.0,2.8297,48.0,25.0,2.0,132.0,,1.0,3.0,4.0,2.0,2.0,2.0,,143.0,1.0,1.0,64.0,42.0,2.0,3.0,4.0,42.0,11.0,2.0,1.0,20.0,2.0,4.0,3.0,5.0,4.0,79.0,14.0,3.0,28.0,2.0,33.0,35.0,31.0,,1.0,139.0,3.0,2.0,2.0,26.0,4.3015,1.0,6.0,6.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
440854,Jakub Kiwior,Defender,Arsenal,3,Poland,2023-24,6.4015,4.0,0.6051,24.0,8.0,0.0,,201.0,,3.0,0.0,69.0,215.0,35.0,20.0,,,20.0,257.0,11.0,7.0,77.0,544.0,,42.0,0.0,,538.0,115.0,,5.0,54.0,21.0,945.0,733.0,40.0,1.0,10.0,24.0,11.0,213.0,446.0,,1.0,21.0,22.0,29.0,3.0,2.0,3.0,2.0,0.24,20.0,4.0,1.0,56.0,3.0,,9.0,1.0,0.0,2.0,9.0,,27.0,,3.0,11.0,16.0,,3.0,,18.0,8.0,1.0,,8.0,1.0,1.0,9.0,3.0,,16.0,1.0,4.0,12.0,2.0,3.0,10.0,8.0,,,74.0,53.0,4.0,2.0,9.0,0.826,,2.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
503308,James Sweet,Defender,Arsenal,3,Wales,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445122,Jurriën Timber,Defender,Arsenal,3,Netherlands,2023-24,,,0.0248,1.0,,0.0,,18.0,,,0.0,9.0,23.0,4.0,2.0,,,2.0,41.0,1.0,,7.0,67.0,,7.0,0.0,,66.0,9.0,,,17.0,1.0,71.0,81.0,4.0,,3.0,3.0,,19.0,59.0,,2.0,1.0,2.0,5.0,,,,,,2.0,,,6.0,,,1.0,,,,1.0,,2.0,,,1.0,1.0,,,,4.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,3.0,,,,9.0,6.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499169,Myles Lewis-Skelly,Defender,Arsenal,3,England,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437626,Nuno Tavares,Defender,Arsenal,3,Portugal,2023-24,4.5226,3.0,0.3736,15.0,9.0,0.0,,81.0,,2.0,0.0,40.0,86.0,33.0,8.0,,,8.0,105.0,5.0,7.0,46.0,218.0,,35.0,0.0,,210.0,90.0,,1.0,21.0,5.0,455.0,359.0,22.0,2.0,13.0,19.0,7.0,69.0,167.0,,2.0,13.0,25.0,18.0,2.0,,1.0,,0.0237,11.0,7.0,,33.0,,2.0,13.0,,,,3.0,1.0,5.0,1.0,2.0,2.0,7.0,,2.0,,16.0,6.0,,1.0,4.0,3.0,,14.0,7.0,,3.0,6.0,3.0,7.0,6.0,,8.0,1.0,1.0,,30.0,27.0,1.0,,5.0,0.1706,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
206325,Oleksandr Zinchenko,Defender,Arsenal,3,Ukraine,2023-24,13.8043,4.0,2.9445,22.0,15.0,0.0,,546.0,,9.0,0.0,153.0,476.0,104.0,27.0,,,27.0,787.0,20.0,15.0,150.0,1411.0,,110.0,0.0,,1365.0,227.0,,3.0,175.0,53.0,1722.0,1775.0,93.0,,29.0,66.0,12.0,479.0,1208.0,,2.0,31.0,36.0,60.0,5.0,10.0,3.0,3.0,0.0758,50.0,7.0,11.0,119.0,2.0,6.0,25.0,1.0,0.0,8.0,7.0,,43.0,,5.0,16.0,30.0,1.0,27.0,2.0,44.0,15.0,1.0,,20.0,5.0,,25.0,20.0,2.0,27.0,4.0,12.0,30.0,7.0,3.0,7.0,20.0,,1.0,214.0,108.0,13.0,8.0,4.0,0.5811,1.0,2.0,2.0,11.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
535262,Reuell Walters,Defender,Arsenal,3,England,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223723,Takehiro Tomiyasu,Defender,Arsenal,3,Japan,2023-24,7.6923,7.0,0.8313,30.0,10.0,1.0,,135.0,,8.0,0.0,107.0,207.0,54.0,22.0,,,22.0,325.0,10.0,7.0,88.0,608.0,,61.0,0.0,,601.0,148.0,,3.0,165.0,16.0,1143.0,849.0,57.0,3.0,17.0,31.0,13.0,200.0,504.0,,0.0,22.0,27.0,50.0,5.0,6.0,3.0,1.0,1.0362,20.0,11.0,2.0,66.0,1.0,2.0,9.0,2.0,0.0,3.0,12.0,,46.0,1.0,5.0,20.0,32.0,1.0,5.0,3.0,30.0,6.0,2.0,1.0,11.0,7.0,,9.0,10.0,3.0,26.0,8.0,8.0,9.0,4.0,4.0,14.0,18.0,,,101.0,49.0,2.0,3.0,3.0,1.5686,1.0,,,24.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
462424,William Saliba,Defender,Arsenal,3,France,2023-24,25.0554,21.0,0.9117,78.0,29.0,0.0,,773.0,,16.0,2.0,233.0,940.0,213.0,38.0,,,38.0,973.0,38.0,25.0,211.0,2839.0,15.0,112.0,0.0,15.0,2791.0,255.0,,18.0,1025.0,68.0,3420.0,3152.0,139.0,4.0,26.0,67.0,30.0,1656.0,2560.0,,4.0,58.0,101.0,94.0,1.0,4.0,4.0,,0.3829,41.0,6.0,3.0,153.0,1.0,,2.0,2.0,1.0,1.0,,,121.0,,1.0,49.0,17.0,2.0,5.0,3.0,45.0,15.0,1.0,,15.0,4.0,2.0,2.0,17.0,3.0,72.0,2.0,4.0,26.0,10.0,17.0,22.0,29.0,,,101.0,6.0,,1.0,15.0,1.609,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,
101184,Calum Chambers,Defender,A Villa,7,England,2023-24,5.1279,,0.0114,4.0,6.0,0.0,,45.0,,1.0,0.0,12.0,29.0,8.0,5.0,,,5.0,23.0,1.0,4.0,13.0,113.0,,10.0,0.0,,113.0,14.0,,,25.0,4.0,150.0,132.0,6.0,2.0,3.0,5.0,1.0,77.0,96.0,,1.0,3.0,4.0,6.0,,,,,,3.0,,,10.0,1.0,,,,,,4.0,,2.0,,,1.0,,,,,5.0,1.0,,,3.0,,,,1.0,,1.0,,,,1.0,1.0,3.0,2.0,,,14.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171101,Clément Lenglet,Defender,A Villa,7,France,2023-24,25.4177,9.0,0.5194,47.0,27.0,0.0,,407.0,,12.0,0.0,68.0,294.0,37.0,14.0,,,14.0,227.0,14.0,23.0,92.0,910.0,14.0,42.0,0.0,14.0,856.0,104.0,,2.0,151.0,51.0,1155.0,1043.0,43.0,4.0,11.0,28.0,17.0,591.0,767.0,,3.0,44.0,47.0,25.0,,3.0,2.0,,0.3451,13.0,5.0,,48.0,1.0,,3.0,,,1.0,,,26.0,,,11.0,12.0,,1.0,2.0,14.0,8.0,,,4.0,2.0,,3.0,5.0,2.0,15.0,3.0,1.0,9.0,3.0,11.0,3.0,7.0,,,58.0,4.0,3.0,1.0,3.0,0.8628,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165659,Diego Carlos,Defender,A Villa,7,Brazil,2023-24,39.9102,7.0,0.3722,78.0,36.0,0.0,,294.0,,4.0,0.0,120.0,463.0,78.0,27.0,,,27.0,347.0,20.0,30.0,155.0,1339.0,6.0,70.0,0.0,6.0,1292.0,170.0,,5.0,516.0,66.0,1811.0,1535.0,54.0,6.0,9.0,32.0,30.0,837.0,1118.0,,4.0,92.0,56.0,66.0,,2.0,1.0,,0.2448,27.0,8.0,,63.0,,,1.0,,,,7.0,,50.0,,,28.0,23.0,,3.0,2.0,38.0,5.0,,,11.0,2.0,,1.0,6.0,2.0,22.0,7.0,2.0,16.0,2.0,19.0,26.0,13.0,,1.0,66.0,,2.0,,16.0,1.9477,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
199798,Ezri Konsa,Defender,A Villa,7,England,2023-24,54.8294,4.0,1.0274,68.0,54.0,0.0,,328.0,,64.0,0.0,220.0,633.0,142.0,35.0,,,35.0,663.0,35.0,45.0,153.0,1953.0,3.0,176.0,0.0,3.0,1879.0,237.0,,6.0,807.0,46.0,3073.0,2476.0,167.0,9.0,40.0,137.0,15.0,1141.0,1754.0,,5.0,36.0,78.0,53.0,4.0,5.0,5.0,1.0,0.8545,54.0,14.0,1.0,117.0,,1.0,13.0,1.0,0.0,1.0,,,44.0,,4.0,14.0,39.0,1.0,8.0,4.0,39.0,16.0,1.0,,22.0,6.0,,13.0,23.0,4.0,30.0,9.0,7.0,32.0,19.0,20.0,14.0,28.0,,,185.0,103.0,5.0,1.0,7.0,2.4728,,4.0,4.0,20.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,3.0,,,,
521966,Finley Munroe,Defender,A Villa,7,England,2023-24,,,,,,0.0,,,,,0.0,,,,1.0,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,3.0,1.0,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
