playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalKicks,throwInsToOppositionPlayer,penaltyGoalsConceded,lastPlayerTackle,gkSuccessfulDistribution,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,secondGoalAssists,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,headedGoals,penaltyGoals,clearancesOffTheLine,setPiecesGoals,penaltiesConceded,redCards2ndYellow,ownGoalScored
17349,Aaron Lennon,Midfielder,Spurs,6,England,2011-12,73.0,13.0,0.0,6.0,5.0,5.0,15.0,12.0,6.0,75.0,23.0,5.0,46.0,1.0,19.0,79.0,40.0,569.0,3.0,3.0,1.0,4.0,2.0,10.0,2.0,14.0,1581.0,4.0,6.0,54.0,3.0,50.0,482.0,1.0,90.0,36.0,2.0,4.0,21.0,67.0,90.0,14.0,4.0,127.0,2.0,93.0,57.0,23.0,1.0,5.0,2.0,27.0,364.0,18.0,40.0,53.0,117.0,4.0,0.0,566.0,7.0,19.0,193.0,10.0,21.0,1.0,167.0,8.0,13.0,8.0,219.0,817.0,19.0,12.0,2.0,140.0,1.0,4.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,Spurs,6,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49944,Jake Livermore,Midfielder,Spurs,6,England,2011-12,35.0,1.0,0.0,,3.0,,29.0,4.0,2.0,41.0,24.0,1.0,29.0,,7.0,52.0,,582.0,,,,17.0,,4.0,3.0,1.0,838.0,2.0,3.0,44.0,3.0,43.0,487.0,,9.0,10.0,,9.0,12.0,32.0,199.0,9.0,0.0,79.0,,147.0,56.0,24.0,,10.0,,1.0,251.0,9.0,,17.0,75.0,1.0,0.0,573.0,1.0,1.0,77.0,19.0,5.0,2.0,171.0,10.0,26.0,43.0,65.0,712.0,,3.0,4.0,280.0,1.0,11.0,16.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10451,Jermaine Jenas,Midfielder,Spurs,6,England,2011-12,4.0,,0.0,,,1.0,,,1.0,8.0,3.0,,3.0,,1.0,8.0,,52.0,,,,2.0,,2.0,,,108.0,,1.0,2.0,,1.0,43.0,,,,1.0,1.0,2.0,3.0,13.0,1.0,0.0,6.0,,9.0,6.0,3.0,,,,2.0,29.0,2.0,,3.0,4.0,1.0,0.0,51.0,,,14.0,,,1.0,14.0,,,1.0,16.0,65.0,1.0,1.0,2.0,15.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37055,Luka Modric,Midfielder,Spurs,6,Croatia,2011-12,189.0,10.0,0.0,36.0,23.0,5.0,56.0,47.0,36.0,265.0,36.0,4.0,117.0,1.0,36.0,319.0,32.0,2534.0,4.0,2.0,1.0,,90.0,26.0,13.0,46.0,3215.0,3.0,17.0,175.0,7.0,166.0,1940.0,35.0,86.0,92.0,3.0,16.0,36.0,172.0,752.0,47.0,4.0,364.0,3.0,711.0,218.0,36.0,4.0,16.0,,36.0,1440.0,29.0,76.0,124.0,338.0,9.0,0.0,2469.0,24.0,29.0,573.0,40.0,63.0,7.0,720.0,18.0,81.0,275.0,351.0,3247.0,19.0,2.0,12.0,821.0,2.0,54.0,79.0,,,1.0,,,3.0,41.0,,2.0,1.0,,,,,,,,,,,,,,,3.0,,,,
28097,Niko Kranjcar,Midfielder,Spurs,6,Croatia,2011-12,35.0,,0.0,6.0,5.0,,16.0,11.0,4.0,54.0,12.0,1.0,44.0,,9.0,64.0,4.0,422.0,1.0,,0.0,3.0,6.0,7.0,2.0,3.0,639.0,1.0,2.0,34.0,1.0,29.0,322.0,3.0,14.0,16.0,,5.0,6.0,33.0,125.0,7.0,0.0,69.0,1.0,95.0,35.0,12.0,,3.0,1.0,2.0,216.0,5.0,7.0,16.0,62.0,5.0,0.0,416.0,6.0,6.0,104.0,13.0,6.0,2.0,105.0,8.0,10.0,36.0,97.0,539.0,5.0,6.0,1.0,145.0,0.0,10.0,20.0,,,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,
4611,Rafael van der Vaart,Midfielder,Spurs,6,Netherlands,2011-12,120.0,4.0,0.0,31.0,42.0,1.0,37.0,71.0,38.0,163.0,33.0,7.0,127.0,,28.0,195.0,26.0,1621.0,11.0,5.0,6.0,5.0,146.0,33.0,2.0,40.0,2321.0,4.0,25.0,82.0,4.0,74.0,1292.0,31.0,86.0,69.0,,5.0,27.0,95.0,366.0,31.0,8.0,202.0,5.0,363.0,124.0,33.0,,12.0,10.0,8.0,965.0,23.0,136.0,45.0,169.0,8.0,0.0,1560.0,29.0,35.0,435.0,25.0,6.0,1.0,562.0,32.0,28.0,134.0,330.0,2169.0,16.0,20.0,4.0,501.0,3.0,32.0,25.0,,,,,,14.0,88.0,,5.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,
52876,Sandro,Midfielder,Spurs,6,Brazil,2011-12,67.0,1.0,0.0,8.0,4.0,4.0,84.0,11.0,1.0,94.0,23.0,,54.0,1.0,17.0,99.0,9.0,801.0,,,,6.0,1.0,24.0,2.0,1.0,1416.0,2.0,12.0,146.0,5.0,134.0,667.0,,35.0,11.0,2.0,23.0,16.0,55.0,244.0,33.0,0.0,213.0,,196.0,86.0,23.0,,22.0,,5.0,336.0,11.0,9.0,24.0,189.0,12.0,0.0,792.0,7.0,7.0,162.0,62.0,17.0,5.0,227.0,27.0,43.0,35.0,134.0,1117.0,,11.0,2.0,367.0,6.0,5.0,29.0,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
1411,Scott Parker,Midfielder,Spurs,6,England,2011-12,138.0,6.0,1.0,6.0,3.0,12.0,107.0,14.0,15.0,156.0,29.0,1.0,74.0,,28.0,180.0,9.0,1721.0,,1.0,,1.0,1.0,19.0,7.0,6.0,2474.0,1.0,13.0,169.0,4.0,163.0,1464.0,,40.0,21.0,5.0,34.0,25.0,125.0,419.0,44.0,0.0,307.0,,492.0,192.0,29.0,,31.0,,9.0,741.0,21.0,9.0,46.0,288.0,6.0,0.0,1702.0,11.0,9.0,281.0,76.0,12.0,23.0,592.0,47.0,89.0,77.0,218.0,2226.0,14.0,8.0,17.0,806.0,7.0,24.0,54.0,,2.0,1.0,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,1.0,
7525,Steven Pienaar,Midfielder,Spurs,6,South Africa,2011-12,95.0,5.0,0.0,4.0,9.0,3.0,29.0,19.0,14.0,112.0,16.0,6.0,46.0,,14.0,122.0,23.0,726.0,4.0,,1.0,2.0,13.0,25.0,4.0,9.0,1253.0,,20.0,88.0,2.0,83.0,581.0,3.0,43.0,26.0,1.0,6.0,15.0,75.0,240.0,40.0,0.0,183.0,3.0,198.0,102.0,16.0,3.0,8.0,1.0,10.0,453.0,13.0,31.0,53.0,158.0,5.0,0.0,719.0,10.0,9.0,243.0,21.0,14.0,4.0,131.0,20.0,24.0,23.0,157.0,1035.0,6.0,2.0,4.0,160.0,6.0,10.0,13.0,,1.0,1.0,,,,8.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
