playerId,playerName,position,team,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,totalTouchesInOppositionBox,goalkeeperSmother,lastPlayerTackle,tacklesWon,backwardPasses,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,successfulCrossesAndCorners,throwInsToOppositionPlayer,homeGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,successfulDribbles,blocks,totalFoulsConceded,interceptions,throwInsToOwnPlayer,substituteOff,handballsConceded,offsides,unsuccessfulLayoffs,penaltiesConceded,ownGoalScored,clearancesOffTheLine,rightFootGoals,redCards2ndYellow,hitWoodwork,leftFootGoals,foulWonPenalty,cornersTakenInclShortCorners,successfulCornersIntoBox,attemptsFromSetPieces,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,otherGoals
28568,Jamie O'Hara,Midfielder,Billericay Town,England,2010-11,51.0,0.0,,,83.0,14.0,13.0,123.0,712.0,,,20.0,2.0,,1117.0,14.0,48.0,4.0,42.0,512.0,,1.0,20.0,4.0,8.0,22.0,37.0,158.0,,11.0,0.0,99.0,244.0,68.0,14.0,,,411.0,18.0,79.0,6.0,0.0,,667.0,6.0,232.0,,,218.0,77.0,963.0,14.0,201.0,,3.0,40.0,29.0,24.0,13.0,,,16.0,92.0,10.0,9.0,8.0,,25.0,7.0,1.0,56.0,35.0,3.0,1.0,1.0,23.0,,2.0,8.0,9.0,,63.0,25.0,17.0,7.0,2.0,7.0,15.0,8.0,3.0,,2.0,2.0,,,,,,1.0,3.0,,32.0,7.0,4.0,14.0,,,,
16236,David Edwards,Midfielder,Shrewsbury Town,Wales,2010-11,60.0,0.0,,,82.0,15.0,12.0,96.0,393.0,,,37.0,1.0,,921.0,19.0,58.0,1.0,40.0,292.0,,3.0,10.0,2.0,8.0,14.0,41.0,70.0,,10.0,2.0,118.0,126.0,52.0,15.0,,,189.0,13.0,81.0,18.0,0.0,,389.0,6.0,147.0,,,105.0,5.0,560.0,7.0,112.0,,0.0,14.0,19.0,28.0,24.0,,,21.0,92.0,4.0,2.0,5.0,3.0,14.0,5.0,1.0,45.0,10.0,1.0,0.0,3.0,4.0,,1.0,7.0,8.0,,10.0,24.0,9.0,2.0,2.0,9.0,26.0,4.0,9.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,
15944,Michael Kightly,Midfielder,Southend United,England,2010-11,9.0,0.0,,,9.0,4.0,1.0,10.0,63.0,,,1.0,,,160.0,1.0,7.0,1.0,7.0,51.0,,,2.0,1.0,,4.0,8.0,7.0,,1.0,0.0,16.0,22.0,5.0,4.0,,,49.0,3.0,15.0,,0.0,,62.0,2.0,24.0,,,19.0,2.0,95.0,,7.0,,1.0,1.0,,4.0,4.0,,,2.0,15.0,2.0,1.0,,1.0,2.0,,,6.0,4.0,,,3.0,3.0,,,2.0,4.0,,4.0,5.0,2.0,2.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,
78774,David Davis,Midfielder,Forest Green Rovers,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10561,Karl Henry,Midfielder,Bradford City,England,2010-11,98.0,1.0,,,172.0,29.0,28.0,221.0,1229.0,,,27.0,2.0,,2427.0,9.0,125.0,10.0,107.0,927.0,,3.0,12.0,8.0,32.0,48.0,89.0,325.0,,38.0,0.0,223.0,399.0,168.0,29.0,,,526.0,38.0,196.0,18.0,1.0,,1214.0,6.0,288.0,,,350.0,81.0,1539.0,25.0,488.0,,8.0,49.0,39.0,63.0,18.0,,,42.0,155.0,6.0,7.0,2.0,1.0,5.0,7.0,2.0,50.0,13.0,,,1.0,6.0,,,21.0,5.0,,13.0,25.0,3.0,6.0,11.0,49.0,41.0,3.0,2.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,
7635,Stephen Hunt,Midfielder,Coventry City,Ireland,2010-11,120.0,0.0,,,100.0,20.0,14.0,118.0,378.0,,,35.0,3.0,,1340.0,26.0,70.0,4.0,61.0,252.0,,2.0,20.0,3.0,7.0,25.0,94.0,80.0,,24.0,2.0,190.0,151.0,72.0,20.0,,,214.0,21.0,155.0,9.0,0.0,,369.0,20.0,298.0,,,46.0,8.0,748.0,13.0,75.0,,5.0,18.0,24.0,34.0,41.0,,,28.0,101.0,13.0,5.0,7.0,10.0,21.0,4.0,2.0,12.0,48.0,3.0,0.0,6.0,29.0,,3.0,6.0,23.0,,94.0,53.0,14.0,3.0,3.0,27.0,22.0,9.0,6.0,1.0,4.0,1.0,,,,1.0,,1.0,2.0,,43.0,12.0,2.0,30.0,,,,
19556,David Jones,Midfielder,Wrexham,England,2010-11,52.0,0.0,,,83.0,12.0,11.0,93.0,571.0,,,6.0,,,955.0,3.0,39.0,2.0,36.0,452.0,,2.0,13.0,1.0,12.0,19.0,49.0,121.0,,13.0,0.0,91.0,225.0,51.0,12.0,,,329.0,17.0,85.0,3.0,0.0,,561.0,6.0,149.0,,,155.0,26.0,718.0,6.0,155.0,,1.0,10.0,12.0,20.0,17.0,,,14.0,70.0,,4.0,5.0,,11.0,4.0,,29.0,4.0,1.0,0.0,1.0,6.0,,1.0,6.0,6.0,,24.0,24.0,6.0,3.0,1.0,17.0,10.0,,3.0,,,,,,,,,,1.0,,19.0,5.0,2.0,12.0,1.0,,,
14927,Greg Halford,Defender,Southend United,England,2010-11,3.0,0.0,,,7.0,2.0,,7.0,11.0,,,2.0,,,20.0,1.0,1.0,,,4.0,,,,,,,2.0,3.0,,,0.0,4.0,4.0,,2.0,,,4.0,,2.0,1.0,0.0,,11.0,,9.0,,,4.0,,15.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,2.0,,2.0,,,,,,,1.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
18818,Matthew Jarvis,Midfielder,Woking,England,2010-11,150.0,0.0,,,172.0,37.0,34.0,191.0,845.0,,,52.0,2.0,,3054.0,42.0,95.0,11.0,85.0,644.0,,2.0,60.0,5.0,22.0,57.0,108.0,230.0,,28.0,4.0,245.0,201.0,103.0,37.0,,,541.0,46.0,193.0,10.0,0.0,,822.0,51.0,615.0,,,124.0,10.0,1582.0,13.0,182.0,,2.0,19.0,39.0,26.0,139.0,,,21.0,290.0,43.0,12.0,10.0,14.0,28.0,3.0,6.0,80.0,180.0,4.0,1.0,3.0,69.0,2.0,3.0,5.0,51.0,,276.0,91.0,18.0,31.0,2.0,12.0,22.0,23.0,9.0,1.0,7.0,4.0,,,1.0,4.0,,,,,121.0,28.0,1.0,80.0,,,,
40660,Adam Hammill,Midfielder,Scunthorpe United,England,2010-11,49.0,0.0,,,34.0,10.0,7.0,37.0,164.0,,,15.0,,,544.0,15.0,36.0,2.0,36.0,124.0,,,7.0,,,10.0,34.0,20.0,,15.0,0.0,85.0,64.0,29.0,10.0,,,103.0,8.0,70.0,,0.0,,159.0,4.0,107.0,,,41.0,3.0,304.0,3.0,31.0,,0.0,3.0,10.0,13.0,23.0,,,12.0,39.0,5.0,6.0,,3.0,2.0,4.0,1.0,5.0,27.0,,,3.0,7.0,,,1.0,12.0,,29.0,27.0,2.0,8.0,2.0,4.0,4.0,1.0,6.0,2.0,1.0,,,,,,,,,,7.0,2.0,,1.0,,,,
41208,Nenad Milijas,Midfielder,Crvena zvezda,Serbia,2010-11,74.0,0.0,,,181.0,23.0,20.0,228.0,984.0,,,31.0,3.0,,1720.0,17.0,77.0,4.0,63.0,699.0,,1.0,22.0,4.0,16.0,33.0,57.0,187.0,,21.0,0.0,151.0,400.0,115.0,23.0,,,501.0,29.0,120.0,14.0,0.0,,950.0,17.0,316.0,,,255.0,57.0,1288.0,21.0,267.0,,1.0,47.0,29.0,33.0,34.0,,,26.0,142.0,7.0,10.0,22.0,,45.0,18.0,3.0,79.0,25.0,2.0,1.0,3.0,12.0,,1.0,7.0,4.0,,47.0,27.0,23.0,9.0,7.0,17.0,34.0,6.0,8.0,1.0,1.0,,,,1.0,,,3.0,2.0,1.0,14.0,4.0,10.0,10.0,,,,
54662,Geoffrey Mujangi Bia,Midfielder,Akhisarspor,Belgium,2010-11,,0.0,,,1.0,1.0,,1.0,4.0,,,,,,11.0,,,,,3.0,,,,,,,,,,,0.0,,2.0,1.0,1.0,,,4.0,,,,0.0,,4.0,1.0,2.0,,,1.0,,10.0,,,,0.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,
44302,Adlène Guédioura,Midfielder,Burton Albion,Algeria,2010-11,44.0,0.0,,,25.0,10.0,4.0,29.0,120.0,,,13.0,,,365.0,6.0,31.0,3.0,24.0,84.0,,1.0,4.0,,8.0,8.0,38.0,21.0,,12.0,2.0,75.0,36.0,18.0,10.0,,,66.0,5.0,62.0,7.0,0.0,,119.0,6.0,63.0,,,38.0,7.0,219.0,2.0,26.0,,2.0,4.0,2.0,7.0,7.0,,,6.0,25.0,1.0,4.0,4.0,1.0,11.0,,1.0,8.0,3.0,1.0,0.0,6.0,1.0,,1.0,1.0,9.0,,4.0,22.0,7.0,5.0,,13.0,7.0,1.0,4.0,1.0,,2.0,1.0,,,1.0,,,,,1.0,,2.0,,,,,
92177,Nathan Rooney,Midfielder,Wolverhampton Wanderers,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57544,Leigh Griffiths,Forward,Celtic,Scotland,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19557,Sylvan Ebanks-Blake,Forward,AFC Telford United,England,2010-11,128.0,0.0,,,96.0,30.0,11.0,99.0,337.0,,,71.0,2.0,,1305.0,47.0,76.0,4.0,52.0,233.0,,,14.0,,2.0,25.0,81.0,97.0,,23.0,2.0,204.0,91.0,55.0,30.0,,,193.0,21.0,133.0,24.0,0.0,,337.0,8.0,203.0,,,65.0,5.0,592.0,,54.0,,0.0,3.0,12.0,25.0,85.0,,,17.0,84.0,9.0,12.0,18.0,2.0,32.0,4.0,3.0,20.0,28.0,7.0,3.0,19.0,9.0,,4.0,8.0,5.0,,28.0,36.0,14.0,4.0,2.0,45.0,10.0,1.0,4.0,6.0,13.0,11.0,,,,5.0,,2.0,2.0,,,,,,,,,
18953,Steven Fletcher,Forward,Wrexham,Scotland,2010-11,170.0,0.0,,,169.0,29.0,15.0,175.0,501.0,,,126.0,,,1395.0,66.0,104.0,7.0,44.0,321.0,,,16.0,,11.0,31.0,104.0,,,22.0,,274.0,,31.0,29.0,,,264.0,24.0,148.0,60.0,0.0,,,13.0,,,,,5.0,735.0,4.0,66.0,,1.0,6.0,22.0,15.0,,,,10.0,,4.0,11.0,18.0,,33.0,5.0,2.0,35.0,9.0,10.0,,14.0,4.0,,,5.0,21.0,5.0,9.0,,15.0,7.0,2.0,37.0,11.0,6.0,12.0,7.0,23.0,6.0,,,1.0,,,1.0,5.0,,,,1.0,,,1.0,1.0,
20450,Kevin Doyle,Forward,Wolverhampton Wanderers,Ireland,2010-11,240.0,0.0,,,167.0,26.0,25.0,172.0,687.0,,,137.0,2.0,,2188.0,87.0,163.0,6.0,113.0,508.0,,3.0,24.0,,19.0,43.0,153.0,160.0,,71.0,2.0,403.0,161.0,73.0,26.0,,,406.0,37.0,266.0,50.0,0.0,,684.0,26.0,420.0,,,165.0,7.0,1184.0,2.0,120.0,,1.0,5.0,12.0,26.0,114.0,,,17.0,201.0,11.0,18.0,15.0,8.0,34.0,5.0,4.0,73.0,57.0,5.0,2.0,1.0,11.0,1.0,3.0,9.0,40.0,2.0,57.0,114.0,19.0,16.0,3.0,36.0,9.0,4.0,5.0,2.0,18.0,16.0,,,,2.0,,1.0,,1.0,1.0,,,,,2.0,2.0,1.0
40399,Sam Vokes,Forward,Gillingham,Wales,2010-11,4.0,0.0,,,6.0,2.0,,6.0,10.0,,,3.0,,,28.0,1.0,2.0,,,4.0,,,1.0,,,,3.0,1.0,,,0.0,6.0,5.0,,2.0,,,3.0,,3.0,2.0,0.0,,10.0,,8.0,,,2.0,,13.0,,1.0,,0.0,,,,2.0,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
19410,Andy Keogh,Forward,Wolverhampton Wanderers,Ireland,2010-11,4.0,0.0,,,4.0,1.0,,4.0,11.0,,,2.0,,,40.0,2.0,,,,7.0,,,1.0,,,1.0,2.0,3.0,,,0.0,4.0,1.0,1.0,1.0,,,5.0,1.0,2.0,,0.0,,11.0,,9.0,,,1.0,,17.0,,2.0,,0.0,,1.0,,3.0,,,,6.0,,,,,,,,2.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
80996,Sam Winnall,Forward,Burton Albion,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
