season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243392,1,3,Arsenal,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,,,,19.0,14.0,33.0,,2.0,2.0,,1.0,,2.0,,,1.0,8.0,5.0,,,1.0,,,,,,1.0,84.0,,,,,,,23.0,,6.2,,,1.0,,,5.0,3.0,,4.0,,32.0,16.0,45.0,1,,67.0,2.0,2.0,1.0,
2019-20,8243392,1,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,3.0,36.0,35.0,71.0,2.0,2.0,8.0,,,,2.0,,,,5.0,7.0,,,1.0,,,,,,2.0,90.0,,,,,,,14.0,,7.3,,,2.0,,2.0,,,,8.0,,43.0,41.0,84.0,2,3.0,99.0,1.0,2.0,,2.0
2019-20,8243392,1,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,1.0,18.0,4.0,22.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,26.0,,,,,,,6.0,,6.5,,,,,,1.0,,,1.0,,21.0,7.0,28.0,0,,29.0,,,1.0,
2019-20,8243392,1,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243392,1,3,Arsenal,Away,826139,200641,Reiss Nelson,reiss-nelson,M,False,1.0,,4.0,26.0,13.0,38.0,,,5.0,,,,1.0,,,1.0,4.0,4.0,,,1.0,,,,,,2.0,71.0,,1.0,,,,,11.0,,6.9,,,,,,4.0,2.0,,4.0,,32.0,14.0,44.0,0,,57.0,2.0,1.0,3.0,
2019-20,8243392,1,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,4.0,31.0,28.0,59.0,3.0,3.0,4.0,,,,2.0,,,1.0,8.0,5.0,,,1.0,,,,,2.0,1.0,90.0,,1.0,,,,,13.0,,6.7,,,,,3.0,2.0,,,7.0,,35.0,34.0,69.0,0,1.0,81.0,1.0,,1.0,1.0
2019-20,8243392,1,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,False,,,,8.0,6.0,14.0,,,4.0,,,,,,,4.0,4.0,6.0,,,,,,,,,,64.0,,,,,,,12.0,,6.6,,,1.0,,,2.0,,,,,12.0,7.0,19.0,1,1.0,35.0,2.0,3.0,2.0,1.0
2019-20,8243414,2,3,Arsenal,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243414,2,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,2.0,,4.0,39.0,26.0,63.0,2.0,,7.0,,,1.0,3.0,,,3.0,10.0,9.0,,,2.0,2.0,,,,,3.0,83.0,1.0,,,,,,17.0,,8.0,,,1.0,,,4.0,5.0,,6.0,,47.0,28.0,70.0,3,2.0,97.0,3.0,3.0,4.0,2.0
2019-20,8243414,2,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,3.0,2.0,5.0,2.0,,1.0,,,,,,,,3.0,2.0,,,1.0,,,,,,,13.0,1.0,,,,,,1.0,,6.7,,,,,,,,,,,3.0,3.0,6.0,1,,9.0,,2.0,,
2019-20,8243414,2,3,Arsenal,Home,826139,200641,Reiss Nelson,reiss-nelson,M,False,,,,5.0,4.0,9.0,,,1.0,,,1.0,,,,2.0,4.0,,,,2.0,,,,,,1.0,45.0,1.0,,,,,,4.0,,6.4,,,,,,,1.0,,,1.0,6.0,5.0,10.0,2,,16.0,,,,
2019-20,8243414,2,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,1.0,22.0,32.0,54.0,6.0,1.0,4.0,,,,,1.0,,,6.0,4.0,,,,,,,,4.0,,90.0,1.0,1.0,,,,,4.0,,7.7,,,,,,,,,1.0,,24.0,33.0,57.0,1,2.0,71.0,,2.0,,1.0
2019-20,8243414,2,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,False,,,6.0,30.0,26.0,56.0,1.0,1.0,6.0,,,1.0,1.0,,,1.0,4.0,5.0,,,3.0,,,,,1.0,2.0,90.0,,,,,,,12.0,,7.2,,,,,2.0,3.0,1.0,,9.0,,37.0,28.0,64.0,1,1.0,79.0,1.0,,3.0,
2019-20,8243426,3,3,Arsenal,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,,,1.0,6.0,2.0,8.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,9.0,,,,,,,2.0,,6.7,,,,,,1.0,1.0,,1.0,1.0,8.0,2.0,9.0,0,,11.0,,,1.0,
2019-20,8243426,3,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,4.0,24.0,50.0,74.0,,1.0,16.0,,,,,,,1.0,4.0,3.0,,,2.0,,,,,,,90.0,,3.0,,,,,14.0,,6.9,,,,,4.0,1.0,,,6.0,,29.0,53.0,82.0,0,1.0,104.0,3.0,1.0,,
2019-20,8243426,3,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,,10.0,18.0,28.0,,,5.0,,,,1.0,,,4.0,5.0,4.0,,1.0,,,,,,,,61.0,,1.0,,,,,11.0,,6.0,,,,,,1.0,,,1.0,,13.0,20.0,33.0,0,2.0,46.0,2.0,1.0,1.0,1.0
2019-20,8243426,3,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,True,1.0,,1.0,11.0,13.0,23.0,,,2.0,,,,,,,1.0,1.0,3.0,,,,,1.0,,,1.0,1.0,29.0,1.0,,,,,,5.0,,7.5,,,,,,1.0,2.0,,2.0,,12.0,15.0,25.0,1,1.0,35.0,1.0,1.0,1.0,
2019-20,8243426,3,3,Arsenal,Away,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243426,3,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,2.0,9.0,40.0,49.0,,1.0,4.0,,,,,,,2.0,4.0,7.0,,,1.0,,,,,1.0,,86.0,,1.0,,,,,9.0,,6.8,,,,,4.0,3.0,1.0,,3.0,,13.0,42.0,54.0,0,3.0,74.0,,1.0,2.0,1.0
2019-20,8243426,3,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,False,,,,15.0,14.0,29.0,1.0,,9.0,,,,1.0,,,1.0,3.0,3.0,,1.0,,,,,,,1.0,81.0,,,,,,,9.0,,6.1,,,,,,1.0,,,1.0,,17.0,17.0,34.0,0,2.0,48.0,3.0,,1.0,
2019-20,8243427,4,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243427,4,3,Arsenal,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,,,,13.0,1.0,14.0,1.0,,1.0,,,1.0,,,,2.0,5.0,,,,1.0,,,,,,1.0,23.0,,,,,,,7.0,,6.2,,,,,1.0,1.0,,,,,14.0,1.0,15.0,1,,25.0,2.0,,,
2019-20,8243427,4,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,9.0,36.0,24.0,60.0,1.0,3.0,5.0,,,,,,,,9.0,8.0,,,7.0,,,,,1.0,3.0,90.0,1.0,,1.0,,,,11.0,,6.6,,,,,1.0,2.0,,,11.0,,44.0,25.0,69.0,1,1.0,82.0,1.0,3.0,1.0,
2019-20,8243427,4,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,1.0,17.0,,17.0,,1.0,2.0,,,1.0,1.0,,,,1.0,8.0,,,,,,,,,2.0,27.0,1.0,,,,,,6.0,,7.2,,,,,1.0,1.0,4.0,,1.0,,23.0,,19.0,2,1.0,33.0,,5.0,1.0,
2019-20,8243427,4,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,False,1.0,,,17.0,11.0,27.0,,,6.0,,,,,,,,,8.0,,,,,,,,1.0,2.0,63.0,,,,,,,7.0,,7.5,,,1.0,,1.0,1.0,2.0,,,,20.0,14.0,32.0,1,3.0,46.0,1.0,4.0,1.0,3.0
2019-20,8243427,4,3,Arsenal,Home,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243427,4,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,4.0,33.0,15.0,48.0,,,7.0,1.0,,1.0,4.0,,,,6.0,6.0,,,2.0,1.0,,,,2.0,1.0,90.0,1.0,,,,,,11.0,,7.4,,,,,,1.0,,,7.0,,41.0,17.0,58.0,2,3.0,74.0,,2.0,1.0,2.0
2019-20,8243427,4,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243453,5,3,Arsenal,Away,16176,37605,Mesut Özil,mesut-ozil,M,False,,,3.0,29.0,9.0,38.0,,,3.0,,,,2.0,,,,2.0,4.0,,,,,,,,,2.0,71.0,,,,,,,10.0,,7.0,,,,,,3.0,1.0,,3.0,,35.0,10.0,44.0,0,,52.0,3.0,1.0,3.0,
2019-20,8243453,5,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,1.0,22.0,22.0,44.0,1.0,2.0,6.0,,,,1.0,,,,3.0,9.0,,,1.0,,,,,2.0,,90.0,,2.0,,,,,10.0,,7.3,,,1.0,,,1.0,1.0,,3.0,,30.0,23.0,52.0,1,4.0,67.0,1.0,2.0,1.0,4.0
2019-20,8243453,5,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,3.0,28.0,14.0,42.0,,,7.0,,,,3.0,,,,4.0,1.0,,,,,,,,,,60.0,,,,,,,6.0,,6.2,,,,,,1.0,,,4.0,,31.0,16.0,47.0,0,,50.0,,1.0,,
2019-20,8243453,5,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,3.0,2.0,5.0,,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,23.0,1.0,1.0,,,,,4.0,,6.4,,,,,,,,,1.0,,3.0,5.0,8.0,1,,12.0,,1.0,,
2019-20,8243453,5,3,Arsenal,Away,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,2.0,2.0,4.0,,,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,19.0,1.0,,,,,,5.0,,6.6,,,,,,1.0,,,,,3.0,2.0,5.0,1,2.0,13.0,2.0,,,1.0
2019-20,8243453,5,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,1.0,28.0,14.0,42.0,1.0,,2.0,,,,4.0,,,1.0,6.0,2.0,,1.0,,,,,,1.0,1.0,67.0,,,,,,,9.0,,6.0,,,,,1.0,1.0,,,2.0,,31.0,16.0,47.0,0,1.0,58.0,3.0,,1.0,1.0
2019-20,8243453,5,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,True,,,,4.0,2.0,6.0,1.0,,2.0,,,,,,,3.0,5.0,4.0,,,,,,,,1.0,,30.0,,,,,,,6.0,,6.2,,,,,,3.0,,,,,5.0,2.0,7.0,0,,19.0,1.0,2.0,2.0,
2019-20,8243449,6,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243449,6,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,6.0,32.0,20.0,52.0,,,4.0,,,,2.0,,,2.0,6.0,3.0,,,2.0,,,,,,1.0,72.0,,,,,,,6.0,,6.3,,,,,1.0,,,,8.0,,36.0,20.0,56.0,0,1.0,64.0,,2.0,,
2019-20,8243449,6,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,3.0,32.0,11.0,43.0,,1.0,3.0,,,,5.0,,,3.0,8.0,6.0,,,,,,,,,1.0,72.0,,,,,,,13.0,,6.2,,,1.0,,1.0,1.0,6.0,,3.0,,38.0,11.0,43.0,1,2.0,68.0,2.0,2.0,1.0,1.0
2019-20,8243449,6,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,True,1.0,,,4.0,,3.0,,,,,,,,,,1.0,3.0,2.0,,,1.0,,,,,1.0,1.0,18.0,,,,,,,7.0,,6.8,,,2.0,,1.0,2.0,1.0,,,,8.0,,7.0,2,,17.0,1.0,1.0,1.0,
2019-20,8243449,6,3,Arsenal,Home,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243449,6,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,9.0,40.0,32.0,72.0,1.0,,11.0,,,,2.0,,,1.0,6.0,4.0,,,1.0,,,,1.0,1.0,3.0,90.0,,,,,,1.0,13.0,,7.4,,,1.0,,,2.0,,,10.0,,49.0,33.0,82.0,1,,96.0,,3.0,1.0,
2019-20,8243449,6,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,1.0,7.0,2.0,9.0,,1.0,2.0,,,1.0,,,,1.0,2.0,3.0,,,1.0,,,,,,1.0,18.0,,,,,,,4.0,,6.6,,,,,,1.0,,,1.0,,8.0,4.0,12.0,1,1.0,17.0,,,1.0,
2019-20,8243468,7,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,7.0,19.0,18.0,37.0,,1.0,5.0,,,,2.0,,,,5.0,3.0,,,2.0,,,,,,,90.0,,,,,,,10.0,,6.4,,,,,2.0,1.0,,,10.0,,25.0,20.0,45.0,0,1.0,54.0,,1.0,,1.0
2019-20,8243468,7,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,2.0,12.0,3.0,15.0,,,,,,,,,,1.0,2.0,4.0,,,1.0,,,,,,,35.0,,,,,,,5.0,,6.9,,,1.0,,,1.0,2.0,,2.0,,15.0,4.0,17.0,1,2.0,27.0,,1.0,1.0,2.0
2019-20,8243468,7,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,False,,,,5.0,3.0,8.0,,,2.0,,1.0,,1.0,,,1.0,3.0,3.0,,,1.0,,,,,,,55.0,,,,,,,4.0,,6.5,,,1.0,,1.0,1.0,1.0,,,,7.0,3.0,9.0,1,2.0,18.0,1.0,,1.0,2.0
2019-20,8243468,7,3,Arsenal,Away,826139,200641,Reiss Nelson,reiss-nelson,M,True,2.0,,,6.0,,4.0,,,1.0,,,,1.0,,,,2.0,3.0,,,1.0,,,,,,,16.0,1.0,,,,,,1.0,,7.1,,,,,,1.0,2.0,,,,7.0,,5.0,1,1.0,13.0,,1.0,1.0,1.0
2019-20,8243468,7,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,2.0,16.0,21.0,37.0,1.0,2.0,7.0,,1.0,,1.0,,,2.0,7.0,12.0,,,2.0,,,,,,,90.0,1.0,,,,,,8.0,,6.9,,,,,3.0,1.0,,,3.0,,17.0,24.0,41.0,1,4.0,65.0,1.0,6.0,,1.0
2019-20,8243468,7,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,True,,,,4.0,,4.0,,,3.0,,,,,,,,1.0,2.0,,,,,,,,,2.0,10.0,,,,,,,3.0,,7.0,,,,,,2.0,,,,,4.0,,4.0,0,1.0,11.0,1.0,,1.0,1.0
2019-20,8243471,8,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,2.0,16.0,36.0,52.0,3.0,3.0,8.0,,,,,,,,6.0,5.0,,,3.0,,,,,,,90.0,,,,,,,9.0,,6.7,,,,,5.0,,,,5.0,,21.0,40.0,61.0,0,2.0,70.0,,,,1.0
2019-20,8243471,8,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,1.0,,6.0,27.0,11.0,37.0,1.0,,11.0,,,,4.0,,,1.0,7.0,4.0,,,1.0,,,,,,3.0,75.0,,,,,,,15.0,,7.0,,,,,,2.0,7.0,,8.0,,38.0,12.0,43.0,0,,58.0,2.0,2.0,2.0,
2019-20,8243471,8,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,3.0,2.0,5.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,13.0,,,,,,,3.0,,6.6,,,,,,,1.0,,,,6.0,2.0,7.0,0,1.0,11.0,,1.0,,
2019-20,8243471,8,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,3.0,20.0,22.0,42.0,,,4.0,,,1.0,,,,,,5.0,,,,,,,,,1.0,90.0,,,,,,,12.0,,7.7,,,,,3.0,3.0,1.0,,3.0,,29.0,24.0,52.0,1,2.0,69.0,1.0,,3.0,2.0
2019-20,8243471,8,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,,5.0,2.0,7.0,1.0,,1.0,,,,,,,1.0,3.0,,,,1.0,,,,,,1.0,15.0,,,,,,,3.0,,6.5,,,,,,,,,,,7.0,2.0,9.0,0,,12.0,,,,
2019-20,8243488,9,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,6.0,25.0,40.0,65.0,3.0,2.0,6.0,,,,,,,1.0,6.0,6.0,,,2.0,,,,,,,69.0,1.0,,,,,,10.0,,7.3,,,1.0,,2.0,1.0,,,8.0,,33.0,41.0,74.0,2,3.0,85.0,,,1.0,
2019-20,8243488,9,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,10.0,32.0,14.0,46.0,1.0,,4.0,,,,,,,,2.0,1.0,,,,,,,,,,45.0,1.0,,,,,,8.0,,7.1,,,,,,1.0,2.0,,12.0,,39.0,14.0,51.0,1,1.0,56.0,,,,
2019-20,8243488,9,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243488,9,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,9.0,60.0,32.0,92.0,,,6.0,,,,1.0,,,1.0,3.0,8.0,,,1.0,,,,,1.0,,90.0,,,,,,,12.0,,7.5,,,,,,5.0,,,10.0,,69.0,33.0,102.0,0,1.0,114.0,1.0,2.0,5.0,
2019-20,8243488,9,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,False,,,,2.0,7.0,9.0,3.0,,1.0,,,,,,,,5.0,1.0,,,,,,,,,,45.0,,,,,,,3.0,,6.2,,,,,,2.0,,,,,2.0,7.0,9.0,0,1.0,17.0,1.0,,,1.0
2019-20,8243492,10,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,6.0,18.0,9.0,27.0,5.0,1.0,4.0,,,,1.0,,,,8.0,3.0,,,2.0,1.0,,,,1.0,1.0,61.0,,,,,,,8.0,,6.8,,,,,,,1.0,,8.0,,22.0,13.0,34.0,0,2.0,44.0,,,,1.0
2019-20,8243492,10,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,1.0,,1.0,27.0,16.0,42.0,2.0,1.0,9.0,,,,2.0,,,1.0,6.0,7.0,,,1.0,,,,,,1.0,90.0,,,,,,,16.0,,6.7,,,,,,,3.0,,6.0,,37.0,21.0,55.0,0,5.0,66.0,,1.0,,3.0
2019-20,8243492,10,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243492,10,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,3.0,32.0,18.0,50.0,2.0,2.0,8.0,,,,1.0,,,,5.0,5.0,,,2.0,,,,,1.0,2.0,90.0,1.0,,,,,,11.0,,6.9,,,,,,1.0,,,5.0,,35.0,23.0,58.0,1,,67.0,3.0,2.0,1.0,
2019-20,8243502,11,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,False,2.0,,2.0,65.0,22.0,85.0,1.0,,5.0,,,,1.0,,,1.0,4.0,3.0,,,1.0,,,,,,3.0,90.0,,,,,,,15.0,,7.1,,,,,,1.0,5.0,,3.0,,77.0,23.0,95.0,0,,110.0,1.0,2.0,1.0,
2019-20,8243502,11,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,2.0,41.0,17.0,58.0,3.0,,5.0,,,1.0,2.0,,,2.0,8.0,8.0,,,,,,,,1.0,1.0,90.0,,1.0,,,,,11.0,,7.1,,,,,,4.0,3.0,,3.0,,47.0,19.0,63.0,1,4.0,84.0,,1.0,3.0,3.0
2019-20,8243502,11,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,False,,,,9.0,14.0,23.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,73.0,1.0,,,,,,2.0,,7.0,,,1.0,,2.0,,1.0,,,,11.0,14.0,24.0,2,1.0,33.0,,,,1.0
2019-20,8243502,11,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,1.0,,4.0,39.0,33.0,71.0,1.0,1.0,9.0,,,,2.0,,,4.0,9.0,9.0,,1.0,,,,,,2.0,,90.0,,1.0,,,,,18.0,,6.6,,,,,3.0,3.0,1.0,,6.0,,44.0,38.0,81.0,0,3.0,108.0,2.0,4.0,1.0,1.0
2019-20,8243502,11,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243512,12,3,Arsenal,Away,16176,37605,Mesut Özil,mesut-ozil,M,False,,,1.0,25.0,13.0,38.0,,,2.0,,,,1.0,,,1.0,4.0,4.0,,,1.0,,,,,,1.0,90.0,,,,,,,11.0,,7.1,,,,,,2.0,4.0,,1.0,1.0,30.0,14.0,40.0,0,2.0,56.0,3.0,1.0,1.0,1.0
2019-20,8243512,12,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,False,,,3.0,14.0,22.0,36.0,,,2.0,,,,2.0,,,2.0,7.0,4.0,,,3.0,,,,,1.0,,80.0,,,,,,,4.0,,6.3,,,,,,,,,3.0,,14.0,23.0,37.0,0,1.0,48.0,1.0,3.0,,
2019-20,8243512,12,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,4.0,25.0,20.0,45.0,,,6.0,,,,3.0,,,2.0,7.0,5.0,,,,,,,,1.0,1.0,90.0,,1.0,,,,,8.0,,6.3,,,,,1.0,5.0,,,4.0,,28.0,21.0,49.0,0,,70.0,,2.0,3.0,
2019-20,8243512,12,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,True,,,,7.0,8.0,15.0,,,3.0,,,,,,,,,3.0,,,,,,,,,,10.0,,,,,,,4.0,,7.0,,,,,,,,,,,7.0,9.0,16.0,0,3.0,22.0,3.0,,,3.0
2019-20,8243522,13,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,False,4.0,,,30.0,8.0,34.0,,,1.0,,,,1.0,,,,2.0,8.0,,,1.0,,,,,,4.0,90.0,1.0,,,,,,20.0,,7.8,,,,,,3.0,10.0,,,1.0,47.0,8.0,45.0,1,2.0,68.0,2.0,3.0,3.0,1.0
2019-20,8243522,13,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,False,,,,21.0,19.0,40.0,2.0,,8.0,,,,,,,,3.0,5.0,,,2.0,,,,,4.0,1.0,83.0,,,,,,,13.0,,7.1,,,1.0,,1.0,1.0,1.0,,,,26.0,23.0,48.0,1,2.0,66.0,4.0,2.0,1.0,1.0
2019-20,8243522,13,3,Arsenal,Home,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243522,13,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,1.0,45.0,16.0,61.0,,1.0,5.0,,,,,,,,1.0,13.0,,,,,,,,4.0,1.0,90.0,,1.0,,,,,10.0,,8.0,,,,,2.0,4.0,1.0,,2.0,,51.0,17.0,67.0,0,4.0,95.0,1.0,5.0,3.0,1.0
2019-20,8243522,13,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,2.0,3.0,1.0,4.0,,2.0,2.0,,,,3.0,1.0,,,3.0,3.0,,,,,,,,,,15.0,1.0,1.0,,,,,2.0,,7.4,,,,,,,,,2.0,,3.0,2.0,5.0,1,1.0,9.0,1.0,,,1.0
2019-20,8243540,14,3,Arsenal,Away,16176,37605,Mesut Özil,mesut-ozil,M,False,6.0,,1.0,35.0,8.0,37.0,,,4.0,,,1.0,,,,1.0,1.0,3.0,,,,,,,,,4.0,89.0,1.0,,,,,,15.0,,7.7,,,,,,,15.0,,1.0,,46.0,9.0,40.0,2,2.0,65.0,2.0,1.0,,1.0
2019-20,8243540,14,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,7.0,35.0,28.0,63.0,,2.0,9.0,,,,3.0,,,,4.0,6.0,,,1.0,,,,,2.0,,90.0,,,,,,,7.0,,7.1,,,,,2.0,,,,8.0,,38.0,30.0,68.0,0,3.0,78.0,2.0,1.0,,1.0
2019-20,8243540,14,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,True,,,,4.0,4.0,8.0,1.0,1.0,1.0,,,1.0,1.0,,,,2.0,3.0,,,,,,,,2.0,,20.0,,,,,,,,,6.9,,,,,1.0,,,,,,4.0,4.0,8.0,1,2.0,14.0,,,,1.0
2019-20,8243540,14,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,8.0,41.0,19.0,60.0,,,5.0,,,1.0,2.0,,,,3.0,3.0,,,,,,,,,1.0,78.0,1.0,,,,,,8.0,,6.9,,,,,1.0,1.0,1.0,,9.0,,47.0,20.0,66.0,2,,76.0,,3.0,,
