playerId,playerName,position,team_name,team_id,nationality,season,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,penaltiesSaved,totalTackles,unsuccessfulShortPasses,savesMadeCaught,aerialDuels,penaltiesFaced,aerialDuelsLost,savesFromPenalty,punches,penaltyGoalsConceded,goalkeeperSmother,crossesNotClaimed,aerialDuelsWon,tacklesWon,savesMadeParried,successfulCrossesOpenPlay,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,groundDuelsLost,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,blockedShots,throughBalls,goalAssists,goals,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,penaltiesConceded,shotsBlockedInBox,homeGoals,lastPlayerTackle,headedGoals,iboxBlocked,blocks,shotsBlockedOutsideBox,handballsConceded,overruns,offsides,rightFootGoals,leftFootGoals,ownGoalScored,clearancesOffTheLine,unsuccessfulLayoffs,secondGoalAssists,redCards2ndYellow,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,penaltiesTaken,penaltyGoals,hitWoodwork
225321,Aaron Ramsdale,Goalkeeper,Newcastle United,4,England,2023-24,4.3292,8.0,0.0115,3.0,5.0,0.0,7.0,44.0,9.0,1.0,0.0,1.0,95.0,53.0,6.0,1.0,3.0,6.0,21.0,6.0,4.0,55.0,158.0,19.0,1.0,0.0,42.0,117.0,58.0,7.0,2.0,19.0,23.0,540.0,210.0,1.0,1.0,2.0,1.0,30.0,82.0,80.0,6.0,0.0,55.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154561,David Raya,Goalkeeper,Arsenal,3,Spain,2023-24,20.7262,59.0,0.0742,13.0,24.0,0.0,35.0,161.0,46.0,4.0,0.0,12.0,544.0,271.0,32.0,5.0,20.0,32.0,114.0,32.0,21.0,265.0,906.0,96.0,6.0,0.0,218.0,708.0,269.0,37.0,16.0,201.0,143.0,2880.0,1176.0,11.0,3.0,2.0,6.0,148.0,527.0,498.0,26.0,2.0,260.0,49.0,1.0,1.0,1.0,5.0,4.0,6.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463748,Karl Hein,Goalkeeper,Arsenal,3,Estonia,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437626,Nuno Tavares,Defender,Arsenal,3,Portugal,2023-24,4.5226,3.0,0.3736,15.0,9.0,0.0,,81.0,,2.0,0.0,40.0,86.0,33.0,8.0,,,8.0,105.0,5.0,7.0,46.0,218.0,,35.0,0.0,,210.0,90.0,,1.0,21.0,5.0,455.0,359.0,22.0,2.0,13.0,19.0,7.0,69.0,167.0,,2.0,13.0,25.0,18.0,,11.0,33.0,,5.0,,2.0,,,,,,3.0,7.0,,2.0,1.0,0.0237,7.0,2.0,13.0,3.0,1.0,1.0,2.0,7.0,12.0,2.0,16.0,6.0,1.0,4.0,3.0,14.0,7.0,6.0,3.0,6.0,8.0,1.0,1.0,30.0,27.0,1.0,5.0,0.1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462424,William Saliba,Defender,Arsenal,3,France,2023-24,25.0554,21.0,0.9117,78.0,29.0,0.0,,773.0,,16.0,2.0,233.0,940.0,213.0,38.0,,,38.0,973.0,38.0,25.0,211.0,2839.0,15.0,112.0,0.0,15.0,2791.0,255.0,,18.0,1025.0,68.0,3420.0,3152.0,139.0,4.0,26.0,67.0,30.0,1656.0,2560.0,,4.0,58.0,101.0,94.0,,41.0,153.0,,121.0,,49.0,,,2.0,,,72.0,26.0,,1.0,4.0,0.3829,6.0,,2.0,,,,1.0,17.0,1.0,5.0,45.0,15.0,,15.0,4.0,2.0,17.0,2.0,4.0,10.0,22.0,29.0,,101.0,6.0,,15.0,1.609,4.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,
198869,Ben White,Defender,Arsenal,3,England,2023-24,22.2089,9.0,3.663,67.0,26.0,0.0,,136.0,,12.0,0.0,197.0,724.0,120.0,37.0,,,37.0,945.0,35.0,22.0,254.0,1911.0,,139.0,0.0,,1865.0,398.0,,13.0,752.0,51.0,2995.0,2508.0,105.0,4.0,47.0,69.0,33.0,725.0,1606.0,,8.0,73.0,64.0,92.0,,48.0,181.0,,58.0,,22.0,,,2.0,,,36.0,28.0,,13.0,8.0,1.8561,12.0,1.0,44.0,2.0,,1.0,13.0,65.0,47.0,35.0,70.0,26.0,1.0,20.0,12.0,44.0,21.0,4.0,11.0,9.0,19.0,32.0,,299.0,158.0,8.0,13.0,1.1529,1.0,5.0,4.0,4.0,2.0,1.0,3.0,3.0,,,2.0,,1.0,,22.0,1.0,2.0,1.0,11.0,1.0,2.0,,,,,,,,,,,,,
226597,Gabriel Magalhães,Defender,Arsenal,3,Brazil,2023-24,22.7165,13.0,0.7358,97.0,26.0,0.0,,991.0,,34.0,1.0,267.0,676.0,136.0,36.0,,,36.0,732.0,34.0,23.0,234.0,2144.0,65.0,124.0,0.0,64.0,2026.0,261.0,1.0,15.0,338.0,69.0,3044.0,2506.0,161.0,3.0,33.0,82.0,57.0,1179.0,1841.0,,4.0,102.0,92.0,106.0,,48.0,132.0,,143.0,,64.0,,,2.0,,,79.0,28.0,,1.0,11.0,2.8297,25.0,1.0,3.0,2.0,,1.0,1.0,42.0,1.0,3.0,42.0,11.0,1.0,20.0,2.0,3.0,5.0,14.0,3.0,2.0,35.0,31.0,,139.0,3.0,2.0,26.0,4.3015,6.0,2.0,,4.0,2.0,2.0,6.0,6.0,,4.0,2.0,2.0,4.0,4.0,33.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,
445122,Jurriën Timber,Defender,Arsenal,3,Netherlands,2023-24,,,0.0248,1.0,,0.0,,18.0,,,0.0,9.0,23.0,4.0,2.0,,,2.0,41.0,1.0,,7.0,67.0,,7.0,0.0,,66.0,9.0,,,17.0,1.0,71.0,81.0,4.0,,3.0,3.0,,19.0,59.0,,2.0,1.0,2.0,5.0,,2.0,6.0,,2.0,,1.0,,,,,,1.0,2.0,,,,,,,1.0,1.0,,,,1.0,,,4.0,1.0,,,,1.0,1.0,,1.0,1.0,3.0,,,9.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
440854,Jakub Kiwior,Defender,Arsenal,3,Poland,2023-24,6.4015,4.0,0.6051,24.0,8.0,0.0,,201.0,,3.0,0.0,69.0,215.0,35.0,20.0,,,20.0,257.0,11.0,7.0,77.0,544.0,,42.0,0.0,,538.0,115.0,,5.0,54.0,21.0,945.0,733.0,40.0,1.0,10.0,24.0,11.0,213.0,446.0,,1.0,21.0,22.0,29.0,,20.0,56.0,,27.0,,11.0,,,,,,16.0,12.0,,3.0,3.0,0.24,4.0,,9.0,9.0,,,3.0,16.0,14.0,3.0,18.0,8.0,,8.0,1.0,9.0,3.0,1.0,4.0,2.0,10.0,8.0,,74.0,53.0,4.0,9.0,0.826,2.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,,,1.0,,1.0,,3.0,2.0,,2.0,,,,,,,,,,,,,,,,
206325,Oleksandr Zinchenko,Defender,Nottingham Forest,17,Ukraine,2023-24,13.8043,4.0,2.9445,22.0,15.0,0.0,,546.0,,9.0,0.0,153.0,476.0,104.0,27.0,,,27.0,787.0,20.0,15.0,150.0,1411.0,,110.0,0.0,,1365.0,227.0,,3.0,175.0,53.0,1722.0,1775.0,93.0,,29.0,66.0,12.0,479.0,1208.0,,2.0,31.0,36.0,60.0,,50.0,119.0,,43.0,,16.0,,,1.0,,,27.0,30.0,,5.0,3.0,0.0758,7.0,6.0,25.0,7.0,,,5.0,30.0,11.0,27.0,44.0,15.0,,20.0,5.0,25.0,20.0,4.0,12.0,7.0,7.0,20.0,,214.0,108.0,13.0,4.0,0.5811,10.0,11.0,2.0,1.0,0.0,8.0,2.0,2.0,,2.0,1.0,,,2.0,3.0,8.0,,3.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,
