season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,3.0,5.0,43.0,48.0,1.0,1.0,9.0,,,,,,,,1.0,2.0,,,,,,,,,1.0,,1.0,90.0,,,,,,,7.0,,6.9,,,,,1.0,,,,5.0,1.0,9.0,45.0,54.0,0,1.0,59.0,1.0,,,1.0
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,143593,111291,Marçal,marcal,D,False,3.0,,2.0,20.0,17.0,34.0,1.0,,7.0,,,,1.0,,,,4.0,3.0,,,2.0,,,,,,1.0,1.0,,90.0,,,,,,,14.0,,7.2,,,,,1.0,,5.0,,2.0,,27.0,21.0,43.0,0,2.0,69.0,2.0,1.0,,
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,4.0,26.0,29.0,55.0,1.0,3.0,3.0,,,,,,,,1.0,3.0,,,,,,,,,2.0,1.0,,90.0,,,,,,,10.0,,6.8,,,,,4.0,,,,10.0,,31.0,33.0,64.0,0,,72.0,1.0,,,
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,252821,200402,Nélson Semedo,nelson-semedo,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,9.0,21.0,31.0,52.0,,1.0,3.0,,,1.0,,,,,,5.0,,,,,,,,,2.0,,,89.0,1.0,,,,,,14.0,,7.5,,,,,5.0,1.0,,,17.0,,29.0,34.0,63.0,2,3.0,82.0,2.0,,1.0,2.0
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,False,1.0,,1.0,15.0,14.0,28.0,,1.0,5.0,,,,1.0,,,,5.0,10.0,,,3.0,,,,,,2.0,1.0,,90.0,,,,,,,13.0,,7.4,,,1.0,,1.0,3.0,3.0,,2.0,,22.0,17.0,36.0,1,4.0,71.0,,3.0,2.0,2.0
2021-22,9576403,1,39,Wolverhampton_Wanderers,Away,988964,481626,Christian Marques,christian-marques,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,6.0,9.0,30.0,39.0,1.0,4.0,1.0,,,,1.0,,,,2.0,6.0,,,,,,,,,3.0,,1.0,90.0,,,,,,,8.0,,7.0,,,,,2.0,,,,11.0,,16.0,31.0,47.0,0,2.0,54.0,,,,2.0
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,143593,111291,Marçal,marcal,D,False,2.0,,4.0,26.0,18.0,42.0,,2.0,6.0,,,,1.0,,,1.0,2.0,7.0,,,,,,,,,3.0,1.0,,90.0,,,,,,,19.0,,7.4,,,1.0,,1.0,,10.0,,7.0,,41.0,20.0,51.0,1,4.0,86.0,,1.0,,3.0
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,False,,,5.0,24.0,22.0,46.0,1.0,2.0,7.0,,,,,,,,2.0,5.0,,,1.0,,,,,,2.0,1.0,,84.0,,,,,,,11.0,,7.2,,,1.0,,1.0,,1.0,,10.0,,32.0,24.0,55.0,1,3.0,66.0,,,,3.0
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,2.0,24.0,15.0,39.0,2.0,1.0,5.0,,,,1.0,,,,4.0,7.0,,1.0,,,,,,,,2.0,,90.0,,1.0,,,,,22.0,,7.2,,,2.0,,1.0,4.0,8.0,,3.0,,39.0,15.0,46.0,2,3.0,89.0,3.0,,3.0,
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,2.0,16.0,30.0,46.0,1.0,1.0,7.0,,,,3.0,,,,4.0,8.0,,,,,,,,,4.0,1.0,,90.0,,1.0,,,,,6.0,,7.4,,,,,,1.0,1.0,,5.0,,18.0,34.0,51.0,0,6.0,68.0,,,1.0,2.0
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,2.0,,2.0,,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,10.0,,,,,,,1.0,,6.7,,,,,,2.0,,,,,3.0,,3.0,1,,6.0,,,2.0,
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576150,2,39,Wolverhampton_Wanderers,Home,988964,481626,Christian Marques,christian-marques,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,3.0,3.0,27.0,30.0,,4.0,4.0,,,,1.0,,,,2.0,4.0,,,1.0,,,,,,2.0,,,87.0,,,,,,,3.0,,6.7,,,1.0,,3.0,,,,5.0,,4.0,29.0,33.0,1,,41.0,,,,
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,143593,111291,Marçal,marcal,D,False,,,1.0,20.0,15.0,35.0,,,8.0,,,,1.0,,,2.0,4.0,4.0,,,1.0,,,,,,1.0,,,90.0,,,,,,,18.0,,6.8,,,,,4.0,,4.0,,3.0,,29.0,18.0,43.0,0,4.0,67.0,,,,2.0
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,False,,,3.0,10.0,23.0,33.0,2.0,2.0,5.0,,1.0,,,,,,2.0,4.0,,,,,,,,,1.0,,,90.0,2.0,1.0,,,,,10.0,,7.0,,,,,7.0,,,,9.0,,17.0,26.0,43.0,2,1.0,58.0,,1.0,,1.0
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,,17.0,14.0,31.0,1.0,1.0,3.0,,,,,,,,2.0,3.0,,,1.0,,,,,,,1.0,,90.0,,,,,,,9.0,,6.7,,,,,4.0,,1.0,,3.0,1.0,24.0,16.0,39.0,0,1.0,56.0,,1.0,,1.0
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,1.0,7.0,27.0,34.0,,,6.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,90.0,,1.0,,,,,3.0,,6.8,,,,,,1.0,,,1.0,,9.0,27.0,36.0,0,1.0,44.0,1.0,,1.0,1.0
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576382,3,39,Wolverhampton_Wanderers,Home,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,8.0,17.0,38.0,55.0,3.0,,2.0,,,,,,,,3.0,,,,,,,,,,,,,90.0,,,,,,,3.0,,7.1,,,1.0,,3.0,,,,9.0,,19.0,39.0,58.0,1,,63.0,,,,
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,143593,111291,Marçal,marcal,D,False,,,,21.0,18.0,39.0,1.0,1.0,5.0,,1.0,1.0,1.0,,,1.0,7.0,6.0,,,3.0,,,,,,2.0,,,90.0,,,,,,,14.0,,6.9,,,1.0,,,1.0,4.0,,2.0,,30.0,19.0,45.0,2,4.0,73.0,1.0,1.0,,2.0
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,1.0,27.0,30.0,57.0,3.0,1.0,2.0,,,,1.0,,,,5.0,4.0,,,1.0,,,,,,2.0,,,90.0,1.0,,,,,,6.0,,7.0,,,,,4.0,1.0,,,5.0,,28.0,34.0,62.0,1,,76.0,,2.0,1.0,
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,,23.0,12.0,35.0,1.0,1.0,4.0,,2.0,1.0,1.0,,,2.0,8.0,5.0,,,2.0,,,,,,2.0,,,90.0,1.0,,,,,,15.0,,6.1,,,1.0,,3.0,2.0,,,2.0,,27.0,14.0,41.0,3,3.0,70.0,5.0,1.0,,3.0
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,1.0,25.0,33.0,58.0,1.0,1.0,7.0,,,,,,,,3.0,5.0,,,1.0,,,,,,,,,90.0,,,,,,,10.0,,7.1,,,,,4.0,1.0,,,2.0,,28.0,38.0,66.0,0,3.0,76.0,1.0,1.0,,1.0
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576166,4,39,Wolverhampton_Wanderers,Away,1014835,501837,Yerson Mosquera,yerson-mosquera,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,4.0,25.0,30.0,55.0,5.0,1.0,6.0,,,,,,,,7.0,5.0,,,2.0,,,,,,1.0,,,90.0,,,,,,,4.0,,6.8,,,,,2.0,,,,5.0,,28.0,31.0,59.0,0,4.0,67.0,,,,1.0
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,143593,111291,Marçal,marcal,D,False,,,,19.0,14.0,33.0,,3.0,5.0,,,,1.0,,,,3.0,6.0,,,1.0,,,,,,,,,72.0,,,,1.0,,,14.0,,6.4,,,2.0,,,1.0,3.0,,2.0,,29.0,16.0,42.0,2,2.0,63.0,1.0,1.0,,2.0
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,False,,,,21.0,13.0,34.0,,2.0,,,,,,,,,2.0,2.0,,,2.0,,,,,,2.0,,,45.0,,,,,,,6.0,,6.4,,,1.0,,3.0,,,,2.0,,25.0,15.0,40.0,1,,46.0,,,,
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,1.0,28.0,13.0,41.0,,2.0,5.0,,,1.0,,,,1.0,1.0,5.0,,,,,,,,,,,,82.0,,,,,,,5.0,,6.8,,,,,1.0,2.0,,,1.0,,29.0,16.0,45.0,1,1.0,61.0,,,2.0,
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,1.0,24.0,36.0,60.0,3.0,1.0,7.0,,,,2.0,,,,5.0,1.0,1.0,,,,,,,,1.0,1.0,,90.0,,,,,,,10.0,,5.5,,,,,,,,,4.0,,31.0,38.0,69.0,0,,72.0,1.0,,,
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576397,5,39,Wolverhampton_Wanderers,Home,1014835,501837,Yerson Mosquera,yerson-mosquera,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576116,6,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,6.0,8.0,15.0,23.0,1.0,,6.0,,,,,,,,1.0,,,,,,,,,,,,,90.0,,1.0,,,,,7.0,,7.0,,,,,5.0,,,,12.0,,11.0,19.0,30.0,0,,37.0,,,,
2021-22,9576116,6,39,Wolverhampton_Wanderers,Away,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576116,6,39,Wolverhampton_Wanderers,Away,143593,111291,Marçal,marcal,D,False,,,1.0,8.0,12.0,20.0,3.0,,6.0,,,,2.0,,,1.0,9.0,4.0,,,3.0,,,,,,1.0,,,90.0,,,,,,,25.0,,6.4,,,,,3.0,,3.0,,6.0,,26.0,15.0,38.0,0,3.0,69.0,2.0,1.0,,1.0
2021-22,9576116,6,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,3.0,21.0,16.0,37.0,,3.0,3.0,,,,1.0,,,,1.0,5.0,,,,,,,,,1.0,,,90.0,,2.0,,,,,11.0,,7.3,,,,,7.0,1.0,,,10.0,,28.0,20.0,48.0,0,1.0,63.0,,,1.0,1.0
2021-22,9576116,6,39,Wolverhampton_Wanderers,Away,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,1.0,13.0,10.0,23.0,,,9.0,,,,,,,1.0,2.0,4.0,,,1.0,,,,,,,,,87.0,1.0,1.0,,,,,12.0,,7.1,,,,,6.0,,,,4.0,,19.0,13.0,32.0,1,2.0,52.0,2.0,2.0,,2.0
2021-22,9576116,6,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,1.0,14.0,8.0,22.0,2.0,2.0,3.0,,,,,,,,2.0,5.0,,1.0,,,,,,,,,,90.0,,,,,,,6.0,,6.9,,,,,4.0,,,,2.0,,15.0,13.0,28.0,0,2.0,37.0,,1.0,,
2021-22,9576116,6,39,Wolverhampton_Wanderers,Away,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,1.0,1.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,11.0,,,,,,,1.0,,6.3,,,,,1.0,,,,,,1.0,,1.0,0,,2.0,,,,
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,,5.0,30.0,35.0,,1.0,6.0,,,,,,,,1.0,2.0,,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,2.0,,6.8,,,,,4.0,,,,2.0,,7.0,30.0,37.0,0,1.0,46.0,,,,1.0
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,143593,111291,Marçal,marcal,D,False,1.0,,,12.0,18.0,29.0,2.0,2.0,7.0,,,,,,,,4.0,7.0,,,2.0,,,,,,2.0,,,90.0,,1.0,,,,,12.0,,7.2,,,,,5.0,1.0,2.0,,2.0,,15.0,22.0,35.0,0,4.0,74.0,4.0,,1.0,4.0
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,False,,,2.0,21.0,30.0,51.0,3.0,5.0,4.0,,,,,,,,4.0,6.0,,,1.0,,,,,,2.0,,,90.0,,1.0,,,,,13.0,,7.1,,,,,9.0,,,,6.0,,27.0,36.0,63.0,0,1.0,79.0,,,,1.0
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,1.0,22.0,11.0,33.0,2.0,,5.0,,,,1.0,,,1.0,9.0,7.0,,,4.0,,,,,,1.0,,,90.0,,,,,,,12.0,,6.8,,,,,1.0,2.0,,,1.0,,26.0,13.0,39.0,0,6.0,62.0,3.0,,1.0,3.0
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,4.0,17.0,18.0,35.0,2.0,1.0,4.0,,,,,,,,2.0,6.0,,,,,,,,,1.0,,,90.0,,,,,,,7.0,,7.1,,,,,4.0,,,,8.0,,20.0,21.0,41.0,0,5.0,59.0,1.0,,,4.0
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576478,7,39,Wolverhampton_Wanderers,Home,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,3.0,3.0,32.0,35.0,1.0,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,90.0,1.0,1.0,,,,,6.0,,7.1,,,,,3.0,,1.0,,7.0,,8.0,33.0,40.0,1,,48.0,,,,
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,143593,111291,Marçal,marcal,D,False,,,1.0,16.0,8.0,24.0,4.0,3.0,2.0,,,,1.0,,,,5.0,3.0,,,,,,,,,2.0,,,74.0,,,,,,,6.0,,6.6,,,,,1.0,,2.0,,2.0,1.0,21.0,9.0,28.0,0,,37.0,,,,
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,6.0,13.0,25.0,38.0,1.0,1.0,5.0,,,,,,,,3.0,4.0,,,2.0,,1.0,,,,3.0,,,90.0,1.0,1.0,,,,,15.0,,7.6,,,,,5.0,,1.0,,10.0,,21.0,30.0,50.0,1,2.0,68.0,,1.0,,2.0
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,,22.0,9.0,31.0,1.0,,6.0,,,,1.0,,,1.0,6.0,2.0,,,1.0,,,,,,1.0,1.0,,90.0,,,,,,,18.0,,6.3,,,,,,3.0,2.0,,4.0,1.0,31.0,11.0,40.0,0,,63.0,3.0,1.0,1.0,
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,,12.0,25.0,37.0,2.0,2.0,1.0,,1.0,,1.0,,,,5.0,5.0,,,2.0,,,,,1.0,1.0,,,90.0,,,,,,,6.0,,6.5,,,2.0,,5.0,,,,,,14.0,28.0,42.0,2,1.0,57.0,1.0,2.0,,
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576394,8,39,Wolverhampton_Wanderers,Away,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576121,9,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,10.0,8.0,22.0,30.0,1.0,,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,,1.0,,,90.0,,2.0,,,,,4.0,,7.0,,,,,1.0,,,,13.0,,10.0,24.0,34.0,0,1.0,39.0,,,,
2021-22,9576121,9,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,4.0,11.0,12.0,23.0,1.0,1.0,5.0,,,,1.0,,,1.0,5.0,1.0,,,3.0,,,,,,1.0,,,90.0,,1.0,,,,,13.0,,6.4,,,,,7.0,,,,9.0,,19.0,16.0,35.0,0,,47.0,,,,
2021-22,9576121,9,39,Wolverhampton_Wanderers,Away,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,,6.0,2.0,8.0,,,8.0,,,,,,,3.0,4.0,8.0,,,1.0,,,,,,1.0,1.0,,90.0,,,,1.0,,,11.0,,6.7,,,,,2.0,2.0,,,2.0,,7.0,6.0,13.0,0,4.0,43.0,,2.0,2.0,2.0
2021-22,9576121,9,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,2.0,8.0,12.0,20.0,1.0,2.0,5.0,,,,1.0,,,,4.0,4.0,,,2.0,,,,,,2.0,,,90.0,,1.0,,,,,8.0,,6.9,,,1.0,,10.0,2.0,,,7.0,,12.0,16.0,28.0,1,,46.0,,,2.0,
2021-22,9576121,9,39,Wolverhampton_Wanderers,Away,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,False,,,2.0,9.0,9.0,18.0,,,7.0,,,,4.0,,,3.0,9.0,8.0,,,1.0,,,,,,1.0,,,83.0,1.0,,,,,,18.0,,6.8,,,,,3.0,3.0,2.0,,2.0,,13.0,13.0,24.0,1,5.0,61.0,2.0,1.0,2.0,2.0
2021-22,9576121,9,39,Wolverhampton_Wanderers,Away,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,1.0,,6.2,,,,,,,,,,,,1.0,1.0,0,,3.0,,,,
2021-22,9576134,10,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,7.0,16.0,41.0,57.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,90.0,,2.0,,,,,5.0,,7.1,,,,,3.0,,,,9.0,,18.0,44.0,62.0,1,,69.0,,,,
2021-22,9576134,10,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576134,10,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,False,,,6.0,29.0,43.0,72.0,1.0,3.0,4.0,,,,,,,,2.0,6.0,,1.0,1.0,,,,,,2.0,,,90.0,,,,,,,11.0,,6.9,,,,,4.0,,,,11.0,,36.0,46.0,82.0,0,3.0,93.0,1.0,,,1.0
2021-22,9576134,10,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,,23.0,13.0,36.0,2.0,1.0,9.0,1.0,,,2.0,,,2.0,8.0,5.0,,,1.0,,,,,,,1.0,,90.0,,,,,,,16.0,,6.5,,,,,2.0,3.0,1.0,,5.0,,28.0,18.0,45.0,0,2.0,70.0,3.0,,2.0,1.0
2021-22,9576134,10,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,7.0,17.0,41.0,58.0,2.0,8.0,3.0,,,,,,,,2.0,9.0,,,,,1.0,,,,3.0,,,90.0,1.0,1.0,,,,,7.0,,8.1,,,,,6.0,,,,10.0,,21.0,44.0,65.0,1,,80.0,,1.0,,
2021-22,9576134,10,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,False,2.0,,3.0,31.0,21.0,50.0,2.0,2.0,11.0,,,,2.0,,,2.0,12.0,7.0,,,2.0,1.0,,,,,,2.0,,90.0,,,,,,,21.0,,6.7,,,,,1.0,8.0,6.0,,7.0,,39.0,27.0,60.0,0,,89.0,1.0,1.0,4.0,
2021-22,9576134,10,39,Wolverhampton_Wanderers,Home,954044,441271,Ki-Jana Hoever,ki-jana-hoever,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576401,11,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,2.0,2.0,9.0,11.0,1.0,,2.0,,,,,,,,3.0,1.0,,,2.0,,,,,,1.0,,,90.0,,2.0,,,,,8.0,,6.6,,,,,5.0,,,,8.0,,6.0,12.0,18.0,0,1.0,29.0,,,,1.0
2021-22,9576401,11,39,Wolverhampton_Wanderers,Away,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576401,11,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,5.0,19.0,22.0,41.0,3.0,4.0,6.0,,,,1.0,,,,5.0,7.0,,,1.0,,,,,,1.0,,,90.0,,,,,,,14.0,,6.6,,,,,3.0,,,,12.0,,30.0,25.0,55.0,0,2.0,68.0,,1.0,,
2021-22,9576401,11,39,Wolverhampton_Wanderers,Away,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,2.0,7.0,10.0,17.0,2.0,1.0,6.0,,,,1.0,,,,5.0,9.0,,,,,,,,,,,,68.0,,,,,,,9.0,,6.9,,,,,,3.0,,,4.0,,8.0,13.0,21.0,0,4.0,46.0,1.0,3.0,1.0,4.0
