playerId,playerName,position,team_name,team_id,nationality,season,groundDuels,duelsLost,straightRedCards,substituteOn,totalLossesOfPossession,totalRedCards,groundDuelsLost,winningGoal,duels,appearances,timePlayed,touches,gamesPlayed,yellowCards,timesTackled,expectedAssists,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,aerialDuels,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,totalClearances,goalsConceded,shotsBlockedInBox,rightsidePasses,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,rightFootGoals,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulDribbles,oboxBlocked,shotsBlockedOutsideBox,overruns,expectedGoalsOnTarget,goalAssists,successfulLayoffs,foulWonPenalty,offsides,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,goalsConcededOutsideBox,keyPassesAttemptAssists,successfulLaunches,totalFoulsWon,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,throughBalls,goalKicks,cleanSheets,successfulCrossesAndCorners,throwInsToOppositionPlayer,ownGoalScored,lastPlayerTackle,headedGoals,gkSuccessfulDistribution,tacklesWon,expectedGoalsFreekick,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltiesConceded,clearancesOffTheLine,shotsOnTargetOutsideBox,oboxTarget,leftFootGoals,penaltiesTaken,penaltyGoals,redCards2ndYellow,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,secondGoalAssists,penaltiesSaved,savesFromPenalty
514280,Alfie Gilchrist,Defender,Chelsea,8,England,2023-24,14.0,13.0,0.0,9.0,24.0,0.0,9.0,0.0,20.0,11.0,202.0,179.0,11.0,1.0,2.0,0.0465,1.0,1.0,4.0,4.0,13.0,2.0,18.0,1.0,123.0,1.0,0.0,6.0,4.0,7.0,3.0,5.0,104.0,5.0,1.0,4.6913,9.0,6.0,1.0,7.0,3.0,1.0,33.0,9.0,1.0,4.0,43.0,6.0,1.0,1.0,2.0,120.0,3.0,1.0,1.0,3.0,57.0,4.0,3.0,1.0,26.0,16.0,2.0,3.0,62.0,2.0,0.3244,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220362,Axel Disasi,Defender,Chelsea,8,France,2023-24,99.0,71.0,0.0,2.0,258.0,0.0,38.0,0.0,205.0,31.0,2581.0,2546.0,31.0,6.0,17.0,0.9845,1.0,4.0,33.0,15.0,124.0,29.0,206.0,9.0,2198.0,2.0,1.0,106.0,33.0,134.0,26.0,61.0,1947.0,25.0,3.0,46.6422,97.0,50.0,,404.0,7.0,1.0,746.0,150.0,1.0,14.0,653.0,46.0,9.0,,73.0,2143.0,11.0,1.0,12.0,19.0,899.0,17.0,18.0,45.0,149.0,38.0,2.0,30.0,1340.0,10.0,2.4284,82.0,92.0,5.0,1.0,1.0,,1.2007,,,,4.0,2.0,2.0,,4.0,3.0,6.0,17.0,,1.0,1.0,3.0,6.0,5.0,1.0,5.0,1.0,1.0,1.0,6.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461188,Bashir Humphreys,Defender,Chelsea,8,England,2023-24,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Chelsea,8,England,2023-24,60.0,41.0,0.0,4.0,158.0,0.0,26.0,0.0,87.0,13.0,756.0,629.0,13.0,5.0,13.0,1.7983,4.0,4.0,15.0,8.0,64.0,9.0,80.0,16.0,405.0,,,27.0,15.0,46.0,27.0,34.0,320.0,29.0,,10.6914,17.0,14.0,3.0,171.0,8.0,,128.0,33.0,,5.0,210.0,13.0,34.0,3.0,12.0,397.0,4.0,11.0,7.0,3.0,20.0,11.0,4.0,5.0,86.0,39.0,6.0,8.0,124.0,6.0,1.2163,16.0,26.0,8.0,1.0,1.0,2.0,0.7091,1.0,2.0,,4.0,4.0,4.0,,1.0,13.0,,12.0,,,3.0,,,,9.0,2.0,,,,,10.0,0.07,21.0,4.0,1.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
242880,Benoît Badiashile,Defender,Chelsea,8,France,2023-24,53.0,48.0,0.0,3.0,118.0,0.0,26.0,0.0,103.0,18.0,1337.0,1340.0,18.0,3.0,4.0,0.9233,2.0,1.0,21.0,4.0,66.0,15.0,106.0,2.0,1165.0,,,50.0,22.0,55.0,13.0,27.0,1023.0,11.0,1.0,25.8091,65.0,31.0,1.0,473.0,7.0,,402.0,82.0,,6.0,314.0,30.0,2.0,1.0,28.0,1135.0,3.0,1.0,,14.0,232.0,17.0,18.0,36.0,58.0,6.0,2.0,24.0,745.0,9.0,0.2783,40.0,54.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,5.0,5.0,6.0,,,,1.0,3.0,3.0,,,1.0,,,3.0,15.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
441302,Ian Maatsen,Defender,Chelsea,8,Netherlands,2023-24,24.0,25.0,0.0,11.0,60.0,0.0,20.0,0.0,32.0,12.0,201.0,190.0,12.0,1.0,11.0,0.1986,3.0,1.0,3.0,2.0,28.0,1.0,33.0,6.0,119.0,,,8.0,5.0,7.0,5.0,4.0,84.0,8.0,,5.8427,9.0,5.0,2.0,31.0,4.0,,38.0,11.0,,1.0,62.0,5.0,6.0,2.0,3.0,119.0,1.0,1.0,,,21.0,5.0,3.0,2.0,29.0,9.0,1.0,2.0,26.0,4.0,0.8142,5.0,13.0,4.0,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,2.0,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
536238,Ishé Samuels-Smith,Defender,Chelsea,8,England,2023-24,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577016,Josh Acheampong,Defender,Chelsea,8,England,2023-24,,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,5.0,6.0,1.0,0.0,,0.0003,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,0.4538,,,,,,,1.0,1.0,,,,,,,,1.0,,,,3.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248854,Josh Brooking,Defender,Chelsea,8,England,2023-24,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460028,Levi Colwill,Defender,Chelsea,8,England,2023-24,111.0,61.0,0.0,3.0,229.0,0.0,41.0,0.0,175.0,23.0,1798.0,1438.0,23.0,2.0,8.0,0.5295,3.0,3.0,48.0,8.0,106.0,20.0,175.0,12.0,1053.0,1.0,0.0,64.0,20.0,114.0,35.0,70.0,835.0,26.0,1.0,27.7018,64.0,26.0,3.0,396.0,18.0,1.0,420.0,96.0,,18.0,369.0,25.0,12.0,3.0,44.0,1021.0,5.0,5.0,9.0,10.0,113.0,25.0,26.0,43.0,124.0,87.0,5.0,26.0,509.0,21.0,1.2979,69.0,66.0,4.0,,,1.0,1.0434,1.0,,,4.0,2.0,2.0,,1.0,6.0,8.0,14.0,,,,4.0,4.0,4.0,,7.0,,1.0,1.0,4.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
