playerId,playerName,position,team,nationality,season,punches,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,substituteOn,totalLossesOfPossession,aerialDuels,gkUnsuccessfulDistribution,cleanSheets,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,savesMadeCaught,penaltiesFaced,aerialDuelsLost,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,penaltyGoalsConceded,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,crossesNotClaimed,groundDuels,totalFoulsConceded,interceptions,substituteOff,foulAttemptedTackle,overruns,totalTackles,totalShots,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,totalTouchesInOppositionBox,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,expectedGoals,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,shotsBlockedInBox,leftFootGoals,unsuccessfulDribbles,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,successfulCrossesOpenPlay,expectedGoalsFreekick,goalAssists,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,throwInsToOppositionPlayer,homeGoals,penaltiesTaken,oboxTarget,iboxBlocked,cornersWon,successfulDribbles,penaltyGoals,shotsBlockedOutsideBox,lastPlayerTackle,headedGoals,rightFootGoals,clearancesOffTheLine,hitWoodwork,secondGoalAssists,ownGoalScored,handballsConceded,unsuccessfulLayoffs,redCards2ndYellow,setPiecesGoals
78315,Joel Robles,Goalkeeper,Leeds United,Spain,2014-15,5.0,5.8754,16.0,0.0074,6.0,6.0,0.0,11.0,12.0,15.0,0.0,1.0,2.0,133.0,56.0,7.0,1.0,7.0,1.0,7.0,27.0,6.0,6.0,86.0,171.0,59.0,1.0,0.0,53.0,84.0,1.0,89.0,1.0,32.0,3.0,7.0,26.0,39.0,585.0,233.0,1.0,45.0,58.0,46.0,8.0,1.0,85.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15337,Tim Howard,Goalkeeper,Everton,United States,2014-15,19.0,36.1658,97.0,0.0323,28.0,44.0,0.0,57.0,112.0,65.0,0.0,16.0,6.0,639.0,312.0,32.0,2.0,25.0,2.0,32.0,130.0,32.0,38.0,365.0,859.0,260.0,8.0,0.0,363.0,491.0,,378.0,10.0,120.0,7.0,24.0,108.0,184.0,2835.0,1259.0,12.0,227.0,364.0,310.0,39.0,3.0,363.0,63.0,4.0,4.0,4.0,2.0,6.0,1.0,2.0,4.0,4.0,1.0,2.0,7.0,2.0,6.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153670,Russell Griffiths,Goalkeeper,Everton PL2,England,2014-15,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9007,Tony Hibbert,Defender,Everton PL2,England,2014-15,,4.8667,2.0,0.0532,16.0,5.0,0.0,,32.0,,0.0,22.0,,62.0,19.0,4.0,,,13.0,4.0,68.0,4.0,3.0,25.0,152.0,,2.0,0.0,,147.0,,30.0,3.0,,,,47.0,8.0,331.0,232.0,13.0,8.0,59.0,119.0,,0.0,12.0,5.0,9.0,,,1.0,2.0,,8.0,11.0,1.0,,8.0,2.0,,19.0,2.0,5.0,2.0,2.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,7.0,4.0,11.0,23.0,0.0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12745,Leighton Baines,Defender,Everton,England,2014-15,,32.998,6.0,5.328,88.0,41.0,0.0,,713.0,,0.0,255.0,,538.0,135.0,31.0,,,150.0,31.0,775.0,31.0,38.0,243.0,1520.0,,19.0,0.0,,1469.0,,502.0,52.0,,9.0,,45.0,69.0,2774.0,2441.0,144.0,40.0,551.0,1208.0,,4.0,93.0,48.0,111.0,,,33.0,3.0,,65.0,125.0,4.0,61.0,78.0,49.0,,203.0,22.0,45.0,1.0,13.0,4.0,53.0,14.0,14.0,,53.0,32.0,23.0,6.0,137.0,41.0,5.0,47.0,7.0,224.0,254.0,3.2241,8.0,9.0,3.7179,4.0,2.0,7.0,1.0,6.0,2.0,2.0,27.0,2.0,2.0,25.0,8.0,8.0,69.0,15.0,0.5064,9.0,105.0,5.0,49.0,49.0,1.0,3.0,5.0,2.0,28.0,28.0,2.0,6.0,,,,,,,,,,,
97299,John Stones,Defender,Manchester City,England,2014-15,,23.2755,11.0,0.5144,138.0,25.0,0.0,,161.0,,0.0,178.0,,361.0,102.0,23.0,,,50.0,23.0,295.0,23.0,22.0,109.0,1037.0,,60.0,0.0,,1008.0,,133.0,94.0,,7.0,,420.0,73.0,2043.0,1394.0,124.0,40.0,634.0,855.0,,1.0,59.0,33.0,54.0,,,34.0,3.0,,22.0,64.0,3.0,4.0,20.0,10.0,,84.0,6.0,35.0,1.0,2.0,,33.0,5.0,1.0,,5.0,16.0,14.0,6.0,5.0,9.0,4.0,27.0,25.0,95.0,22.0,0.3176,2.0,1.0,0.2565,1.0,1.0,,0.0,,,,,2.0,,5.0,,,,1.0,,,,,1.0,2.0,1.0,,,2.0,1.0,22.0,,,2.0,1.0,,,,,,,,,
7645,Phil Jagielka,Defender,Stoke City,England,2014-15,,39.8069,28.0,0.586,371.0,47.0,0.0,,520.0,,2.0,297.0,,694.0,223.0,37.0,,,77.0,37.0,452.0,37.0,41.0,245.0,1965.0,,107.0,0.0,,1890.0,,286.0,166.0,,10.0,,650.0,214.0,3285.0,2621.0,194.0,107.0,1269.0,1506.0,,1.0,168.0,61.0,103.0,,,59.0,6.0,1.0,18.0,87.0,4.0,2.0,44.0,33.0,,131.0,19.0,57.0,1.0,12.0,1.0,51.0,13.0,,,7.0,31.0,8.0,8.0,7.0,13.0,7.0,43.0,39.0,101.0,9.0,2.1831,2.0,6.0,2.874,2.0,4.0,,2.0,,2.0,2.0,,2.0,,1.0,,,,1.0,,,,,1.0,1.0,2.0,,,2.0,3.0,7.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,
6219,Sylvain Distin,Defender,Bournemouth,France,2014-15,,17.8542,4.0,0.1082,118.0,26.0,0.0,,186.0,,0.0,107.0,,298.0,52.0,13.0,,,39.0,13.0,193.0,12.0,23.0,90.0,691.0,,41.0,0.0,,677.0,1.0,97.0,63.0,,,,164.0,33.0,1080.0,909.0,73.0,24.0,408.0,568.0,,0.0,51.0,29.0,34.0,,,22.0,3.0,,12.0,32.0,2.0,3.0,12.0,7.0,,44.0,3.0,21.0,1.0,2.0,,21.0,1.0,,,,2.0,4.0,7.0,,3.0,,14.0,12.0,43.0,8.0,0.0464,,1.0,0.0251,,,3.0,,,1.0,1.0,,,,2.0,,,,,,,,,,2.0,,,,,,7.0,,,,,,,,,,,,,
77762,Bryan Oviedo,Defender,FC København,Costa Rica,2014-15,,3.926,1.0,0.2092,12.0,1.0,0.0,,42.0,,0.0,37.0,,70.0,26.0,6.0,,,21.0,6.0,53.0,2.0,,32.0,137.0,,3.0,0.0,,134.0,4.0,62.0,4.0,,1.0,,3.0,12.0,318.0,246.0,19.0,7.0,55.0,93.0,,3.0,11.0,13.0,18.0,,,1.0,1.0,,12.0,16.0,,3.0,17.0,6.0,,33.0,6.0,4.0,,5.0,,9.0,3.0,3.0,,12.0,4.0,6.0,3.0,19.0,6.0,2.0,6.0,2.0,22.0,27.0,0.0988,,1.0,0.1832,1.0,,1.0,,,,,1.0,,,2.0,,,5.0,2.0,,,6.0,1.0,3.0,2.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,
59949,Séamus Coleman,Defender,Everton,Ireland,2014-15,,36.6555,9.0,1.8386,91.0,43.0,0.0,,29.0,,0.0,292.0,,366.0,162.0,35.0,,,127.0,35.0,596.0,34.0,38.0,195.0,1255.0,,21.0,0.0,,1234.0,1.0,498.0,52.0,,10.0,,534.0,51.0,3065.0,2199.0,150.0,33.0,479.0,1009.0,,5.0,68.0,48.0,142.0,,,31.0,5.0,1.0,49.0,129.0,3.0,32.0,111.0,30.0,,240.0,22.0,39.0,,6.0,14.0,53.0,14.0,10.0,1.0,84.0,67.0,18.0,11.0,84.0,82.0,5.0,42.0,11.0,326.0,260.0,1.6859,5.0,9.0,3.1281,,3.0,4.0,1.0,2.0,3.0,3.0,,3.0,1.0,42.0,,,,15.0,,2.0,,3.0,15.0,75.0,2.0,,3.0,3.0,29.0,49.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,3.0,2.0,,
