playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,substituteOn,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,timesTackled,iboxBlocked,successfulDribbles,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,expectedGoals,successfulCrossesOpenPlay,expectedGoalsFreekick,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,homeGoals,oboxTarget,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,freekickTotal,shotsOffTargetIncWoodwork,attemptsFromSetPieces,clearancesOffTheLine,hitWoodwork,shotsBlockedOutsideBox,offsides,rightFootGoals,unsuccessfulCornersIntoBox,handballsConceded,overruns,goalAssists,successfulLayoffs,cornersTakenInclShortCorners,otherGoals,unsuccessfulLayoffs,successfulCornersIntoBox,redCards2ndYellow,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals
485047,Morato,Defender,Nottingham Forest,17,Brazil,2024-25,0.0,0.0,5.0,36.0,0.0439,,22.0,,41.0,26.0,6.0,68.0,304.0,3.0,,20.0,3.0,,893.0,14.0,32.0,1.0,,26.0,223.0,,,18.0874,,3.0,75.0,14.0,22.0,59.0,,2.0,0.0,68.0,,165.0,36.0,26.0,,90.0,13.0,48.0,6.0,3.0,290.0,,81.0,14.0,,,64.0,11.0,13.0,467.0,20.0,146.0,5.0,,27.0,34.0,1.0,1.0,0.4446,1.0,1.0,20.0,1.0,1.0,20.0,2.0,1.0,1.0,9.0,8.0,3.0,1.0,2.0,5.0,10.0,16.0,2.0,2.0,0.1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575476,Murillo,Defender,Nottingham Forest,17,Brazil,2024-25,0.0,0.0,6.0,88.0,1.1416,,53.0,,124.0,36.0,36.0,291.0,1420.0,50.0,,67.0,11.0,,3191.0,23.0,130.0,6.0,1.0,86.0,1009.0,,3.0,47.7425,13.0,15.0,242.0,44.0,65.0,449.0,,6.0,0.0,218.0,,700.0,142.0,36.0,,466.0,38.0,151.0,44.0,48.0,1263.0,5.0,351.0,36.0,2.0,,215.0,27.0,120.0,1995.0,70.0,669.0,11.0,,167.0,80.0,5.0,6.0,1.6802,20.0,8.0,,3.0,3.0,30.0,26.0,,3.0,24.0,17.0,20.0,3.0,27.0,45.0,36.0,56.0,3.0,3.0,1.421,2.0,0.0988,6.0,2.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,4.0,10.0,1.0,8.0,3.0,14.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,
215136,Neco Williams,Defender,Nottingham Forest,17,Wales,2024-25,0.0,0.0,7.0,125.0,1.5286,,90.0,,97.0,35.0,28.0,158.0,850.0,,,70.0,7.0,,2590.0,30.0,191.0,4.0,,151.0,663.0,,2.0,37.8496,15.0,11.0,120.0,31.0,95.0,218.0,,43.0,0.0,316.0,,348.0,110.0,35.0,,413.0,27.0,246.0,40.0,,835.0,15.0,353.0,57.0,,,94.0,24.0,29.0,1667.0,35.0,292.0,16.0,,61.0,50.0,16.0,7.0,1.6858,21.0,1.0,7.0,4.0,4.0,63.0,47.0,65.0,6.0,32.0,33.0,40.0,6.0,18.0,10.0,31.0,190.0,138.0,5.0,2.3008,12.0,0.0316,41.0,1.0,0.0,10.0,2.0,13.0,1.0,2.0,,,19.0,,46.0,1.0,14.0,1.0,,1.0,10.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,,,,,,,,
114241,Harry Toffolo,Defender,Nottingham Forest,17,England,2024-25,0.0,0.0,1.0,2.0,0.0172,,5.0,,3.0,4.0,1.0,8.0,36.0,,,1.0,,,135.0,,6.0,,,5.0,27.0,,,1.7023,,,10.0,2.0,2.0,14.0,,,0.0,8.0,,16.0,2.0,4.0,,20.0,2.0,7.0,1.0,,36.0,,20.0,3.0,,,1.0,1.0,1.0,90.0,2.0,8.0,1.0,,5.0,1.0,1.0,,,,,3.0,,,3.0,2.0,8.0,,,2.0,,,,2.0,2.0,5.0,19.0,,0.0172,,,3.0,,,1.0,,,,,,,,,4.0,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,
106468,Álex Moreno,Defender,Aston Villa,7,Spain,2024-25,0.0,0.0,2.0,61.0,,,25.0,,55.0,15.0,11.0,71.0,320.0,,,14.0,1.0,,959.0,11.0,42.0,2.0,,39.0,243.0,,1.0,,7.0,1.0,38.0,16.0,50.0,88.0,,6.0,0.0,103.0,,147.0,50.0,15.0,,146.0,14.0,89.0,3.0,,320.0,4.0,151.0,18.0,,,34.0,12.0,6.0,587.0,10.0,108.0,9.0,,16.0,22.0,5.0,,,1.0,3.0,4.0,,,16.0,8.0,31.0,,6.0,7.0,14.0,,8.0,5.0,15.0,51.0,54.0,8.0,,4.0,,14.0,,,,,5.0,,,,,8.0,,14.0,,1.0,,,,,,,,,3.0,1.0,1.0,,,,,,,,,
90585,Willy Boly,Defender,Nottingham Forest,17,Cote d’Ivoire,2024-25,0.0,0.0,1.0,3.0,0.0045,,6.0,,6.0,6.0,1.0,15.0,70.0,,,8.0,,,146.0,2.0,12.0,,,6.0,50.0,,,2.1325,,3.0,12.0,1.0,1.0,12.0,,,0.0,15.0,,38.0,5.0,6.0,,15.0,1.0,7.0,6.0,,69.0,1.0,16.0,1.0,,,16.0,1.0,5.0,98.0,6.0,40.0,1.0,,9.0,4.0,,1.0,0.2515,1.0,,5.0,1.0,1.0,2.0,1.0,,,2.0,5.0,,,,2.0,3.0,4.0,,,0.0721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227444,Nikola Milenkovic,Defender,Nottingham Forest,17,Serbia,2024-25,0.0,0.0,4.0,67.0,0.5392,,51.0,,91.0,37.0,37.0,176.0,1026.0,,,141.0,13.0,,3330.0,40.0,158.0,6.0,,57.0,756.0,,3.0,49.3597,7.0,46.0,208.0,45.0,27.0,220.0,,5.0,1.0,225.0,,365.0,85.0,37.0,,253.0,39.0,84.0,101.0,,994.0,3.0,189.0,29.0,,,368.0,20.0,94.0,1434.0,63.0,597.0,5.0,,85.0,49.0,5.0,8.0,4.6769,24.0,,,3.0,3.0,20.0,65.0,,4.0,17.0,22.0,2.0,4.0,1.0,24.0,27.0,73.0,,,4.0219,,,,5.0,4.0,1.0,,,1.0,,,2.0,,2.0,,,16.0,,2.0,,1.0,2.0,2.0,,1.0,,2.0,1.0,,1.0,,,,,,,
159506,Ola Aina,Defender,Nottingham Forest U21,19584,Nigeria,2024-25,0.0,0.0,5.0,118.0,2.215,,55.0,,144.0,35.0,35.0,205.0,1027.0,,,32.0,11.0,,3003.0,19.0,136.0,6.0,1.0,123.0,794.0,,3.0,42.3814,15.0,8.0,106.0,39.0,99.0,98.0,,35.0,1.0,254.0,,449.0,190.0,35.0,,458.0,33.0,222.0,13.0,,1012.0,15.0,457.0,42.0,,,319.0,23.0,28.0,1812.0,34.0,377.0,15.0,,61.0,78.0,3.0,2.0,0.7365,8.0,,,,,68.0,22.0,105.0,1.0,22.0,13.0,49.0,1.0,33.0,12.0,33.0,161.0,159.0,7.0,0.6385,13.0,,46.0,2.0,1.0,2.0,,13.0,1.0,,1.0,,27.0,,46.0,,6.0,,3.0,,2.0,2.0,1.0,,1.0,5.0,1.0,2.0,,,1.0,,,,,,
549067,Zach Abbott,Defender,Nottingham Forest U21,19584,England,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
