playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,setPiecesGoals,goals,offsides,awayGoals,substituteOn,iboxTarget,shotsOnTargetInBox,penaltyGoalsConceded,shotsBlockedInBox,rightFootGoals,leftFootGoals,unsuccessfulDribbles,freekickTotal,attemptsFromSetPieces,hitWoodwork,handballsConceded,expectedGoalsFreekick,overruns,foulWonPenalty,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,homeGoals,penaltiesTaken,oboxTarget,headedGoals,iboxBlocked,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCrossesOpenPlay,penaltiesConceded,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,lastPlayerTackle,secondGoalAssists,clearancesOffTheLine,penaltiesSaved,penaltiesFaced,savesFromPenalty,crossesNotClaimed,ownGoalScored
1809,Jamie Carragher,Defender,Liverpool,14,England,2012-13,0.0,0.0,4.0,36.0,0.7118,1.0,20.0,2.0,50.0,24.0,1.0,,16.0,66.0,2.0,824.0,,34.0,7.0,1528.0,15.0,47.0,2.0,28.0,684.0,8.0,,18.8171,5.0,4.0,94.0,17.0,21.0,159.0,8.0,0.0,83.0,333.0,63.0,24.0,6.0,192.0,15.0,2.0,1.0,49.0,19.0,806.0,2.0,1.0,75.0,14.0,,9.0,282.0,12.0,10.0,74.0,50.0,993.0,4.0,1.0,,16.0,567.0,0.1628,16.0,23.0,,,,,,,,8.0,1.0,1.0,3.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
40555,Joe Allen,Midfielder,Liverpool,14,Wales,2012-13,0.0,0.0,2.0,110.0,0.8563,4.0,54.0,5.0,132.0,27.0,,54.0,21.0,144.0,3.0,1396.0,5.0,26.0,5.0,1919.0,16.0,106.0,5.0,96.0,1148.0,12.0,1.0,28.1231,21.0,,18.0,27.0,94.0,470.0,31.0,0.0,216.0,431.0,184.0,27.0,19.0,570.0,22.0,4.0,36.0,190.0,10.0,1379.0,5.0,2.0,207.0,35.0,11.0,5.0,329.0,28.0,49.0,104.0,166.0,1670.0,1.0,5.0,5.0,3.0,682.0,0.8102,12.0,46.0,,,,,,1.0,,6.0,,,3.0,2.0,,,4.0,,,,1.0,,1.0,,1.0,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,
50232,Jonjo Shelvey,Midfielder,Liverpool,14,England,2012-13,1.0,1.0,3.0,52.0,0.8369,8.0,22.0,27.0,71.0,19.0,,36.0,9.0,87.0,15.0,476.0,5.0,19.0,1.0,917.0,10.0,39.0,1.0,30.0,350.0,36.0,,8.9564,14.0,,11.0,12.0,42.0,141.0,4.0,2.0,91.0,146.0,54.0,19.0,3.0,237.0,11.0,25.0,21.0,72.0,9.0,471.0,12.0,13.0,149.0,19.0,4.0,,91.0,14.0,6.0,39.0,98.0,644.0,5.0,4.0,5.0,2.0,157.0,3.3382,16.0,13.0,15.0,2.3789,3.0,,1.0,6.0,1.0,10.0,18.0,18.0,1.0,7.0,,1.0,7.0,,,1.0,,,1.0,,11.0,5.0,1.0,0.0,,11.0,,7.0,,,,,,,,,,,,,2.0,,14.0,3.0,9.0,,,,,,,,
56979,Jordan Henderson,Midfielder,Liverpool,14,England,2012-13,0.0,0.0,3.0,79.0,2.9668,9.0,37.0,24.0,135.0,30.0,4.0,64.0,16.0,153.0,11.0,990.0,12.0,27.0,2.0,1527.0,19.0,62.0,3.0,54.0,796.0,45.0,1.0,14.113,29.0,1.0,13.0,12.0,60.0,260.0,12.0,2.0,141.0,294.0,107.0,30.0,7.0,493.0,9.0,12.0,28.0,114.0,8.0,987.0,13.0,7.0,214.0,30.0,5.0,7.0,246.0,21.0,32.0,41.0,190.0,1238.0,11.0,9.0,12.0,4.0,349.0,3.5705,18.0,30.0,11.0,3.3764,3.0,1.0,5.0,2.0,4.0,14.0,4.0,4.0,2.0,5.0,3.0,2.0,8.0,4.0,2.0,,2.0,0.1202,4.0,,7.0,5.0,2.0,1.0,,7.0,,5.0,,,,,,,,,,,,,5.0,,1.0,,1.0,,1.0,,,,,,
103912,Jordon Ibe,Midfielder,Liverpool,14,England,2012-13,0.0,0.0,0.0,3.0,0.0604,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,33.0,,,,64.0,,2.0,,2.0,29.0,4.0,,,1.0,,,,3.0,11.0,,0.0,5.0,6.0,8.0,1.0,,20.0,,3.0,2.0,5.0,,33.0,1.0,2.0,12.0,1.0,1.0,,1.0,1.0,1.0,1.0,15.0,47.0,,1.0,,,10.0,0.0263,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26725,José Enrique,Defender,Liverpool,14,Spain,2012-13,0.0,0.0,1.0,126.0,3.2962,4.0,72.0,18.0,220.0,29.0,4.0,13.0,25.0,304.0,61.0,1304.0,5.0,34.0,11.0,2257.0,21.0,132.0,4.0,119.0,912.0,50.0,12.0,24.5542,23.0,3.0,49.0,23.0,105.0,515.0,17.0,0.0,258.0,541.0,197.0,29.0,11.0,523.0,19.0,61.0,82.0,224.0,13.0,1285.0,10.0,16.0,495.0,61.0,30.0,3.0,61.0,14.0,35.0,88.0,187.0,1985.0,210.0,3.0,5.0,26.0,484.0,2.9199,84.0,73.0,8.0,1.782,10.0,,2.0,6.0,0.0,4.0,8.0,8.0,1.0,3.0,2.0,,26.0,,,,,,6.0,,6.0,7.0,,2.0,,6.0,,3.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,
134382,Lloyd Jones,Defender,Liverpool,14,England,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43191,Lucas Leiva,Midfielder,Liverpool,14,Brazil,2012-13,0.0,0.0,6.0,151.0,0.9263,2.0,123.0,1.0,177.0,26.0,1.0,19.0,24.0,189.0,2.0,1528.0,4.0,90.0,7.0,1952.0,43.0,189.0,4.0,142.0,1281.0,2.0,,23.6063,16.0,1.0,32.0,24.0,108.0,374.0,14.0,0.0,340.0,656.0,159.0,26.0,33.0,642.0,20.0,2.0,15.0,250.0,47.0,1503.0,,,221.0,90.0,5.0,9.0,357.0,52.0,64.0,58.0,141.0,1843.0,3.0,10.0,4.0,3.0,697.0,0.0769,12.0,70.0,1.0,0.0545,4.0,,,,,2.0,,,3.0,,,,,,,,1.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
39336,Luis Suárez,Forward,Liverpool,14,Uruguay,2012-13,0.0,0.0,10.0,341.0,8.1591,44.0,42.0,143.0,267.0,33.0,5.0,143.0,33.0,282.0,28.0,1203.0,35.0,42.0,11.0,2955.0,30.0,210.0,7.0,198.0,849.0,368.0,2.0,39.4102,86.0,1.0,3.0,40.0,311.0,399.0,61.0,4.0,551.0,306.0,111.0,33.0,8.0,745.0,33.0,42.0,253.0,509.0,12.0,1191.0,71.0,68.0,703.0,34.0,95.0,3.0,222.0,48.0,18.0,72.0,276.0,2119.0,17.0,2.0,35.0,2.0,192.0,20.3575,15.0,43.0,72.0,21.6807,25.0,2.0,23.0,39.0,12.0,,70.0,70.0,3.0,40.0,15.0,5.0,159.0,42.0,21.0,6.0,5.0,1.4755,36.0,5.0,29.0,16.0,15.0,11.0,,29.0,3.0,40.0,,,,,,,,,,,,,9.0,1.0,26.0,6.0,13.0,,,,,,,,
58786,Martin Kelly,Defender,Liverpool,14,England,2012-13,0.0,0.0,0.0,18.0,0.0464,1.0,13.0,1.0,21.0,4.0,,,4.0,25.0,9.0,175.0,1.0,11.0,,335.0,3.0,26.0,1.0,18.0,149.0,2.0,1.0,6.5255,,,15.0,7.0,15.0,7.0,2.0,0.0,44.0,70.0,17.0,4.0,5.0,87.0,6.0,9.0,6.0,33.0,8.0,174.0,1.0,2.0,48.0,8.0,3.0,1.0,74.0,7.0,4.0,1.0,24.0,276.0,31.0,1.0,1.0,1.0,63.0,0.0994,4.0,6.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26793,Martin Skrtel,Defender,Liverpool,14,Slovakia,2012-13,0.0,0.0,4.0,62.0,0.6093,2.0,34.0,13.0,78.0,25.0,,,23.0,110.0,2.0,1155.0,,103.0,8.0,2079.0,31.0,115.0,6.0,43.0,963.0,33.0,,30.0724,7.0,2.0,168.0,31.0,31.0,157.0,7.0,2.0,177.0,495.0,112.0,25.0,5.0,218.0,25.0,2.0,7.0,74.0,72.0,1138.0,9.0,1.0,124.0,29.0,2.0,25.0,382.0,22.0,39.0,82.0,121.0,1482.0,8.0,1.0,,12.0,827.0,1.0179,32.0,29.0,4.0,0.3493,1.0,,2.0,2.0,0.0,2.0,4.0,4.0,3.0,3.0,1.0,,1.0,,,1.0,,,,,,,,2.0,,,1.0,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,
77305,Oussama Assaidi,Midfielder,Liverpool,14,Morocco,2012-13,0.0,0.0,0.0,4.0,0.0093,1.0,,1.0,3.0,4.0,,,,3.0,5.0,22.0,,1.0,,73.0,1.0,2.0,,2.0,19.0,3.0,,1.3757,,,,2.0,3.0,7.0,1.0,0.0,6.0,1.0,4.0,4.0,,11.0,2.0,5.0,2.0,5.0,,21.0,1.0,,12.0,,1.0,,3.0,1.0,,,11.0,36.0,,,,,8.0,0.0825,,,,,,,,1.0,,4.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8432,Pepe Reina,Goalkeeper,Liverpool,14,Spain,2012-13,0.0,0.0,1.0,2.0,0.0383,,1.0,,15.0,31.0,,,31.0,275.0,,959.0,,7.0,14.0,2790.0,1.0,16.0,5.0,10.0,432.0,,,33.6444,,53.0,26.0,34.0,1.0,131.0,7.0,0.0,18.0,628.0,283.0,31.0,,83.0,29.0,,,11.0,6.0,603.0,,,287.0,1.0,2.0,,200.0,,1.0,252.0,,1297.0,,,,149.0,601.0,,260.0,57.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,31.0,37.0,267.0,23.0,17.0,73.0,1.0,369.0,78.0,19.0,36.0,,,,,,,,,1.0,5.0,1.0,10.0,
84583,Philippe Coutinho,Midfielder,Liverpool,14,Brazil,2012-13,0.0,0.0,0.0,85.0,3.3311,17.0,20.0,19.0,107.0,13.0,5.0,32.0,12.0,111.0,5.0,434.0,22.0,20.0,3.0,932.0,18.0,50.0,2.0,48.0,312.0,38.0,,12.0492,16.0,,10.0,10.0,67.0,140.0,11.0,2.0,135.0,150.0,59.0,13.0,4.0,229.0,8.0,14.0,45.0,115.0,2.0,431.0,8.0,17.0,194.0,16.0,17.0,,55.0,8.0,12.0,11.0,89.0,651.0,2.0,8.0,22.0,,96.0,3.3932,4.0,28.0,11.0,2.3572,14.0,,3.0,7.0,1.0,1.0,5.0,5.0,,11.0,3.0,,20.0,,,1.0,,,3.0,,10.0,2.0,2.0,2.0,,10.0,,11.0,,,,,,,,,,,,,1.0,,12.0,1.0,9.0,,2.0,,,,,,
46506,Péter Gulácsi,Goalkeeper,Liverpool,14,Hungary,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103955,Raheem Sterling,Forward,Liverpool,14,England,2012-13,0.0,0.0,1.0,186.0,2.6319,11.0,40.0,23.0,106.0,24.0,2.0,34.0,19.0,111.0,44.0,718.0,6.0,24.0,5.0,1748.0,20.0,144.0,3.0,140.0,603.0,95.0,2.0,19.3763,35.0,,5.0,24.0,166.0,166.0,54.0,4.0,330.0,190.0,103.0,24.0,6.0,481.0,21.0,44.0,123.0,306.0,4.0,708.0,13.0,19.0,341.0,34.0,46.0,,162.0,28.0,15.0,4.0,200.0,1187.0,4.0,4.0,6.0,5.0,134.0,3.0105,5.0,17.0,10.0,1.2169,2.0,,2.0,6.0,0.0,5.0,10.0,10.0,1.0,12.0,2.0,,59.0,,,3.0,2.0,,10.0,,8.0,8.0,,2.0,,8.0,,12.0,,,,,,,,,,,,,7.0,,8.0,1.0,,,,,,,,,
78108,Sebastián Coates,Defender,Liverpool,14,Uruguay,2012-13,0.0,0.0,0.0,11.0,0.0177,,6.0,,4.0,5.0,,1.0,2.0,10.0,,101.0,,6.0,,233.0,3.0,11.0,,8.0,81.0,1.0,,3.6065,,1.0,13.0,3.0,8.0,18.0,,0.0,22.0,49.0,5.0,5.0,1.0,20.0,3.0,,2.0,16.0,3.0,99.0,,,14.0,5.0,2.0,1.0,22.0,4.0,4.0,10.0,12.0,136.0,1.0,,,3.0,71.0,,6.0,2.0,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Steven Gerrard,Midfielder,Liverpool,14,England,2012-13,0.0,0.0,5.0,131.0,6.1683,34.0,88.0,59.0,255.0,36.0,9.0,118.0,36.0,345.0,53.0,2387.0,48.0,64.0,14.0,3223.0,26.0,162.0,7.0,124.0,1739.0,74.0,,41.3496,84.0,3.0,60.0,42.0,105.0,588.0,17.0,6.0,293.0,823.0,216.0,36.0,22.0,1190.0,35.0,162.0,41.0,229.0,38.0,2324.0,27.0,42.0,594.0,66.0,19.0,7.0,614.0,36.0,51.0,303.0,362.0,3059.0,6.0,1.0,48.0,12.0,902.0,9.6833,90.0,60.0,32.0,11.2444,20.0,,9.0,3.0,3.0,,21.0,21.0,4.0,19.0,7.0,1.0,12.0,11.0,6.0,1.0,1.0,0.3927,4.0,,21.0,50.0,1.0,6.0,5.0,21.0,1.0,19.0,4.0,,,,,,,,,,,,9.0,,126.0,36.0,76.0,,1.0,1.0,,,,,1.0
12002,Stewart Downing,Midfielder,Liverpool,14,England,2012-13,0.0,0.0,0.0,77.0,4.0877,22.0,23.0,29.0,153.0,29.0,5.0,62.0,25.0,173.0,69.0,1055.0,18.0,27.0,8.0,2194.0,18.0,61.0,6.0,52.0,825.0,68.0,8.0,27.8886,62.0,2.0,23.0,27.0,59.0,229.0,12.0,2.0,138.0,291.0,109.0,29.0,4.0,620.0,21.0,101.0,46.0,111.0,9.0,1027.0,21.0,24.0,353.0,19.0,17.0,4.0,284.0,7.0,16.0,57.0,251.0,1543.0,63.0,8.0,18.0,12.0,301.0,3.2563,20.0,38.0,8.0,1.7937,1.0,,3.0,12.0,1.0,4.0,6.0,6.0,2.0,18.0,1.0,1.0,22.0,6.0,3.0,,,0.16,3.0,,5.0,39.0,,2.0,,5.0,1.0,18.0,,,,,,,,,,,,,17.0,,70.0,23.0,32.0,,,,,,,,
103953,Suso,Midfielder,Liverpool,14,Spain,2012-13,0.0,0.0,0.0,31.0,0.8478,9.0,11.0,10.0,39.0,14.0,,22.0,8.0,45.0,6.0,298.0,8.0,2.0,,602.0,1.0,30.0,1.0,29.0,243.0,16.0,,7.5422,8.0,,2.0,7.0,30.0,49.0,7.0,0.0,61.0,77.0,32.0,14.0,,181.0,6.0,15.0,13.0,59.0,1.0,296.0,5.0,8.0,88.0,11.0,11.0,,99.0,12.0,5.0,10.0,73.0,405.0,,8.0,8.0,,74.0,0.8067,6.0,7.0,5.0,0.4584,3.0,,,,,6.0,6.0,6.0,1.0,8.0,,,2.0,,,,1.0,,,,3.0,2.0,,,,3.0,,8.0,,,,,,,,,,,,,,,12.0,2.0,9.0,,1.0,,,,,,
