playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,throughBalls,unsuccessfulLayoffs,cornersTakenInclShortCorners,successfulCornersIntoBox,throwInsToOppositionPlayer,unsuccessfulCornersIntoBox,penaltiesConceded,lastPlayerTackle,headedGoals,clearancesOffTheLine,secondGoalAssists,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty
184386,James Bree,Defender,Southampton,20,England,2024-25,33.0,,0.0,,,54.0,17.0,13.0,72.0,533.0,1.0,,20.0,1.0,,1073.0,40.0,6.0,16.0,27.0,450.0,,,1.0,2.0,27.0,31.0,26.0,67.0,,5.0,0.0,73.0,,159.0,65.0,17.0,,,204.0,25.0,53.0,13.0,0.0,1.0,523.0,4.0,115.0,,,185.0,4.0,9.0,11.0,715.0,7.0,264.0,,,0.0,18.0,14.0,6.0,0.7023,3.0,1.0,,0.0571,19.0,1.0,1.0,,20.0,,,,3.0,4.0,,7.0,1.0,1.0,7.0,11.0,29.6392,9.0,,7.0,,,,,5.0,,2.0,22.0,7.0,,,14.0,4.0,3.0,122.0,32.0,6.0,,3.0,2.0,0.1108,,,3.0,1.0,4.0,1.0,,1.0,,,,,,,
171771,Jan Bednarek,Defender,Southampton,20,Poland,2024-25,85.0,,0.0,,,77.0,30.0,30.0,120.0,1683.0,45.0,,109.0,3.0,,2535.0,123.0,8.0,15.0,51.0,1502.0,,,4.0,9.0,189.0,57.0,48.0,612.0,,13.0,0.0,208.0,,429.0,106.0,30.0,,,409.0,49.0,99.0,72.0,0.0,44.0,1605.0,1.0,135.0,1.0,,557.0,31.0,56.0,61.0,2090.0,26.0,1154.0,,1.0,7.0,43.0,57.0,,0.854,1.0,3.0,,1.4943,36.0,4.0,,,1.0,2.0,,1.0,,,,,1.0,1.0,37.0,15.0,57.4583,5.0,1.0,11.0,1.0,,,,17.0,1.0,,1.0,3.0,1.0,1.0,19.0,3.0,36.0,85.0,1.0,4.0,,,10.0,0.6519,,,,,,,1.0,2.0,1.0,2.0,,,,,
495024,Jay Robinson,Forward,Southampton,20,England,2024-25,15.0,,0.0,,,7.0,4.0,1.0,10.0,33.0,,,1.0,,,135.0,11.0,,2.0,11.0,22.0,,,,,1.0,2.0,14.0,2.0,,1.0,0.0,26.0,,10.0,12.0,4.0,,,17.0,2.0,25.0,,0.0,,33.0,2.0,23.0,,,10.0,3.0,,1.0,67.0,1.0,6.0,,,0.0,3.0,2.0,,0.5329,,1.0,1.0,0.1909,4.0,1.0,,1.0,1.0,,,,,3.0,,,1.0,1.0,1.0,7.0,2.5305,3.0,,,,,,,3.0,,5.0,1.0,11.0,,,1.0,6.0,,11.0,,1.0,,,,0.0476,,,,,,,,,,,,,,,
494551,Jayden Moore,Defender,Southampton,20,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620408,Joachim Kayi-Sanda,Defender,Southampton,20,France,2024-25,1.0,,0.0,,,,2.0,,,15.0,,,1.0,,,12.0,,1.0,,,15.0,,,,,1.0,1.0,,4.0,,,0.0,1.0,,2.0,,2.0,,,6.0,,,,0.0,,15.0,,1.0,,,9.0,,2.0,,19.0,,9.0,,,0.0,,,,0.001,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,0.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193204,Joe Aribo,Midfielder,Southampton,20,Nigeria,2024-25,103.0,,0.0,,,93.0,32.0,21.0,108.0,1031.0,,,50.0,,,2018.0,121.0,7.0,32.0,95.0,907.0,,,5.0,1.0,28.0,56.0,79.0,300.0,,28.0,0.0,224.0,,212.0,112.0,32.0,,,463.0,49.0,174.0,26.0,0.0,,1022.0,6.0,186.0,,,292.0,20.0,20.0,16.0,1357.0,9.0,462.0,,,1.0,15.0,33.0,2.0,1.2533,6.0,7.0,1.0,2.6285,47.0,11.0,,44.0,8.0,3.0,1.0,1.0,2.0,11.0,,2.0,4.0,4.0,24.0,46.0,56.2535,16.0,4.0,17.0,2.0,,,,14.0,3.0,22.0,8.0,41.0,4.0,4.0,33.0,21.0,11.0,227.0,4.0,13.0,2.0,2.0,12.0,2.6976,2.0,,,,,,1.0,1.0,,,,,,,
167888,Joe Lumley,Goalkeeper,Southampton,20,England,2024-25,1.0,,0.0,1.0,2.0,4.0,3.0,3.0,44.0,136.0,15.0,3.0,3.0,,,270.0,3.0,2.0,,1.0,74.0,,2.0,,8.0,5.0,7.0,,12.0,13.0,,0.0,4.0,3.0,79.0,24.0,3.0,1.0,,12.0,5.0,1.0,2.0,0.0,26.0,110.0,,45.0,3.0,,45.0,,,18.0,175.0,27.0,80.0,11.0,,0.0,40.0,14.0,,0.002,,,,,,,,,,,,,,,,,,,1.0,,7.7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504783,Kamaldeen Sulemana,Forward,Southampton,20,Ghana,2024-25,134.0,,0.0,,,47.0,26.0,17.0,53.0,328.0,,,40.0,,,1406.0,85.0,3.0,21.0,72.0,268.0,,,3.0,,7.0,36.0,107.0,99.0,,11.0,0.0,219.0,,56.0,63.0,26.0,,,191.0,33.0,179.0,13.0,0.0,,328.0,9.0,209.0,,,56.0,22.0,6.0,7.0,661.0,2.0,92.0,,1.0,2.0,6.0,5.0,8.0,0.8499,13.0,8.0,6.0,1.0076,22.0,16.0,1.0,11.0,18.0,1.0,3.0,0.0,5.0,9.0,1.0,8.0,6.0,6.0,27.0,63.0,35.6336,9.0,8.0,12.0,1.0,,1.0,,5.0,1.0,56.0,18.0,81.0,8.0,8.0,17.0,39.0,4.0,117.0,2.0,12.0,2.0,5.0,12.0,1.4869,,,,,,,,,,,,,,,
158534,Kyle Walker-Peters,Defender,Southampton,20,England,2024-25,146.0,,0.0,,,115.0,33.0,33.0,142.0,1495.0,7.0,,32.0,2.0,,2922.0,145.0,10.0,45.0,134.0,1328.0,,,7.0,2.0,75.0,77.0,125.0,407.0,,52.0,0.0,291.0,,435.0,135.0,33.0,,,702.0,67.0,259.0,11.0,0.0,7.0,1449.0,15.0,312.0,,,322.0,28.0,19.0,25.0,2149.0,11.0,659.0,,,5.0,27.0,41.0,8.0,2.3046,8.0,6.0,2.0,0.6635,44.0,12.0,2.0,8.0,43.0,,2.0,,3.0,,2.0,8.0,4.0,4.0,21.0,65.0,75.3047,22.0,5.0,12.0,,,2.0,,15.0,,39.0,43.0,78.0,5.0,6.0,29.0,38.0,15.0,331.0,132.0,4.0,,3.0,13.0,0.8431,5.0,1.0,3.0,,12.0,,,1.0,,1.0,1.0,,,,
503714,Lesley Ugochukwu,Midfielder,Southampton,20,France,2024-25,87.0,,0.0,,,86.0,26.0,18.0,101.0,700.0,,,39.0,,,1664.0,105.0,5.0,28.0,84.0,584.0,,,4.0,3.0,23.0,39.0,69.0,218.0,,16.0,0.0,192.0,,193.0,67.0,26.0,,,311.0,34.0,153.0,21.0,0.0,,691.0,3.0,139.0,,,182.0,31.0,14.0,15.0,931.0,7.0,289.0,,1.0,7.0,15.0,35.0,1.0,,4.0,1.0,,,50.0,6.0,1.0,19.0,5.0,1.0,,1.0,,8.0,,1.0,,,18.0,24.0,,13.0,,17.0,0.0,,,,26.0,1.0,8.0,5.0,21.0,,5.0,24.0,19.0,10.0,107.0,,14.0,,,18.0,,2.0,1.0,,,,,1.0,,,,,,,,
551226,Mateus Fernandes,Midfielder,Southampton,20,Portugal,2024-25,178.0,,0.0,,,160.0,36.0,34.0,191.0,1236.0,,,24.0,1.0,,2919.0,208.0,10.0,71.0,193.0,987.0,,,5.0,5.0,30.0,66.0,169.0,361.0,,55.0,0.0,386.0,,294.0,179.0,36.0,,,605.0,56.0,362.0,15.0,0.0,,1144.0,13.0,419.0,,,256.0,46.0,28.0,58.0,1919.0,14.0,472.0,,1.0,8.0,31.0,72.0,7.0,3.6381,20.0,14.0,2.0,2.2154,89.0,22.0,4.0,56.0,33.0,2.0,4.0,1.0,10.0,2.0,4.0,32.0,8.0,8.0,9.0,50.0,67.5477,30.0,10.0,35.0,1.0,,4.0,,41.0,2.0,49.0,81.0,85.0,10.0,8.0,48.0,49.0,8.0,325.0,10.0,15.0,,10.0,24.0,4.0104,9.0,2.0,54.0,20.0,,33.0,,,,,,4.0,4.0,0.3004,
244845,Nathan Wood,Defender,Southampton,20,England,2024-25,22.0,,0.0,,,19.0,11.0,9.0,28.0,471.0,5.0,,24.0,1.0,,772.0,37.0,5.0,4.0,22.0,435.0,,,,1.0,38.0,20.0,13.0,182.0,,4.0,0.0,59.0,,117.0,20.0,11.0,,,108.0,15.0,35.0,15.0,0.0,5.0,462.0,,39.0,,,126.0,9.0,5.0,8.0,574.0,3.0,335.0,,,2.0,9.0,10.0,,0.0482,,,,,14.0,2.0,,,3.0,,,,,2.0,,,,,9.0,3.0,20.4941,1.0,,3.0,,,,,6.0,,1.0,3.0,2.0,,2.0,8.0,4.0,6.0,46.0,1.0,3.0,,,5.0,0.2309,,,,,,,,2.0,,1.0,,,,,
147611,Paul Onuachu,Forward,Southampton,20,Nigeria,2024-25,141.0,,0.0,,,94.0,25.0,11.0,101.0,261.0,,,154.0,,,1044.0,124.0,4.0,14.0,31.0,154.0,,,4.0,,16.0,26.0,80.0,94.0,,16.0,1.0,265.0,,49.0,19.0,25.0,,,100.0,22.0,111.0,93.0,0.0,,261.0,10.0,204.0,,,49.0,28.0,1.0,6.0,494.0,1.0,60.0,,,4.0,7.0,18.0,,0.2786,8.0,15.0,1.0,6.2296,7.0,26.0,1.0,29.0,,4.0,10.0,2.0,,14.0,,,11.0,11.0,61.0,66.0,25.5618,7.0,8.0,5.0,2.0,,,,5.0,2.0,14.0,,50.0,8.0,11.0,2.0,8.0,2.0,69.0,,7.0,1.0,,9.0,3.6151,,10.0,,,,,,,2.0,,,,,,
230348,Ross Stewart,Forward,Southampton,20,Scotland,2024-25,46.0,,0.0,,,27.0,12.0,4.0,28.0,95.0,,,37.0,,,385.0,29.0,2.0,6.0,16.0,67.0,,,1.0,,6.0,9.0,22.0,21.0,,7.0,0.0,75.0,,18.0,6.0,12.0,,,38.0,7.0,38.0,13.0,0.0,,94.0,2.0,46.0,,,32.0,7.0,1.0,,161.0,,29.0,,,1.0,1.0,5.0,,0.0501,4.0,2.0,,1.1153,6.0,5.0,,10.0,,1.0,1.0,0.0,,8.0,,,1.0,1.0,24.0,16.0,8.4276,,4.0,3.0,1.0,,,,2.0,,2.0,,11.0,4.0,3.0,4.0,3.0,,24.0,,4.0,,,4.0,1.0964,,,,,,,,,1.0,,,,,,
90105,Ryan Fraser,Midfielder,Southampton,20,Scotland,2024-25,9.0,,1.0,,,13.0,8.0,4.0,13.0,87.0,,,5.0,,,306.0,14.0,1.0,2.0,12.0,73.0,,,,,8.0,10.0,6.0,23.0,,4.0,0.0,23.0,,18.0,10.0,8.0,,,31.0,9.0,18.0,2.0,1.0,,87.0,1.0,33.0,,,10.0,1.0,1.0,1.0,139.0,,43.0,,,0.0,,8.0,,,,1.0,,,6.0,1.0,,,10.0,,1.0,,,4.0,,,,,3.0,3.0,,2.0,,,,,,,4.0,,1.0,12.0,3.0,,,2.0,2.0,1.0,36.0,3.0,4.0,,,,,,,2.0,,,2.0,1.0,,,,,,,,
204863,Ryan Manning,Defender,Southampton,20,Ireland,2024-25,56.0,,0.0,,,73.0,24.0,18.0,101.0,620.0,,,22.0,,,1468.0,86.0,4.0,30.0,71.0,498.0,,,3.0,2.0,40.0,35.0,49.0,250.0,,32.0,0.0,142.0,,179.0,65.0,24.0,,,288.0,31.0,120.0,15.0,0.0,,593.0,11.0,223.0,,,29.0,19.0,17.0,21.0,1027.0,13.0,257.0,,2.0,2.0,28.0,28.0,8.0,2.7988,5.0,1.0,1.0,0.0167,28.0,3.0,1.0,4.0,33.0,,,,3.0,6.0,1.0,26.0,,,7.0,24.0,34.4654,33.0,2.0,9.0,,,1.0,,11.0,,16.0,58.0,21.0,2.0,2.0,17.0,11.0,11.0,162.0,74.0,13.0,,3.0,12.0,0.3454,1.0,,32.0,14.0,18.0,15.0,,,,1.0,,1.0,1.0,0.0308,
499724,Sam Amo-Ameyaw,Forward,Southampton,20,England,2024-25,7.0,,0.0,,,,2.0,,,7.0,,,1.0,,,26.0,3.0,,,3.0,7.0,,,,,,,6.0,,,2.0,0.0,10.0,,,1.0,2.0,,,5.0,,9.0,,0.0,,6.0,,6.0,,,2.0,1.0,,,19.0,,3.0,,,1.0,,,1.0,0.1269,1.0,,,,1.0,,,1.0,1.0,,,,1.0,2.0,,1.0,,,1.0,2.0,1.1095,1.0,,,,,,,1.0,,3.0,1.0,5.0,,,,,,5.0,,,,1.0,1.0,0.0204,,,1.0,,,,,,,,,,,,
245719,Taylor Harwood-Bellis,Defender,Southampton,20,England,2024-25,105.0,,0.0,,,155.0,34.0,32.0,252.0,2124.0,3.0,,113.0,3.0,,2828.0,108.0,8.0,33.0,45.0,1772.0,,,7.0,13.0,140.0,65.0,55.0,484.0,,14.0,0.0,213.0,,745.0,123.0,34.0,,,645.0,57.0,100.0,63.0,0.0,3.0,2070.0,13.0,293.0,,,783.0,35.0,30.0,100.0,2521.0,39.0,1228.0,,,9.0,97.0,100.0,1.0,0.6652,6.0,8.0,,2.1847,28.0,14.0,,2.0,9.0,1.0,,1.0,,2.0,1.0,1.0,6.0,6.0,50.0,43.0,65.6329,14.0,6.0,22.0,0.0,,1.0,,8.0,,,9.0,5.0,6.0,6.0,20.0,3.0,43.0,112.0,19.0,5.0,,,16.0,1.7852,3.0,,,,8.0,,,,1.0,3.0,,,,,
496661,Tyler Dibling,Midfielder,Southampton,20,England,2024-25,163.0,,0.0,,,82.0,33.0,20.0,92.0,586.0,,,35.0,,,1874.0,139.0,5.0,31.0,129.0,480.0,,,4.0,2.0,16.0,50.0,138.0,64.0,,50.0,0.0,302.0,,126.0,80.0,33.0,,,315.0,45.0,267.0,10.0,0.0,,564.0,6.0,265.0,,,201.0,30.0,8.0,14.0,1004.0,,186.0,,,6.0,10.0,18.0,3.0,1.4575,8.0,9.0,7.0,2.4949,34.0,20.0,,29.0,16.0,2.0,2.0,1.0,4.0,13.0,3.0,7.0,4.0,4.0,25.0,50.0,53.4768,20.0,4.0,14.0,1.0,,3.0,,14.0,2.0,43.0,21.0,98.0,4.0,11.0,20.0,45.0,5.0,195.0,3.0,12.0,2.0,4.0,13.0,2.5584,8.0,,11.0,3.0,,5.0,,,,,,,,,2.0
500016,Welington,Defender,Southampton,20,Brazil,2024-25,24.0,,0.0,,,16.0,10.0,6.0,23.0,141.0,,,9.0,,,480.0,39.0,2.0,12.0,34.0,110.0,,,1.0,4.0,33.0,10.0,20.0,46.0,,8.0,0.0,63.0,,52.0,21.0,10.0,,,66.0,8.0,54.0,5.0,0.0,,136.0,3.0,57.0,,,4.0,6.0,7.0,8.0,293.0,7.0,56.0,,,1.0,7.0,8.0,4.0,0.1647,2.0,,,,21.0,1.0,,1.0,7.0,,1.0,,2.0,4.0,,4.0,,,4.0,3.0,9.6736,3.0,,4.0,,,,,12.0,,3.0,13.0,7.0,,1.0,9.0,5.0,1.0,39.0,23.0,4.0,,2.0,3.0,0.0369,,,6.0,,5.0,5.0,1.0,,,,,,,,
