playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,offsides,penaltyGoalsConceded,tacklesLost,aerialDuelsWon,unsuccessfulLayoffs,successfulLaunches,leftFootGoals,redCards2ndYellow,headedGoals,attemptsFromSetPieces,unsuccessfulLaunches,throwInsToOppositionPlayer,penaltiesTaken,penaltyGoals,hitWoodwork,foulWonPenalty,clearancesOffTheLine,penaltiesConceded,catches,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,lastPlayerTackle,savesMadeFromOutsideBox,penaltiesFaced,punches,drops,crossesNotClaimed,penaltiesSaved,savesFromPenalty,setPiecesGoals,ownGoalScored,goalkeeperSmother,otherGoals
41792,Aaron Ramsey,Midfielder,Arsenal,3,Wales,2010-11,17.0,2.0,0.0,5.0,2.0,1.0,4.0,5.0,4.0,27.0,7.0,15.0,5.0,31.0,3.0,300.0,1.0,0.0,2.0,3.0,5.0,1.0,4.0,355.0,5.0,6.0,1.0,6.0,248.0,2.0,10.0,6.0,2.0,8.0,12.0,95.0,1.0,1.0,2.0,23.0,1.0,66.0,20.0,7.0,1.0,2.0,183.0,7.0,4.0,6.0,18.0,0.0,296.0,3.0,2.0,49.0,4.0,1.0,1.0,93.0,5.0,8.0,1.0,21.0,46.0,357.0,1.0,3.0,90.0,1.0,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28566,Abou Diaby,Midfielder,Arsenal,3,France,2010-11,83.0,1.0,1.0,5.0,5.0,5.0,29.0,11.0,9.0,59.0,16.0,26.0,13.0,63.0,2.0,668.0,2.0,1.0,3.0,,30.0,,1.0,962.0,13.0,89.0,1.0,72.0,593.0,,27.0,9.0,24.0,12.0,70.0,228.0,1.0,7.0,0.0,172.0,1.0,182.0,78.0,16.0,2.0,14.0,394.0,11.0,2.0,44.0,142.0,1.0,664.0,6.0,6.0,130.0,22.0,36.0,1.0,178.0,16.0,17.0,,12.0,80.0,893.0,2.0,10.0,212.0,,1.0,4.0,18.0,3.0,1.0,1.0,7.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21091,Alexandre Song,Midfielder,Arsenal,3,Cameroon,2010-11,216.0,3.0,1.0,5.0,7.0,,103.0,16.0,33.0,238.0,31.0,57.0,30.0,260.0,13.0,1887.0,4.0,1.0,1.0,,82.0,12.0,3.0,2594.0,43.0,215.0,4.0,176.0,1564.0,,58.0,31.0,61.0,28.0,173.0,513.0,11.0,40.0,2.0,431.0,3.0,671.0,251.0,31.0,2.0,17.0,1038.0,24.0,13.0,78.0,349.0,0.0,1876.0,9.0,12.0,397.0,79.0,33.0,11.0,575.0,69.0,81.0,,63.0,128.0,2448.0,4.0,3.0,592.0,1.0,7.0,22.0,57.0,2.0,1.0,3.0,24.0,39.0,5.0,5.0,1.0,1.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13227,Andrey Arshavin,Midfielder,Arsenal,3,Russia,2010-11,173.0,16.0,0.0,13.0,26.0,7.0,57.0,57.0,46.0,228.0,37.0,101.0,25.0,254.0,67.0,1017.0,6.0,4.0,12.0,36.0,15.0,1.0,33.0,2194.0,11.0,127.0,4.0,123.0,738.0,9.0,141.0,45.0,8.0,27.0,162.0,375.0,3.0,28.0,2.0,300.0,2.0,342.0,114.0,37.0,5.0,46.0,586.0,23.0,95.0,118.0,285.0,0.0,1006.0,31.0,32.0,526.0,45.0,38.0,3.0,142.0,30.0,35.0,21.0,25.0,158.0,1616.0,21.0,19.0,210.0,1.0,1.0,26.0,37.0,11.0,22.0,4.0,12.0,4.0,8.0,1.0,1.0,,,,7.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
17878,Cesc Fàbregas,Midfielder,Arsenal,3,Spain,2010-11,141.0,4.0,0.0,21.0,25.0,5.0,41.0,50.0,110.0,258.0,25.0,115.0,22.0,311.0,18.0,1598.0,3.0,2.0,3.0,27.0,14.0,5.0,9.0,1887.0,10.0,123.0,2.0,119.0,1209.0,3.0,113.0,62.0,20.0,20.0,131.0,432.0,4.0,54.0,4.0,264.0,1.0,629.0,129.0,25.0,3.0,20.0,938.0,18.0,46.0,79.0,250.0,0.0,1544.0,25.0,25.0,502.0,28.0,24.0,4.0,379.0,26.0,25.0,18.0,78.0,158.0,2093.0,11.0,8.0,358.0,1.0,5.0,53.0,39.0,11.0,4.0,5.0,13.0,4.0,6.0,2.0,,,,4.0,13.0,1.0,1.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
59937,Conor Henderson,Midfielder,Arsenal,3,Ireland,2010-11,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28440,Denilson,Midfielder,Arsenal,3,Brazil,2010-11,63.0,,0.0,4.0,2.0,,34.0,7.0,2.0,55.0,16.0,17.0,6.0,60.0,,652.0,,,10.0,,18.0,1.0,,621.0,10.0,64.0,,56.0,561.0,,7.0,1.0,10.0,8.0,53.0,228.0,,21.0,0.0,127.0,,200.0,85.0,16.0,,,354.0,8.0,,11.0,109.0,0.0,642.0,5.0,2.0,78.0,21.0,1.0,2.0,170.0,18.0,18.0,,31.0,54.0,783.0,,3.0,238.0,2.0,4.0,5.0,20.0,,,2.0,13.0,8.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54102,Jack Wilshere,Midfielder,Arsenal,3,England,2010-11,161.0,7.0,1.0,7.0,9.0,8.0,58.0,20.0,43.0,219.0,35.0,70.0,31.0,264.0,25.0,1903.0,1.0,1.0,4.0,18.0,23.0,7.0,12.0,2650.0,12.0,178.0,4.0,167.0,1532.0,3.0,54.0,58.0,21.0,30.0,149.0,616.0,6.0,48.0,0.0,339.0,0.0,525.0,205.0,35.0,,30.0,1083.0,26.0,41.0,80.0,316.0,1.0,1880.0,11.0,8.0,446.0,42.0,61.0,6.0,558.0,35.0,51.0,15.0,107.0,204.0,2422.0,5.0,15.0,568.0,,7.0,45.0,49.0,3.0,,3.0,16.0,11.0,3.0,3.0,,,1.0,,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28554,Samir Nasri,Midfielder,Arsenal,3,France,2010-11,172.0,6.0,0.0,29.0,34.0,,29.0,52.0,39.0,169.0,30.0,75.0,28.0,182.0,75.0,1468.0,10.0,,2.0,84.0,17.0,6.0,22.0,2391.0,15.0,109.0,4.0,107.0,1249.0,16.0,,57.0,10.0,28.0,157.0,,,17.0,,281.0,,,108.0,30.0,7.0,56.0,1003.0,24.0,135.0,,264.0,0.0,,18.0,32.0,,22.0,61.0,3.0,,18.0,28.0,60.0,37.0,,2117.0,30.0,9.0,305.0,3.0,4.0,13.0,25.0,1.0,11.0,,7.0,2.0,3.0,,3.0,,,16.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8597,Tomas Rosicky,Midfielder,Arsenal,3,Czech Republic,2010-11,45.0,7.0,0.0,4.0,7.0,,17.0,20.0,18.0,73.0,21.0,45.0,8.0,79.0,8.0,648.0,,,13.0,4.0,8.0,2.0,8.0,927.0,3.0,51.0,3.0,46.0,553.0,1.0,21.0,26.0,12.0,17.0,42.0,157.0,1.0,12.0,0.0,96.0,,224.0,50.0,21.0,,11.0,454.0,14.0,11.0,26.0,88.0,0.0,642.0,13.0,5.0,131.0,13.0,17.0,1.0,175.0,11.0,18.0,2.0,16.0,92.0,832.0,6.0,4.0,123.0,,3.0,6.0,8.0,1.0,1.0,2.0,4.0,5.0,5.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
