playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,rightFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,handballsConceded,expectedGoals,secondGoalAssists,substituteOn,hitWoodwork,lastPlayerTackle,clearancesOffTheLine,cornersTakenInclShortCorners,unsuccessfulLayoffs,unsuccessfulCornersIntoBox,foulWonPenalty,ownGoalScored,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,leftFootGoals,redCards2ndYellow,penaltiesTaken,penaltyGoals
247348,Daniel Muñoz,Defender,Crystal Palace,31,Colombia,2025-26,128.0,,3.9664,0.0,,74.0,,127.0,29.0,29.0,171.0,824.0,,,98.0,10.0,,2403.0,54.0,138.0,1.0,,94.0,627.0,,,4.0,34.0156,24.0,6.0,97.0,33.0,74.0,31.0,,18.0,2.0,266.0,,236.0,97.0,29.0,,26.0,368.0,32.0,168.0,44.0,0.0,,817.0,10.0,293.0,2.0,,,349.0,35.0,26.0,26.0,1412.0,26.0,299.0,20.0,,7.0,44.0,47.0,14.0,7.0,13.0,1.0,3.6518,20.0,1.0,3.0,2.0,49.0,4.0,8.0,4.0,1.0,1.0,14.0,8.0,8.0,53.0,75.0,14.0,6.0,29.0,0.0,1.0,3.0,13.0,1.0,49.0,20.0,6.0,7.0,48.0,1.0,208.0,124.0,7.0,1.0,1.0,2.4418,1.0,,,,,,,,,,,,,,,,,
244723,Tyrick Mitchell,Defender,Crystal Palace,31,England,2025-26,136.0,,2.5239,0.0,,101.0,,191.0,38.0,36.0,298.0,1107.0,,,67.0,12.0,,3253.0,41.0,170.0,4.0,,144.0,770.0,,,4.0,50.7866,27.0,20.0,100.0,47.0,95.0,410.0,,28.0,1.0,306.0,,346.0,187.0,38.0,,38.0,444.0,43.0,239.0,26.0,0.0,,1099.0,30.0,521.0,15.0,,,39.0,23.0,34.0,39.0,2025.0,67.0,387.0,11.0,,6.0,107.0,111.0,22.0,5.0,7.0,4.0,1.8791,14.0,2.0,2.0,1.0,82.0,1.0,5.0,1.0,3.0,2.0,22.0,4.0,4.0,145.0,55.0,26.0,2.0,62.0,0.0,2.0,1.0,28.0,,82.0,54.0,2.0,7.0,63.0,12.0,312.0,204.0,5.0,3.0,3.0,1.6081,,2.0,1.0,,,,,,,,,,,,,,,
437499,Maxence Lacroix,Defender,Crystal Palace,31,France,2025-26,129.0,,0.8922,1.0,,60.0,,109.0,35.0,35.0,196.0,1656.0,2.0,,194.0,11.0,,3087.0,75.0,204.0,4.0,2.0,85.0,1376.0,,,4.0,45.058,5.0,9.0,252.0,45.0,54.0,537.0,,19.0,0.0,333.0,,420.0,94.0,35.0,,22.0,431.0,41.0,139.0,119.0,1.0,2.0,1624.0,5.0,232.0,7.0,,,636.0,34.0,45.0,84.0,2224.0,44.0,1031.0,15.0,,4.0,87.0,60.0,2.0,7.0,7.0,,1.4692,17.0,1.0,2.0,,3.0,1.0,,1.0,1.0,,2.0,6.0,6.0,32.0,74.0,,6.0,25.0,0.0,,,4.0,1.0,3.0,10.0,6.0,10.0,38.0,18.0,63.0,2.0,1.0,1.0,,2.3808,,,2.0,3.0,1.0,,,,,,,,,,,,,
57328,Nathaniel Clyne,Defender,Crystal Palace,31,England,2025-26,19.0,,0.6777,0.0,,16.0,,28.0,10.0,7.0,37.0,184.0,,,8.0,,,596.0,6.0,23.0,2.0,,21.0,144.0,,,,10.9997,2.0,3.0,26.0,12.0,13.0,7.0,,1.0,0.0,42.0,,52.0,17.0,10.0,,7.0,86.0,10.0,34.0,2.0,0.0,,183.0,2.0,66.0,4.0,,,64.0,4.0,5.0,3.0,302.0,5.0,63.0,4.0,,1.0,9.0,12.0,2.0,1.0,,,,2.0,,1.0,,14.0,,,,,,2.0,,,17.0,12.0,3.0,1.0,5.0,,,,3.0,,14.0,4.0,1.0,2.0,9.0,2.0,61.0,20.0,6.0,,,0.4306,,3.0,,,,,,,,,,,,,,,,
651426,Jaydee Canvot,Defender,Crystal Palace,31,France,2025-26,56.0,,0.3381,0.0,,39.0,,51.0,20.0,14.0,90.0,765.0,10.0,,56.0,4.0,,1334.0,19.0,85.0,1.0,1.0,48.0,638.0,,,3.0,23.8314,3.0,7.0,103.0,23.0,37.0,242.0,,7.0,0.0,141.0,,287.0,54.0,20.0,,15.0,267.0,22.0,85.0,37.0,0.0,10.0,736.0,2.0,120.0,2.0,,,178.0,12.0,12.0,37.0,1031.0,19.0,408.0,4.0,,3.0,39.0,40.0,,,1.0,,0.34,7.0,1.0,,,5.0,,,,,,,1.0,1.0,22.0,11.0,2.0,,17.0,,,,2.0,,5.0,7.0,,6.0,24.0,13.0,58.0,3.0,2.0,,1.0,1.4833,,6.0,,3.0,,,,,,,,,,,,,,
218364,Borna Sosa,Defender,Crystal Palace,31,Croatia,2025-26,6.0,,0.0669,0.0,,3.0,,9.0,7.0,,15.0,41.0,,,4.0,,,99.0,1.0,6.0,1.0,,3.0,24.0,,,,1.1279,2.0,2.0,4.0,2.0,5.0,10.0,,,0.0,12.0,,18.0,3.0,7.0,,3.0,15.0,1.0,8.0,3.0,0.0,,41.0,1.0,26.0,,,,7.0,4.0,2.0,2.0,73.0,4.0,11.0,4.0,,1.0,6.0,1.0,,,,,,1.0,1.0,,1.0,3.0,,,,,,,,,1.0,3.0,1.0,,1.0,,,,1.0,,6.0,1.0,,1.0,,,6.0,8.0,,,,0.0405,,7.0,,,,3.0,1.0,3.0,,,,,,,,,,
427623,Chris Richards,Defender,Crystal Palace U21,18257,United States,2025-26,131.0,,1.3815,0.0,,55.0,,129.0,33.0,31.0,237.0,1479.0,1.0,,189.0,10.0,,2826.0,82.0,170.0,3.0,,63.0,1176.0,,,4.0,43.2964,9.0,17.0,196.0,42.0,49.0,250.0,,5.0,0.0,301.0,,514.0,65.0,33.0,,20.0,420.0,39.0,112.0,107.0,0.0,1.0,1450.0,10.0,361.0,4.0,,,610.0,18.0,43.0,66.0,2081.0,52.0,827.0,7.0,,4.0,108.0,82.0,5.0,7.0,2.0,,1.6209,8.0,3.0,,,8.0,1.0,,0.0,,,5.0,1.0,1.0,32.0,44.0,79.0,7.0,24.0,1.0,,,2.0,1.0,8.0,13.0,7.0,6.0,35.0,19.0,105.0,49.0,1.0,,,2.356,,2.0,,3.0,1.0,,,,,,,,,,,,,
515621,Chadi Riad,Defender,Crystal Palace U21,18257,Morocco,2025-26,29.0,,0.1314,0.0,,8.0,,28.0,9.0,6.0,51.0,374.0,6.0,,28.0,,,554.0,15.0,25.0,,,12.0,300.0,,,1.0,8.1052,,4.0,28.0,8.0,14.0,162.0,,3.0,0.0,54.0,,131.0,32.0,9.0,,4.0,122.0,8.0,26.0,13.0,0.0,6.0,358.0,,62.0,1.0,,,48.0,5.0,6.0,23.0,460.0,14.0,201.0,1.0,,2.0,23.0,21.0,,,2.0,,0.1609,4.0,,1.0,,6.0,,,,,,,2.0,2.0,13.0,10.0,,,7.0,,,,,,6.0,3.0,,2.0,4.0,3.0,33.0,1.0,4.0,,,0.326,,3.0,,,,,,,,,,,,,,,,
590012,Caleb Kporha,Defender,Crystal Palace U21,18257,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591384,George King,Defender,Crystal Palace U21,18257,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
