playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,homeGoals,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,unsuccessfulCornersIntoBox,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,offsides,goalAssists,iboxTarget,shotsOnTargetInBox,rightFootGoals,headedGoals,penaltiesConceded,hitWoodwork,handballsConceded,secondGoalAssists,lastPlayerTackle,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,unsuccessfulLayoffs,setPiecesGoals,penaltiesTaken,penaltyGoals
55494,Joel Ward,Defender,Crystal Palace,31,England,2014-15,163.0,,1.2899,0.0,,,37.0,37.0,361.0,1183.0,,,151.0,7.0,,3330.0,47.0,261.0,10.0,79.0,157.0,754.0,,,4.0,45.2761,24.0,180.0,49.0,116.0,192.0,,52.0,0.0,424.0,37.0,,626.0,206.0,37.0,,,487.0,39.0,273.0,104.0,0.0,,1133.0,16.0,645.0,16.0,,,172.0,61.0,68.0,2283.0,,103.0,349.0,,4.0,173.0,84.0,,10.0,6.0,2.0,5.0,0.6027,95.0,6.0,1.0,188.0,4.0,57.0,1.0,0.0,5.0,16.0,1.0,14.0,3.0,29.0,124.0,22.0,1.0,1.0,1.0,15.0,1.0,23.0,73.0,47.0,1.0,4.0,80.0,15.0,38.0,13.0,1.0,193.0,298.0,5.0,14.0,0.3375,,,,,,,,,,,,,,,,,,,,
20145,Adrian Mariappa,Defender,Wealdstone,3096,Jamaica,2014-15,35.0,,0.1623,0.0,,,12.0,8.0,73.0,240.0,,,25.0,3.0,,840.0,6.0,43.0,2.0,9.0,24.0,152.0,,,1.0,13.6106,8.0,38.0,13.0,29.0,20.0,,4.0,0.0,78.0,2.0,,127.0,45.0,12.0,,,88.0,11.0,53.0,19.0,0.0,,240.0,5.0,146.0,3.0,,,68.0,14.0,15.0,454.0,1.0,19.0,83.0,,3.0,29.0,21.0,4.0,4.0,,,2.0,,18.0,,,44.0,1.0,14.0,,,,,,4.0,,1.0,40.0,3.0,,,,4.0,,7.0,14.0,11.0,,,14.0,4.0,12.0,,,25.0,47.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,,
15284,Brede Hangeland,Defender,Crystal Palace,31,Norway,2014-15,31.0,,0.494,0.0,,,14.0,12.0,70.0,325.0,,,63.0,2.0,,1173.0,16.0,68.0,5.0,3.0,21.0,229.0,,,1.0,15.0293,14.0,78.0,18.0,15.0,87.0,,5.0,0.0,99.0,1.0,,168.0,57.0,14.0,,,87.0,13.0,36.0,47.0,0.0,,313.0,2.0,80.0,2.0,,,43.0,31.0,26.0,485.0,1.0,22.0,168.0,,2.0,33.0,15.0,2.0,,1.0,3.0,1.0,1.9877,15.0,3.0,1.0,37.0,2.0,,2.0,2.0,,,,,,11.0,,3.0,1.0,0.0,,6.0,,3.0,,3.0,1.0,,9.0,5.0,8.0,,,27.0,,,2.0,1.0922,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
15274,Paddy McCarthy,Defender,Crystal Palace,31,Ireland,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19188,Scott Dann,Defender,Reading,108,England,2014-15,118.0,,1.58,0.0,,,34.0,34.0,281.0,837.0,,,186.0,6.0,,2922.0,76.0,152.0,7.0,21.0,42.0,446.0,,,3.0,38.1838,23.0,220.0,40.0,42.0,99.0,,10.0,1.0,270.0,12.0,,473.0,125.0,34.0,,,238.0,33.0,84.0,110.0,0.0,,776.0,5.0,304.0,5.0,,,212.0,54.0,110.0,1272.0,3.0,78.0,320.0,,6.0,177.0,44.0,,2.0,9.0,4.0,1.0,1.6475,31.0,10.0,,104.0,4.0,5.0,2.0,1.0,,,,2.0,,59.0,,10.0,9.0,1.0,,12.0,,2.0,5.0,3.0,9.0,6.0,19.0,34.0,29.0,,1.0,53.0,7.0,,14.0,1.5899,1.0,3.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,
106603,Ezekiel Fryers,Defender,Swindon Town,46,England,2014-15,,,,0.0,,,1.0,,,2.0,,,,,,3.0,,,,,,2.0,,,,,,,,,1.0,,,0.0,,,,1.0,,1.0,,,2.0,,,,0.0,,2.0,,1.0,,,,,,,3.0,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79228,Pape Souaré,Defender,Ebbsfleet United,585,Senegal,2014-15,22.0,,1.334,0.0,,,9.0,7.0,58.0,214.0,,,21.0,1.0,,606.0,9.0,37.0,1.0,6.0,25.0,143.0,,,2.0,11.1182,6.0,13.0,9.0,13.0,45.0,,9.0,0.0,59.0,2.0,,115.0,30.0,9.0,,,95.0,8.0,38.0,12.0,0.0,,213.0,5.0,106.0,3.0,,,10.0,11.0,13.0,390.0,2.0,20.0,69.0,,1.0,28.0,12.0,2.0,8.0,,,1.0,,13.0,3.0,,30.0,1.0,25.0,,,,,,8.0,,4.0,11.0,6.0,,,,2.0,,2.0,25.0,4.0,,3.0,11.0,4.0,6.0,,,44.0,57.0,,2.0,0.0727,,,,,,,1.0,,,,,,,,,,,,,
7906,Damien Delaney,Defender,Crystal Palace,31,Ireland,2014-15,87.0,,0.7097,1.0,,,29.0,28.0,244.0,741.0,,,134.0,5.0,,2434.0,53.0,135.0,8.0,26.0,54.0,389.0,,,3.0,35.4614,44.0,239.0,37.0,34.0,141.0,,10.0,0.0,222.0,16.0,,458.0,106.0,29.0,,,193.0,29.0,88.0,81.0,0.0,,685.0,3.0,266.0,4.0,,,78.0,50.0,108.0,1184.0,1.0,122.0,305.0,,6.0,183.0,36.0,1.0,1.0,3.0,3.0,,0.5608,42.0,10.0,,61.0,1.0,1.0,,,1.0,,1.0,1.0,,28.0,,8.0,2.0,,1.0,8.0,,,1.0,2.0,2.0,7.0,34.0,21.0,15.0,,,64.0,2.0,1.0,8.0,0.8386,1.0,,2.0,2.0,,,,,,1.0,2.0,1.0,,,,,,,,
58786,Martin Kelly,Defender,Salford City,3448,England,2014-15,108.0,,0.591,0.0,,,31.0,27.0,215.0,674.0,,,71.0,4.0,,2498.0,24.0,162.0,8.0,57.0,115.0,431.0,,,2.0,34.0348,9.0,136.0,39.0,84.0,139.0,,12.0,0.0,270.0,31.0,,353.0,122.0,31.0,,,258.0,31.0,199.0,47.0,0.0,,666.0,4.0,388.0,10.0,,,94.0,47.0,28.0,1444.0,4.0,56.0,210.0,,2.0,86.0,62.0,4.0,9.0,1.0,4.0,,1.1547,94.0,9.0,,129.0,2.0,39.0,,,1.0,,4.0,9.0,,8.0,84.0,9.0,,,4.0,19.0,,16.0,39.0,28.0,,5.0,75.0,12.0,36.0,,,88.0,199.0,1.0,22.0,0.2936,1.0,1.0,,,,,,,,,,,,,,,,,,
